11_voice_NPC_5087_100#0,"""อ้าว มาพอดีเลย!"""
Alice_01_40#1,"""適性が弱いってわけでもないから<br>じゃあズバリ、自分にちょうど合う<br>クラスを作っちゃえ、ってね。"""
Alice_01_50#1,"""まあ、元々はレギアスが提唱していた<br>新クラスの仕組みを拝借して<br>くみ上げたものなんだけどねー。"""
Alice_01_60#1,"""カタナはレギアス発案。<br>バレットボウはわたし発案。"""
Alice_01_70#1,"""どっちもカンペキにできるように<br>ただいまカタナ練習中、ってワケ。<br>いやー、おねえさん働きものだよー。"""
11_voice_NPC_5087_100#2,"""ฮ้าย Class ใหม่ Samurai มาแล้ว<br>ฝาก Samurai ไว้ในอ้อมใจด้วยนะจ๊า!"""
Npc87_mb01_020#0,"""อาชีพนี้ใช้ Katana เป็นนะจ๊า!<br>ใช้ Bullet Bow ได้ด้วยนะจ๊า!<br>เอ้าไม่ใช้ไม่ว่า แวะมาดูกันก่อนได้จ้า!"""
11_voice_NPC_5087_100#3,"""はーい、新クラス、ブレイバー<br>ブレイバーをよろしくねー！"""
Npc87_mb01_020#1,"""カタナが使えちゃうよー！<br>バレットボウもついてくるよー！<br>さあ見といで寄っといでー！"""
11_voice_NPC_5087_100#4,"""โดยพื้นฐานแล้ว Samurai ใกล้เคียงกับ Hunter ที่สุดละมั้ง"""
Npc87_mb02_020#0,"""ก็เลยให้ Regias เป็นคนรับเรื่องไงล่ะ"""
11_voice_NPC_5087_100#5,"""ブレイバーは、適性としては<br>ハンターに近い感じがするかなー。"""
Npc87_mb02_020#1,"""だからレギアスも掛け持ち<br>してたわけだしね。"""
11_voice_NPC_5087_100#6,"""ทำไม Samurai ถึงได้เพิ่งถูกสร้างขึ้นตอนนี้น่ะเหรอ?"""
Npc87_mb03_020#0,"""อืม...ชั้นว่า...<br>บัญชาสวรรค์ล่ะมั้ง! ถ้าพูดงี้จะเชื่อมั้ย?<br>เป็นไงขนลุกเลยล่ะสิ ขนลุกอ่ะดี้!"""
11_voice_NPC_5087_100#7,"""いつ、どうしてブレイバーを作る気に<br>なったのかって？"""
Npc87_mb03_020#1,"""うーん……そうだなー……<br>天啓！\u3000といって信じてくれる？<br>ビビッときたんだよね、ビビッと！"""
11_voice_NPC_5087_100#8,"""Katana เนี่ย กระบวนท่าของมันถ้าใช้ถูกจังหวะล่ะก็ <br>จะสุดยอดเลยนะ!"""
Npc87_mb04_020#0,"""เกิดมาทั้งทีถ้าไม่เคยใช้สักครั้งล่ะก็ <br>ระวังตายไปจะเสียดายนะจ๊ะ!"""
11_voice_NPC_5087_100#9,"""カタナはほーんと、呼吸が合ったときの<br>気持ちよさが格別だよねー！"""
Npc87_mb04_020#1,"""やったことないなら<br>一度はやらなきゃソンソン、だよー！"""
11_voice_NPC_5087_100#10,"""เวลาที่ลูกศรพุ่งออกไปปักเป้าหมายได้ดังใจคิดเนี่ย<br>จะรู้ว่า Pallet Bow มันสุดยอด!"""
Npc87_mb05_020#0,"""ถ้าไม่เคยใช้ล่ะก็ ไม่น่าเสียดายอะไรหรอก <br>แค่ระวังผีมาหลอกแล้วกัน<br>ถ้ากลัวก็รีบไปลองใช้ดูซี่"""
11_voice_NPC_5087_100#11,"""狙い通りの的を射止めた時の<br>バレットボウの気持ちよさったら<br>たまらないよねー！"""
Npc87_mb05_020#1,"""やったことないなんて、もったいなくて<br>オバケが出ちゃうね。<br>今すぐやってきてみるべきだよ。"""
11_voice_NPC_5087_100#12,"""Katana น่ะนะ เวลาชักออกแล้วเก็บใส่ฝักดังชิ้งเนี่ย <br>รู้สึกโคตรหล่อเลยอ่ะ"""
Npc87_mb06_020#0,"""ในการต่อสู้ ชั้นคิดว่าเรื่องความแรงเป็นเรื่องรอง <br>แต่ความเท่นี่ต้องมาก่อนอยู่แล้ว"""
11_voice_NPC_5087_100#13,"""カタナはさー、納刀の時に<br>チンッ、って音を鳴らすのが<br>オツなんだよねー！"""
Npc87_mb06_020#1,"""戦いには強さが不可欠だけど<br>美しさも必要だって<br>わたしは思うんだよなー。"""
11_voice_NPC_5087_100#14,"""ชั้นคิดว่า Pallet Bow เนี่ย <br>พอยิงออกไปแล้วต้องหยุดแป๊ปนึง <br>ซึมซับความสะใจของมันก่อน"""
Npc87_mb07_020#0,"""มีแค่ความแรงอย่างเดียวมันไม่เติมเต็มหรอก <br>มันต้องมีความงดงามควบคู่ไปด้วย"""
11_voice_NPC_5087_100#15,"""バレットボウを射った後<br>動きを止めて、余韻を味わうのって<br>重要だと思うんだよねー！"""
Npc87_mb07_020#1,"""強さを追い求めているだけじゃ<br>到達できない美しさがあると思うんだ。"""
11_voice_NPC_5087_104#0,"""บรรยากาศเหมือนจะมีอะไรบางอย่างนะ"""
Npc87_mb08_020#0,"""ไม่สิ แค่รู้สึกว่า ทีแรกกะจะไปขอภารกิจจาก <br>Regias แต่ไม่เอาวันนี้อยู่เฉยๆดีกว่าปะ ชั้นเดาถูกมะ?"""
11_voice_NPC_5087_104#1,"""なーんか起きそうな空気だね。"""
Npc87_mb08_020#1,"""いや、レギアスに指導してもらおうと<br>思ったら、珍しく留守だったから<br>そんな気がしただけ。当たってる？"""
11_voice_NPC_5087_104#2,"""ว่าแล้ว...<br>ที่ก่อนหน้านี้ Regias ไม่อยู่ เพราะเจ้า Dark Falz นั่นสินะ"""
Npc87_mb09_020#0,"""เห็นบอกว่า [Elder] อะไรนั่น<br>ที่สี่สิบปีก่อน ARKS โดนถล่มก็คงเป็นฝีมือเจ้านั่นเองสินะ"""
11_voice_NPC_5087_104#3,"""なるほどなー……<br>この前レギアスがいなかった理由は<br>あのダークファルスだったわけだ。"""
Npc87_mb09_020#1,"""【巨躯】とか言ってたよねあれ。<br>四十年前に、アークスぼっこぼこに<br>したのがあいつなのか。"""
11_voice_NPC_5087_104#4,"""อืมม ชั้นสนใจเรื่องข่าวลือเกี่ยวกับ <br>Shimatsuya มากกว่าเรื่องมังกรกระหายเลือดอีก"""
Npc87_mb10_020#0,"""แต่ทั้งสองเรื่องนี่เกิดขึ้นแทบจะพร้อมกันเลย<br>น่าจะมีอะไรเกี่ยวข้องกันแน่ๆ..."""
11_voice_NPC_5087_104#5,"""んー、わたしは暴走龍よりも<br>始末屋のウワサの方が気になるなー。"""
Npc87_mb10_020#1,"""その二つ、ほぼ同時に話題に<br>あがってきたでしょ？<br>何か関係があるようなー……"""
11_voice_NPC_5087_102#0,"""งานประลองฝีมือเหรอ!<br>ทีแรกก็กะจะเอาด้วยหรอก แต่ดันถูก Regias ห้ามไว้ซะนี่...<br>"""
Npc87_mb11_020#0,"""เจอบอกว่าฝีมือกระจอกแต่จะคิดไปลงแข่งงั้นเรอะ <br>ยังเร็วไปสิบปี!<br>เฮ่อ...เซ็งเลย"""
11_voice_NPC_5087_102#1,"""戦技大会かー！<br>宣伝にはうってつけだったんだけど<br>レギアスに止められちゃったよー……"""
Npc87_mb11_020#1,"""そんな未熟で技を競おうなんて<br>十年早い！\u3000だってさー。<br>あーあ、残念。"""
11_voice_NPC_5087_100#16,"""Class ไหนเก่งไม่เก่ง ตัวเองต้องเป็นคนตัดสินเองรู้ปะ?"""
Npc87_mb12_020#0,"""อย่าไปเชื่อลมปากของคนอื่น สิ่งที่ควรทำคือ ลองเองซะ!<br>แล้วหัวใจของเราจะให้คำตอบเอง"""
Npc87_mb12_030#0,"""ก่อนอื่นก็ Samurai ดิ ลอง Samurai เลย<br>ครั้งเดียวก็พอ ลองดูหน่อยน้า!"""
11_voice_NPC_5087_100#17,"""クラスの強弱なんてものは<br>自分で決めるものだよー？"""
Npc87_mb12_020#1,"""他人の意見に惑わされずに<br>なにはともあれ、やってみる！<br>この心構えを忘れずに。"""
Npc87_mb12_030#1,"""だからブレイバー、さあブレイバー。<br>一度で良いから試してみようー！"""
11_voice_NPC_5087_100#18,"""การฝึกฝนเปรียบเสมือนการเดินทางที่ยาวไกล...<br>เรื่องนั้นชั้นก็รู้หรอก แต่การฝึกใช้ Katana <br>เนี่ยมันยากจริงๆนะ"""
Npc87_mb13_020#0,"""แค่เผลอหย่อนมือนิดเดียวก็เละแล้ว<br>ไม่มีเวลาให้หยุดหายใจเลยล่ะ กลุ้มจริง"""
11_voice_NPC_5087_100#19,"""修行の道は長く険しい……<br>とはわかっていたけど、カタナの鍛錬は<br>ほんと大変だなぁ。"""
Npc87_mb13_020#1,"""少しでも手を抜くとバレるし<br>息つく暇もありゃしないよ、まったく。"""
11_voice_NPC_5087_100#20,"""จุดยืนของ Samurai งั้นเหรอ<br>แค่เหตุผลที่ว่า ชั้นอยากลองทำอย่างนี้ก็เลยทำ <br>ก็มากพอแล้วล่ะ"""
Npc87_mb14_020#0,"""ตัวคุณเอง <br>ก็ต้องลองทำตามเสียงที่หัวใจของตัวเองบอกดูรู้ปะ<br>มัวแต่กลัวโน่นกลัวนี่ระวังจะเสียใจนะ"""
Npc87_mb14_030#0,"""นี่แหละพื้นฐานแห่งความสุขของชีวิต<br>...เอ้อ แต่ก็ต้องอย่าฟรีด้อมมากจนไป<br>รบกวนคนอื่นเค้าเข้าล่ะ"""
11_voice_NPC_5087_100#21,"""ブレイバーってクラスの設立はさー<br>やってみたかったからやった、ってのが<br>結構理由として大きいんだよねー。"""
Npc87_mb14_020#1,"""あなたも、あなた自身のやりたいことに<br>素直にチャレンジしてみるべきだよ。<br>尻込みするだけ損、損。"""
Npc87_mb14_030#1,"""そのほうが、人生は楽しくなるよー。<br>……ああもちろん、他人に迷惑が<br>かからない範囲で、だけどね。"""
11_voice_NPC_5087_100#22,"""เวลาที่เห็นคนทำท่าลังเลยึกยักๆ แล้ว<br>เคยคิดอยากจะไปตบหลังเค้าดัง<br>ป้าบ บ้างรึเปล่า? เป็นชั้นๆ คิดนะ"""
Npc87_mb15_020#0,"""ก็ไม่ใช่ว่าจะทำเพื่อยุยงอะไรหรอกนะ<br>แต่ถ้าไม่เริ่มซักที มันก็ไปต่อไปไม่ได้<br>ใช่มั้ยล่ะ"""
Npc87_mb15_030#0,"""......ชั้นกำลังพูดถึงเรื่องอะไรอยู่งั้นเหรอ?<br>เอาล่ะ ชั้นกำลังพูดถึงเรื่องอะไรอยู่กันน้า<br>เอาเป็นว่ามันไม่ใช่เรื่องที่ไม่ดีก็แล้วกัน"""
11_voice_NPC_5087_100#23,"""うじうじしている人を見ると<br>ばーん、と背中を押してやりたく<br>なったりしない？\u3000わたしはする。"""
Npc87_mb15_020#1,"""煽るってワケじゃないけど<br>そういうきっかけがないと、なかなか<br>先に進めなかったりするもんね。"""
Npc87_mb15_030#1,"""……何の話かって？<br>さーって、何の話でしょう。<br>べつに、悪いことはしてないよー。"""
Npc87_mb16_010#0,"""ชั้นรู้สึกว่าเธอน่าจะมีอิสระที่สุดในหมู่ ARKS<br>ประมาณว่าอยากจะทำอะไรก็สามารถทำได้<br>......ตามเท่าที่ชั้นรู้น่ะนะ"""
Npc87_mb16_020#0,"""ทั้งๆ ที่ตามหลักทฤษฎีแล้ว หากมีพลังหรืออำนาจ<br>มากเกินไปจะทำให้เคลื่อนไหวยากขึ้นเรื่อยๆ แท้ๆ<br>แต่เธอกลับเคลื่อนไหวได้อย่างอิสระ"""
11_voice_NPC_5087_100#24,"""ถือเป็นเรื่องที่ดีมากเลยล่ะ นั่นน่ะ<br>เพราะสามารถเคลื่อนไหวได้ตามความ<br>ตั้งใจของตนเองไม่มีใครมาคอยควบคุม"""
Npc87_mb16_040#0,"""อย่าง Regius น่ะ ชั้นเห็นเค้าดูทุกข์ทรมานอยู่เสมอๆ<br>ชั้นคิดว่าเค้าน่าจะต้องอิจฉาเธออยู่แน่ๆ เลยล่ะ"""
Npc87_mb16_010#1,"""貴方は、アークスの中で一番自由で<br>やりたいことをやれている気がする。<br>……わたしの知る限り、だけど。"""
Npc87_mb16_020#1,"""力や権力を持ちすぎると、それで<br>どんどん動けなくなるのが定説なのに<br>貴方は、すごく自由に動いてる。"""
11_voice_NPC_5087_100#25,"""いいことなんだよ、それって。<br>誰にも左右されず、自分の意志で<br>しっかり動けてるってことだからね。"""
Npc87_mb16_040#1,"""レギアスなんか、いっつも苦しそうだし<br>きっと貴方を、羨ましがるだろうね。"""
11_voice_NPC_5087_104#6,"""ขอบคุณที่เหนื่อยน้า<br>คิดคำพูดอื่นนอกจากนี้ไม่ออกแล้วล่ะ<br>คิดว่าคนอื่นก็ต้องแบบเดียวกันแน่ๆ"""
Npc87_mb16zeno_020#0,"""แล้วก็ ขอบคุณ ด้วยรึเปล่านะ<br>คำนี้เองคิดว่าทุกคนก็ต้องคิดอยู่เหมือนกัน<br>ก็เธอน่ะทำให้พวกเราซะขนาดนั้นเลยนี่นา?"""
11_voice_NPC_5087_104#7,"""お疲れさまだったねー。<br>それ以外の言葉が見つからないよ。<br>他のみんなも同じ事思ってるはず。"""
Npc87_mb16zeno_020#1,"""それと、ありがとう、かな。<br>これも、きっとみんなが思ってること。<br>それだけのことを、してくれたんだよ？"""
