text00#0,"""このクエストについて"""
text0003#1,"""クエスト開始から一定時間経過すると<br>プレイヤーキャラクターの回復力を低下させ<br>一定時間ごとにダメージを与える「<yellow>障害雨<c>」が<br>発生します。<br><br>障害雨の効果は徐々に強くなっていくので<br>戦闘不能になる前に、クエスト開始地点に<br>配置された「<yellow>脱出用テレパイプ<c>」を見つけ出し<br>領域から離脱しましょう。<br>なお、脱出用テレパイプは<br>パーティーリーダーのみが起動できます。<br><br>※このチュートリアルはメインメニューの<br>\u3000「インフォメーション」からも確認可能です。"""
Title#3,"""テーマ：『補充戦』について"""
text0001#3,"""テーマ：「補充戦」は<br>制限時間中、配置された「<yellow>エネルギーポッド<c>」に<br>エネルギーを補充することが目的となっています。<br><br><c 00ffff>■クリア条件<c><br>\u3000「<yellow>エネルギーポッド<c>」の補充完了、<br>\u3000または制限時間の経過<br><br><c 00ffff>■リザルトの評価要素<c><br>\u3000「<yellow>エネルギーポッド<c>」の補充率"""
text0101#2,"""テーマ：「補充戦」は<br>制限時間中、配置された「<yellow>エネルギーポッド<c>」に<br>エネルギーを補充することが<br>目的となっています。<br><br><c 00ffff>■クリア条件<c><br>\u3000「<yellow>エネルギーポッド<c>」の補充完了、<br>\u3000または制限時間の経過<br><br><c 00ffff>■リザルトの評価要素<c><br>\u3000「<yellow>エネルギーポッド<c>」の補充率"""
text0002#3,"""フィールド上に配置される<br>「<yellow>エネルギー結晶<c>」を回収することで<br>「<yellow>エネルギーポッド<c>」の補充率が高まります。<br><br>なお、エネルギーポッドは<br>フィールド上に４つ配置されますが<br>その補充率は共有となっています。<br><br>「<yellow>エネルギーポッドを狙うエネミーの迎撃役<c>」と<br>「<yellow>エネルギー結晶を回収する援護役<c>」などの<br>役割分担をすることが、効率的な攻略法となります。<br><br>※このチュートリアルはメインメニューの<br>\u3000「インフォメーション」からも確認可能です。"""
text0102#3,"""フィールド上に配置される<br>「<yellow>エネルギー結晶<c>」を回収することで<br>「<yellow>エネルギーポッド<c>」の補充率が高まります。<br><br>なお、エネルギーポッドは<br>フィールド上に４つ配置されますが<br>その補充率は共有となっています。<br><br>「<yellow>エネルギーポッドを狙うエネミーの迎撃役<c>」と<br>「<yellow>エネルギー結晶を回収する援護役<c>」などの<br>役割分担をすることが、<br>効率的な攻略法となります。<br><br>※このチュートリアルはメインメニューの<br>\u3000「インフォメーション」からも確認可能です。"""
Title#4,"""テーマ：『殲滅戦』について"""
text0001#4,"""テーマ：「殲滅戦」は<br>制限時間内にエネミーをすべて撃破することが<br>目的となっています。<br><br><c 00ffff>■クリア条件<c><br>\u3000全てのエネミーの撃破、または制限時間の経過<br><br><c 00ffff>■リザルトの評価要素<c><br>\u3000出現するエネミーの撃破体数<br><br>※エネミーをすべて撃破しきれなくても<br>\u3000クリアとなります。"""
text0002#4,"""「殲滅戦」では、アークスが開発した<br>「<yellow>スプレッドボム<c>」が付与されている<br>エネミーが出現します。<br><br>「<yellow>スプレッドボム<c>」が付与されているエネミーを<br>撃破すると、ボムが爆発して<br>周囲のエネミーに大ダメージを与えます。<br><br>制限時間内にすべてのエネミーを撃破するために<br>「<yellow>スプレッドボム<c>」が付与されているエネミーを<br>うまく誘導して撃破すると良いでしょう。<br><br>※このチュートリアルはメインメニューの<br>\u3000「インフォメーション」からも確認可能です。"""
text0102#4,"""「殲滅戦」では、アークスが開発した<br>「<yellow>スプレッドボム<c>」が付与されている<br>エネミーが出現します。<br><br>「<yellow>スプレッドボム<c>」が付与されているエネミーを<br>撃破すると、ボムが爆発して<br>周囲のエネミーに大ダメージを与えます。<br><br>制限時間内にすべてのエネミーを<br>撃破するために<br>「<yellow>スプレッドボム<c>」が付与されているエネミーを<br>うまく誘導して撃破すると良いでしょう。<br><br>※このチュートリアルはメインメニューの<br>\u3000「インフォメーション」からも確認可能です。"""
Title#5,"""テーマ：『討伐戦』について"""
text0001#5,"""テーマ：「討伐戦」は<br>制限時間内に、出現した大型エネミーの撃破を<br>目指すことが目的となっています。<br><br><c 00ffff>■クリア条件<c><br>\u3000大型エネミーの撃破、または制限時間の経過<br><br><c 00ffff>■リザルトの評価要素<c><br>\u3000大型エネミーの損傷率<br><br>※大型エネミーを撃破しきれなくても<br>\u3000クリアとなります。"""
text0002#5,"""「討伐戦」において出現する大型エネミーは<br>非常に強力で、普段通りに戦闘しても<br>制限時間内での撃破は難しいでしょう。<br><br>時折出現する小型エネミーを撃破することで<br>強力な「<yellow>プレイヤーの能力上昇効果<c>」を持つ<br>ＰＳＥを発生させることができるので<br>有効活用することで、制限時間内に<br>大型エネミーを撃破することが<br>可能となるかもしれません。<br>※小型エネミーが出現しないものもあります。<br><br>※このチュートリアルはメインメニューの<br>\u3000「インフォメーション」からも確認可能です。"""
