Title#0,"""無限連戦：永遠の輪舞"""
Area2000S#0,"""ＶＲ幻惑の森"""
Area2000L#0,"""アークスシップ\u3000ＶＲ空間(幻惑の森)"""
Area2001S#0,"""ＶＲ市街地"""
Area2001L#0,"""アークスシップ\u3000ＶＲ空間(市街地)"""
Area2002S#0,"""ＶＲ龍祭壇"""
Area2002L#0,"""アークスシップ\u3000ＶＲ空間(龍祭壇)"""
Area2003S#0,"""ＶＲ遺跡"""
Area2003L#0,"""アークスシップ\u3000ＶＲ空間(遺跡)"""
Area2004S#0,"""ＶＲ海岸"""
Area2004L#0,"""アークスシップ\u3000ＶＲ空間(海岸)"""
Area2005S#0,"""ＶＲ峡谷"""
Area2005L#0,"""アークスシップ\u3000ＶＲ空間(峡谷)"""
Area2006S#0,"""ＶＲ採掘場跡"""
Area2006L#0,"""アークスシップ\u3000ＶＲ空間(採掘場跡)"""
Area2007S#0,"""ＶＲ浮上施設"""
Area2007L#0,"""アークスシップ\u3000ＶＲ空間(浮上施設)"""
Area2008S#0,"""ＶＲ白ノ領域"""
Area2008L#0,"""アークスシップ\u3000ＶＲ空間(白ノ領域)"""
Area2009S#0,"""ＶＲ浮上施設"""
Area2009L#0,"""アークスシップ\u3000ＶＲ空間(浮上施設)"""
Area2010S#0,"""ＶＲ壊世区域\u3000地下坑道"""
Area2010L#0,"""アークスシップ\u3000ＶＲ空間(壊世区域\u3000地下坑道)"""
Area2011S#0,"""ＶＲ採掘基地"""
Area2011L#0,"""アークスシップ\u3000ＶＲ空間(採掘基地)"""
Area2012S#0,"""ＶＲ東京"""
Area2012L#0,"""アークスシップ\u3000ＶＲ空間(東京)"""
Area2013S#0,"""ＶＲラスベガス"""
Area2013L#0,"""アークスシップ\u3000ＶＲ空間(ラスベガス)"""
Area2014S#0,"""ＶＲ壊世区域\u3000火山洞窟"""
Area2014L#0,"""アークスシップ\u3000ＶＲ空間(壊世区域\u3000火山洞窟)"""
Area2015S#0,"""ＶＲ黒ノ領域"""
Area2015L#0,"""アークスシップ\u3000ＶＲ空間(黒ノ領域)"""
Area2016S#0,"""ＶＲ火山洞窟"""
Area2016L#0,"""アークスシップ\u3000ＶＲ空間(火山洞窟)"""
Area2017S#0,"""ＶＲ採掘基地"""
Area2017L#0,"""アークスシップ\u3000ＶＲ空間(採掘基地)"""
Area2018S#0,"""ＶＲ海底"""
Area2018L#0,"""アークスシップ\u3000ＶＲ空間(海底)"""
Area2019S#0,"""ＶＲ月面\u3000"""
Area2019L#0,"""アークスシップ\u3000ＶＲ空間(月面)"""
Area2020S#0,"""ＶＲ市街地"""
Area2020L#0,"""アークスシップ\u3000ＶＲ空間(市街地)"""
Area2021S#0,"""ＶＲ魔神城周辺\u3000"""
Area2021L#0,"""アークスシップ\u3000ＶＲ空間(魔神城周辺)"""
Area2022S#0,"""ＶＲ壊世区域\u3000森林\u3000"""
Area2022L#0,"""アークスシップ\u3000ＶＲ空間(壊世区域\u3000森林)"""
Area2023S#0,"""ＶＲ(????)"""
Area2023L#0,"""アークスシップ\u3000ＶＲ空間(????)"""
Area2024S#0,"""ＶＲシップ残骸・甲板\u3000"""
Area2024L#0,"""アークスシップ\u3000ＶＲ空間(アークスシップ残骸・甲板)"""
Area2025S#0,"""ＶＲマザーシップ内部\u3000"""
Area2025L#0,"""アークスシップ\u3000ＶＲ空間(マザーシップ内部)"""
Area2026S#0,"""ＶＲ浮遊大陸\u3000"""
Area2026L#0,"""アークスシップ\u3000ＶＲ空間(浮遊大陸)"""
Area2027S#0,"""ＶＲダーカーの巣窟"""
Area2027L#0,"""アークスシップ\u3000ＶＲ空間(ダーカーの巣窟)"""
Area2028S#0,"""ＶＲ森林\u3000"""
Area2028L#0,"""アークスシップ\u3000ＶＲ空間(森林)"""
Area2029S#0,"""ＶＲアリーナ\u3000森林\u3000"""
Area2029L#0,"""アークスシップ\u3000ＶＲ空間(ＶＲアリーナ\u3000森林)"""
Area2030S#0,"""ＶＲ地下坑道\u3000"""
Area2030L#0,"""アークスシップ\u3000ＶＲ空間(地下坑道)"""
Area2031S#0,"""ＶＲ揚陸艇"""
Area2031L#0,"""アークスシップ\u3000ＶＲ空間(揚陸艇)"""
Area2032S#0,"""ＶＲ白ノ大城塞\u3000"""
Area2032L#0,"""アークスシップ\u3000ＶＲ空間(白ノ大城塞)"""
Area2033S#0,"""ＶＲ日本近海\u3000"""
Area2033L#0,"""アークスシップ\u3000ＶＲ空間(日本近海)"""
Area2034S#0,"""ＶＲエピック砂漠"""
Area2034L#0,"""アークスシップ\u3000ＶＲ空間(エピック砂漠)"""
Area2035S#0,"""ＶＲクエント東部の平原"""
Area2035L#0,"""アークスシップ\u3000ＶＲ空間(クエント東部の平原)"""
Area2036S#0,"""ＶＲヴェルン荒野"""
Area2036L#0,"""アークスシップ\u3000ＶＲ空間(ヴェルン荒野)"""
Area2037S#0,"""ＶＲクエント城玉座の間"""
Area2037L#0,"""アークスシップ\u3000ＶＲ空間(クエント城\u3000玉座の間)"""
Area2038S#0,"""ＶＲエピック砂漠北の砦"""
Area2038L#0,"""アークスシップ\u3000ＶＲ空間(エピック砂漠\u3000北の砦)"""
Area2039S#0,"""ＶＲルイーザの湖畔"""
Area2039L#0,"""アークスシップ\u3000ＶＲ空間(ルイーザの湖畔)"""
Area2040S#0,"""ＶＲ(????)"""
Area2040L#0,"""アークスシップ\u3000ＶＲ空間(????)"""
Area2041S#0,"""ＶＲ峡谷の花園"""
Area2041L#0,"""アークスシップ\u3000ＶＲ空間(峡谷の花園)"""
Area3000S#0,"""ＶＲ幻惑の森"""
Area3000L#0,"""アークスシップ\u3000ＶＲ空間(幻惑の森)"""
Area3001S#0,"""ＶＲ市街地"""
Area3001L#0,"""アークスシップ\u3000ＶＲ空間(市街地)"""
Area3002S#0,"""ＶＲ龍祭壇"""
Area3002L#0,"""アークスシップ\u3000ＶＲ空間(龍祭壇)"""
Area3003S#0,"""ＶＲ遺跡"""
Area3003L#0,"""アークスシップ\u3000ＶＲ空間(遺跡)"""
Area3004S#0,"""ＶＲ海岸"""
Area3004L#0,"""アークスシップ\u3000ＶＲ空間(海岸)"""
Area3005S#0,"""ＶＲ峡谷"""
Area3005L#0,"""アークスシップ\u3000ＶＲ空間(峡谷)"""
Area3006S#0,"""ＶＲ採掘場跡"""
Area3006L#0,"""アークスシップ\u3000ＶＲ空間(採掘場跡)"""
Area3007S#0,"""ＶＲ浮上施設"""
Area3007L#0,"""アークスシップ\u3000ＶＲ空間(浮上施設)"""
Area3008S#0,"""ＶＲ白ノ領域"""
Area3008L#0,"""アークスシップ\u3000ＶＲ空間(白ノ領域)"""
Area3009S#0,"""ＶＲ浮上施設"""
Area3009L#0,"""アークスシップ\u3000ＶＲ空間(浮上施設)"""
Area3010S#0,"""ＶＲ壊世区域\u3000地下坑道"""
Area3010L#0,"""アークスシップ\u3000ＶＲ空間(壊世区域\u3000地下坑道)"""
Area3011S#0,"""ＶＲ採掘基地"""
Area3011L#0,"""アークスシップ\u3000ＶＲ空間(採掘基地)"""
Area3012S#0,"""ＶＲ東京"""
Area3012L#0,"""アークスシップ\u3000ＶＲ空間(東京)"""
Area3013S#0,"""ＶＲラスベガス"""
Area3013L#0,"""アークスシップ\u3000ＶＲ空間(ラスベガス)"""
Area3014S#0,"""ＶＲ壊世区域\u3000火山洞窟"""
Area3014L#0,"""アークスシップ\u3000ＶＲ空間(壊世区域\u3000火山洞窟)"""
Area3015S#0,"""ＶＲ黒ノ領域"""
Area3015L#0,"""アークスシップ\u3000ＶＲ空間(黒ノ領域)"""
Area3016S#0,"""ＶＲ火山洞窟"""
Area3016L#0,"""アークスシップ\u3000ＶＲ空間(火山洞窟)"""
Area3017S#0,"""ＶＲ採掘基地"""
Area3017L#0,"""アークスシップ\u3000ＶＲ空間(採掘基地)"""
Area3018S#0,"""ＶＲ海底"""
Area3018L#0,"""アークスシップ\u3000ＶＲ空間(海底)"""
Area3019S#0,"""ＶＲ月面\u3000"""
Area3019L#0,"""アークスシップ\u3000ＶＲ空間(月面)"""
Area3020S#0,"""ＶＲ市街地"""
Area3020L#0,"""アークスシップ\u3000ＶＲ空間(市街地)"""
Area3021S#0,"""ＶＲ魔神城周辺\u3000"""
Area3021L#0,"""アークスシップ\u3000ＶＲ空間(魔神城周辺)"""
Area3022S#0,"""ＶＲ壊世区域\u3000森林\u3000"""
Area3022L#0,"""アークスシップ\u3000ＶＲ空間(壊世区域\u3000森林)"""
Area3023S#0,"""ＶＲ(????)"""
Area3023L#0,"""アークスシップ\u3000ＶＲ空間(????)"""
Area3024S#0,"""ＶＲシップ残骸・甲板\u3000"""
Area3024L#0,"""アークスシップ\u3000ＶＲ空間(アークスシップ残骸・甲板)"""
Area3025S#0,"""ＶＲマザーシップ内部\u3000"""
Area3025L#0,"""アークスシップ\u3000ＶＲ空間(マザーシップ内部)"""
Area3026S#0,"""ＶＲ浮遊大陸\u3000"""
Area3026L#0,"""アークスシップ\u3000ＶＲ空間(浮遊大陸)"""
Area3027S#0,"""ＶＲダーカーの巣窟"""
Area3027L#0,"""アークスシップ\u3000ＶＲ空間(ダーカーの巣窟)"""
Area3028S#0,"""ＶＲ森林\u3000"""
Area3028L#0,"""アークスシップ\u3000ＶＲ空間(森林)"""
Area3029S#0,"""ＶＲアリーナ\u3000森林\u3000"""
Area3029L#0,"""アークスシップ\u3000ＶＲ空間(ＶＲアリーナ\u3000森林)"""
Area3030S#0,"""ＶＲ地下坑道\u3000"""
Area3030L#0,"""アークスシップ\u3000ＶＲ空間(地下坑道)"""
Area3031S#0,"""ＶＲ揚陸艇"""
Area3031L#0,"""アークスシップ\u3000ＶＲ空間(揚陸艇)"""
Area3032S#0,"""ＶＲ白ノ大城塞\u3000"""
Area3032L#0,"""アークスシップ\u3000ＶＲ空間(白ノ大城塞)"""
Area3033S#0,"""ＶＲ日本近海\u3000"""
Area3033L#0,"""アークスシップ\u3000ＶＲ空間(日本近海)"""
Area3034S#0,"""ＶＲエピック砂漠"""
Area3034L#0,"""アークスシップ\u3000ＶＲ空間(エピック砂漠)"""
Area3035S#0,"""ＶＲクエント東部の平原"""
Area3035L#0,"""アークスシップ\u3000ＶＲ空間(クエント東部の平原)"""
Area3036S#0,"""ＶＲヴェルン荒野"""
Area3036L#0,"""アークスシップ\u3000ＶＲ空間(ヴェルン荒野)"""
Area3037S#0,"""ＶＲクエント城玉座の間"""
Area3037L#0,"""アークスシップ\u3000ＶＲ空間(クエント城\u3000玉座の間)"""
Area3038S#0,"""ＶＲエピック砂漠北の砦"""
Area3038L#0,"""アークスシップ\u3000ＶＲ空間(エピック砂漠\u3000北の砦)"""
Area3039S#0,"""ＶＲルイーザの湖畔"""
Area3039L#0,"""アークスシップ\u3000ＶＲ空間(ルイーザの湖畔)"""
Area3040S#0,"""ＶＲ(????)"""
Area3040L#0,"""アークスシップ\u3000ＶＲ空間(????)"""
Area3041S#0,"""ＶＲ峡谷の花園"""
Area3041L#0,"""アークスシップ\u3000ＶＲ空間(峡谷の花園)"""
Area4000S#0,"""ＶＲ幻惑の森"""
Area4000L#0,"""アークスシップ\u3000ＶＲ空間(幻惑の森)"""
Area4001S#0,"""ＶＲ市街地"""
Area4001L#0,"""アークスシップ\u3000ＶＲ空間(市街地)"""
Area4002S#0,"""ＶＲ龍祭壇"""
Area4002L#0,"""アークスシップ\u3000ＶＲ空間(龍祭壇)"""
Area4003S#0,"""ＶＲ遺跡"""
Area4003L#0,"""アークスシップ\u3000ＶＲ空間(遺跡)"""
Area4004S#0,"""ＶＲ海岸"""
Area4004L#0,"""アークスシップ\u3000ＶＲ空間(海岸)"""
Area4005S#0,"""ＶＲ峡谷"""
Area4005L#0,"""アークスシップ\u3000ＶＲ空間(峡谷)"""
Area4006S#0,"""ＶＲ採掘場跡"""
Area4006L#0,"""アークスシップ\u3000ＶＲ空間(採掘場跡)"""
Area4007S#0,"""ＶＲ浮上施設"""
Area4007L#0,"""アークスシップ\u3000ＶＲ空間(浮上施設)"""
Area4008S#0,"""ＶＲ白ノ領域"""
Area4008L#0,"""アークスシップ\u3000ＶＲ空間(白ノ領域)"""
Area4009S#0,"""ＶＲ浮上施設"""
Area4009L#0,"""アークスシップ\u3000ＶＲ空間(浮上施設)"""
Area4010S#0,"""ＶＲ壊世区域\u3000地下坑道"""
Area4010L#0,"""アークスシップ\u3000ＶＲ空間(壊世区域\u3000地下坑道)"""
Area4011S#0,"""ＶＲ採掘基地"""
Area4011L#0,"""アークスシップ\u3000ＶＲ空間(採掘基地)"""
Area4012S#0,"""ＶＲ東京"""
Area4012L#0,"""アークスシップ\u3000ＶＲ空間(東京)"""
Area4013S#0,"""ＶＲラスベガス"""
Area4013L#0,"""アークスシップ\u3000ＶＲ空間(ラスベガス)"""
Area4014S#0,"""ＶＲ壊世区域\u3000火山洞窟"""
Area4014L#0,"""アークスシップ\u3000ＶＲ空間(壊世区域\u3000火山洞窟)"""
Area4015S#0,"""ＶＲ黒ノ領域"""
Area4015L#0,"""アークスシップ\u3000ＶＲ空間(黒ノ領域)"""
Area4016S#0,"""ＶＲ火山洞窟"""
Area4016L#0,"""アークスシップ\u3000ＶＲ空間(火山洞窟)"""
Area4017S#0,"""ＶＲ採掘基地"""
Area4017L#0,"""アークスシップ\u3000ＶＲ空間(採掘基地)"""
Area4018S#0,"""ＶＲ海底"""
Area4018L#0,"""アークスシップ\u3000ＶＲ空間(海底)"""
Area4019S#0,"""ＶＲ月面\u3000"""
Area4019L#0,"""アークスシップ\u3000ＶＲ空間(月面)"""
Area4020S#0,"""ＶＲ市街地"""
Area4020L#0,"""アークスシップ\u3000ＶＲ空間(市街地)"""
Area4021S#0,"""ＶＲ魔神城周辺\u3000"""
Area4021L#0,"""アークスシップ\u3000ＶＲ空間(魔神城周辺)"""
Area4022S#0,"""ＶＲ壊世区域\u3000森林\u3000"""
Area4022L#0,"""アークスシップ\u3000ＶＲ空間(壊世区域\u3000森林)"""
Area4023S#0,"""ＶＲ(????)"""
Area4023L#0,"""アークスシップ\u3000ＶＲ空間(????)"""
Area4024S#0,"""ＶＲシップ残骸・甲板\u3000"""
Area4024L#0,"""アークスシップ\u3000ＶＲ空間(アークスシップ残骸・甲板)"""
Area4025S#0,"""ＶＲマザーシップ内部\u3000"""
Area4025L#0,"""アークスシップ\u3000ＶＲ空間(マザーシップ内部)"""
Area4026S#0,"""ＶＲ浮遊大陸\u3000"""
Area4026L#0,"""アークスシップ\u3000ＶＲ空間(浮遊大陸)"""
Area4027S#0,"""ＶＲダーカーの巣窟"""
Area4027L#0,"""アークスシップ\u3000ＶＲ空間(ダーカーの巣窟)"""
Area4028S#0,"""ＶＲ森林\u3000"""
Area4028L#0,"""アークスシップ\u3000ＶＲ空間(森林)"""
Area4029S#0,"""ＶＲアリーナ\u3000森林\u3000"""
Area4029L#0,"""アークスシップ\u3000ＶＲ空間(ＶＲアリーナ\u3000森林)"""
Area4030S#0,"""ＶＲ地下坑道\u3000"""
Area4030L#0,"""アークスシップ\u3000ＶＲ空間(地下坑道)"""
Area4031S#0,"""ＶＲ揚陸艇"""
Area4031L#0,"""アークスシップ\u3000ＶＲ空間(揚陸艇)"""
Area4032S#0,"""ＶＲ白ノ大城塞\u3000"""
Area4032L#0,"""アークスシップ\u3000ＶＲ空間(白ノ大城塞)"""
Area4033S#0,"""ＶＲ日本近海\u3000"""
Area4033L#0,"""アークスシップ\u3000ＶＲ空間(日本近海)"""
Area4034S#0,"""ＶＲエピック砂漠"""
Area4034L#0,"""アークスシップ\u3000ＶＲ空間(エピック砂漠)"""
Area4035S#0,"""ＶＲクエント東部の平原"""
Area4035L#0,"""アークスシップ\u3000ＶＲ空間(クエント東部の平原)"""
Area4036S#0,"""ＶＲヴェルン荒野"""
Area4036L#0,"""アークスシップ\u3000ＶＲ空間(ヴェルン荒野)"""
Area4037S#0,"""ＶＲクエント城玉座の間"""
Area4037L#0,"""アークスシップ\u3000ＶＲ空間(クエント城\u3000玉座の間)"""
Area4038S#0,"""ＶＲエピック砂漠北の砦"""
Area4038L#0,"""アークスシップ\u3000ＶＲ空間(エピック砂漠\u3000北の砦)"""
Area4039S#0,"""ＶＲルイーザの湖畔"""
Area4039L#0,"""アークスシップ\u3000ＶＲ空間(ルイーザの湖畔)"""
