11_voice_NPC_5162_111#0,"""何が知りたいのかな？"""
text02#2,"""空いている座席にアクセスすることで<br>ゲームにエントリーすることができます。<br>エントリー後、ゲームレートを選択します。<br>ゲームレートは支払うカジノコインが多い程<br>ゲーム内で増減するカジノコインが<br>大きくなります。<br><br>カジノコインは１ゲーム毎に清算されます。<br><br>ゲームを継続する場合は、ゲームレートを<br>選択します。<br><br>※１ゲーム毎にカードはシャッフルされます。"""
text03#2,"""［←］キーで表向きのカードの数値を<br>表示することができます。<br>［Ｅｓｃ］キーで退室することができます。<br><br>自分の手番になると選択ウィンドウが<br>表示されます。<br>選択ウィンドウに表示される<br>「ＨＩＴ（カードを引く）」<br>「ＳＴＡＹ（カードを引かない）」<br>「ＤＯＵＢＬＥ\u3000ＤＯＷＮ」の中から<br>一つを選択します。<br><br><red>※途中終了した際は、ＢＥＴの返還および<br>そのゲームの配当を得ることはできません。<c>"""
text04#2,"""<pict Sign_LEFT>で表向きのカードの数値を<br>表示することができます。<br><%MainMenu>で退室することができます。<br><br>自分の手番になると選択ウィンドウが<br>表示されます。<br>選択ウィンドウに表示される<br>「ＨＩＴ（カードを引く）」<br>「ＳＴＡY（カードを引かない）」<br>「ＤＯＵＢＬＥ\u3000ＤＯＷＮ」の中から<br>一つを選択します。<br><br><red>※途中終了した際は、ＢＥＴの返還および<br>そのゲームの配当を得ることはできません。<c>"""
text05#1,"""<pict Sign_LEFT>で表向きのカードの数値を<br>表示することができます。<br><pict Sign_CROSS>で退室することができます。<br><br>自分の手番になると選択ウィンドウが<br>表示されます。<br>選択ウィンドウに表示される<br>「ＨＩＴ（カードを引く）」<br>「ＳＴＡY（カードを引かない）」<br>「ＤＯＵＢＬＥ\u3000ＤＯＷＮ」の中から<br>一つを選択します。<br><br><red>※途中終了した際は、ＢＥＴの返還および<br>そのゲームの配当を得ることはできません。<c>"""
text06#0,"""『ＨＩＴ／ヒット』<br>カードを１枚追加することです。<br>ＨＩＴは３回まで可能です。<br><br>『ＳＴＡＹ／ステイ』<br>カードを追加しないで現在の合計点で<br>勝負することです。<br><br>『ＢＵＳＴ／バスト』<br>２１点を超えてしまうことです。<br>ＢＥＴしたカジノコインはすべて没収され<br>ます。"""
text07#0,"""『ＤＯUＢＬＥ\u3000ＤＯＷＮ／ダブルダウン』<br>最初のＨＩＴのみできるＢＥＴの増額です。<br>ＢＥＴを倍にし３枚目のカードを引きますが<br>それ以上カードを引くことはできません。<br><br><red>ＤＯＵＢＬＥ\u3000ＤＯＷＮ／ダブルダウンで<br>勝利すると高い配当が得られます。<c>"""
text08#0,"""１ゲーム終了時にはリザルト画面が表示され<br>獲得したカジノコインが清算されます。<br>勝利時には、配当の内訳が表示されます。<br>再びレートを選択することで<br>次ゲームがプレイできます。<br><br>※一定時間、選択決定がされない場合は<br>強制的に退席させられます。"""
text00#2,"""『ブラックニャック』の遊び方（応用編）について"""
text01#3,"""『ブラックニャックの攻略』<br><br>役の種類は４種類です。<br>１．ＴＨＲＥＥ\u3000ＳＰ／スリーエスピー<br>\u3000\u3000３枚のスペシャルカードを所有<br>２．５ＣＡＲＤ／ファイブカード<br>３．ＢＬＡＣＫ\u3000ＮＹＡＣＫ<br>\u3000\u3000／ブラックニャック（２１点）<br>４．ナンバー（２０以下の点数）<br><br>強さの順は、１＞２＞３＞４となります。<br><br><red>ＴＨＲＥＥ\u3000ＳＰと５ＣＡＲＤについては<br>BUSTしていないことが条件です。<c>"""
text02#3,"""『バトルボーニャス』<br><br>バトルボーニャスは突如発生する、<br>ボーナスゲームとなります。<br>ディーラーに勝利し、かつ最も手役の高い<br>プレイヤーにはボーナスが支払われます。<br>手役の高さが同じプレイヤーが複数の場合は<br>複数のプレイヤーに支払われます。<br><br>ディーラーだけでなく<br>他のプレイヤーよりも高い手を<br>目指しましょう。<br><br><red>バトルボーニャスは同時参加人数が<br>多いほど発生確率があがります。<c>"""
text03#3,"""『配当』<br><br>ＴＨＲＥＥ\u3000ＳＰ：ＢＥＴ額×５０倍<br>５CＡＲＤ：ＢＥＴ額×５倍<br>ＢＬＡＣＫ\u3000ＮＹＡＣＫ：ＢＥＴ額×３倍<br>ＷＩＮ：ＢＥＴ額×２倍<br><br>スペシャルカードを１枚、または２枚を<br>所有した状態でディーラーに勝利すると<br>所有していたスペシャルカード枚数分の<br>報酬が貰えます。<br>報酬額はＢＥＴ額に応じて変わります。<br><br>※上の画面は50CCBET時のリザルト例となります。"""
text04#3,"""<red>『ＤＯUＢＬＥ\u3000ＤＯＷＮの活用方法』<c><br><br>ＢＥＴしたカジノコインと同額を追加して<br>１枚だけカードを追加し、３枚だけで勝負を<br>します。<br>ＤＯUＢＬＥ\u3000ＤＯＷＮは<br>最初の手番のみ実行できます。<br><br>ＤＯＵＢＬＥ\u3000ＤＯＷＮで勝利すると<br>ＴＨＲＥＥ\u3000ＳＰやＢＬＡＣＫ\u3000ＮＹＡＣＫの手役が<br>成立していた場合、配当が倍になります。<br><br>最初に配られたカードの合計点が<br>１０や１１の時に狙うと良いでしょう。"""
