Category_All#0,"""すべて"""
Key_EyeLashesColor#0,"""カラー"""
Key_SkinMainColor#0,"""肌カラー"""
Key_SkinSubColor#0,"""肌の血色"""
Key_CostumeColor#0,"""カラー"""
Key_OuterWearColor1#0,"""カラー1"""
Key_OuterWearColor2#0,"""カラー2"""
Key_BaseWearColor1#0,"""カラー1"""
Key_BaseWearColor2#0,"""カラー2"""
Key_InnerWearColor1#0,"""カラー1"""
Key_InnerWearColor2#0,"""カラー2"""
Key_CastMainColor#0,"""メインカラー"""
Key_CastSubColor1#0,"""サブカラー1"""
Key_CastSubColor2#0,"""サブカラー2"""
Key_CastSubColor3#0,"""サブカラー3"""
Key_SetWearColor1#0,"""カラー1"""
Key_SetWearColor2#0,"""カラー2"""
Key_RestoreDefaultColor#0,"""デフォルトカラーに戻す"""
Key_CostumeColorFull#0,"""コスチュームカラー"""
Key_OuterWearColor1Full#0,"""アウターウェアカラー1"""
Key_OuterWearColor2Full#0,"""アウターウェアカラー2"""
Key_BaseWearColor1Full#0,"""ベースウェアカラー1"""
Key_BaseWearColor2Full#0,"""ベースウェアカラー2"""
Key_InnerWearColor1Full#0,"""インナーウェアカラー1"""
Key_InnerWearColor2Full#0,"""インナーウェアカラー2"""
Key_HairColor1Full#0,"""ヘアカラー1"""
Key_HairColor2Full#0,"""ヘアカラー2"""
Key_EyebrowsColorFull#0,"""まゆカラー"""
Key_EyeLashesColorFull#0,"""まつげカラー"""
Key_SetWearColor1Full#0,"""セットウェアカラー1"""
Key_SetWearColor2Full#0,"""セットウェアカラー2"""
Key_FullsetWearColor1Full#0,"""フルセットウェアカラー1"""
Key_FullsetWearColor2Full#0,"""フルセットウェアカラー2"""
Key_DefaultColor_Yellow#0,"""<yellow>デフォルトカラー<c>"""
Key_EyeColor_Right_Yellow#0,"""<yellow>右の瞳カラー<c>"""
Key_EyeColor_Left_Yellow#0,"""<yellow>左の瞳カラー<c>"""
Key_SkinMainColor_Yellow#0,"""<yellow>肌カラー<c>"""
Key_SkinSubColor_Yellow#0,"""<yellow>肌の血色<c>"""
Key_CastMainColor_Yellow#0,"""<yellow>メインカラー<c>"""
Key_CastSubColor1_Yellow#0,"""<yellow>サブカラー1<c>"""
Key_CastSubColor2_Yellow#0,"""<yellow>サブカラー2<c>"""
Key_CastSubColor3_Yellow#0,"""<yellow>サブカラー3<c>"""
Key_CostumeColorFull_Yellow#0,"""<yellow>コスチュームカラー<c>"""
Key_OuterWearColor1Full_Yellow#0,"""<yellow>アウターウェアカラー1<c>"""
Key_OuterWearColor2Full_Yellow#0,"""<yellow>アウターウェアカラー2<c>"""
Key_BaseWearColor1Full_Yellow#0,"""<yellow>ベースウェアカラー1<c>"""
Key_BaseWearColor2Full_Yellow#0,"""<yellow>ベースウェアカラー2<c>"""
Key_InnerWearColor1Full_Yellow#0,"""<yellow>インナーウェアカラー1<c>"""
Key_InnerWearColor2Full_Yellow#0,"""<yellow>インナーウェアカラー2<c>"""
Key_HairColor1Full_Yellow#0,"""<yellow>ヘアカラー1<c>"""
Key_HairColor2Full_Yellow#0,"""<yellow>ヘアカラー2<c>"""
Key_EyebrowsColorFull_Yellow#0,"""<yellow>まゆカラー<c>"""
Key_EyeLashesColorFull_Yellow#0,"""<yellow>まつげカラー<c>"""
Key_SetWearColor1Full_Yellow#0,"""<yellow>セットウェアカラー1<c>"""
Key_SetWearColor2Full_Yellow#0,"""<yellow>セットウェアカラー2<c>"""
Key_FullsetWearColor1Full_Yellow#0,"""<yellow>フルセットウェアカラー1<c>"""
Key_FullsetWearColor2Full_Yellow#0,"""<yellow>フルセットウェアカラー2<c>"""
Title_CategoryMenu#0,"""編集メニュー"""
Operation_CategoryMenu#0,"""決定：<%Decide>\u3000キャンセル：<%Cancel>\u3000カメラ距離変更：<swguidetype CameraLength>\u3000カメラ回転：<swguidetype CameraTurn>\u3000カメラ上下移動：<swguidetype CameraUpDown>"""
Key_Category_Preset#0,"""クリエイトデータの管理"""
Help_Category_Preset#0,"""クリエイトデータのセーブ、ロードができます。"""
Key_Category_Face#0,"""頭部の編集"""
Help_Category_Face#0,"""ヘアスタイルや瞳などの変更、調整ができます。"""
Key_Category_Body#0,"""身体の編集"""
Help_Category_Body#0,"""体型タイプの変更や、肌パターンの選択などができます。"""
Key_Category_Fashion#0,"""ファッションの編集"""
Help_Category_Fashion#0,"""レイヤリングウェアやキャストパーツ、アクセサリーなどの変更や調整ができます。"""
Key_Category_Other#0,"""その他の編集"""
Help_Category_Other#0,"""ボイスの編集や、モーションの変更などができます。"""
Key_Category_CreateData#0,"""クリエイトデータ"""
Help_Category_CreateData#0,"""クリエイトデータの保存と読み込みができます。"""
Key_Category_Test#0,"""各種テスト"""
Help_Category_Test#0,"""モーションテストやフィールドテストができます。"""
Operation_Category_Test#0,"""各種テストのメニューヘルプです。<%Decide>決定\u3000<%Cancel>キャンセル"""
Operation_EditItem#0,"""決定：<%Decide>\u3000キャンセル：<%Cancel>\u3000カメラ距離変更：<swguidetype CameraLength>\u3000カメラ回転：<swguidetype CameraTurn>\u3000カメラ上下移動：<swguidetype CameraUpDown>"""
Key_Item_FacePreset#0,"""サンプル選択"""
Help_Item_FacePreset#0,"""用意された顔パターンを選択できます。またモーフィングによる調整ができます。"""
Key_Item_BodyPreset#0,"""かんたん編集"""
Help_Item_BodyPreset#0,"""用意された体型パターンを選択できます。またモーフィングによる調整ができます。"""
Key_Item_Face#0,"""顔"""
Help_Item_Face#0,"""顔バリエーションの選択や、輪郭などの調整ができます。"""
Key_Item_HairAndHeadParts#0,"""ヘアスタイル・ヘッドパーツ"""
Help_Item_HairAndHeadParts#0,"""ヘアスタイル・ヘッドパーツの選択や、ヘアカラーの設定などができます。"""
Key_Item_Neck#0,"""首回り"""
Help_Item_Neck#0,"""首回りの調整ができます。"""
Key_Item_Eye#0,"""瞳"""
Help_Item_Eye#0,"""瞳のパターンの選択や、カラーの設定などができます。"""
Key_Item_EyeDetail#0,"""目"""
Help_Item_EyeDetail#0,"""目の形や、目じり、まぶたなどの調整ができます。"""
Key_Item_Eyebrows#0,"""まゆ"""
Help_Item_Eyebrows#0,"""まゆの選択や、カラーの設定などができます。"""
Key_Item_Eyelashes#0,"""まつげ"""
Help_Item_Eyelashes#0,"""まつげの選択や、カラーの設定などができます。"""
Key_Item_Nose#0,"""鼻"""
Help_Item_Nose#0,"""鼻のサイズと高さを調整できます。"""
Key_Item_Mouth#0,"""口"""
Key_Item_Teeth#0,"""歯・舌"""
Help_Item_Mouth#0,"""口の形の調整ができます。"""
Help_Item_Teeth#0,"""歯・舌の選択などができます。"""
Key_Item_EarAndHorn#0,"""耳・角"""
Help_Item_EarAndHorn#0,"""耳や角の選択や、調整ができます。"""
Key_Item_MakePattern#0,"""メイク・フェイスペイント"""
Help_Item_MakePattern#0,"""メイクやフェイスペイントの選択や、調整ができます。"""
Key_Item_LineOfSight#0,"""目線"""
Key_Item_BodyTypeSelect#0,"""体型タイプ選択"""
Help_Item_BodyTypeSelect#0,"""体型のタイプを変更できます。体型タイプにより他の項目で選択できる内容が変わります。"""
Key_Item_ShapeAndBreast#0,"""体型・胸部"""
Help_Item_ShapeAndBreast#0,"""体型と胸周りのバランスを調整できます。"""
Key_Item_ArmAndHand#0,"""肩・腕・手"""
Help_Item_ArmAndHand#0,"""肩と腕と手のバランスを調整できます。"""
Key_Item_WaistAndLeg#0,"""腰・脚"""
Help_Item_WaistAndLeg#0,"""腰回りと脚のバランスを調整できます。"""
Key_Item_Skin#0,"""肌"""
Help_Item_Skin#0,"""肌パターンの選択や、カラーの設定などができます。"""
Key_Item_BodyPaint#0,"""ボディペイント"""
Help_Item_BodyPaint#0,"""ボディペイントの選択や、表示順の変更ができます。"""
Key_Item_MyFashion#0,"""マイファッション"""
Help_Item_MyFashion#0,"""マイファッションの保存や選択ができます。アイテムパックにあるアイテムのみ切り替えが可能です。"""
Key_Item_Costume#0,"""コスチューム"""
Help_Item_Costume#0,"""コスチュームを選択できます。またカラーが変更できます。"""
Key_Item_Layering#0,"""レイヤリングウェア"""
Help_Item_Layering#0,"""ベースウェア、アウターウェア、インナーウェアを選択できます。またカラーが変更できます。"""
Key_Item_CastParts#0,"""キャストパーツ"""
Help_Item_CastParts#0,"""ボディパーツ、アームパーツ、レッグパーツが選択できます。またカラーリングが変更できます。"""
Key_Item_DecorationsSetting#0,"""装飾の表示設定"""
Help_Item_DecorationsSetting#0,"""ベースウェア・セットウェア・各種キャストパーツの装飾の表示設定を変更できます。"""
Key_Item_Accessory#0,"""アクセサリー"""
Help_Item_Accessory#0,"""アクセサリーの選択や、調整ができます。"""
Key_Item_Sticker#0,"""ステッカー"""
Help_Item_Sticker#0,"""ステッカーを選択できます。"""
Key_Item_Voice#0,"""ボイス編集"""
Help_Item_Voice#0,"""ボイスの選択や、ボイスピッチの変更などができます。"""
Key_Item_FacialCustom#0,"""表情カスタム"""
Help_Item_FacialCustom#0,"""表情を細かく調整できます。"""
Key_Item_MotionCustom#0,"""モーションカスタム"""
Help_Item_MotionCustom#0,"""プレイヤーのモーションを変更できます。"""
Key_Item_CreateData_Save#0,"""クリエイトデータ保存"""
Help_Item_CreateData_Save#0,"""クリエイトデータ（編集中のバックアップファイル）を保存できます。"""
Key_Item_CreateData_Load#0,"""クリエイトデータ読み込み"""
Help_Item_CreateData_Load#0,"""クリエイトデータを読み込みます。（名前順に100件まで表示）"""
Key_Item_MotionTest#0,"""モーションテスト"""
Help_Item_MotionTest#0,"""キャラクターに様々なモーションを実行させることができます。"""
Key_Item_LobbyActionTest#0,"""ロビーアクションテスト"""
Help_Item_LobbyActionTest#0,"""キャラクターに様々なロビーアクションを実行させることができます。"""
Key_Item_FieldTest#0,"""フィールドテスト"""
Help_Item_FieldTest#0,"""背景を別のフィールドに変更することができます。"""
Key_Item_LightingTest#0,"""ライティングテスト"""
Help_Item_ExpressionTest#0,"""表情テストを行うことができます。"""
Key_Item_ExpressionTest#0,"""表情テスト"""
Help_Item_LightingTest#0,"""光の当たり方を変更することができます。"""
Key_Item_Random#0,"""ランダムに作成する"""
Help_Item_Random#0,"""キャラクターをランダムに生成できます。"""
Key_Item_SyncOption#0,"""体型の自動同期設定"""
Help_Item_SyncOption#0,"""体型の自動同期設定を変更できます。"""
Key_Item_EditMotionSelect#0,"""編集中のモーション設定"""
Help_Item_EditMotionSelect#0,"""エステでのキャラクター編集中のモーションが変えられます。"""
Key_Item_MotionChange#0,"""モーション変更"""
Help_Item_MotionChange#0,"""待機中や、ジャンプ中などのモーション変更ができます。"""
Key_Item_RunMotionChange#0,"""走行モーション変更"""
Help_Item_RunMotionChange#0,"""走行モーションが変更できます。"""
Key_Item_EmoteTypeSelect#0,"""モーション基準タイプ"""
Help_Item_EmoteTypeSelect#0,"""ロビーアクションやモーションなどで、優先的に再生するタイプの変更ができます。"""
Key_Item_EstheOption#0,"""エステ内設定"""
Help_Item_EstheOption#0,"""エステ内のカメラ操作や、各調整項目上の情報表示設定ができます。"""
Key_Item_CreateData_LoadFace#0,"""顔のデータ読み込み"""
Help_Item_CreateData_LoadFace#0,"""顔のクリエイトデータを読み込みます。（名前順に100件まで表示）※肌カラーは反映しません。"""
Key_Item_FaceEditMain_Simple#0,"""顔まわり"""
Help_Item_FaceEditMain_Simple#0,"""顔バリエーションやヘアスタイル・ヘッドパーツなどが選択できます。"""
Key_Item_FaceEditSub_Simple#0,"""その他"""
Help_Item_FaceEditSub_Simple#0,"""耳や歯・舌の選択や、ヘアカラーの設定などができます。"""
Key_Item_ArmAndHand_Simple#0,"""腕・手"""
Help_Item_ArmAndHand_Simple#0,"""腕と手のバランスを調整できます。"""
Key_Item_BodyEditSub_Simple#0,"""その他"""
Help_Item_BodyEditSub_Simple#0,"""肌パターンの選択や、カラーの設定などができます。"""
Key_Item_FaceAndHead_Simple#0,"""顔・頭部"""
Help_Item_FaceAndHead_Simple#0,"""顔バリエーション、ヘアスタイル、ヘアカラーなどを設定できます。"""
Key_Item_AroundEyes_Simple#0,"""目元"""
Help_Item_AroundEyes_Simple#0,"""瞳、まゆ、まつげのパターンや、瞳のカラーを設定できます。"""
Key_Item_EarHornAndMouth_Simple#0,"""耳・角・口元"""
Help_Item_EarHornAndMouth_Simple#0,"""耳、角、歯、舌を設定できます。"""
Key_Item_ColorEdit#0,"""各カラー設定の一括管理"""
Help_Item_ColorEdit#0,"""変更可能なすべてのカラーをまとめて設定できます。"""
Key_Item_Toon#0,"""トゥーン表示設定"""
Help_Item_Toon#0,"""キャラクターやコスチュームなどの表示を、トゥーン（アニメ）調で描写するかを設定します。"""
Title_SetAccessoryList#0,"""装備中のアクセサリー"""
Param_SetAccessoryName#0,"""$(0)"""
Label_RemoveAll#0,"""全て外す"""
Label_RemoveAll_NoTag#0,"""全て外す"""
Label_Cost#0,"""コスト"""
Label_Search#0,"""検索"""
Param_Cost_Now#0,"""$(0)"""
Param_Cost_Max#0,"""$(0)"""
Label_Cost_Slash#0,"""/"""
Title_AccessorySetting#0,"""アクセサリー調整"""
Label_AccessoryAttach#0,"""アタッチ位置"""
Label_AccessoryColor1#0,"""カラー1設定"""
Label_AccessoryColor2#0,"""カラー2設定"""
Label_AccessoryPosition#0,"""位置"""
Label_AccessoryRotation#0,"""回転"""
Label_AccessorySize#0,"""サイズ"""
Label_SizeSyncMove#0,"""まとめてサイズ変更"""
Label_X#0,"""X"""
Label_Y#0,"""Y"""
Label_Z#0,"""Z"""
Title_ColorSetting#0,"""アクセサリーカラーの設定"""
Label_ZoneDefault#0,"""デフォルト設定"""
Label_ZoneSkin#0,"""肌カラー"""
Label_ZoneHair#0,"""ヘアカラー"""
Label_ZoneEye#0,"""アイカラー"""
Label_ZoneCostume#0,"""コスチュームカラー"""
Label_ZoneParts#0,"""パーツカラー"""
Title_AttachSetting#0,"""アタッチ位置の設定"""
Title_NowAttachPoint#0,"""現在の設定"""
Param_NowAttachPoint#0,"""$(0)"""
Sort_Default#0,"""標準ソート"""
Sort_Name#0,"""名前順"""
Sort_Cost#0,"""コスト順"""
Popup_Select#0,"""変更"""
Popup_Select_NoTag#0,"""変更"""
Popup_Custom#0,"""詳細設定"""
Label_Custom#0,"""詳細設定"""
Popup_Copy#0,"""コピーする"""
Popup_Paste#0,"""ペーストする"""
Popup_Remove#0,"""外す"""
Popup_Favorite#0,"""お気に入り"""
Message_CostOver#0,"""コストオーバーのため設定できません。"""
Message_NotCopied#0,"""コピー元が設定されていません。"""
Message_CopyFailed#0,"""コピーできません。"""
Button_Init#0,"""設定を初期化する"""
Button_Init_NoTag#0,"""設定を初期化する"""
Message_Init#0,"""設定を初期化します。よろしいですか？"""
Title_Init#0,"""初期化確認"""
Message_AllRemove#0,"""装備中のアクセサリーをすべて外します。<br>よろしいですか？"""
Title_AllRemoveCheck#0,"""実行確認"""
Popup_Hint#0,"""アクセサリーのコピーやペースト"""
Label_Color#0,"""カラー編集"""
Accessory_Coordinate#0,"""（X,Y,Z：$(0),$(1),$(2)）"""
Title_BodyPreset#0,"""体型プリセット編集"""
Label_BodyBaseType#0,"""体型ベースタイプ"""
Label_BodyMorphing#0,"""体型モーフィング"""
Label_HeightSlider#0,"""身長"""
Title_FacialCustom#0,"""表情カスタム"""
Label_TestButton#0,"""表情の確認"""
Label_TestButton_NoTag#0,"""表情の確認"""
Label_Pause#0,"""ストップ"""
Label_DefaultButton#0,"""デフォルトに戻す"""
Label_DefaultButton_NoTag#0,"""デフォルトに戻す"""
Label_EyeSize#0,"""黒目の大きさ"""
Label_EyebrowUpDown_Right#0,"""右まゆ頭の上下"""
Label_EyebrowUpDown_Left#0,"""左まゆ頭の上下"""
Label_EyeCornerUpDown#0,"""目じりの上下"""
Label_EyeClose_Right#0,"""右まぶたの上下"""
Label_EyeClose_Left#0,"""左まぶたの上下"""
Label_EyebrowPrompt_Right#0,"""右まゆの機嫌"""
Label_EyebrowPrompt_Left#0,"""左まゆの機嫌"""
Label_MouthUpDown_Right#0,"""右の口元の上下"""
Label_MouthUpDown_Left#0,"""左の口元の上下"""
Label_Tongue#0,"""舌の調整"""
Label_TongueHorizon#0,"""舌の左右調整"""
Label_TongueVertical#0,"""舌の上下調整"""
Label_MouthForm_A#0,"""口の形状（あ）"""
Label_MouthForm_I#0,"""口の形状（い）"""
Label_MouthForm_U#0,"""口の形状（う）"""
Label_MouthForm_E#0,"""口の形状（え）"""
Label_MouthForm_O#0,"""口の形状（お）"""
Label_EyebrowsMood_Right#0,"""まゆの機嫌（右）"""
Label_EyebrowsMood_Left#0,"""まゆの機嫌（左）"""
Title_DefaultCheck#0,"""デフォルトに戻す確認"""
Message_DefaultCheck#0,"""デフォルトに戻します。よろしいですか？"""
Label_SyncEyelib#0,"""まぶたの上下調整を同期する"""
Label_SyncEyebrowPosition#0,"""まゆげの上下調整を同期する"""
Label_SyncEyebrowMood#0,"""まゆげの機嫌調整を同期する"""
Label_SyncMouthShape#0,"""口元の上下調整を同期する"""
Title_HeadPreset#0,"""顔プリセット編集"""
Label_FaceBaseType#0,"""顔ベースタイプ"""
Label_FaceMorphing#0,"""顔モーフィング"""
Label_BaseType#0,"""顔ベースタイプ$(0)$(1)"""
Label_FaceVariation#0,"""顔バリエーションの選択"""
Label_AdjustFaceOutline#0,"""輪郭調整"""
Label_AdjustFaceParts#0,"""顔の形の調整"""
Label_HairAndHeadparts#0,"""ヘアスタイル・ヘッドパーツの選択"""
Label_HairArrange#0,"""ヘアスタイル・ヘッドパーツ調整"""
Label_HairColor#0,"""ヘアカラー設定"""
Label_EyePattern_Right#0,"""右の瞳パターンの選択"""
Label_EyePattern_Left#0,"""左の瞳パターンの選択"""
Label_SyncEye#0,"""右目と左目の同期"""
Label_SyncEyeText#0,"""右の瞳カラーに左の瞳を同期させる"""
Label_EyeColor#0,"""瞳カラー設定"""
Label_AdjustEye#0,"""目の形の調整"""
Label_Eyebrows#0,"""まゆの選択"""
Label_SyncEyebrows#0,"""まゆのカラー同期設定"""
Label_SyncEyebrowsText#0,"""ヘアカラー１の色に同期させる"""
Label_EyebrowsColor#0,"""まゆのカラー設定"""
Label_EyebrowsAlpha#0,"""まゆの濃さ"""
Label_EyeLashes#0,"""まつげの選択"""
Label_SyncEyeLashes#0,"""まつげのカラー同期設定"""
Label_SyncEyeLashesText#0,"""ヘアカラー１の色に同期させる"""
Label_EyeLashesColor#0,"""まつげのカラー設定"""
Label_AdjustNoseSize#0,"""鼻のサイズ調整"""
Label_AdjustNoseHeight#0,"""鼻の高さ調整"""
Label_Tooth#0,"""歯・舌の選択"""
Label_Mouth#0,"""口の形の調整"""
Label_Ear#0,"""耳の選択"""
Label_AdjustEar#0,"""耳の形の調整"""
Label_Horn#0,"""角の選択"""
Label_AdjustHorn#0,"""角の形の調整"""
Label_MakePattern1#0,"""メイク・フェイスペイント1の選択"""
Label_MakePattern2#0,"""メイク・フェイスペイント2の選択"""
Label_AdjustLineOfSight#0,"""目線の調整"""
Label_AdjustEyeSize#0,"""瞳のサイズ調整"""
Label_AdjustEyePosition#0,"""瞳の左右位置調整"""
Label_AdjustNeckAngle#0,"""首の角度調整"""
Label_AdjustBody#0,"""体型の調整"""
Label_AdjustNeck#0,"""首回りの調整"""
Label_AdjustBust#0,"""胸部の調整"""
Label_UpperArmMuscle#0,"""肩のボリューム"""
Label_AdjustArm#0,"""腕の調整"""
Label_AdjustHand#0,"""手の調整"""
Label_AdjustWaist#0,"""腰の調整"""
Label_AdjustLeg#0,"""脚の調整"""
Label_Skin#0,"""肌パターンの選択"""
Label_SkinColor#0,"""肌のカラー設定"""
Label_SSS#0,"""肌サブカラー強度"""
Label_SkinGloss#0,"""ツヤの調整"""
Label_Muscle#0,"""筋肉量の調整"""
Label_BodyPaint1#0,"""ボディペイント1の選択"""
Label_BodyPaint2#0,"""ボディペイント2の選択"""
Label_BodyPaintLayer#0,"""ボディペイント表示順の変更"""
Label_LayerPriority1#0,"""優先度1"""
Label_LayerPriority2#0,"""優先度2"""
Label_LayerPriority3#0,"""優先度3"""
DropdownItem_BodyPaint1#0,"""ボディペイント1"""
DropdownItem_BodyPaint2#0,"""ボディペイント2"""
DropdownItem_Inner#0,"""インナーウェア"""
Label_Costume#0,"""コスチューム選択"""
Label_CostumeColor#0,"""コスチュームカラー設定"""
Label_OuterWear#0,"""アウターウェア選択"""
Label_OuterWearColor#0,"""アウターウェアカラー設定"""
Label_BaseWear#0,"""ベースウェア・セットウェア選択"""
Label_BaseWearColor#0,"""ベースウェアカラー設定"""
Label_InnerWear#0,"""インナーウェア選択"""
Label_InnerWearColor#0,"""インナーウェアカラー設定"""
Label_BodyParts#0,"""ボディパーツ選択"""
Label_ArmParts#0,"""アームパーツ選択"""
Label_LegParts#0,"""レッグパーツ選択"""
Label_PartsColor#0,"""パーツカラー設定"""
Label_PartsColorSync#0,"""カラー同期設定"""
Label_Sticker#0,"""ステッカー選択"""
Label_LipPosition#0,"""口の上下位置調整"""
Label_EyebrowPosition#0,"""まゆの左右位置調整"""
Label_EyeVerticalPosition#0,"""黒目の上下位置調整"""
Label_MakePatternDensity#0,"""メイクパターン1の濃淡"""
Label_MakePatternDensity2#0,"""メイクパターン2の濃淡"""
Label_Shoudler#0,"""肩の上下位置調整"""
Label_Thigh#0,"""太ももの調整"""
Label_Calf#0,"""ふくらはぎの調整"""
Label_UpperArm#0,"""前腕の調整"""
Label_HandThickness#0,"""手の厚み"""
Label_FootSize#0,"""足のサイズ"""
Label_SyncHairColor#0,"""ヘアカラーの同期設定"""
Label_SyncHairColorText#0,"""ヘアカラー1と2を同期させる"""
Label_SwitchBasewearParts#0,"""ベース／セットウェアの装飾表示設定"""
Label_SwitchBasewearPartsText1#0,"""ベース／セットウェアの装飾1を非表示"""
Label_SwitchBasewearPartsText2#0,"""ベース／セットウェアの装飾2を非表示"""
Label_SwitchCastParts#0,"""キャストパーツの装飾表示設定"""
Label_SwitchHeadPartsHideText#0,"""ヘッドパーツの装飾を非表示"""
Label_SwitchBodyPartsHideText#0,"""ボディパーツの装飾を非表示"""
Label_SwitchArmHideText#0,"""アームパーツの装飾を非表示"""
Label_SwitchLegHideText#0,"""レッグパーツの装飾を非表示"""
Label_SwitchOuterwear#0,"""アウターウェアの装飾表示設定"""
Label_SwitchOuterHide#0,"""アウターウェアの装飾を非表示"""
Label_SwitchHead#0,"""頭部の装飾表示設定"""
Label_SwitchHeadHide#0,"""頭部の装飾を非表示"""
Label_SwitchFace#0,"""顔バリエーションの装飾表示設定"""
Label_SwitchFaceHide#0,"""顔バリエーションの装飾を非表示"""
Label_SwitchInner#0,"""インナーウェアの表示設定"""
Label_SwitchInnerHide#0,"""インナーウェアを非表示"""
Label_SyncEyelib#1,"""まぶたの同期設定"""
Label_SyncEyebrow#0,"""まゆの形状同期設定"""
Label_SyncMouthShape#1,"""口元の同期設定"""
Label_Detail#0,"""詳細情報"""
Label_SyncBodyOption#0,"""体型自動同期の設定"""
Label_SyncBodyCast#0,"""全体型タイプの同期"""
Label_SyncBodyCastExplain#0,"""ヒト型とキャスト型の体型は<br>同じ設定でも、見た目の差が生じます。<br>この設定をONにすると体型に関わる<br>編集項目を同期させることができます。"""
Label_SyncBodyClassic#0,"""両モデルの同期"""
Label_SyncBodyClassicExplain#0,"""『PSO2：NGS』と『PSO2』のモデルでは<br>編集項目が変わります。<br>この設定をONにすると体型に関わる<br>編集項目を同期させることができます。"""
Label_SetWearColor#0,"""セットウェアカラー設定"""
Label_FullsetWearColor#0,"""フルセットウェアカラー設定"""
Label_AccessorySelect#0,"""アクセサリー$(0)選択"""
Label_AccessoryPosition#1,"""アクセサリー$(0)位置調整"""
Label_AccessoryAngle#0,"""アクセサリー$(0)角度調整"""
Label_AccessorySize#1,"""アクセサリー$(0)サイズ調整"""
Label_AccessoryAttach#1,"""アクセサリー$(0)アタッチ位置"""
Label_AccessoryColor#0,"""アクセサリー$(0)カラー同期先"""
Label_MotionChangeSelectRun#0,"""モーション：移動"""
Label_MotionChangeSelectSwim#0,"""モーション：泳ぐ"""
Label_MotionChangeSelectDash#0,"""モーション：ダッシュ"""
Label_MotionChangeSelectGlide#0,"""モーション：グライド"""
Label_MotionChangeSelectLanding#0,"""モーション：着地"""
Label_MotionChangeSelectWait#0,"""モーション：待機"""
Label_MotionChangeSelectJump#0,"""モーション：ジャンプ"""
Label_EstheOption#0,"""カメラ操作の方向設定"""
Label_EstheOptionCameraHRotate#0,"""カメラ回転方向の左右反転"""
Label_EstheOptionCameraVRotate#0,"""カメラ回転方向の上下反転"""
