11_voice_NPC_5091_100#0,"""啊啊，是前輩啊。<br>你來得正好。"""
Alice_01_60#1,"""なにせ、おれ自身がデューマンっていう<br>ちょっと変わり者な感じだからな。<br>そんな贅沢は言ってられないさ。"""
Alice_01_70#1,"""それに、そういう好きになるってのは<br>きっと種族とか見た目とか関係なくて<br>導かれるように……"""
Alice_01_80#1,"""……って、おれは何言ってるんだ！<br>センパイ、今のなし！\u3000今のダメ！<br>忘れてくれ、恥ずかしい……"""
11_voice_NPC_5091_104#0,"""最近很少看到<br>魔人耶。<br>......大家都出擊了嗎？"""
11_voice_NPC_5091_104#1,"""このあたりには、あんまり<br>デューマンがいないか。<br>……みんな出撃中かな？"""
11_voice_NPC_5091_105#0,"""附近好多很高的人，<br>脖子好痠啊。"""
Npc91_mb02_020#0,"""真希望自己<br>能再長高一點......。"""
11_voice_NPC_5091_105#1,"""まわりに背の高い人が多くて<br>首が疲れるな。"""
Npc91_mb02_020#1,"""あと少しで良いから<br>背が欲しかった……かも。"""
11_voice_NPC_5091_104#2,"""我不會因為身為魔人<br>而自卑，但是<br>我有時還是會在意別人的眼光。"""
Npc91_mb03_020#0,"""現在我或許可以用帽子<br>把角遮起來。"""
11_voice_NPC_5091_104#3,"""デューマンであることに<br>負い目があったりはしないけど<br>時々、視線は気になるかな。"""
Npc91_mb03_020#1,"""さしあたって、ツノぐらいは<br>帽子とかで隠してみてもいいかもな。"""
11_voice_NPC_5091_104#4,"""帽子？\u3000喔喔，我馬上就放棄了。<br>因為戴上帽子反而顯眼。"""
Npc91_mb04_020#0,"""我不在乎別人的眼光，但是<br>看到別人盯著我看的表情，<br>......讓我很困擾。"""
11_voice_NPC_5091_104#5,"""帽子？\u3000ああ、すぐやめたよ。<br>逆に目立ってしまってたまらない。"""
Npc91_mb04_020#1,"""注目されるのは別に良いけど<br>うっとりしたような表情で見られるのは<br>……流石にちょっと困るな。"""
11_voice_NPC_5091_100#2,"""......突然有一個陌生人<br>找我說話，結果他說了一堆<br>有關流行時尚的話題。看來"""
Npc91_mb05_020#0,"""美麗並不能在稀有的東西上<br>找到。<br>......我是不是太過主觀了？"""
11_voice_NPC_5091_100#3,"""……この前、いきなり見ず知らずの人に<br>話しかけられて、ファッションの話を<br>延々とされちゃったよ。綺麗、ってさ。"""
Npc91_mb05_020#1,"""別に物珍しさで見られてるって<br>わけじゃなかったみたいだ。<br>……ちょっと自意識過剰だったかな。"""
11_voice_NPC_5091_100#4,"""不要模仿很強的人的動作。<br>自己慢慢摸索出該怎麼做，<br>這樣才有樂趣啊。"""
Npc91_mb06_020#0,"""強者也經歷過生疏的時期啊，<br>一想到從生疏鍛鍊到強大，<br>就會讓人覺得充滿了拼勁。"""
11_voice_NPC_5091_100#5,"""強い人の動きは参考になるよな。<br>どうやってるのか、少しずつ<br>わかってくるのも、楽しい。"""
Npc91_mb06_020#1,"""そういう人にも未熟だった時期があって<br>そこから上達したって考えると<br>なおさらやる気も出てくるしな。"""
11_voice_NPC_5091_100#6,"""我並不想變強。<br>只是如果讓自己一直很弱，"""
11_voice_NPC_5091_100#7,"""おれは強くなろうとは思ってないんだ。<br>ただ、弱いままでいたくないだけ。"""
11_voice_NPC_5091_104#6,"""身邊就會圍繞著討人厭的氣氛。<br>這件事我也知道啊。"""
11_voice_NPC_5091_104#7,"""イヤな雰囲気が漂ってるな。<br>おれでもわかるぐらいだよ、これは。"""
11_voice_NPC_5091_106#0,"""那就是......黑暗法爾斯啊。<br>比想像中還要強啊。"""
Npc91_mb09_020#0,"""而且聽說這樣的傷亡<br>還算輕微的呢？<br>真是受不了啊。"""
11_voice_NPC_5091_106#1,"""あれが……ダークファルスか。<br>想像以上だったな。"""
Npc91_mb09_020#1,"""しかもあれで被害が少ない方って<br>話なんだろ？<br>たまらないな、まったく。"""
11_voice_NPC_5091_104#8,"""雖然大家都在談論暴走龍，<br>但我卻很少遇到。<br>看來牠們不是很常出現？"""
Npc91_mb10_020#0,"""既然它們正在暴走，那應該會襲擊<br>每一個所到之處不是嗎？"""
11_voice_NPC_5091_104#9,"""暴走龍っていうのが話題になってるけど<br>おれはろくに会わないから<br>どうにもしっくりこないんだよな。"""
Npc91_mb10_020#1,"""暴走してるんなら、もっと行く先々で<br>襲ってきそうなもんだろ？"""
11_voice_NPC_5091_104#10,"""戰技大會？<br>我沒什麼興趣耶。<br>我在旁邊觀摩就好了。"""
Npc91_mb11_020#0,"""我不喜歡引人注目。"""
11_voice_NPC_5091_104#11,"""戦技大会？<br>あんまり興味はないかな。<br>おれはいち見学者でいいよ。"""
Npc91_mb11_020#1,"""目立つの、あんまり好きじゃないから。"""
11_voice_NPC_5091_100#8,"""我們魔人在防禦上<br>比較脆弱，所以組隊<br>戰鬥比較安全。"""
Npc91_mb12_020#0,"""......雖然幾乎都單獨行動的我，<br>沒資格這樣說。"""
11_voice_NPC_5091_100#9,"""おれたちデューマンは防御面に<br>若干不安があるから、パーティーを<br>組んだほうが戦いやすいぜ。"""
Npc91_mb12_020#1,"""……ほとんどソロで動いてるおれが<br>言えた義理じゃないけどな。"""
11_voice_NPC_5091_100#10,"""我為何獨來獨往？<br>因為這樣比較輕鬆啊。"""
Npc91_mb13_020#0,"""我並沒有討厭其他人啦。<br>只要其他人有需要，我一定會出手幫助。<br>說話這件事並不可怕。"""
Npc91_mb13_030#0,"""但是自己主動說話，<br>......會讓我覺得很害羞。"""
11_voice_NPC_5091_100#11,"""一人でいる理由？<br>だって、その方が気が楽じゃん。"""
Npc91_mb13_020#1,"""べつに他人が嫌いってわけじゃないぜ。<br>必要ならちゃんと協力するし<br>話すのが怖いってわけじゃない。"""
Npc91_mb13_030#1,"""ただ、自分から話しかけるのって<br>……なんだか照れくさいだろ。"""
11_voice_NPC_5091_104#12,"""前輩常常跟各種人在對話呢。<br>感覺在ARKS內也有很多朋友。"""
Npc91_mb14_020#0,"""雖然一個人很輕鬆<br>但偶爾也會覺得寂寞......<br>有點羨慕呢。"""
Npc91_mb14_030#0,"""......怎麼了，那種臉。<br>不會被罵了吧?啊啊原來如此，我也是這麼想!"""
11_voice_NPC_5091_104#13,"""センパイはさ、よくいろんな人と<br>話していたりするよな。<br>アークス内の知り合いも多い感じだし。"""
Npc91_mb14_020#1,"""一人だと気は楽だけど<br>ときどき、さびしかったりもするから<br>……ちょっと羨ましくもある。"""
Npc91_mb14_030#1,"""……なんだよ、その顔。<br>おれらしくないって？\u3000ああ、ああ<br>その通りだと、おれも思うよ！"""
11_voice_NPC_5091_104#14,"""要我和其他ARKS交流？<br>不用啦不用啦，那種事。<br>我不擅長人際關係。"""
Npc91_mb15_020#0,"""我又不是特別想交朋友<br>才進ARKS的。<br>只要最低限度的來往就足夠了。"""
Npc91_mb15_030#0,"""而且這次是前輩<br>特意來找我搭話的對吧。"""
11_voice_NPC_5091_104#15,"""もっと他のアークスと交流を、って？<br>いい、いいよ、そういうのは。<br>おれはそういうの、向いてない。"""
Npc91_mb15_020#1,"""おれは別に友達を作りたくて<br>アークスになったわけでもないんだ。<br>そういう交流は、最低限で十分。"""
Npc91_mb15_030#1,"""それに今は、センパイが<br>おれに話しかけてきてくれるだろ。"""
11_voice_NPC_5091_105#2,"""……感到一股不好的預感。<br>你問我我也不好說，<br>就是強烈地感到一股不好的預感。"""
Npc91_mb16_020#0,"""……前輩沒事吧。<br>你可不要突然死掉唷？"""
Npc91_mb16_030#0,"""難得我們才變得能夠談天說地的，<br>如果你走了的話……我會很困擾。"""
11_voice_NPC_5091_105#3,"""……イヤな予感がするんだ。<br>何が、って言われると困るけど<br>はっきりと、イヤな感じがする。"""
Npc91_mb16_020#1,"""……センパイは、大丈夫だよな。<br>急にいなくなったりしないでくれよ？"""
Npc91_mb16_030#1,"""折角いろいろ話せるようになったのに<br>いきなりいなくなられると……困る。"""
11_voice_NPC_5091_100#12,"""……啊！<br>前輩，你沒事啊！<br>太好了。"""
Npc91_mb16zeno_020#0,"""哈哈……怎麼說，<br>總算放下心來，所以無力了。<br>可以安心了。<br>"""
Npc91_mb16zeno_030#0,"""前輩……真是辛苦你了。<br>能再見到你，和你說話，<br>……我很高興。"""
11_voice_NPC_5091_100#13,"""……あ！<br>センパイ、無事だったんだな！<br>よかった……"""
Npc91_mb16zeno_020#1,"""ははっ……なんていうか、やっと<br>ほっとして、力が抜けたよ。<br>安心できた、って言うのかな。"""
Npc91_mb16zeno_030#1,"""センパイ……本当にお疲れさま。<br>こうしてまた会えて、話せて<br>……おれは嬉しい。"""
