st_056220_0010#0,"""啊……啊啊啊啊！<br>該死的該死的，竟然敢<br>傷害……美麗的我！"""
st_056220_0260#0,"""就只是被利用<br>利用之後就消失了……<br>我可沒辦法接受這個。"""
st_056220_0270#0,"""……嗯。<br>只是被利用了<br>和你不合呢。"""
st_056220_0280#0,"""不過，你是明白的吧？<br>瑪露嘉蕾妲？"""
st_056220_0290#0,"""我要是回到你的身體裏的話<br>會像剛才一樣<br>我又會掌握主導權哦？"""
st_056220_0300#0,"""嘖！ 那不就沒意義了嘛！<br>沒有其他辦法了麼？"""
st_056220_0310#0,"""我來想辦法"""
st_056220_0320#0,"""要不【若人】來我這裏"""
st_056220_0330#0,"""吸收掉瞎眼王……？<br>守護輝士連這種事 <br>都能辦到麼？"""
st_056220_0340#0,"""老實說，在我們看來也是不怎麼好<br>沒辦法。"""
st_056220_0350#0,"""那個小妹妹的能力就不說了<br>你有超越了異質的什麼？<br>爲什麼能做到這種事？"""
st_056220_0360#0,"""嘛，沒辦法。<br>快回去吧<br>瑪露嘉蕾妲。"""
st_056220_0370#0,"""不趕快的話<br>身體和靈魂就完全分離了<br>回不去了哦？"""
st_056220_0380#0,"""……最後<br>有一件想問的事。"""
st_056220_0390#0,"""是什麼？"""
st_056220_0400#0,"""有什麼，是我所必須的麼？"""
st_056220_0410#0,"""……誰知道。<br>自己想吧，小鬼頭。"""
st_056220_0420#0,"""……什麼啊。<br>並不是爲了<br>那孩子操心。"""
st_056220_0430#0,"""我也是有目的的。<br>爲了向不規矩的<br>利用了我的人降下懲罰。"""
st_056220_0440#0,"""是選擇奪取那個孩子的身體<br>還是協助你<br>我只是選擇了之中更有效率的一個選擇。"""
st_056220_0450#0,"""真不坦率"""
st_056220_0460#0,"""這樣可以的話也行"""
st_056220_0470#0,"""……！ 煩死了！<br>你在跟誰用什麼口氣說話啊？"""
st_056220_0480#0,"""並不需要我們串通一氣。<br>我的力量，你的身體<br>爲了共同的目的，僅此而已！"""
st_056220_0490#0,"""明白了？ 僅此而已。"""
st_056220_0500#0,"""……啊啊夠了，談話終止！<br>你也趕快回去！"""
st_056220_0510#0,"""<%me>桑！<br>哈莉艾特桑！<br>還好麼！？"""
st_056220_0520#0,"""……我沒事。"""
st_056220_0530#0,"""……我也沒事"""
st_056220_0540#0,"""還是看看……"""
st_056220_0550#0,"""看起來已經恢復原狀了<br>迄今爲止被附身的人，大家都……"""
st_056220_0560#0,"""……哥哥也是。<br>被光包裹着，然後消失了。"""
st_056220_0570#0,"""啊啊，瑪露嘉蕾妲大人……！"""
st_056220_0580#0,"""怎麼會，就這樣分離……！<br>再說說話啊！<br>讓我看看了不起的樣子！"""
st_056220_0590#0,"""<%me>桑？"""
st_056220_0600#0,"""把臉靠近"""
st_056220_0610#0,"""揮舞拳頭"""
st_056220_0620#0,"""難、難難難、難道難道！<br>嘴對嘴轉移生命力！？"""
st_056220_0630#0,"""那、那種事做得到麼！？"""
st_056220_0640#0,"""做、做做做做做做什麼啊！<br>不是，是要做什麼！<br>不敬啊不敬！"""
st_056220_0650#0,"""<%me>桑？<br>難道，準備來一發<br>打醒麼！？"""
st_056220_0660#0,"""太、太可憐了！<br>但是，只有這個方法的話……<br>只能這麼做了吧？"""
st_056220_0670#0,"""等、等等等一下！<br>竟然想要打睡覺的人，已經超越不敬了<br>完全是違背人道了啊！？"""
st_056220_0680#0,"""啊。"""
st_056220_0690#0,"""啊哈哈ー……<br>早、早上ー好。<br>那麼，我去洗臉了。"""
st_056220_0700#0,"""幹嘛啊幹嘛啊！<br>稍微開一個玩笑而已<br>大家都太小氣了啊！"""
st_056220_0710#0,"""開玩笑也有限度！<br>竟然爲了演出都用上了法術<br>……快把我們的眼淚還給我們！"""
st_056220_0720#0,"""本來我也沒有要死的意思ー！<br>我可是神王！ 神的代言人！<br>沒有神的許可怎麼會死！"""
st_056220_0730#0,"""而且，我也說過淚水<br>是不需要的吧？<br>笑的話就不會死了。"""
st_056220_0740#0,"""但是……<br>能開玩笑真是太好了。"""
st_056220_0750#0,"""這樣才可以<br>再次和瑪露嘉蕾妲相遇。"""
st_056220_0760#0,"""喔，喔……這樣啊。<br>……唔嗯，有點兒太調皮了呢。"""
st_056220_0770#0,"""嘛，還有必須得做的事。<br>被敬仰，被信仰才是神。"""
st_056220_0780#0,"""守護輝士<%me>大人。<br>雪拉大人。<br>昆特王，哈莉艾特大人。"""
st_056220_0790#0,"""在艾匹克迎來未曾遭遇的危機之時<br>雖然不是神所庇護的人<br>但是像神的代理一樣盡力，非常感謝！"""
st_056220_0800#0,"""……怎麼樣！<br>就算是我，也能做到這種事的喲！"""
st_056220_0810#0,"""……啊啊，在聽到最後的那句話時<br>才意識到，這才是瑪露桑啊。"""
st_056220_0820#0,"""什麼意思啊妖精！"""
st_056220_0830#0,"""平時的瑪露桑<br>完全沒有王的樣子的意思！"""
st_056220_0840#0,"""妖・精ー！"""
st_056220_0850#0,"""身體沒異常吧？"""
st_056220_0860#0,"""有什麼感覺不舒服的地方麼？"""
st_056220_0870#0,"""……嗯。<br>我沒覺得<br>有什麼奇怪的地方。"""
st_056220_0880#0,"""但是，真不可思議。<br>不只是沒有感覺異常的地方。<br>反而感覺更好了。"""
st_056220_0890#0,"""比起這個，附身於瑪露嘉蕾妲<br>的黑影去哪裏了……？"""
st_056220_0900#0,"""……至少這裏感覺不到了。<br>不過，擁有那麼強大的力量<br>很可能在其他地方聚集成形。"""
st_056220_0910#0,"""還是有不好的感覺。<br>必須要加強周圍的警戒了。"""
st_056220_0920#0,"""啊ー，忙死了忙死了。<br>我真是勤勞的人。"""
st_056220_0930#0,"""都到這一步了，我們也要一起同甘共苦。<br>你們也要幹活咯。<br>守護輝士，昆特王。"""
name01#0,"""【若人】"""
name02#0,"""？？？"""
