EnemyWeak#0,"""こ、このぐらいの敵なら<br>わたしでもなんとか……"""
QuestEnd2#0,"""先輩のおかげです！"""
IncidentStart#0,"""な、なんでしょうか、これ"""
IncidentSuccess#0,"""せ、先輩がいてくれてよかったです<br>ひとりだったらどうなってたか……"""
IncidentFailure#0,"""す、すみません……<br>わたしの手際が悪くて……"""
PSE#0,"""えっと、これってもしかして<br>ＰＳＥってやつですか？"""
PSELevelUp#0,"""すごい、すごい！<br>資料で見たとおりです！"""
PSEBurst#0,"""これがＰＳＥバースト……<br>すごい……想像以上です！"""
HP30#0,"""ううっ、ま、まだまだ……"""
HP10#0,"""……これ以上は無理です"""
ItemRare#0,"""それって、いいものですよね！"""
DamageSmall#0,"""きゃっ！"""
DamageMiddle#0,"""痛っ！"""
DamageLarge#0,"""やだぁっ！"""
Trap#0,"""そ、そんな……<br>こんなところに罠なんて……！"""
ThankTrapRescue#0,"""あ、ありがとうございます！"""
TrapRescueOther#0,"""だ、だいじょうぶですか！？"""
MemberDamaged#0,"""か、回復をっ！"""
MemberDead#0,"""そ、そんな……<br>こんなことって……！"""
AbilityExe#0,"""/toge 身体が軽いです<br>いまなら、わたしでも！"""
AbilitySpecial#0,"""/toge 任せてください！"""
Resurrect#0,"""もう少しだけ、がんばります！"""
PartyJoin#0,"""/ci1 1 わわ、がんばらなくっちゃ……！"""
Marvelous#0,"""わたしもがんばりますね、先輩！"""
IncidentJsApcBegin#0,"""/mn2 /ci4 3 せ、先輩っ！<br>すみません、助けて下さい！<br>敵がいっぱいやってきてて……！"""
IncidentJsApcFailure#0,"""/mn7 うう……すみません……<br>これ以上は無理です……"""
IncidentJsApcSuccess#0,"""/mn15 /ci2 1 ふぅ、なんとかなりました……<br>先輩、ありがとうございました！"""
IncidentJsApcBeginEvo#0,"""/mn2 /ci4 3 わわっ、わわわっ……！<br>なんだか、また出てくる気配が……"""
EnemyWeak#1,"""これなら、自分でも<br>なんとかなりそうです！"""
EnemyLarge#1,"""すごく……大きい！"""
EnemyBoss#1,"""この迫力！<br>真打ち登場、ですね！"""
EnemyRare#1,"""ああっ、あれはっ！<br>先生、珍しいヤツですよ！"""
EnemyBoost#1,"""この雰囲気は……<br>やばいヤツでしょうか！"""
DestroyEnemy1#1,"""決まったっ！"""
DestroyEnemy2#1,"""やりましたっ！"""
DestroyEnemy3#1,"""さあ、次だっ！"""
CondFreeze#1,"""うっ……凍結……！？"""
CondBurn#1,"""うっ……燃焼……！？"""
CondShock#1,"""うっ……感電……！？"""
CondPoison#1,"""うっ……毒……！？"""
CondPanic#1,"""うっ……頭が……"""
CondStan#1,"""うっ……身体が……"""
CondMirage#1,"""うっ……視界が……"""
Die#1,"""まだ、終わるわけには……"""
ThankHeal#1,"""ありがとうございます！"""
ThankBuff#1,"""すばらしい判断です！"""
ThankCure#1,"""お手数をおかけします！"""
DefeatEnemy#1,"""ふぅ……<br>なんとかなりましたね、先生！"""
LevelUp#1,"""自分、一生ついて行きます！"""
InvokeSkill1#1,"""必ッ！\u3000殺ぅッ！"""
InvokeSkill2#1,"""おおりゃああああっ！"""
InvokeSkill3#1,"""自分が決めてみせますっ！"""
PBFull#1,"""準備万端、今がその時、です！"""
PBRelease#1,"""みなぎってきたぁーッ！"""
TacticsFree#1,"""自分、自由にやらせてもらいます！"""
TacticsGuard#1,"""自分、守りを固めます！"""
TacticsMassedAttack#1,"""自分、一点集中で攻めます！"""
TacticsAttack#1,"""自分が敵を引きつけます！"""
Avoid#1,"""はあっ！"""
HealSelf#1,"""回復しないと！"""
BuffSelf#1,"""補助を忘れてた！"""
HealOther#1,"""回復します！"""
BuffOther#1,"""自分が補助を！"""
QuestStart1#1,"""燃えてきました！<br>行きましょうっ！"""
QuestStart2#1,"""自分、精一杯がんばります！"""
QuestEnd1#1,"""先生、終わりましたね！"""
QuestEnd2#1,"""さすがは先生！<br>お見事としか言いようがありません！"""
IncidentStart#1,"""おおおっ！？<br>何かが起こるようですねっ！"""
IncidentSuccess#1,"""やりましたよ先生！<br>成功ですっ！"""
IncidentFailure#1,"""……すみません<br>自分がふがいないばかりに……"""
PSE#1,"""おおっ！<br>もしやこれがＰＳＥ……！"""
PSELevelUp#1,"""先生！<br>この調子でどんどん続けましょう！"""
PSEBurst#1,"""これが最終段階……<br>まさかこの目で見られるとは！"""
HP30#1,"""まだまだっ！"""
HP10#1,"""こ、これ以上はさすがに……"""
ItemRare#1,"""先生、それはいいものですね！"""
DamageSmall#1,"""やるっ！"""
DamageMiddle#1,"""ぐぅっ！"""
DamageLarge#1,"""うぁっ！"""
Trap#1,"""迂闊！<br>こんなところに罠とは！"""
ThankTrapRescue#1,"""助かります！"""
TrapRescueOther#1,"""大丈夫ですか！"""
MemberDamaged#1,"""無理をなさらぬよう！"""
MemberDead#1,"""……こんなことは<br>許されない！"""
AbilityExe#1,"""/toge 身体が軽い！"""
AbilitySpecial#1,"""/toge 自分が行きます！"""
Resurrect#1,"""ド根性ぉぉぉーーッ！"""
PartyJoin#1,"""/ci1 1 任せてください、先生っ！"""
Marvelous#1,"""先生、さすがですっ！"""
IncidentJsApcBegin#1,"""/ci2 1 せ、先生！<br>自分一人では厳しい状況です！<br>すみませんが手を貸して下さい！"""
IncidentJsApcFailure#1,"""……先生、申し訳ありません。<br>自分、先に退かせてもらいます"""
IncidentJsApcSuccess#1,"""/ci2 1 やりましたっ！<br>なんとか撃退完了です！<br>先生のおかげですよ！"""
IncidentJsApcBeginEvo#1,"""むむっ、おおおっ！<br>新しい気配がっ！<br>先生、まだ終わりじゃないみたいです！"""
EnemyWeak#2,"""まとめて吹き飛ばしてやる！"""
EnemyLarge#2,"""大きさなんて関係ない！<br>まとめて吹っ飛ばーす！"""
EnemyBoss#2,"""強敵だな！<br>私に任せておけ！"""
EnemyRare#2,"""ん、あいつ……珍しいヤツだ！"""
EnemyBoost#2,"""この気配……危ないヤツだ。<br>無理せず連携していくぞ！"""
DestroyEnemy1#2,"""決まりだ！"""
DestroyEnemy2#2,"""美しいだろう！"""
DestroyEnemy3#2,"""みとれてもいいぞ！"""
CondFreeze#2,"""冷たい、冷たいぞ！<br>おのれっ！"""
CondBurn#2,"""熱い！\u3000熱いな！\u3000くそっ！"""
CondShock#2,"""痺れるぞ！\u3000なんだこれは！"""
CondPoison#2,"""毒か……ううっ、気持ち悪い"""
CondPanic#2,"""混乱してても<br>全部吹き飛ばせば問題ない！"""
CondStan#2,"""う、動けないぞ……なんだこれは！"""
CondMirage#2,"""視界がおかしいぞ！<br>なんだこれは！"""
Die#2,"""まだみんな、戦ってるのに……私は……"""
ThankHeal#2,"""ありがと、助かったぞ！"""
ThankBuff#2,"""ありがと、感謝するぞ！"""
ThankCure#2,"""おおっ、気分爽快だぞ！"""
DefeatEnemy#2,"""ふふん、これで終わりだな！"""
LevelUp#2,"""ふん、私はもっと強い！"""
TechFire#1,"""全部まとめて燃やし尽くす！"""
PBFull#2,"""そのぐらいにしておけよ、貴様！"""
PBRelease#2,"""私は負けない！<br>私が持つ、この名にかけて！"""
TacticsFree#2,"""それでは私は自由にやるぞ！"""
TacticsGuard#2,"""えー、守るのはつまらない……"""
TacticsMassedAttack#2,"""集中的に、執拗に、燃やしてやる！"""
Avoid#2,"""みえみえだ！"""
HealSelf#2,"""いっきに回復だっ！"""
BuffSelf#2,"""補助だって出来る！"""
HealOther#2,"""貴様、回復を忘れてどうする！"""
BuffOther#2,"""貴様、補助を忘れるな！"""
QuestStart1#2,"""よし行くぞ、ついてこい！"""
QuestStart2#2,"""貴様がどうしてもというからだぞ！"""
QuestEnd1#2,"""ふふん、このぐらい普通だ"""
QuestEnd2#2,"""まあ、動きやすかったのは<br>認めよう！"""
IncidentStart#2,"""……んん？<br>何か起こるのか？"""
IncidentSuccess#2,"""大成功だろう！"""
IncidentFailure#2,"""えー……"""
PSE#2,"""おおっ、なんだこれは！<br>フォトンが騒がしいぞ！"""
PSELevelUp#2,"""なんかわくわくしてきた！<br>ほら、もっと続けるぞ！"""
PSEBurst#2,"""おおっ、すごいなこれは！<br>噂以上の状態だ！"""
HP30#2,"""あとで倍返しだ！"""
HP10#2,"""……私が、こんな！"""
ItemRare#2,"""好きなだけもっていくといい！"""
DamageSmall#2,"""いたっ！"""
DamageMiddle#2,"""ううっ"""
DamageLarge#2,"""ぐうう……っ！"""
Trap#2,"""罠？\u3000ずるいぞ、なんだそれ！"""
ThankTrapRescue#2,"""すまない、助かった！"""
TrapRescueOther#2,"""罠には気をつけろよ！"""
MemberDamaged#2,"""私に任せて下がるといい！"""
MemberDead#2,"""……許さないぞ、ぜったいに！"""
AbilityExe#2,"""/toge ふふん、絶好調だ！"""
AbilitySpecial#2,"""/toge よし、私がやるぞ！"""
Resurrect#2,"""……私にも、守りたいものができたんだ！"""
PartyJoin#2,"""/ci1 1 貴様がどうしてもというからだぞ！"""
Marvelous#2,"""ふん、動けるじゃないか"""
IncidentJsApcBegin#2,"""/toge /ci2 2 おい、貴様！\u3000大丈夫か！<br>私も手伝うぞ！\u3000任せておけ！"""
IncidentJsApcFailure#2,"""/mn10  ぐっ……情けない……<br>すまない、私は退かせてもらう。"""
IncidentJsApcSuccess#2,"""/mn15 /ci2 1 ふっふっふ、決まったな！<br>困ったときはいつでも呼ぶといい！<br>それじゃあな！"""
IncidentJsApcBeginEvo#2,"""/mn15 /ci2 1 むっ、まだ来るのか！<br>あれも爆破してしまっていいのだろう？"""
IncidentJsMultiApcBegin#0,"""/toge /ci2 1 六芒均衡クラリスクレイス <br>かれいに参上だっ！<br>さあ、敵味方問わずに敬うといい！"""
IncidentJsMultiApcSuccess#0,"""/mn19 /ci2 4 うん！\u3000私には全然ちっとも<br>これっぽっちもわからないけど<br>ついていくぞ！\u3000それじゃあな貴様！"""
EnemyWeak#3,"""弱い者いじめは嫌いなんだけど"""
EnemyLarge#3,"""大きいだけなら怖くない"""
EnemyBoss#3,"""歯応えがありそうね"""
EnemyRare#3,"""ふうん、こんなところに<br>いるものなのね"""
EnemyBoost#3,"""あの形は……狂化？"""
DestroyEnemy1#3,"""次、いきましょう"""
DestroyEnemy2#3,"""この程度なの？"""
DestroyEnemy3#3,"""終わりよ"""
CondFreeze#3,"""凍結なんて……！"""
CondBurn#3,"""多少の熱は……！"""
CondShock#3,"""くっ、痺れてても……！"""
CondPoison#3,"""う……毒であっても……！"""
CondPanic#3,"""うう、視界がぐるぐる……<br>でも……！"""
CondStan#3,"""動き封じ……？<br>面倒なことを……！"""
CondMirage#3,"""視覚を封じてきた……！"""
Die#3,"""しょせん……あたしは……"""
ThankHeal#3,"""礼は言っておくわ"""
ThankBuff#3,"""いい判断ね"""
ThankCure#3,"""やっと落ち着いたわ"""
DefeatEnemy#3,"""一通りは片付いたかしら？"""
LevelUp#3,"""ま、いいんじゃない"""
InvokeSkill1#2,"""あたしは甘くない"""
InvokeSkill2#2,"""邪魔なものは蹴散らすのみ"""
InvokeSkill3#2,"""さっさとそこをどきなさい"""
PBFull#3,"""本当、無謀というかなんというか……"""
PBRelease#3,"""さ、一緒に行きましょう"""
TacticsFree#3,"""好きにやらせてもらうわ"""
TacticsGuard#3,"""攻めの機会をうかがうのね"""
TacticsMassedAttack#3,"""集中して狙う……<br>合理的な戦術ね"""
TacticsAttack#2,"""どこ見てるのかしら？<br>あたしはここよ"""
Avoid#3,"""遅いわ"""
HealSelf#3,"""残念だったわね"""
BuffSelf#3,"""手抜かりなくいくわよ"""
HealOther#3,"""回復を忘れないように"""
BuffOther#3,"""補助も馬鹿にできないわよ"""
QuestStart1#3,"""さあ、行きましょう"""
QuestStart2#3,"""また一緒なのね<br>ま、あたしは貴方と一緒なら<br>楽できるから、いいけど"""
QuestEnd1#3,"""こんなものでしょう？"""
QuestEnd2#3,"""ま、あたしと一緒だったからね<br>それなりに頑張ったとは思うけど"""
IncidentStart#3,"""何か、くる？"""
IncidentSuccess#3,"""ふうん、成功みたいね"""
IncidentFailure#3,"""あたしには関係ないし"""
PSE#3,"""これって、ＰＳＥってやつ？"""
PSELevelUp#3,"""なんか続いてるんじゃない？"""
PSEBurst#3,"""ふうん……これがバースト<br>フォトンの励起した状態、ね"""
HP30#3,"""ここから本気よ"""
HP10#3,"""……ここまで追い詰められるなんて"""
ItemRare#3,"""あたしは別に欲しくないわよ"""
DamageSmall#3,"""くっ！"""
DamageMiddle#3,"""ううっ"""
DamageLarge#3,"""うあっ！"""
Trap#3,"""こんな罠程度に……<br>馬鹿みたい"""
ThankTrapRescue#3,"""感謝はするわ"""
TrapRescueOther#3,"""手間をかけさせないで"""
MemberDamaged#3,"""無理は禁物<br>一旦下がったらどう？"""
MemberDead#3,"""……あたしには関係ない<br>けど……！"""
AbilityExe#3,"""/toge この調子なら……行ける"""
AbilitySpecial#3,"""/toge 私に任せなさい"""
Resurrect#3,"""……まだ、死ねないの"""
PartyJoin#3,"""/ci1 1 暇だったからね"""
Marvelous#3,"""……マリアが喜びそう"""
IncidentJsApcBegin#3,"""/toge /ci3 1 ……まったく、見てられない！<br>手伝ってあげるから、さっさと<br>こいつら、片付けるわよ！"""
IncidentJsApcFailure#3,"""むぅ……あたしもまだ未熟、か。<br>ごめんなさい、先に退くわ。"""
IncidentJsApcSuccess#3,"""/ci2 2 一丁上がり、っと。<br>……あたし、もう行くから<br>あんまり無理しないようにね。"""
IncidentJsApcBeginEvo#3,"""/ci1 1 ん……？\u3000やれやれ<br>どうやらまだ終わりって<br>わけにはいかなそうね。"""
EnemyWeak#4,"""楽勝、楽勝！"""
EnemyLarge#4,"""ずいぶん大きいヤツだね"""
EnemyBoss#4,"""手強いヤツのようだね"""
EnemyRare#4,"""あれは、珍しいヤツだね"""
EnemyBoost#4,"""この敵は……まずいね"""
WeatherChange#0,"""おや、天候変化かな"""
DestroyEnemy1#4,"""たぁ！"""
DestroyEnemy2#4,"""吹き飛べっ！"""
DestroyEnemy3#4,"""手応えないなぁ"""
CondFreeze#4,"""くっ……しくじった……"""
CondBurn#4,"""うっ……しまったな……"""
CondShock#4,"""ぐっ……"""
CondPoison#4,"""うっ……毒か……"""
CondPanic#4,"""うぅ……ダメだ……"""
CondStan#4,"""ぐっ……体の自由が……"""
CondMirage#4,"""視界がおかしい……"""
Die#4,"""油断しちゃった……よ"""
ThankHeal#4,"""助かったよ！"""
ThankBuff#4,"""いい感じだね！"""
ThankCure#4,"""ありがとう！"""
DefeatEnemy#4,"""これでおしまいかな"""
LevelUp#4,"""頼もしいね"""
InvokeSkill1#3,"""くらえっ！"""
InvokeSkill2#3,"""いくよっ！"""
InvokeSkill3#3,"""これで終わりっと！"""
TechFire#2,"""ほらほらっ！"""
TechIce#1,"""ほらほらっ！"""
TechThunder#1,"""ほらほらっ！"""
TechWind#1,"""ほらほらっ！"""
TechLight#1,"""ほらほらっ！"""
TechDark#1,"""ほらほらっ！"""
PBFull#4,"""さぁて……いきますか！"""
PBRelease#4,"""覚悟はいい！"""
TacticsFree#4,"""了解だよ！"""
TacticsGuard#4,"""まずは様子見だね"""
TacticsMassedAttack#4,"""一気に畳みかけるか"""
TacticsAttack#3,"""囮は任せて"""
Avoid#4,"""やっ"""
HealSelf#4,"""よし、これでまだいける"""
BuffSelf#4,"""これからだよ"""
HealOther#4,"""大丈夫かい？"""
BuffOther#4,"""援護は任せて"""
QuestStart1#4,"""さて、行こっか"""
QuestEnd1#4,"""よし、これで終わりっと"""
QuestEnd2#4,"""いい感じだったんじゃないかな"""
IncidentStart#4,"""おやっ、どうやら何かが<br>起こりそうだね"""
IncidentSuccess#4,"""よしよし、上手くいった！"""
IncidentFailure#4,"""失敗の原因をつきとめないと……"""
PSE#4,"""フォトンの励起？<br>不思議な現象だね"""
PSELevelUp#4,"""もう少し続けていきたいな"""
PSEBurst#4,"""これが最終段階か"""
HP30#4,"""やってくれるね"""
HP10#4,"""そろそろまずいかな……？"""
ItemRare#4,"""それ、珍しいやつだよ"""
DamageSmall#4,"""うっ！"""
DamageMiddle#4,"""ぐっ！"""
DamageLarge#4,"""あいたっ！"""
Trap#4,"""罠！？\u3000こんなところに！"""
ThankTrapRescue#4,"""いや、助かったよ"""
TrapRescueOther#4,"""大丈夫？"""
MemberDamaged#4,"""無理は禁物だよ"""
MemberDead#4,"""……許せない"""
AbilityExe#4,"""/toge 調子が出てきたかな"""
AbilitySpecial#4,"""胸が熱くなってきた！"""
Resurrect#4,"""ふー、死ぬかと思った"""
PartyJoin#4,"""/toge /ci2 1 それじゃ、よろしくね"""
Marvelous#4,"""流石だね"""
IncidentJsApcBegin#4,"""/toge /ci2 1 苦戦してるようだね。<br>これも縁だし、手伝うよ！"""
IncidentJsApcFailure#4,"""うわっちゃあ、やられちゃった……<br>ごめん、下がらせてもらうね。"""
IncidentJsApcSuccess#4,"""/ci2 2 よし、一通り片付いたかな<br>それじゃあね。"""
IncidentJsApcBeginEvo#4,"""/ci2 1 おや、まだ来るみたいだよ。"""
EnemyWeak#5,"""未熟者めが"""
EnemyLarge#5,"""図体がでかいだけか？"""
EnemyBoss#5,"""こいつは手強いようだ"""
EnemyRare#5,"""珍しいやつがいるな"""
EnemyBoost#5,"""……この気配は、危険だ"""
WeatherChange#1,"""空気が変わったな"""
DestroyEnemy1#5,"""せいっ！"""
DestroyEnemy2#5,"""フン！"""
DestroyEnemy3#5,"""終わりだ！"""
CondFreeze#5,"""凍結か……！"""
CondBurn#5,"""燃焼か……！"""
CondShock#5,"""感電か……！"""
CondPoison#5,"""毒か……！"""
CondPanic#5,"""混乱か……！"""
CondStan#5,"""行動不能か……！"""
CondMirage#5,"""視界が……！"""
Die#5,"""ぐっ……不覚……！"""
ThankHeal#5,"""感謝する"""
ThankBuff#5,"""恩に着る"""
ThankCure#5,"""手間を掛けたな"""
DefeatEnemy#5,"""こんなところか"""
LevelUp#5,"""ふむ……いい調子だな"""
InvokeSkill1#4,"""うりゃあ！"""
InvokeSkill2#4,"""そこだっ！"""
InvokeSkill3#4,"""粉砕する！"""
PBFull#5,"""覚悟はいいか……"""
PBRelease#5,"""遊びは終わりだ！"""
TacticsFree#5,"""了解した"""
TacticsGuard#5,"""防御重視か"""
TacticsMassedAttack#5,"""集中して行くぞ"""
TacticsAttack#4,"""敵を引きつける！"""
Avoid#5,"""はっ！"""
HealSelf#5,"""危なかったな"""
BuffSelf#5,"""まだまだこれからだ"""
HealOther#5,"""油断は禁物だ"""
BuffOther#5,"""援護は任せろ"""
QuestStart1#5,"""始めるとしよう"""
QuestEnd1#5,"""悪くない出来だ"""
QuestEnd2#5,"""流石、といったところか"""
IncidentStart#5,"""何かが起こるぞ、気をつけろ"""
IncidentSuccess#5,"""凌ぎきったようだな"""
IncidentFailure#5,"""想定が甘かったか……"""
PSE#5,"""フォトンの励起か？"""
PSELevelUp#5,"""まだ続くようだな"""
PSEBurst#5,"""なるほど、これが最終段階か"""
HP30#5,"""やってくれる……！"""
HP10#5,"""まずいな……"""
ItemRare#5,"""珍しい物品だな、取っておくといい"""
DamageSmall#5,"""ぐっ！"""
DamageMiddle#5,"""やってくれる！"""
DamageLarge#5,"""ぐあっ！"""
Trap#5,"""罠だと！"""
ThankTrapRescue#5,"""迷惑をかけたな"""
TrapRescueOther#5,"""危ないところだったな"""
MemberDamaged#5,"""下がっていろ"""
MemberDead#5,"""……許さんぞ"""
AbilityExe#5,"""ようやく暖まってきたぞ"""
Resurrect#5,"""寝てなどいられん！"""
PartyJoin#5,"""/ci1 4 よろしく頼む"""
Marvelous#5,"""流石というべきか"""
IncidentJsApcBegin#5,"""/ci1 4 こうして出会ったのも何かの縁<br>助太刀させてもらおうか"""
IncidentJsApcFailure#5,"""ぐ……不覚をとった……<br>すまない、退かせてもらう"""
IncidentJsApcSuccess#5,"""/ci1 4 縁あれば、また会うこともあるだろう。<br>さらばだ。"""
IncidentJsApcBeginEvo#5,"""/ci3 4 まだ来るぞ\u3000気を抜くな"""
EnemyWeak#6,"""これなら余裕ですね！"""
EnemyLarge#6,"""ぺしゃんこにされないよう<br>気を付けていきましょう……！"""
EnemyBoss#6,"""手ごわそうな相手ですね！<br>張り切っていきましょう！"""
EnemyRare#6,"""わっ、珍しいエネミーですね！"""
EnemyBoost#6,"""この雰囲気……<br>ただのエネミーじゃありません……！"""
DestroyEnemy1#6,"""やりました！"""
DestroyEnemy2#6,"""まだまだいけます！"""
DestroyEnemy3#6,"""バッチリ倒せました！"""
CondFreeze#6,"""ふぇっくしょ！<br>ざ、ざぶいでず～！"""
CondBurn#6,"""あ、あつっ！<br>熱いですっ！"""
CondShock#6,"""し、しびれ……ます……！"""
CondPoison#6,"""ううっ<br>き、気持ち悪いです……"""
CondPanic#6,"""はれれ……？<br>視界が、ぐるぐるします～"""
CondStan#6,"""う、動けない……！"""
CondMirage#6,"""ほぉぉー……！<br>なんだか世界が<br>ぼんやりしてます！"""
Die#6,"""やらなきゃいけないことが……<br>あるのに……"""
ThankHeal#6,"""ありがとうございますっ！"""
ThankBuff#6,"""助かりましたっ！"""
ThankCure#6,"""ふぅ……落ち着いてきました……"""
DefeatEnemy#6,"""どんどん進みましょう！"""
LevelUp#6,"""わぁ！<br>おめでとうございます！"""
InvokeSkill1#5,"""行きます！"""
InvokeSkill2#5,"""この一撃で！"""
InvokeSkill3#5,"""/toge とっておきの……いきますっ！！"""
PBFull#6,"""いつでもいけますっ！"""
PBRelease#6,"""/toge わたしのフォトン……受け止めて下さい！！"""
Avoid#6,"""ひゃっ！"""
HealSelf#6,"""まだまだやれますっ！"""
BuffSelf#6,"""準備万端ですっ！"""
HealOther#6,"""大丈夫ですか？"""
BuffOther#6,"""これでばっちりですねっ！"""
QuestStart1#6,"""張り切っていきましょう！"""
QuestEnd1#6,"""クエストクリアですっ！<br>えへへっ、やりましたね！"""
IncidentStart#6,"""なんだか、胸騒ぎがします……！"""
IncidentSuccess#6,"""はぁ……はぁ……<br>リーダーのおかげで<br>何とかなりました！"""
IncidentFailure#6,"""すみません……わたしが<br>リーダーの足を引っ張ったから……"""
PSE#6,"""これは……ＰＳＥ、でしょうか？"""
PSELevelUp#6,"""レベルが上がりましたっ！"""
PSEBurst#6,"""ＰＳＥバースト！<br>何度見ても、美しいですね…！"""
HP30#6,"""はぁ……はぁ……<br>ちょっと、バテてきちゃいました……"""
HP10#6,"""もう……倒れちゃいそうです……"""
ItemRare#6,"""珍しいアイテムですね！<br>おめでとうございますっ！"""
DamageSmall#6,"""うぅ……っ！"""
DamageMiddle#6,"""きゃっ！"""
DamageLarge#6,"""うわぁぁっ！！"""
Trap#6,"""うぎゃっ！<br>罠にひっかかりましたー！"""
ThankTrapRescue#6,"""助かりました！<br>ありがとうございます！"""
TrapRescueOther#6,"""だ、大丈夫ですか？"""
MemberDamaged#6,"""わたしに任せてください！"""
MemberDead#6,"""許せません……！"""
AbilityExe#6,"""力が溢れてきます！"""
AbilitySpecial#5,"""なんだかわたし、<br>今ならどんなことでも<br>出来ちゃいそうな気がします！"""
Resurrect#6,"""わたし……まだ、死ねない。"""
PartyJoin#6,"""/toge /ci2 1 よろしくお願いします！"""
Marvelous#6,"""さすがです！"""
IncidentJsApcBegin#6,"""/ci1 1 すみません！<br>敵がいっぱいで手こずってるんです。<br>手伝ってもらえませんか？"""
IncidentJsApcFailure#6,"""ううっ、すみません。<br>わたしの力が足りないばっかりに……"""
IncidentJsApcSuccess#6,"""/ci2 2 えへへっ、やりましたね！<br>助けてくださって<br>ありがとうございました！"""
IncidentJsApcBeginEvo#6,"""/ci2 1 新手のエネミーですね。<br>油断せずにいきましょう！"""
EnemyWeak#7,"""このぐらいのエネミーなら！"""
EnemyLarge#7,"""大型ね……！"""
EnemyBoss#7,"""手強そうな相手ね！"""
EnemyRare#7,"""あれ、何かしら？<br>珍しいエネミーみたいだけど"""
EnemyBoost#7,"""すごく……危険な感じね"""
DestroyEnemy1#7,"""まずひとつ！"""
DestroyEnemy2#7,"""さよなら"""
DestroyEnemy3#7,"""邪魔をするから！"""
CondFreeze#7,"""くっ……凍結状態……！"""
CondBurn#7,"""うっ、これ……燃焼状態……！"""
CondShock#7,"""か、身体がしびれて……！"""
CondPoison#7,"""気持ち悪い……これ、毒……？"""
CondPanic#7,"""な、何がどうなってるの？"""
CondStan#7,"""身体の自由がきかない……！"""
CondMirage#7,"""幻覚？\u3000視界がおかしい……！"""
Die#7,"""倒れてなんて……いられないのに……"""
ThankHeal#7,"""ありがとう！"""
ThankBuff#7,"""助かるわ！"""
ThankCure#7,"""ごめんなさい！"""
DefeatEnemy#7,"""さ、行きましょう！"""
LevelUp#7,"""頼りにしてるから"""
InvokeSkill1#6,"""喰らいなさいっ！"""
InvokeSkill2#6,"""甘いわっ！"""
InvokeSkill3#6,"""任せてっ！"""
TechFire#3,"""燃えなさい！"""
TechIce#2,"""凍りなさい！"""
TechThunder#2,"""雷よ！"""
TechWind#2,"""風よ！"""
TechLight#2,"""光よ！"""
TechDark#2,"""闇よ！"""
PBFull#7,"""今度はこっちの番よ！"""
PBRelease#7,"""ここは私に任せなさい！"""
Avoid#7,"""はっ！"""
HealSelf#7,"""残念ね"""
BuffSelf#7,"""これで万全"""
HealOther#7,"""油断しないで"""
BuffOther#7,"""丁寧にいきましょう"""
QuestStart1#7,"""それじゃ、行きましょうか"""
QuestEnd1#7,"""これでおしまい、ってね"""
IncidentStart#7,"""何か、妙な気配が……"""
IncidentSuccess#7,"""なんとかなって、よかったわ"""
IncidentFailure#7,"""ごめんなさい……私のミス"""
PSE#7,"""フォトンがざわついている<br>……これって！"""
PSELevelUp#7,"""続けていきましょう！"""
