IncidentName#0,"""捕獲$(0)！"""
NpcComOnDisableCapture#1,"""捕獲裝置暫時無法使用。<br>先將目標誘導至範圍內。"""
NpcComOnSuccessCapture#1,"""確認目標捕獲成功。<br>傳送。"""
NpcComOnFailedCapture#1,"""目標捕獲失敗。<br>有效範圍是有限的。<br>別讓目標跑了。"""
NpcComOnAttackTarget#1,"""/face3 你只需要捕獲目標。<br>對捕獲目標的攻擊。<br>應該盡可能避免"""
NpcComOnDeadTarget#1,"""/face6 捕獲目標的生命反應，消失。<br>沒辦法了，等待下次機會吧。"""
NpcComOnLastCapture#1,"""傳送裝置只能再承受1次<br>只能再撐1次吧......<br>我要你慎重地執行任務。"""
NpcComOnBegin#2,"""指、指令變更了！<br>請捕獲$(0)！"""
NpcComOnAfterBegin#2,"""已經將捕獲裝置送到$(0)了！<br>請設法誘導目標，<br>抓住牠！"""
NpcComOnSuccess#2,"""/face2 成功捕獲目標！<br>指令臨時變更<br>真是精湛的技術！"""
NpcComOnFailure#2,"""/face4 恐、恐怕無法繼續嘗試了......<br>請回去執行平時任務。"""
NpcComOnEnableCapture#2,"""目標已進入捕獲有效範圍內！<br>趁現在！<br>快啓動捕獲裝置！"""
NpcComOnCaptureSwitch#2,"""/face2 時間抓得正好。<br>接下來請讓目標留在有效範圍內<br>千萬別讓牠跑了！"""
NpcComOnDisableCapture#2,"""/face4 現在不能使用捕獲裝置！<br>請先將目標誘導至<br>範圍內！"""
NpcComOnSuccessCapture#2,"""/face2 成功捕獲目標！<br>我要進行傳送了喔！"""
NpcComOnFailedCapture#2,"""/face4 啊，啊啊，捕獲失敗了！<br>有效範圍是固定的<br>小心一點呀～！"""
NpcComOnAttackTarget#2,"""那個，那個那個！<br>我們是要捕獲目標！<br>請不要攻擊對方！"""
NpcComOnDeadTarget#2,"""/face6 捕獲對象的生命反應，消失......<br>......嗯，沒辦法了。<br>再等下次機會吧。"""
NpcComOnLastCapture#2,"""傳送裝置有點撐不下去了......<br>只能再使用1次了！<br>請慎重行事！"""
NpcComOnBegin#3,"""指令変更を通達。<br>$(0)の<br>捕獲が目的となります。"""
NpcComOnAfterBegin#3,"""捕獲装置を$(0)に転送。<br>対象を誘導の後、捕獲。<br>指令は以上です。"""
NpcComOnSuccess#3,"""対象の捕獲を確認。<br>指令変更への迅速な対処<br>感謝します。"""
NpcComOnFailure#3,"""捕獲任務は失敗と判断。<br>通常任務にお戻りください。"""
NpcComOnEnableCapture#3,"""捕獲有効範囲内に対象を確認。<br>捕獲装置を起動してください。"""
NpcComOnCaptureSwitch#3,"""タイミングは問題なし。<br>後は、対象を有効範囲内で<br>捉えるように。"""
NpcComOnDisableCapture#3,"""今、捕獲装置は使用不可能です。<br>まずは対象を捕獲範囲内に<br>誘導してください。"""
NpcComOnSuccessCapture#3,"""対象捕獲、確認。<br>転送シーケンスに移ります。"""
NpcComOnFailedCapture#3,"""捕獲失敗を確認。<br>捕獲装置の有効範囲を確認し<br>再度、捕獲を行ってください。"""
NpcComOnAttackTarget#3,"""再確認。目的は対象の捕獲です。<br>捕獲対象を攻撃しないように。"""
NpcComOnDeadTarget#3,"""捕獲対象、反応消失しました。<br>捕獲はまた、次の機会に。"""
NpcComOnLastCapture#3,"""転送装置負荷限界まで<br>あと1回となります。<br>慎重な試行を求めます。"""
NpcComOnBegin#4,"""目標変更です！<br>$(0)を<br>捕獲してもらえますか！"""
NpcComOnAfterBegin#4,"""捕獲装置を$(0)へ用意しました。<br>対象を誘導して、捕獲してください！"""
NpcComOnSuccess#4,"""捕獲成功を確認しました！<br>急な目標変更にも即刻対応！<br>流石、といった感じですね！"""
NpcComOnFailure#4,"""うーん、捕獲任務はここまでですね。<br>何事も諦めが肝心ですし<br>通常任務に戻りましょう！"""
NpcComOnEnableCapture#4,"""対象、捕獲有効範囲内に捕捉！<br>装置を起動してください！"""
NpcComOnCaptureSwitch#4,"""ああっ、惜しい！<br>タイミングは完璧だったんですが<br>対象が逃げちゃったみたいですね！"""
NpcComOnDisableCapture#4,"""捕獲装置はまだ起動できません！<br>まずは捕獲対象を範囲内に<br>誘導しましょう！"""
NpcComOnSuccessCapture#4,"""捕獲成功、確認しました！<br>そのまま転送しちゃいます！"""
NpcComOnFailedCapture#4,"""捕獲失敗です。<br>範囲内から対象を逃がさないようにして<br>もう一度、挑戦してみましょう。"""
NpcComOnAttackTarget#4,"""おっと、現在の目標は捕獲ですよー！<br>捕獲対象への攻撃は、なるべーく<br>控えてもらえると嬉しいです！"""
NpcComOnDeadTarget#4,"""捕獲対象の反応、消失。<br>うーん、残念ですが仕方ありません。<br>次の機会を待ちましょう！"""
NpcComOnLastCapture#4,"""捕獲装置の使用回数、あと１回！<br>なので、次でずばっと<br>決めちゃいましょう！"""
