LineDuel_DeckSelect_Title_Text#0,"""デッキ選択"""
LineDuel_NPCBattle_Strength_Text1#0,"""ベテラン"""
LineDuel_NPCBattle_Strength_Text2#0,"""エキスパート"""
LineDuel_MatchDetails_Title_Text#0,"""詳細情報"""
LineDuel_MatchDetails_Message1#0,"""他のプレイヤーとマッチングして対戦します。<br><yellow>※勝敗は、レートに反映されません。<c><br><br>プレイ可能エリア：アークス拠点<br><br>勝利報酬：<br>$(0)×$(1)<br><br>敗北、引き分け報酬：<br>$(2)×$(3)"""
LineDuel_MatchDetails_Message2#0,"""他のプレイヤーとマッチングして対戦します。<br><yellow>※勝敗が、レートに反映されます。<c><br><br>プレイ可能エリア：アークス拠点<br><br>勝利報酬：<br>$(0)×$(1)<br><br>敗北、引き分け報酬：<br>$(2)×$(3)"""
LineDuel_MatchDetails_Message3#0,"""NPCと対戦します。<br><yellow>※勝敗は、レートに反映されません。<c><br><br>プレイ可能エリア：アークス拠点/クリエイティブスペース<br><br>勝利報酬：<br>$(0)×$(1)<br><br>敗北、引き分け報酬：<br>$(2)×$(3)"""
LineDuel_MatchDetails_Message4#0,"""他のプレイヤーからのフリーバトル申請を確認します。<br><yellow>※勝敗は、レートに反映されません。<c><br><yellow>※フリーバトルによる報酬はありません。<c><br><br>プレイ可能エリア：アークス拠点/クリエイティブスペース"""
LineDuel_CasualBattle_Title#0,"""メッセージ"""
LineDuel_RankBattle_Title#0,"""メッセージ"""
LineDuel_NPCBattle_Title#0,"""メッセージ"""
LineDuel_CasuaBattle_Message#0,"""アンレートバトルを開始しますか？<br><br><yellow>※マッチング後は、対戦終了まで退出できません。<c>"""
LineDuel_RankBattle_Message#0,"""レートバトルを開始しますか？<br><br><yellow>※マッチング後は、対戦終了まで退出できません。<c>"""
LineDuel_NPCBattle_Message#0,"""対NPCバトルを開始しますか？<br><br><yellow>※マッチング後は、対戦終了まで退出できません。<c>"""
LineDuel_InqueCheckMessageWithPartyExit#0,"""パーティを脱退し、$(0)を開始しますか？<br><br><yellow>※マッチング後は、対戦終了まで退出できません。<c>"""
LineDuel_Battle_Error1#0,"""“レートバトル”と“アンレートバトル”は、<br>アークス拠点でのみプレイできます。"""
LineDuel_Battle_Error2#0,"""“対NPCバトル”は、アークス拠点と、<br>クリエイティブスペースでのみプレイできます。"""
LineDuel_Reward_Title_Text#0,"""ウィークリー獲得報酬"""
LineDuel_SlashNum#0,"""$(0)/$(1)"""
DeckEdit_GuideText#0,"""カードを追加：<%Decide>\u3000選択中のカードを外す：<%Function>\u3000すべてのカードを外す：<%Exception2>\u3000デッキリストをソートする：<%Exception>\u3000操作ウィンドウ切り替え：<%ChangeCtrlWindowForward>\u3000編集終了：<%Cancel>"""
DeckEdit_GuideText_DeckList#0,"""選択中のカードを外す：<%Decide>\u3000すべてのカードを外す：<%Exception2>\u3000デッキリストをソートする：<%Exception>\u3000操作ウィンドウ切り替え：<%ChangeCtrlWindowForward>\u3000\u3000編集終了：<%Cancel>"""
DeckEdit_Save_Message#0,"""デッキを保存しました。"""
DeckEdit_Save_Error_Message#0,"""カードの枚数が、デッキの必要数に満たないためキャンセルされました。"""
InvitationList_EmptyText#0,"""フリーバトルの申請はありません。"""
DeckEdit_SortDefault#0,"""標準ソート"""
DeckEdit_SortCost#0,"""コスト"""
DeckEdit_SortNormal#0,"""ノーマルカードのみ"""
DeckEdit_SortRare#0,"""キラカードのみ"""
DeckEdit_HintTextUsing#0,"""デッキ内"""
DeckEdit_EmptyText#0,"""カードがありません"""
DeckEdit_ReturnConfirmMessage#0,"""変更を破棄します。<br>よろしいですか？"""
DeckEdit_ResetConfirmMessage#0,"""デッキリストからすべてのカードを外します。<br>よろしいですか？"""
PenaltyMessage#0,"""前回の他プレイヤーとの対戦中に、長時間操作が行われなかったため、しばらくプレイできません。"""
LineDuel_ReplayPopup#0,"""自分視点でリプレイを見る"""
LineDuel_ReplayPopupR#0,"""相手視点でリプレイを見る"""
LineDuel_ReplayErrorToast#0,"""リプレイを再生できませんでした。"""
LineDuel_ReplayGuide#0,"""見たいバトルを選択すると観戦を開始します。"""
LineDuel_WatchStartPopup#0,"""観戦開始"""
