OpenSpace#0,"""OpenSpace"""
2#1,"""曇り"""
3#1,"""大雨"""
4#1,"""雷雨"""
5#1,"""濃霧"""
6#1,"""噴出ガス"""
7#1,"""火の粉"""
8#1,"""熱波"""
9#1,"""光虫"""
10#1,"""虹"""
11#1,"""砂埃"""
12#1,"""強風"""
13#1,"""停電"""
14#1,"""非常灯"""
15#1,"""weather015"""
16#1,"""weather016"""
17#1,"""磁気嵐"""
18#1,"""流星"""
19#1,"""weather019"""
20#1,"""weather020"""
21#1,"""ダイヤモンドダスト"""
22#1,"""オーロラ"""
23#1,"""放電現象"""
24#1,"""粉塵鉱石"""
25#1,"""蝶の舞"""
26#1,"""weather026"""
27#1,"""weather027"""
28#1,"""weather028"""
29#1,"""weather029"""
30#1,"""日食"""
39#1,"""黒い粒子"""
40#1,"""虹色の光"""
41#1,"""weather041"""
42#1,"""weather042"""
43#1,"""weather043"""
44#1,"""積雷雲"""
45#1,"""龍魂霧"""
46#1,"""weather046"""
47#1,"""weather047"""
48#1,"""weather048"""
49#1,"""大雨"""
50#1,"""落流"""
55#1,"""赤塵"""
59#1,"""暗化光"""
60#1,"""ディープスノー"""
Accept#0,"""ท่านได้ยอมรับ $(1) \""$(0)\"""""
AcceptMatterOrder#0,"""Matter Board ได้เริ่มขึ้นและจะแสดงให้เห็น"""
ChangeMatterOrder#0,"""Matter Guide ได้ถูกแสดง"""
Reject#0,"""ท่านได้ยกเลิก $(1) \""$(0)\"""""
Reward#0,"""ท่านได้รับรางวัลสำหรับ $(1) \""$(0)\"""""
RewardMatterOrder#0,"""การค้นหา Matter สำเร็จ"""
OrderSub#0,"""($(0) Order)"""
test_001#0,"""ยอมรับ Order นี้ ?"""
ErrorSameOrder#0,"""ท่านได้ยอมรับ $(1) \""$(0)\"""""
ErrorOverflow#0,"""ท่านไม่สามารถรับ Order ไปมากกว่านี้แล้ว<br>โปรดยกเลิกหรือเสร็จสิ้น Order ที่มีก่อนจะรับ Order เพิ่ม"""
ErrorNotAchievement#0,"""ท่านทำภารกิจของ Order \""$(0)\"" ไม่สำเร็จ"""
ErrorNotAccept#0,"""ท่านไม่ยอมรับ Order \""$(0)\"""""
ErrorItemFull#0,"""ท่านไม่สามารถรับรางวัลได้ เป็นเพราะท่านมีไอเทมเกินกว่าที่กำหนด <br>หรือช่องเก็บของเต็ม<br>โปรดจัดการไอเทมและช่องเก็บของให้เรียบร้อยเสียก่อน"""
ErrorReward#0,"""ท่านไม่สามารถรับรางวัลจาก Order \""$(0)\"""""
ErrorReject#0,"""ท่านไม่สามารถยกเลิก Order \""$(0)\"""""
ErrorOverLimit#0,"""เวลาจำกัดของ Order \""$(0)\""  ได้จบลง"""
OrderClear#0,"""ท่านได้เคลียร์ $(1) \""$(0)\"" เสร็จสิ้น"""
MatterOrderClear#0,"""ท่านได้ทำ Matter  \""$(1)-$(2) $(3)\""  ของMatter Board \""$(0)\"" สำเร็จ"""
OrderFail#0,"""ท่านล้มเหลวในการเคลียร์ $(1) \""$(0)\"""""
TargetClear#0,"""ท่านได้เคลียร์ $(1) \""$(0)\"" เสร็จสิ้น"""
QuestStart#0,"""เริ่มต้นการ $(1) \""$(0)\"""""
Notes_001#0,"""ท่านสามารถส่ง report สำหรับ Order นี้ได้ครั้งเดียว"""
Notes_002#0,"""Order นี้ยังไม่สามารถรับได้จนกว่าวันที่ <br>$(0)"""
Notes_003#0,"""Order นี้สามารถรับได้หลายครั้ง"""
Notes_004#0,"""Order นี้สามารถรับได้เพียงวันนี้เท่านั้น"""
Notes_005#0,"""ท่านไม่สามารถรับ Order นี้ได้ <br>เนื่องจากท่านทำสำเร็จไปแล้วในวันนี้"""
Notes_006#0,"""Order นี้สามารถรับได้เพียงสัปดาห์นี้เท่านั้น"""
Notes_007#0,"""Order นี้สามารถรับได้ภายในเวลาที่ระบุเท่านั้น"""
TargetName_Item#0,"""Item Procurement"""
TargetName_Quest#0,"""Quest Completion"""
TargetName_Errand#0,"""Information Gathering"""
TargetName_Weather#0,"""Meteorological Observation"""
TargetName_PSE#0,"""Tutorial"""
TargetName_Incident#0,"""E Trial Clear"""
TargetName_GetItem#0,"""Item Procurement"""
TargetName_Enemy#0,"""Seek and Destroy"""
TargetName_Tutorial#0,"""Tutorial"""
TargetName_Multi#0,"""Multiple Objectives"""
TargetName_Class#0,"""Tutorial"""
TargetName_ClearedOrder#0,"""Client Order Clear"""
TargetName_ClearOrderNum#0,"""Client Order Clear"""
TargetName_GetCostPoint#0,"""Accumulate Advance Points"""
TargetName_Upstairs#0,"""Traverse Extreme Quests"""
TargetName_KillDarkerApc#0,"""กำจัด ARKS Imposters"""
TargetName_TalkNpc#0,"""รวบรวม Intel"""
TargetName_BreakBox#0,"""ทำลาย Container"""
TargetName_EventFlag#0,"""รวบรวม Intel"""
Target_Item#0,"""Procure $(0)"""
Target_Quest#0,"""Complete $(0)"""
Target_Weather#0,"""Observe $(0)"""
Target_PSE#0,"""Trigger $(0)"""
Target_Incident#0,"""Complete $(0)"""
Target_GetItem1#0,"""กำจัด \""$(0)<br>และได้รับ $(1)"""
Target_GetItem2#0,"""ทำลาย $(1) level $(0) หรือมากกว่า<br>และได้รับ $(2)"""
Target_Enemy#0,"""กำจัด $(0)"""
Target_Item2#0,"""หาไอเทม $(0) อย่างน้อย 1 ชิ้น"""
Target_Enemy2#0,"""กำจัด $(0) อย่างน้อย 1 ตัว"""
Target_Quest2#0,"""ทำ $(0) สำเร็จอย่างน้อย 1 ครั้ง"""
Target_ClearedOrder#0,"""เคลีย $(0) """
Target_ClearOrderNum#0,"""เคลีย Option $(0) """
Target_GetCostPoint1#0,"""ได้รับ Advance Points ใน \""$(0)\"" """
Target_GetCostPoint2#0,"""ได้รับ Advance Points ใน quest area"""
Target_Upstairs1#0,"""เคลีย Stage $(0) """
Target_Upstairs2#0,"""Clear the Optional Extreme Quest Stage"""
Target_KillDarkerApc#0,"""กำจัด ARKS Imposters"""
Target_BreakBox#0,"""ทำลาย Container"""
Reward_Mag#0,"""Mag"""
Reward_Skillpoint#0,"""($arg0) SP"""
NewOrderAdd#0,"""Client Order ใหม่ได้ถูกบันทึกให้กับ $(0)"""
ErrorNotBelongGuild#0,"""Team Order นี้ไม่สามารถรับได้เนื่องจากท่านไม่ได้อยู่ในทีม"""
AcceptMulti#0,"""-----"""
ErrorMulti#0,"""-----"""
Accept#1,"""$(1)「$(0)」を受注しました。"""
AcceptMatterOrder#1,"""捜索対象のマターボードを変更。マターのガイド表示を開始します。"""
ChangeMatterOrder#1,"""マターのガイド表示を開始します。"""
Reject#1,"""$(1)「$(0)」を破棄しました。"""
Reward#1,"""$(1)「$(0)」の報酬を受け取りました。"""
RewardMatterOrder#1,"""マターの捜索が完了しました。"""
OrderSub#1,"""（$(0)オーダー）"""
test_001#1,"""このオーダーを受注しますか？"""
ErrorSameOrder#1,"""オーダー「$(0)」は、すでに受注しています。"""
ErrorOverflow#1,"""これ以上、オーダーを受注できません。<br>他のオーダーを破棄、または報告してから<br>ふたたび受注してください。"""
ErrorNotAchievement#1,"""オーダー「$(0)」の目標を達成していません。"""
ErrorNotAccept#1,"""オーダー「$(0)」を受注していません。"""
ErrorItemFull#1,"""アイテムの所持数限界を超えているか<br>アイテムパックの空き容量不足のため、報酬を受け取れません。<br>アイテムパックを整理してください。"""
ErrorReward#1,"""オーダー「$(0)」の報酬が受け取れません。"""
ErrorReject#1,"""オーダー「$(0)」を破棄できません。"""
ErrorOverLimit#1,"""オーダー「$(0)」は、受注期限を過ぎています。"""
OrderClear#1,"""$(1)「$(0)」を達成しました。"""
MatterOrderClear#1,"""マターボード「$(0)」のマター「$(1)－$(2) $(3)」を達成しました。"""
OrderFail#1,"""$(1)「$(0)」の目標を達成できませんでした。"""
TargetClear#1,"""$(2)「$(1)」の目標『$(0)』を達成しました。"""
QuestStart#1,"""$(1)「$(0)」を開始します。"""
Notes_001#1,"""このオーダーは一度しか達成報告できません。"""
Notes_002#1,"""このオーダーは$(0)<br>まで受注できません。"""
Notes_003#1,"""このオーダーは何度でも受注可能です。"""
Notes_004#1,"""このオーダーは本日23:59まで受注可能です。"""
Notes_005#1,"""このオーダーは本日クリア済みのため<br>受注できません。"""
Notes_006#1,"""このオーダーは翌水曜の10:59まで<br>受注可能です。"""
Notes_007#1,"""このオーダーには受注可能期限があります。"""
TargetName_Item#1,"""アイテム調達"""
TargetName_Quest#1,"""クエストクリア"""
TargetName_Errand#1,"""情報収集"""
TargetName_Weather#1,"""気象観察"""
TargetName_PSE#1,"""チュートリアル"""
TargetName_Incident#1,"""Ｅトライアルクリア"""
TargetName_GetItem#1,"""アイテム調達"""
TargetName_Enemy#1,"""エネミー撃破"""
TargetName_Tutorial#1,"""チュートリアル"""
TargetName_Multi#1,"""複合目標"""
TargetName_Class#1,"""チュートリアル"""
TargetName_ClearedOrder#1,"""クライアントオーダークリア"""
TargetName_ClearOrderNum#1,"""クライアントオーダークリア"""
TargetName_GetCostPoint#1,"""アドバンスポイント蓄積"""
TargetName_Upstairs#1,"""エクストリームクエスト踏破"""
TargetName_KillDarkerApc#1,"""アークス模倣体撃破"""
TargetName_TalkNpc#1,"""情報収集"""
TargetName_BreakBox#1,"""コンテナ破壊"""
TargetName_EventFlag#1,"""情報収集"""
Target_Item#1,"""「$(0)」の調達"""
Target_Quest#1,"""「$(0)」のクリア"""
Target_Weather#1,"""「$(0)」の観察"""
Target_PSE#1,"""「$(0)」を起こす"""
Target_Incident#1,"""「$(0)」のクリア"""
Target_GetItem1#1,"""エネミー「$(0)」を撃破して<br>「$(1)」を入手する"""
Target_GetItem2#1,"""Lv.$(0)以上のエネミー「$(1)」を<br>撃破して「$(2)」を入手する"""
Target_Enemy#1,"""「$(0)」の撃破"""
Target_Item2#1,"""「$(0)」の1個以上調達"""
Target_Enemy2#1,"""「$(0)」の1体以上撃破"""
Target_Quest2#1,"""「$(0)」の1回以上クリア"""
Target_ClearedOrder#1,"""「$(0)」のクリア"""
Target_ClearOrderNum#1,"""任意の$(0)をクリアする"""
Target_GetCostPoint1#1,"""「$(0)」のアドバンスリスクを貯める"""
Target_GetCostPoint2#1,"""任意のエリアのアドバンスリスクを貯める"""
Target_Upstairs1#1,"""「$(0)」のステージクリア"""
Target_Upstairs2#1,"""任意のエクストリームクエストのステージクリア"""
Target_KillDarkerApc#1,"""アークス模倣体の撃破"""
Target_BreakBox#1,"""コンテナの破壊"""
Reward_Mag#1,"""マグ"""
Reward_Skillpoint#1,"""スキルポイント ($arg0)"""
NewOrderAdd#1,"""$(0)に新しいクライアントオーダーが追加されました。"""
ErrorNotBelongGuild#1,"""チームに所属していないため、チームオーダーを受注できませんでした。"""
AcceptMulti#1,"""-----"""
ErrorMulti#1,"""-----"""
co#0,"""Client Order"""
mo#0,"""-"""
mb#0,"""Matter Board"""
do#0,"""Daily Order"""
so#0,"""-"""
go#0,"""Team Order"""
bo#0,"""-"""
co#1,"""クライアントオーダー"""
mo#1,"""-"""
mb#1,"""マターボード"""
do#1,"""デイリーオーダー"""
so#1,"""-"""
go#1,"""チームオーダー"""
bo#1,"""-"""
