IncidentName#0,"""討伐対象を全て撃破せよ！"""
NpcComOnPreBegin_Darker#2,"""ニャウが逃走……って、あれれっ？<br>逃走の影響で空間がヘンな感じ……<br>き、気を付けてくださいー！"""
NpcComOnBegin_Darker#2,"""強力な敵さんが来ちゃいましたね……<br>みなさん、もうひと頑張りです！"""
NpcComOnEnemyDead_Darker#2,"""敵さんはあと１体ですよー！<br>頑張ってくださいー！"""
NpcComOnSuccess_Darker#2,"""やったやった、やりました！<br>もう敵さんの反応はありませんよ！<br>みなさん、お疲れさまでしたっ！"""
NpcComOnPreBegin#3,"""ニャウの撤退を確認……。<br>撤退の影響による空間の歪みを感知。<br>……新たな敵性反応、来ます。"""
NpcComOnBegin#3,"""緊急通達。<br>出現した敵性反応を撃退してください。"""
NpcComOnEnemyDead#3,"""残存する敵性反応は１体。<br>撃退をお願いします。"""
NpcComOnSuccess#3,"""敵性反応、完全に消失。<br>突発事象への対応、見事でした。"""
NpcComOnPreBegin_Other#3,"""ニャウの撤退を確認……。<br>撤退の影響による空間の歪みを感知。<br>……新たな敵性反応、来ます。"""
NpcComOnBegin_Other#3,"""緊急通達。<br>出現した敵性反応を撃退してください。"""
NpcComOnEnemyDead_Other#3,"""残存する敵性反応は１体。<br>撃退をお願いします。"""
NpcComOnSuccess_Other#3,"""敵性反応、完全に消失。<br>突発事象への対応、見事でした。"""
NpcComOnPreBegin_Darker#3,"""ニャウの撤退を確認……。<br>撤退の影響による空間の歪みを感知。<br>……新たな敵性反応、来ます。"""
NpcComOnBegin_Darker#3,"""緊急通達。<br>出現した敵性反応を撃破してください。"""
NpcComOnEnemyDead_Darker#3,"""残存する敵性反応は１体。<br>撃退をお願いします。"""
NpcComOnSuccess_Darker#3,"""敵性反応、完全に消失。<br>突発事象への対応、見事でした。"""
NpcComOnPreBegin#4,"""ニャウは逃げたようです、が……<br>空間に歪みが発生しています。<br>何か、出てきますよ！"""
NpcComOnBegin#4,"""新たなエネミーの出現を確認。<br>迎撃をお願いします！"""
NpcComOnEnemyDead#4,"""エネミー撃破、確認しました。<br>残りあと１体です、頑張りましょう！"""
NpcComOnSuccess#4,"""皆さんのおかげで迎撃完了！<br>連戦、お疲れさまでした！"""
NpcComOnPreBegin_Other#4,"""ニャウは逃げたようです、が……<br>空間に歪みが発生しています。<br>何か、出てきますよ！"""
NpcComOnBegin_Other#4,"""新たなエネミーの出現を確認。<br>迎撃をお願いします！"""
NpcComOnEnemyDead_Other#4,"""エネミー撃破、確認しました。<br>残りあと１体です、頑張りましょう！"""
NpcComOnSuccess_Other#4,"""皆さんのおかげで迎撃完了！<br>連戦、お疲れさまでした！"""
NpcComOnPreBegin_Darker#4,"""ニャウは逃げたようです、が……<br>空間に歪みが発生しています。<br>何か、出てきますよ！"""
NpcComOnBegin_Darker#4,"""新たなエネミーの出現を確認。<br>迎撃をお願いします！"""
NpcComOnEnemyDead_Darker#4,"""エネミー撃破、確認しました。<br>残りあと１体です、頑張りましょう！"""
NpcComOnSuccess_Darker#4,"""皆さんのおかげで迎撃完了！<br>連戦、お疲れさまでした！"""
