text01101#0,"""ในที่สุดก็มาจนได้นะ<br>ท่าน <%me>"""
text01205#0,"""ถ้าเช่นนั้น<br>ท่าน <%me><br>กรุณาสนุกกับ Event นี้ให้เต็มที่เถอะ"""
text01201#1,"""いかがだっただろうか。<br>貴君ならば<br>理解可能だったと推測する。"""
text01202#1,"""再度ルール確認を行う場合は<br>チュートリアルから<br>確認する事を推奨する。"""
text01203#1,"""チュートリアルは<br>メインメニューのインフォメーションで<br>参照可能である。"""
text01204#1,"""ラウンドの開始や終了時刻については<br>私が全アークスに向けて<br>一斉にアナウンスを行う。"""
text01205#1,"""それでは<br><%me>殿。<br>このイベントを存分に満喫せよ。"""
text00#0,"""เกี่ยวกับ [ARKS Ship Competition]"""
text01#0,"""คำอธิบายเกี่ยวกับ  [ARKS Ship Competition]<br><br>[ARKS Ship Competition] ก็คือ <yellow>Event ที่จะจัดขึ้นในช่วงระยะเวลาที่กำหนด<c><br>ทุก Ship จะมีการแบ่งกลุ่มเป็นหลายๆ กลุ่มเช่น [Red Rappy Group] หรือ <br>[Blue Rappy Group] เป็นต้น และแต่ละกลุ่มก็จะแข่งขันเอา <c ff007f>[Winning Point]<c> กัน<br><br>ในท้ายที่สุด<yellow>กลุ่มที่มี <c ff007f>[Winning Point] <yellow>สูงที่สุด<c>ก็จะเป็นกลุ่มที่ชนะเลิศ<br><br>Event นี้นั้นจะมี <c ffa800>[Arkma]<c> ทำหน้าที่เป็นเนวิเกเตอร์<br>หากทำการแอคเซสกับ Arkma จะสามารถตรวจสอบยืนยันเป้าหมายหรือลำดับปัจจุบันได้<br>อีกทั้งยังสามารถใช้ <yellow>[Star<pict sb_star_icon><yellow>] ที่ได้มาซื้อของรางวัล<c>ได้อีกด้วย"""
text02#0,"""<yellow>- แล้วจะให้ทำอะไรดี? <c><br>Event นี้นั้นแต่ละ Player จะต้องทำ [Round Objective] ให้สำเร็จลุล่วงไปเรื่อยๆ<br>และก็จะได้รับค่าตอบแทนเป็น <yellow>[Star <pict sb_star_icon><yellow>] <c>และ <yellow>[Contribution Point]<c> มา<br>กลุ่มไหนที่มี [Contribution Point] มาก ในตอนสุดท้ายก็จะยิ่งได้รับ <c ff007f> [Winning Point] <c> มาก<br><br> <green>- Round Objective คือ<c><br>  ARKS Ship Competition นั้นจะประกอบไปด้วยหลายๆ [Round]<br>  แต่ละ Round ก็จะมีการกำหนด [Round Objective] เอาไว้เช่น [กำจัด Dragorii จำนวน ( ) ตัว]<br>  หรือ [เคลียร์เควสเฉพาะ] เป็นต้น และเมื่อทำสำเร็จก็จะได้รับค่าตอบแทน"""
text03#0,"""<yellow>- เกี่ยวกับกฎการแพ้ชนะ<c><br><br>เมื่อจบแต่ละ Round ก็จะนำ [Contribution Point] ของสมาชิกกลุ่มที่เข้าร่วมทุกคนมาคำนวณรวมกัน<br>และแต่ละกลุ่มก็จะได้รับ <c ff007f>[Winning Point]<c> เรียงตามลำดับความมากของ Contribution Point<br><br>ด้วยรูปแบบที่ 1 จะได้รับ 5 Point ที่ 2 จะได้รับ 4 Point ในตอนท้ายสุดที่จบเสร็จหมดทุก Round แล้ว<br>กลุ่มที่มี <c ff007f>[Total Winning Point]<c><yellow>สูงที่สุดก็จะเป็นผู้ชนะเลิศ<c><br><br>หลังจบ Round จะมีการประกาศ [Score Result] ที่จอมอนิเตอร์ขนาดยักษ์<br>ใน Shop Area ถ้าหากมีการประกาศ ทุกคนก็ไปรวมตัวดูผลกันเถอะ!<br><br>เมื่อการประกาศ [Final Score Result] หลังจากจบทุก Round เสร็จสิ้นลง <br>ก็จะมีการมอบค่าตอบแทนเป็น Star <pict sb_star_icon> ตามลำดับให้กับผู้ที่เข้าร่วม และเพิ่มของรางวัลใน Arkma Shop<br>ของรางวัลจะดีขึ้นตามลำดับที่สูงขึ้น เพราะฉะนั้นพยายามตั้งเป้าเอาไว้ที่ลำดับสูงๆ กันเถอะ!"""
text04#0,"""<yellow>- เกี่ยวกับเมนู<c><br><br>เมนูที่เกี่ยวข้องกับ ARKS Ship Competition นั้นจะมีใหญ่ๆ อยู่ 2 เมนู<br><br> <green>- เมนูหลัก<c><br>  ด้วย [เควส] > [Event ที่กำลังจัดอยู่ในขณะนี้] > [ARKS Ship Competition] <br>  ท่านจะสามารถตรวจสอบยืนยันจำนวน Star <pict sb_star_icon> ที่มีอยู่ในขณะนี้<br>  และ ข้อมูลของ Round ปัจจุบันด้วย [Round Objective] ได้<br><br> <green>- เมนู Arkma<c><br>  จากเมนูที่เปิดขึ้นโดยการคุยกับ Arkma นั้น ท่านจะสามารถตรวจสอบยืนยัน<br>  ข้อมูล Round ในอดีตหรือข้อมูล <c ff007f>[Total Winning Point]<c> ในปัจจุบันได้<br>  Shop ที่ใช้ Star <pict sb_star_icon> ซื้อรางวัลก็จากเมนูทางนี้ด้วยเช่นกัน"""
text05#0,"""<yellow>- คำอธิบายอื่นๆ<c><br><br> <green>- เกี่ยวกับ [Round Boost] <c><br>  หลังจากที่ประกาศ Score Result ของแต่ละ Round กลุ่มที่อยู่ลำดับสูงจะได้รับ XP Boost หรือ <br>  Rare Drop Rate Boost เป็นต้น ส่วนกลุ่มที่อยู่ลำดับล่างๆ นั้นจะได้รับ Contribution Point Boost<br>  ดังนั้นครั้งต่อไปก็มาพยายามกันเถอะ!<br><br> <green>- ข้อควรระวังเกี่ยวกับการ Ship Transfer<c><br>  จำนวน Star <pict sb_star_icon> หรือ Contribution Point ที่มีอยู่นั้น<yellow>จะถูกเก็บรักษาเอาไว้ตามแต่ละ Ship<c> <br>  ดังนั้นแม้จะทำการ Ship Transfer แต่สิ่งเหล่านั้นก็จะไม่ย้ายตามไปด้วย<br><br>*Tutorial นี้สามารถกดดูใน<br>  [ระบบ] > [ข้อมูล] > [ตรวจสอบ Tutorial] <br>  ในเมนูหลักได้ทุกเมื่อ"""
text00#1,"""『アークスシップ対抗戦』について"""
text01#1,"""「アークスシップ対抗戦」について説明します。<br><br>アークスシップ対抗戦は、<yellow>期間限定で開催されるイベント<c>です。<br>全シップを「赤ラッピーグループ」「青ラッピーグループ」など<br>いくつかのグループに分け、それぞれ<c ff007f>「勝ち点」<c>を競います。<br><br>最終的に、<yellow>最も<c ff007f>「勝ち点」<yellow>が高かったグループ<c>が優勝です。<br><br>このイベントは、<c ffa800>「アークマ」<c>がナビゲーターを務めます。<br>アークマにアクセスすることで、現在の目標や順位を確認できたり、<br><yellow>入手した「スター<pict sb_star_icon><yellow>」で賞品を購入<c>できます。"""
text02#1,"""<yellow>■何をすればいいの？<c><br>このイベントでは、各プレイヤーは「ラウンド目標」を次々と達成し、<br>報酬の<yellow>「スター<pict sb_star_icon><yellow>」<c>と<yellow>「貢献ポイント」<c>を獲得していきます。<br>貢献ポイントの多いグループほど、最後に高い<c ff007f>「勝ち点」<c>を得ます。<br><br>\u3000<green>・ラウンド目標とは<c><br>\u3000\u3000アークスシップ対抗戦は、複数の「ラウンド」で構成されています。<br>\u3000\u3000各ラウンドには「龍族を○匹倒せ」「特定クエストのクリア」などの<br>\u3000\u3000「ラウンド目標」が設定されており、達成すると報酬がもらえます。<br><br>\u3000<green>・ラウンド目標達成でもらえる報酬<c><br>\u3000\u3000<yellow>「スター<pict sb_star_icon><yellow>」<c>……アークマのショップで賞品を購入するための通貨<br>\u3000\u3000<yellow>「貢献ポイント」<c>……所属グループの順位を上げるポイント"""
text03#1,"""<yellow>■勝ち負けのルールについて<c><br><br>ラウンド終了ごとに、参加者全員の「貢献ポイント」が集計され、<br>このポイントが多いグループ順に<c ff007f>「勝ち点」<c>が付与されます。<br><br>１位は５点、２位は４点という具合で、最終的に全ラウンドが終了した<br>時点で<c ff007f>「累計勝ち点」<c>が<yellow>最も高かったグループが優勝<c>となります。<br><br>ラウンド終了後、ショップエリアにある巨大モニターで「結果発表」が<br>行われますので、アナウンスがあったらみんなで集まりましょう！<br><br>全ラウンドが終了して「最終結果発表」が終わると、順位報酬として<br>参加者にスター<pict sb_star_icon>が渡され、アークマのショップに追加賞品が並びます。<br>順位に応じて賞品が良くなりますので、上位目指して頑張りましょう！"""
text04#1,"""<yellow>■メニューについて<c><br><br>アークスシップ対抗戦に関するメニューは、大きく２つあります。<br><br>\u3000<green>・メインメニュー<c><br>\u3000\u3000「クエスト」＞「開催中イベント」＞「アークスシップ対抗戦」で<br>\u3000\u3000あなたの現在の所持スター<pict sb_star_icon>数や、開催中のラウンド情報で<br>\u3000\u3000現在の「ラウンド目標」などを確認できます。<br><br>\u3000<green>・アークマメニュー<c><br>\u3000\u3000アークマに話しかけた時のメニューからは、過去のラウンド情報や<br>\u3000\u3000現在の<c ff007f>「累計勝ち点」<c>情報を確認できます。<br>\u3000\u3000スター<pict sb_star_icon>を使用し、賞品を購入するショップもこちらです。"""
text05#1,"""<yellow>■その他の説明<c><br><br>\u3000<green>・「ラウンドブースト」について<c><br>\u3000\u3000各ラウンドの結果発表後、上位のグループには獲得経験値アップや<br>\u3000\u3000レアドロップ倍率アップなどのブーストが、下位のグループには<br>\u3000\u3000貢献ポイントのブーストがかかります。次に向けて頑張りましょう！<br><br>\u3000<green>・シップ移動に関する注意事項<c><br>\u3000\u3000所持スター<pict sb_star_icon>数や貢献ポイントは<yellow>各シップに保存<c>されており、<br>\u3000\u3000シップ移動をしても、移動先のシップに持って行くことはできません。<br><br>※このチュートリアルは、メインメニューの<br>\u3000\u3000「システム」＞「インフォメーション」＞「チュートリアル確認」で<br>\u3000\u3000いつでも見ることができます。"""
