f2#0,"""Emergency Trial [$(0)] ล้มเหลว!"""
arks_outline_30090#0,"""รวบรวมแร่หายากกันก่อน!"""
arks_outline_30100#0,"""ไปขุดแร่กันก่อน!"""
arks_outline_30110#0,"""เก็บ Quest Point กันเถอะ!"""
arks_outline_30120#0,"""ค้นหาจุดที่สัญญาณของ ARKS หายไป!"""
arks_outline_30130#0,"""ไปกำจัด De Marmoths กันเถอะ!"""
arks_outline_30140#0,"""เก็บ Quest Point กันเถอะ!"""
arks_outline_30150#0,"""ไปช่วยเป้าหมายหลักก่อนเลย!"""
arks_outline_30160#0,"""ไปกำจัด Tranmizers กันเลย!"""
arks_outline_30170#0,"""เก็บ Quest Point กันเถอะ!"""
arks_outline_30180#0,"""รวบรวมแร่พิเศษกันก่อน!"""
arks_outline_30190#0,"""จัดการ Caterdransas เลย!"""
arks_outline_30200#0,"""เก็บ Quest Point กันเถอะ!"""
arks_outline_30210#0,"""Destroy the D-arkeim!"""
arks_outline_30220#0,"""กำจัด Wolgahda กันก่อน!"""
arks_outline_30230#0,"""เก็บ Quest Point กันเถอะ!"""
arks_outline_30240#0,"""การปราบปรามของ Sol Dylandahl"""
arks_outline_30250#0,"""ไปปราบ Goronzoran กันเถอะ!"""
arks_outline_30260#0,"""เก็บ Quest Point กันเถอะ!"""
arks_outline_30270#0,"""ไปกำจัดดอกไม้ปืนใหญ่กันก่อนเถอะ!"""
arks_outline_30280#0,"""ไปจัดการกับ Orgbran กันเลย!"""
arks_outline_30290#0,"""เก็บ Quest Point กันเถอะ!"""
arks_outline_30300#0,"""รีบไปด้านในสุดเพื่อป้องกันหมู่บ้าน!"""
arks_outline_30310#0,"""กำจัด Varder Soma!"""
arks_outline_30320#0,"""สะสม Quest Point !"""
arks_outline_30330#0,"""ช่วยชาวพื้นเมืองบนดาว Wopal!"""
arks_outline_30340#0,"""กำจัด Dekor Maryuda !"""
time_outline_40010#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
time_outline_40020#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
time_outline_40030#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
time_outline_40040#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
time_outline_40050#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
time_outline_40060#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
urgency_outline_50010#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
urgency_outline_50020#0,"""เก็บ Quest Point กันเถอะ!"""
urgency_outline_50030#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
urgency_outline_50035#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
urgency_outline_50040#0,"""ไปกำจัด Big Varders!"""
urgency_outline_50050#0,"""สู้ไปเรื่อยๆจนกว่าจะหมดเวลา!"""
urgency_outline_50060#0,"""หาร้านเค้กของ Naura กันก่อน!"""
urgency_outline_50070#0,"""สู้ไปเรื่อยๆจนกว่าจะหมดเวลา!"""
urgency_outline_50080#0,"""เอาชนะ Falz Arm ก่อน!"""
urgency_outline_50090#0,"""การปราบปรามของ Dark Falz the Elder"""
urgency_outline_50100#0,"""หาร้านเค้กของ Naura กันก่อน!"""
urgency_outline_50110#0,"""เก็บ Valentine Point กัน!"""
urgency_outline_50120#0,"""เก็บ White Day Point กัน!"""
urgency_outline_50130#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
urgency_outline_50140#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
urgency_outline_50160#0,"""เก็บ Quest Point กันเถอะ!"""
escape_outline_030010#0,"""เน้นหา Recovery point กัน!"""
escape_outline_030020#0,"""ไปให้ถึงจุดช่วยเหลือ!"""
tgs2012vita_outline_00000#0,"""ไปปราบ Vol Dragon กัน!"""
tgs2013_outline_00000#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
cost_outline_010010#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
cost_outline_020010#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
cost_outline_030010#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
cost_outline_040010#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
cost_outline_050010#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
cost_outline_060010#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
cost_outline_070010#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
cost_outline_080010#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
cost_outline_090010#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
cost_outline_100010#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
cost_outline_110010#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
cost_outline_120010#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
event_outline_80010#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
event_outline_80020#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
event_outline_80030#0,"""ทำลาย Dark Falz the Elder"""
event_outline_80040#0,"""เก็บ Quest Point กันเถอะ!"""
event_outline_80060#0,"""สะสม Quest Point !"""
event_outline_80070#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
event_outline_80080#0,"""กำจัดศัตรูให้หมดทุกตัว !"""
event_outline_80100#0,"""สะสม Quest Point !"""
event_outline_80110#0,"""สะสม Quest Point !"""
tower_outline_90010#0,"""พิชิตสเตจทั้ง 5 ให้ได้!"""
tower_outline_90020#0,"""พิชิตสเตจทั้ง 5 ให้ได้!"""
tower_outline_90030#0,"""พิชิตสเตจทั้ง 5 ให้ได้!"""
defense_outline_010010#0,"""ปกป้อง Mining Post !"""
defense_outline_010030#0,"""ปกป้อง Mining Post !"""
urgency_outline_100010#0,"""สะสม Beach Point!"""
urgency_outline_100015#0,"""สะสม Beach Point!"""
urgency_outline_060020#0,"""ทำลายจักรกลศัตรูปริศนา"""
urgency_outline_50210#0,"""หาร้านเค้กของ Naura ให้พบ!"""
urgency_outline_50200#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
urgency_outline_50220#0,"""หาร้านเค้กของ Naura กันก่อน!"""
urgency_outline_50230#0,"""สะสม Quest Point !"""
urgency_outline_50240#0,"""สะสม Valentine Point !"""
urgency_outline_50250#0,"""สะสม White Day Point !"""
urgency_outline_50260#0,"""เปิดสวิตช์และกำจัดศัตรูให้หมด"""
urgency_outline_50270#0,"""กำจัด Apos Dorios !"""
urgency_outline_50280#0,"""กำจัด Dark Falz Luther"""
urgency_outline_50290#0,"""กำจัด Dark Falz Luther"""
urgency_outline_50300#0,"""เก็บ Quest Point กันเถอะ!"""
urgency_outline_50310#0,"""ไปให้ถึงส่วนที่ลึกที่สุด!"""
urgency_outline_100020#0,"""สะสม Beach Point!"""
Test#1,"""Dummy1"""
ApeAnnihilate#1,"""ザウーダンを殲滅せよ！"""
QueenAnnihilate#1,"""ブリアーダを殲滅せよ！"""
WormAnnihilate#1,"""キャタドランを殲滅せよ！"""
CollectData#1,"""ナヴ・ラッピーを捕獲せよ！"""
DestroyTarget#1,"""最深部の異常を調査せよ！"""
GetPoints#1,"""クエストポイントを獲得せよ！"""
ReachDeep#1,"""最深エリアまで探索せよ！"""
story_outline_10010#1,"""ダーカーの群れを突破せよ！"""
story_outline_10020_01#1,"""ダーカーの群れを突破せよ！"""
story_outline_10020_02#1,"""声の正体を確かめろ！"""
story_outline_10020_03#1,"""声の正体を確かめろ！"""
story_outline_10030_01#1,"""地質サンプルを採取せよ！"""
story_outline_10030_02#1,"""謎の人影を追え！"""
story_outline_10040_01#1,"""リリーパ族を探し出せ！"""
story_outline_10040_02#1,"""リリーパ族を探し出せ！"""
story_outline_10050_01#1,"""龍族とコンタクトせよ！"""
story_outline_10050_02#1,"""龍族とコンタクトせよ！"""
story_outline_10060_01#1,"""最深部まで探索せよ！"""
story_outline_10060_02#1,"""リリーパ族を守りながら進め！"""
story_outline_10070_01#1,"""浮遊大陸を探索せよ！"""
story_outline_10070_02#1,"""待ち人に会いに行け！"""
story_outline_10080#1,"""侵入したダーカーを殲滅せよ！"""
story_outline_10080_02#1,"""居住地区へと向かえ！"""
story_outline_10090_01#1,"""遺跡の秘密を探れ！"""
story_outline_10090_02#1,"""遺跡の秘密を探れ！"""
story_outline_10090_03#1,"""遺跡の秘密を探れ！"""
story_outline_10090_04#1,"""歴史改変を成し遂げろ！"""
story_outline_10100_01#1,"""造龍ハドレッドを捕捉しろ！"""
story_outline_10100_02#1,"""造龍ハドレッドを捕捉しろ！"""
story_outline_10110_01#1,"""奥にいるクーナと合流せよ！"""
story_outline_10120#1,"""スコアポイントを稼げ！"""
story_outline_10130_01#1,"""カブラカンの仲間を探せ！"""
story_outline_10130_02#1,"""テオドールと共に奥へ進め！"""
story_outline_10140_01#1,"""ロ・カミツを探せ！"""
story_outline_10140_02#1,"""サラと共に進め！"""
story_outline_10150_01#1,"""採掘場跡を警らせよ"""
story_outline_10150_02#1,"""アフィンと共に探索せよ"""
story_outline_10160_01#1,"""海底の施設を調査せよ！"""
story_outline_10160_02#1,"""海底エリアを調査せよ！"""
story_outline_10170_01#1,"""メルフォンシーナと共に進め"""
story_outline_10180_01#1,"""シオンのもとへ急げ！"""
story_outline_10175_01#1,"""最奥で一人戦う彼女のもとへ急げ！"""
freefield_outline_20010#1,"""最深部を目指せ！"""
freefield_outline_20020#1,"""最深部を目指せ！"""
freefield_outline_20030#1,"""最深部を目指せ！"""
freefield_outline_20040#1,"""最深部を目指せ！"""
freefield_outline_20050#1,"""最深部を目指せ！"""
freefield_outline_20060#1,"""最深部を目指せ！"""
freefield_outline_20070#1,"""最深部を目指せ！"""
freefield_outline_20080#1,"""最深部を目指せ！"""
freefield_outline_20090#1,"""最深部を目指せ！"""
freefield_outline_20100#1,"""最深部を目指せ！"""
freefield_outline_20110#1,"""最深部を目指せ！"""
arks_outline_30010#1,"""ザウーダンを討伐せよ！"""
arks_outline_30015#1,"""フォンガルフを討伐せよ！"""
arks_outline_30020#1,"""ナヴ・ラッピーを捕獲せよ！"""
arks_outline_30030#1,"""クエストポイントをためろ！"""
arks_outline_30040#1,"""ファングバンサーを討伐せよ！"""
arks_outline_30050#1,"""クエストポイントをためろ！"""
arks_outline_30060#1,"""カルターゴを殲滅せよ！"""
arks_outline_30070#1,"""キャタドランを討伐せよ！"""
arks_outline_30080#1,"""クエストポイントをためろ！"""
arks_outline_30090#1,"""稀少鉱物を回収せよ！"""
arks_outline_30100#1,"""鉱石を採掘せよ！"""
arks_outline_30110#1,"""クエストポイントをためろ！"""
arks_outline_30120#1,"""連絡途絶のアークスを捜索せよ！"""
arks_outline_30130#1,"""デ・マルモスを鎮圧せよ！"""
arks_outline_30140#1,"""クエストポイントをためろ！"""
arks_outline_30150#1,"""要救助者を救助せよ！"""
arks_outline_30160#1,"""トランマイザーを撃破せよ！"""
arks_outline_30170#1,"""クエストポイントをためろ！"""
arks_outline_30180#1,"""特殊鉱物を回収せよ！"""
arks_outline_30190#1,"""キャタドランサを討伐せよ！"""
arks_outline_30200#1,"""クエストポイントをためろ！"""
arks_outline_30210#1,"""ダーカイムを破壊せよ！"""
arks_outline_30220#1,"""ウォルガーダを殲滅せよ！"""
arks_outline_30230#1,"""クエストポイントをためろ！"""
arks_outline_30240#1,"""ソル・ディランダールの討伐"""
arks_outline_30250#1,"""ゴロンゾランを鎮圧せよ！"""
arks_outline_30260#1,"""クエストポイントをためろ！"""
arks_outline_30270#1,"""最深部の砲仙花を駆除せよ！"""
arks_outline_30280#1,"""オルグブランを討伐せよ！"""
arks_outline_30290#1,"""クエストポイントをためろ！"""
arks_outline_30300#1,"""最深部の集落を防衛せよ！"""
arks_outline_30310#1,"""ヴァーダーソーマを討伐せよ！"""
arks_outline_30320#1,"""クエストポイントをためろ！"""
arks_outline_30330#1,"""ウォパル原生住民を救助せよ！"""
arks_outline_30340#1,"""デコル・マリューダを討伐せよ！"""
time_outline_40010#1,"""最深部を目指せ！"""
time_outline_40020#1,"""最深部を目指せ！"""
time_outline_40030#1,"""最深部を目指せ！"""
time_outline_40040#1,"""最深部を目指せ！"""
time_outline_40050#1,"""最深部を目指せ！"""
time_outline_40060#1,"""最深部を目指せ！"""
urgency_outline_50010#1,"""最深部を目指せ！"""
urgency_outline_50020#1,"""クエストポイントをためろ！"""
urgency_outline_50030#1,"""最深部を目指せ！"""
urgency_outline_50035#1,"""最深部を目指せ！"""
urgency_outline_50040#1,"""ビッグヴァーダーを撃破せよ！"""
urgency_outline_50050#1,"""時間一杯エネミーを撃退せよ！"""
urgency_outline_50060#1,"""ナウラのケーキ屋を探し出せ！"""
urgency_outline_50070#1,"""時間一杯エネミーを撃退せよ！"""
urgency_outline_50080#1,"""ファルス・アームを撃破せよ！"""
urgency_outline_50090#1,"""ダークファルス・エルダーの撃破"""
urgency_outline_50100#1,"""ナウラのケーキ屋を探し出せ！"""
urgency_outline_50110#1,"""バレンタインPtをためろ！"""
urgency_outline_50120#1,"""ホワイトデーPtをためろ！"""
urgency_outline_50130#1,"""最深部を目指せ！"""
urgency_outline_50140#1,"""最深部を目指せ！"""
urgency_outline_50160#1,"""クエストポイントをためろ！"""
escape_outline_030010#1,"""回収ポイントを目指せ！"""
escape_outline_030020#1,"""回収ポイントを目指せ！"""
tgs2012vita_outline_00000#1,"""ヴォル・ドラゴンを倒せ！"""
tgs2013_outline_00000#1,"""最深部を目指せ！"""
cost_outline_010010#1,"""最深部を目指せ！"""
cost_outline_020010#1,"""最深部を目指せ！"""
cost_outline_030010#1,"""最深部を目指せ！"""
cost_outline_040010#1,"""最深部を目指せ！"""
cost_outline_050010#1,"""最深部を目指せ！"""
cost_outline_060010#1,"""最深部を目指せ！"""
cost_outline_070010#1,"""最深部を目指せ！"""
cost_outline_080010#1,"""最深部を目指せ！"""
cost_outline_090010#1,"""最深部を目指せ！"""
cost_outline_100010#1,"""最深部を目指せ！"""
cost_outline_110010#1,"""最深部を目指せ！"""
cost_outline_120010#1,"""最深部を目指せ！"""
event_outline_80010#1,"""最深部を目指せ！"""
event_outline_80020#1,"""最深部を目指せ！"""
event_outline_80030#1,"""ダークファルス・エルダーの撃破"""
event_outline_80040#1,"""クエストポイントをためろ！"""
event_outline_80060#1,"""クエストポイントをためろ！"""
event_outline_80070#1,"""最深部を目指せ！"""
event_outline_80080#1,"""エネミーを全滅させろ！"""
event_outline_80100#1,"""クエストポイントをためろ！"""
event_outline_80110#1,"""クエストポイントをためろ！"""
tower_outline_90010#1,"""５つのステージを制覇せよ！"""
tower_outline_90020#1,"""５つのステージを制覇せよ！"""
tower_outline_90030#1,"""５つのステージを制覇せよ！"""
defense_outline_010010#1,"""採掘基地を防衛せよ！"""
defense_outline_010030#1,"""採掘基地を防衛せよ！"""
urgency_outline_100010#1,"""ビーチPtをためろ！"""
urgency_outline_100015#1,"""ビーチPtをためろ！"""
urgency_outline_060020#1,"""謎の敵性機械エネミーの撃破"""
urgency_outline_50210#1,"""ナウラのケーキ屋を探し出せ！"""
urgency_outline_50200#1,"""最深部を目指せ！"""
urgency_outline_50220#1,"""ナウラのケーキ屋を探し出せ！"""
urgency_outline_50230#1,"""クエストポイントをためろ！"""
urgency_outline_50240#1,"""バレンタインPtをためろ！"""
urgency_outline_50250#1,"""ホワイトデーPtをためろ！"""
urgency_outline_50260#1,"""スイッチを起動しエネミーを殲滅"""
urgency_outline_50270#1,"""アポス・ドリオスを撃破せよ！"""
urgency_outline_50280#1,"""ダークファルス・ルーサーの撃破"""
urgency_outline_50290#1,"""ダークファルス・ルーサーの撃破"""
urgency_outline_50300#1,"""クエストポイントをためろ！"""
urgency_outline_50310#1,"""最深部を目指せ！"""
urgency_outline_100020#1,"""ビーチPtをためろ！"""
Title#0,"""[$(0)]"""
InterruptIncident#0,"""Dummy0"""
Enemy#0,"""กำจัด $(0)!"""
InterruptIncidentSpecifiedEnemyAnnihilation#0,"""Dummy1"""
InterruptIncidentSpecifiedEnemyAnnihilation_A#0,"""กำจัด Zawoodans!"""
InterruptIncidentSpecifiedEnemyAnnihilation_B#0,"""กำจัด Rockbears!"""
InterruptIncidentSpecifiedEnemyAnnihilation_C#0,"""กำจัด Briadas!"""
InterruptIncidentSpecifiedEnemyAnnihilation_D#0,"""กำจัด Carthagos!"""
InterruptIncidentEscapeEnemyAnnihilation#0,"""จู่โจม Nav Rappy!"""
InterruptIncidentBossAnnihilation#0,"""Dummy3"""
InterruptIncidentBossAnnihilation_A#0,"""กำจัด Vol Dragons!"""
InterruptIncidentFirewall#0,"""Dummy4"""
InterruptIncidentHeliDefense#0,"""Dummy5"""
InterruptIncidentDoorAndKey#0,"""Dummy6"""
InterruptIncidentEnemybomb#0,"""มุ่งหน้าไปยังพื้นที่ด้านในสุดเพื่อตรวจสอบความผิดปกติ!"""
InterruptIncidentP#0,"""Dummy8"""
EnemyBossSpider#0,"""กำจัด Boss Kumo!"""
EnemyBossDragon#0,"""กำจัด Dragon!"""
BeginQuestPointMsg#0,"""รับ $(0) Quest Point!"""
BeginQuestPointMsg_A#0,"""กำจัดสิ่งมีชีวิตพื้นเมืองของ Naberius <br>เพื่อสะสม Quest Point ให้ถึง $(0)!"""
BeginQuestPointMsg_B#0,"""กำจัด D-arkers เพื่อสะสม Quest Point ให้ถึง $(0)!"""
BeginQuestPointMsg_C#0,"""กำจัด Dragorii! เพื่อสะสม Quest Point ให้ถึง $(0)!"""
InterruptIncidentBossAnnihilation_B#0,"""กำจัด Caterdrans!"""
BeginFreeFieldMsg_A#0,"""ถึงพื้นที่สุดท้าย!"""
story_begin_10010#0,"""บุกทะลวงฝูง D-arker!"""
story_begin_10020_01#0,"""บุกทะลวงฝูง D-arker!"""
story_begin_10020_02#0,"""ค้นหาแหล่งที่มาของเสียงลึกลับ!"""
story_begin_10020_03#0,"""ค้นหาแหล่งที่มาของเสียงลึกลับ!"""
story_begin_10030_01#0,"""เก็บตัวอย่างชีววิทยา"""
story_begin_10030_02#0,"""ติดตามบุคคลลึกลับ!"""
story_begin_10040_01#0,"""ค้นหา Lagomite!"""
story_begin_10040_02#0,"""ค้นหา Lagomite!"""
story_begin_10050_01#0,"""ติดต่อกับ Dragorii!!"""
story_begin_10050_02#0,"""ติดต่อกับ Dragorii!!"""
story_begin_10060_01#0,"""ไปยังพื้นที่สุดท้าย"""
story_begin_10060_02#0,"""ปกป้อง Lagomite!"""
story_begin_10070_01#0,"""สำรวจ Skyscape!"""
story_begin_10070_02#0,"""ไปหาคนที่รอคอยท่าน"""
story_begin_10080#0,"""กำจัดผู้บุกรุก D-arker!"""
story_begin_10080_2#0,"""ไปยังพื้นที่เป้าหมาย !"""
story_begin_10090_01#0,"""ค้นพบความลับของซากปรักหักพัง!"""
story_begin_10090_02#0,"""ค้นพบความลับของซากปรักหักพัง!"""
story_begin_10090_03#0,"""ค้นพบความลับของซากปรักหักพัง!"""
story_begin_10090_04#0,"""เปลี่ยนแปลงประวัติศาสตร์!"""
story_begin_10100_01#0,"""จับ Dragorii Haddred!"""
story_begin_10100_02#0,"""จับ Dragorii Haddred!"""
story_begin_10110_01#0,"""ไปพบกับ Kuhna!"""
story_begin_10120#0,""" กำจัดศัตรูเพื่อสะสม Quest Point ให้ถึง $(0)!"""
story_begin_10130_01#0,"""ตามหาเพื่อนพ้องของ Cabracan!"""
story_begin_10130_02#0,"""อยู่ใกล้ๆ Theodor แล้วบุกเข้าไปด้านใน!"""
story_begin_10140_01#0,"""ค้นหา Ro'Kamiz!"""
story_begin_10140_02#0,"""เข้าไปพร้อม Sarah!"""
story_begin_10150_01#0,"""ลาดตระเวน Abandoned Mine"""
story_begin_10150_02#0,"""ทำภารกิจสำรวจพร้อมกับ Afin"""
story_begin_10160_01#0,"""ทำภารกิจสำรวจสิ่งก่อสร้างบน Sea Bed !"""
story_begin_10160_02#0,"""ทำภารกิจสำรวจ Sea Bed !"""
story_begin_10170_01#0,"""เดินทางพร้อมกับ Melfon !"""
story_begin_10180_01#0,"""รีบไปพบ Xion !"""
story_begin_10175_01#0,"""รีบไปพบเธอที่ส่วนลึกสุดเพียงลำพัง !"""
freefield_begin_20010#0,"""ไปยังพื้นที่สุดท้าย"""
freefield_begin_20020#0,"""ไปยังพื้นที่สุดท้าย"""
freefield_begin_20030#0,"""ไปยังพื้นที่สุดท้าย"""
freefield_begin_20040#0,"""ไปยังพื้นที่สุดท้าย"""
freefield_begin_20050#0,"""ไปยังพื้นที่สุดท้าย"""
freefield_begin_20060#0,"""ไปยังพื้นที่สุดท้าย"""
freefield_begin_20070#0,"""ไปยังพื้นที่สุดท้าย"""
freefield_begin_20080#0,"""ไปยังพื้นที่สุดท้าย"""
freefield_begin_20090#0,"""ไปยังพื้นที่สุดท้าย"""
freefield_begin_20100#0,"""ไปยังพื้นที่สุดท้าย"""
freefield_begin_20110#0,"""ไปยังพื้นที่สุดท้าย"""
arks_begin_30010#0,""" กำจัด Zawoodans!"""
arks_begin_30015#0,""" กำจัด Phongalphs!"""
arks_begin_30020#0,"""จู่โจม Nav Rappy!"""
arks_begin_30030#0,"""กำจัด Dagans เพื่อสะสม Quest Point ให้ถึง $(0)!"""
arks_begin_30040#0,"""กำจัด Fangbanthers!"""
arks_begin_30050#0,"""กำจัด Dragorii! เพื่อสะสม Quest Point ให้ถึง $(0)!"""
