un_064090_0001#0,"""A.P.242/3/20/11:00"""
un_064090_0410#0,"""でも、それはわたくしが臆病なだけ……<br>ストラトスはずっと、「ルコはルコ」と<br>言ってくれてましたもの。"""
un_064090_0420#0,"""以上で、わたくしの話は終わりです。<br>お二人は、こんなわたくしを……<br>許して、くれますの？"""
un_064090_0430#0,"""当たり前です！<br>ルコは何も悪くないじゃないですか！<br>文句ないですよね、キョーくん？"""
un_064090_0440#0,"""ああ……<br>お前は、自分の心の奥底に眠る<br>「恐れる心」を克服した。"""
un_064090_0450#0,"""そして、俺たちを信じ……<br>自らの言葉で嘘偽りない説明をした。<br>……ならば、俺から言うことは無い。"""
un_064090_0460#0,"""ありがとうですの……"""
un_064090_0470#0,"""あらためて……<br>お帰りなさい！\u3000ルコ！"""
un_064090_0480#0,"""……ただいまですの！<br>ストラトス！\u3000キョーさん！"""
un_064090_0490#0,"""ほらほら、キョーくんも謝って！<br>ルコにたくさん、ひどいことを<br>言ったんですから！"""
un_064090_0500#0,"""フン……<br>俺は、お前たちが仲直りできるよう<br>「おもてなし」してやっただけだ。"""
un_064090_0510#0,"""まあ、あれは<br>「おもてなし」でしたの！？<br> すばらしいですの！"""
un_064090_0520#0,"""……は？"""
un_064090_0530#0,"""相手の気持ちになって<br>もっとも喜ばれる方法を<br>考えること。"""
un_064090_0540#0,"""相手の気持ちになって<br>悲しみを和らげる方法を<br>考えること。"""
un_064090_0550#0,"""その「おもてなし」の心を<br>理解し、実践されている方こそが……<br>「メイドさん」なのですわ。"""
un_064090_0560#0,"""これでキョーさんも、晴れて……<br>「メイドさん」ですの！"""
un_064090_0570#0,"""……お前は、莫迦だ。"""
un_064090_0580#0,"""そうですよ、ルコ。<br>キョーくんは男の子ですから<br>「メイドくん」ですよ！"""
un_064090_0590#0,"""お前も、莫迦だ！"""
un_064090_0600#0,"""あっ、こらっ、キョーくん！<br>バカって言う方が、バカなんですよ！"""
un_064090_0610#0,"""まあまあ……<br>今度は三人でメイドさんの服を着て<br>おもてなしを実践しましょうですの！"""
un_064090_0620#0,"""いやだ！"""
un_064090_0630#0,"""いやです！"""
un_064090_0640#0,"""ふふっ……マスター。<br>わたくしたちを助けてくださって<br>ありがとうですの。"""
un_064090_0650#0,"""おかげさまで、また戻れそうですの。<br>あの頃の、わたくしたちに……！"""
