st_052050_0010#0,"""この度のご助力、皆を代表しまして<br>深く感謝申し上げます。"""
st_052050_0380#0,"""その花に力を込めてください。<br>武器を持つように、フォトンを込めて。"""
st_052050_0390#0,"""……やっぱり。"""
st_052050_0400#0,"""……やはり。"""
st_052050_0410#0,"""え……？<br>ハリエットさん<br>やはり、っていうのは？"""
st_052050_0420#0,"""先に、お話ししようとした伝承です。<br>この世に太古からある<br>誰もが知っている、御伽話。"""
st_052050_0430#0,"""その一節に、こうあるんです。"""
st_052050_0440#0,"""世が闇に満ちようとも嘆くなかれ。<br>異界に繋がる光の彼方より<br>精霊に導かれし英雄、現れる。"""
st_052050_0450#0,"""英雄は標となり、光の道を渡す。<br>其の道は勇士の道となり<br>彼の者の輩を導くだろう。"""
st_052050_0460#0,"""導かれし英雄たちは<br>光のもとに迷いし民を導くだろう。<br>其は困難なる道、而して正しき道なり。"""
st_052050_0470#0,"""汝ら其を恐れることなかれ。<br>其の手は光の導き手。救世主。<br>其は闇を祓い光をもたらす。"""
st_052050_0480#0,"""<%me>様。<br>……伝承にある<br>異界よりの来訪者よ。"""
st_052050_0490#0,"""いえ、「守護輝士」。"""
st_052050_0500#0,"""お願いです。<br>私達に力を貸してください。"""
st_052050_0510#0,"""なんだかすごい大がかりな話に<br>なっちゃってますね……"""
st_052050_0520#0,"""ていうか、ハリエットさんは<br>いいんですか？"""
st_052050_0530#0,"""伝承、っていうのはわかりましたが<br>私達は明らかにこの世界の人ではない。<br>そんな得体の知れない人を信じて。"""
st_052050_0540#0,"""もちろん、伝承だけでしたら<br>警戒していたと思います。"""
st_052050_0550#0,"""ですが、貴方は<br>力を貸してくれました。<br>二度も、私を助けてくれました。"""
st_052050_0560#0,"""信じるには、それで十分です。<br>それだけで十分ですよ。"""
st_052050_0570#0,"""右も左も分からない場所で<br>しかし、それでも力を貸すのを<br>躊躇わなかった貴方を信じる。"""
st_052050_0580#0,"""たとえ伝承がなかったとしても<br>私はそう、答えます。"""
st_052050_0590#0,"""さっきのエフィメラという花。<br>フォトンに反応して、消滅しました。"""
st_052050_0600#0,"""あれは、ダーカー因子の塊です。<br>アークスとしても、放っておけません。<br>それに…"""
st_052050_0610#0,"""こうまで言われちゃ<br>断れない……ですよね！"""
st_052050_0620#0,"""ありがとう、ございます！"""
st_052050_0630#0,"""色々と情報が手に入りましたね。<br>とりあえず一旦、アークスシップに<br>戻って報告しませんか？"""
skit01#0,"""The Savior"""
skit02#0,"""救世の存在"""
