un_025050_0010#0,"""อ๊ะ......<br>คุณ <%me>"""
un_025050_0120#0,"""แต่ก็นะครับ เพราะจริงๆ แล้วเค้าก็เป็น<br>Dark Falz อยู่แล้ว มันจึงไม่ใช่เรื่องน่าขำ"""
un_025050_0125#0,"""คุณเอง ก็เหมือนกับพวกชั้น<br>......เป็นตัวตนที่ถูกสร้างขึ้นมายังงั้นเหรอคะ?"""
un_025050_0130#0,"""อา ใช่แล้วล่ะครับ<br>Three Victors โคลน Type Kasra<br>ร่างทดลองล็อตแรกก็คือ ผมเองครับ"""
un_025050_0140#0,"""ที่ไม่ได้ถูกสร้างออกมาเป็นจำนวน<br>มากอย่าง Clariskrays......<br>ก็ครับ คงเป็นเพราะควบคุมยากล่ะมั้งครับ"""
un_025050_0150#0,"""เพราะว่า Kasra รุ่นแรกน่ะเป็นพวกดื้อ<br>ควบคุมยาก ขนาดที่ Luther ยังต้องพูดว่า<br>ต้องเข้ายึดครองโดยตรงเลยทีเดียวล่ะครับ"""
un_025050_0160#0,"""อา แต่ว่า กรุณาอย่าได้เข้าใจผิดนะครับ<br>ผมไม่ได้เรียกร้องความเห็นใจเพราะว่า<br>อยู่ในสภาพการณ์เดียวกันหรอกนะครับ?"""
un_025050_0170#0,"""ผมคือคนที่วางโครงการเรื่องมังกรประดิษฐ์ <br>สรุปก็คือ เป้าหมายในการแก้แค้นของ<br>คุณ Kuhna นั้นก็คือผมไม่ผิดหรอกครับ"""
un_025050_0180#0,"""แน่นอนว่าผมเองก็มีความรับผิดชอบที่ไม่สามารถ<br>สันนิษฐานการแทรกแซงของ Luther จนทำให้<br>หยุดการทดลองที่ไร้มนุษยธรรมไม่ได้อยู่เช่นกันครับ"""
un_025050_0190#0,"""......Three Victors Kasra<br>ทำไมคุณถึงได้ไม่ปิดบังเรื่องของ<br>มังกรประดิษฐ์แล้วล่ะคะ?"""
un_025050_0200#0,"""ถ้าเป็นตามปกติล่ะก็ คุณจะต้องจัดการกับเบื้องหลังอย่าง<br>สุขุมแน่ๆ ทั้งๆ ที่เป็นแบบนั้น แต่จากการชี้นำของคุณ<br>ก็ทำให้การกระทำของสถาบันวิจัยถูกเปิดเผยออกมา......"""
un_025050_0210#0,"""ราวกับว่า ด้านมืดของสถาบันวิจัย<br>ถูกทำให้กระจ่าง......<br>......ทำไม คุณถึงทำแบบนั้น?"""
un_025050_0220#0,"""......นั่นสิ ทำไมกันนะครับ"""
un_025050_0230#0,"""......ชั้นน่ะ เกลียดตรงจุดนั้น<br>ของคุณที่สุดเลยค่ะ"""
un_025050_0240#0,"""เฮ้อ ให้ตายสิ<br>ผมพลาดโอกาสที่จะตายไปอีกแล้วสินะครับ"""
un_025050_0250#0,"""1. เรื่องที่พูดเมื่อกี้เป็นเรื่องจริงรึเปล่า?"""
un_025050_0260#0,"""2. หยอกเค้ามากเกินไปรึเปล่า?"""
un_025050_0270#0,"""นั่นสิ จะเป็นยังไงแน่นะครับ?<br>จะเป็นเรื่องจริงแค่ไหน โกหกแค่ไหน<br>ผมให้คุณจินตนาการเอาเองละกันครับ"""
un_025050_0280#0,"""อย่างนั้นเหรอครับ?<br>เห็นแบบนี้ แต่ผมก็พูด<br>แบบซีเรียสๆ แล้วนะครับ?"""
un_025050_0290#0,"""แต่ว่า ผมคงพูดมากเกินไปซะแล้ว<br>......พออยู่กับคุณแล้ว ไม่รู้ทำไมผมถึง<br>ชอบปากเบาอยู่เรื่อยเลยครับ แย่จริงๆ"""
un_025050_0300#0,"""ก่อนที่ผมจะสะเพร่าพลั้งปากไปมากกว่านี้<br>ผมคงต้องขอตัวก่อนแล้วล่ะครับ<br>ไว้เจอกันใหม่นะครับ"""
un_025050_0010#1,"""あ……<br><%me>さん。"""
un_025050_0020#1,"""どうしたんですか、クーナさん。<br>今更怖じ気づいたんですか？"""
un_025050_0030#1,"""……気が乗りません。<br>またの機会にします。"""
un_025050_0040#1,"""彼女の引き下がる理由に<br>体よく利用されちゃいましたね。<br><%me>さん。"""
un_025050_0050#1,"""……それ以上無駄口を叩くようなら<br>今すぐにでもその命、断ちますよ？"""
un_025050_0060#1,"""ははっ、冗談ですよ、冗談。<br>ルーサーが消えた今、私が慌てて<br>死ぬ必要もなくなりましたしね。"""
un_025050_0070#1,"""……どういうことですか？"""
un_025050_0080#1,"""フォトナーとは、太古の存在。<br>たとえ図抜けた超技術があったとしても<br>当時の肉体を保持するのは不可能です。"""
un_025050_0090#1,"""さて、そうなるとルーサーの肉体は<br>一体どこから調達したものでしょう？"""
un_025050_0100#1,"""……答えは、ここ。<br>アークスの身体を容れ物とし<br>利用していたんですよ。"""
un_025050_0110#1,"""今の身体が壊れたら<br>用意しておいた次の身体へ……<br>ダークファルスさながらに、ね。"""
un_025050_0120#1,"""まあ、本当にダークファルスだったので<br>笑い話にもなりませんけど。"""
un_025050_0125#1,"""あなたも、わたしたちと同じで<br> ……造られた存在、なんですか？"""
un_025050_0130#1,"""ええ、そうですよ。<br>三英雄カスラタイプのクローン。<br>その初期実験ロットが、私です。"""
un_025050_0140#1,"""クラリスクレイスのように<br>量産されなかったのは……<br>まあ、御しにくいからでしょうね。"""
un_025050_0150#1,"""初代カスラはひねくれてて<br>操りにくかったから、直接乗っ取ったと<br>ルーサーが言うぐらいでしたから。"""
un_025050_0160#1,"""ああでも、勘違いしないで下さい。<br>同じ境遇だから同情を誘おうとか<br>そういった気はないですよ？"""
un_025050_0170#1,"""造龍計画を立案したのは、私。<br>つまり、クーナさんの復讐対象は<br>私で間違いありません。"""
un_025050_0180#1,"""ルーサーの介入を想定できず<br>非道な実験を止められなかった責も<br>当然、私にあります。"""
un_025050_0190#1,"""……三英雄カスラ。<br>なぜ、造龍のことを<br>隠蔽しなかったのですか？"""
un_025050_0200#1,"""いつもなら粛々と裏で処理するはず。<br>それなのに貴方主導の時に限って<br>研究室の所行を含め、一斉に開示……"""
un_025050_0210#1,"""まるで、研究室の暗部を<br>解き明かそうとするように……<br>……なぜ、そんなことを？"""
un_025050_0220#1,"""……さて、なんででしょうね。"""
un_025050_0230#1,"""……私は、貴方の<br>そういうところが大嫌いです。"""
un_025050_0240#1,"""やれやれ。<br>また死にそびれちゃいました。"""
un_025050_0250#1,"""１．今の話は本当なのか？"""
un_025050_0260#1,"""２．ふざけすぎじゃないか？"""
un_025050_0270#1,"""どうでしょうね？<br>どこまでが本当で、どこまでが嘘か<br>ご想像にお任せします。"""
un_025050_0280#1,"""そうですかねえ？<br>これでもかなり真面目に<br>話したほうなんですよ？"""
un_025050_0290#1,"""しかし、ちょっと話しすぎましたね。<br>……貴方といると、なぜだか口が<br>軽くなってしまう。困りものです。"""
un_025050_0300#1,"""迂闊なことを口走ってしまう前に<br>私は失礼させてもらいますね。<br>それでは。"""
