Klaris_mb1_010#0,"""なんだ貴様？<br>私に何か用か？"""
11_voice_NPC_5186_100#15,"""背伸びばかりしてると辛いからな。<br>私は、自分の身の丈にあったことを<br>精一杯やっていくだけだ。"""
Klaris_mb21_010#0,"""色々なことがあったが<br>ようやく自分の中で<br>整理できつつあるんだ。"""
Klaris_mb21_020#0,"""もちろん、まだ受け入れにくいことや<br>難しいこともたくさんある。"""
Klaris_mb21_030#0,"""でも、サラとは話せたし<br>ずっと考えていても仕方ないからな。<br>だからもう大丈夫だ。"""
Asai_01_10#0,"""んん？\u3000どうしたのだ？<br>……なるほど、強さの秘訣を<br>知りたいのだな？"""
Asai_01_20#0,"""そんなの簡単だぞ！<br>どれだけ敵を爆破できるか！<br>これにつきるだろう！"""
11_voice_NPC_5186_100#16,"""敵を殲滅できる力がなければ<br>助けることもできないからな！"""
11_voice_NPC_5186_104#0,"""サラとはたまに任務へ一緒に<br>行ったりしているんだ。"""
11_voice_NPC_5186_100#17,"""今まではヒューイと一緒か<br>一人だったから新鮮だな。"""
Klaris_mb22_030#0,"""まだまだ乗り越えなきゃならないことは<br>たくさんあるけれど……<br>私なりに精一杯やってるぞ。"""
11_voice_NPC_5186_100#18,"""サラと一緒に任務へ行くと<br>たいてい迷子になるか<br>遠回りになるんだ。"""
11_voice_NPC_5186_104#1,"""サラが私の直感を信じないのが<br>原因だからな。<br>私は悪くないぞ。"""
Klaris_mb23_030#0,"""まあでも、一人で行くより<br>ずっといい。"""
Klaris_mb23_after_010#0,"""……ああ、貴様か。<br>もう動いて大丈夫なのか？<br>私も心配したんだぞ。"""
Klaris_mb23_after_020#0,"""状況は、大体聞いたんだ。<br>マトイが先代だったことは驚いたし<br>いろいろ聞きたい気もしてる。"""
Klaris_mb23_after_030#0,"""でもそれは戻ってきてから聞けばいい。<br>今は、見つけることを考えないとな。"""
Klaris_mb24_010#0,"""困っているようなら<br>いつでも手を貸すからな。"""
Klaris_mb24_020#0,"""貴様には、たくさん世話になったし<br>助けてもらったと思う。"""
11_voice_NPC_5186_100#19,"""だから、何でも言ってくれ。<br>私は、貴様の味方だぞ。"""
Klaris_mb24_after_010#0,"""今回、ちゃんと協力できたし<br>みんなのためにも動けたから<br>スゴく嬉しかったんだ。"""
Klaris_mb24_after_020#0,"""戦いが終わった後、他のアークスとも<br>ちょっとだけ話すことが出来たんだぞ。"""
11_voice_NPC_5186_100#20,"""だから、私にとっても<br>嬉しいことだし、いい結果だったんだ。"""
11_voice_NPC_5186_100#21,"""先代に聞いてみたいこととか<br>話してみたいこととか<br>たくさんあるんだ。"""
Klaris_mb25_020#0,"""ただ今は色々検査とかあるみたいで<br>なかなか話すタイミングが無いんだ。"""
Klaris_mb25_030#0,"""だから機会を見つけて<br>話せればって思っているぞ。"""
