Npc_7001001#0,"""マノン"""
Npc_MineralResearcher#0,"""アークス鉱物研究員"""
Npc_Communication#0,"""アークス情報支援員"""
Npc_WeatherResearcher#0,"""アークス気象研究員"""
Npc_Telegraphist#0,"""アークス通信士"""
Npc_SeniorTelegraphist#0,"""アークス上級通信士"""
Npc_MagEngineer#0,"""アークス機械技師"""
Npc_MeleeInstructor#0,"""アークス打撃教導官"""
Npc_MeleeInstructor2#0,"""ファイター教導官"""
Npc_RangeInstructor#0,"""アークス射撃教導官"""
Npc_RangeInstructor2#0,"""ガンナー教導官"""
Npc_CasterInstructor#0,"""アークス法撃教導官"""
Npc_CasterInstructor2#0,"""テクター教導官"""
Npc_Seasonal#0,"""アークス特異現象研究員"""
Npc_MiniGame#0,"""ミニゲームNPC（仮）"""
Npc_BraverInstructor#0,"""アークス複合技能教導官"""
Npc_DrillInstructor#0,"""アークス訓練教官"""
Npc_AdDrillInstructor#0,"""アークス上級訓練教官"""
Npc_Commissariat#0,"""アークス後方支援員"""
Npc_PPResearcher#0,"""アークス特異現象調査員"""
