11_voice_NPC_5011_105#0,"""...เฮ่อ<br>พอพอเลิกเลิก ไม่มีไอเดียดีๆเลย<br>หมดน้ำยาแล้วมั้งเรา..."""
Jig_07_020#0,"""ไม่แน่แม้แต่ตอนนี้ก็ยังคงถูกปิดให้เป็นความลับอยู่<br>เหตุผลใหญ่ที่สุดก็คงเป็น...<br>เพื่อไม่ให้ใครเผลอนึกถึงมันขึ้นมาอีกล่ะมั้ง"""
11_voice_NPC_5011_108#1,"""十年前の戦いの仔細はわしも知らん。<br>というより、アークスですら誰もが<br>よくわかっていないはずじゃ。"""
Jig_07_020#1,"""秘匿されているのもあるだろうが<br>一番の理由としては……<br>皆、思い出したくないのかもしれん。"""
11_voice_NPC_5011_105#4,"""พูดก็พูด ข้าไม่รู้จะดีใจหรือเสียใจดี<br>ที่คนทำอาวุธเพื่อเข่นฆ่ากันในสงครามตอนนั้น <br>กลับได้รับการยกย่องมาถึงวันนี้"""
11_voice_NPC_5011_105#5,"""こうして、武器を作る職のわしが<br>重宝されるのは、喜ばしいことなのか<br>嘆かわしいことなのか、難しいのぉ。"""
11_voice_NPC_5011_101#2,"""เรื่องอาวุธนั่นไว้ใจข้าได้เลย !<br>ข้าขอเดิมพันด้วยศักดิ์ศรีของ Zig คนนี้ <br>ว่าจะฟื้นฟูมันให้กลับมาสมบูรณ์แบบให้ได้คอยดู !"""
11_voice_NPC_5011_101#3,"""あの武器のことは任せておけ！<br>このジグの名にかけて<br>完全に修繕してみせるぞ！"""
11_voice_NPC_5011_107#0,"""รู้สึกสังหรณ์ไม่ดียังไงไม่รู้<br>นี่มันรุนแรงถึงขนาดคนอย่างข้ายังรู้สึกได้เลย<br>อะไรกำลังจะเกิดขึ้นกันแน่..."""
11_voice_NPC_5011_107#1,"""イヤな気配がする。<br>わしにもわかるほど露骨な感じでな。<br>何が起ころうとしてるのか……"""
11_voice_NPC_5011_101#4,"""จะมานั่งเสียใจกับสิ่งที่มันผ่านไปแล้วก็เท่านั้น<br>เดี๋ยวข้าจะสร้างอาวุธชนิดใหม่ที่สุดยอดยิ่งกว่า<br>ไอ้อาวุธอันนั้นให้เอง !"""
11_voice_NPC_5011_101#5,"""過ぎたことを悔いてばかりもいられん。<br>わしは、あの武器に勝るとも劣らぬ<br>新たな武器を作って見せようぞ！"""
11_voice_NPC_11_101#0,"""ถ้ามีใครคิดจะต่อกรกับเจ้า Dark Falz นั่นล่ะก็<br>จำเป็นที่จะต้องมีอาวุธที่ร้ายกาจยิ่งกว่ามันถูกมั้ย !"""
Jig_mb9_020#0,"""แต่ว่า คิดแล้วก็เหมือนถูกประชด <br>ที่โอกาสจะได้ปลุกอินสไปร์เรชั่น<br>ของข้ามันมาถึงเร็วขนาดนี้"""
11_voice_NPC_11_101#1,"""ダークファルスと対峙すると<br>いうのであれば、なおさらもっと<br>強い武器が必要じゃろう！"""
Jig_mb9_020#1,"""しかし、わしのインスピレーションを<br>活かす機会が、こうもすぐに<br>やって来るとはなんとも皮肉じゃな。"""
11_voice_NPC_11_101#2,"""แม้จะสร้างอาวุธที่ถึงขนาดเปลี่ยนแปลงโลกไปเลยไม่ได้<br>แต่ถ้าเอาแค่ใกล้เคียงล่ะก็ ข้ามั่นใจว่าข้าต้องทำได้แน่ !"""
Jig_mb10_020#0,"""...แต่ว่า ถ้าหากไม่มีวัตถุดิบ...ไอ้ความมั่นใจนั่น<br>ก็เป็นแค่คำพูดเพ้อเจ้อลมๆแล้งๆล่ะน้า..."""
11_voice_NPC_11_101#3,"""創世器とまではいかずとも<br>それに酷似したものなら作れる。<br>わしにはその自信がある！"""
Jig_mb10_020#1,"""……だが、素材がなければ<br>その自信も空虚なものじゃ。<br>歯痒いのぉ……"""
11_voice_NPC_11_105#0,"""ไอ้ไม้เท้ายักษ์ที่ข้าเพิ่งซ่อมไปนั่น <br>มันไม่ใช่ของธรรมดานะ"""
Jig_mb11_020#0,"""มันถูกสร้างขึ้นมาโดยไม่คำนึงถึงชีวิตคนใช้เลย <br>เพราะใช้ไม่ดีอาจถูกมันสูบ Photon ออกไป<br>จนหมดตัวเลยก็ได้ """
Jig_mb11_030#0,"""คนที่สร้างมันขึ้นมาคนแรก<br>ไม่รู้มันคิดอะไรอยู่แน่... <br>ข้าไม่เข้าใจเลยจริงๆ..."""
11_voice_NPC_11_105#1,"""わしの修復したあの巨大な杖。<br>あれは、尋常ではなかったな。"""
Jig_mb11_020#1,"""装主への負担がまったく<br>考慮されていない作りだったんじゃよ。<br>フォトンを喰らい尽くすほどに、な。"""
Jig_mb11_030#1,"""最初にあれを作った者は<br>一体何を考えて作ったのやら……<br>理解に苦しむ。"""
11_voice_NPC_5011_100#4,"""อานุภาพของอาวุธกับพลังของผู้ใช้มันก็เรื่องเดียวกัน<br>นั่นแหละ จะมีแค่อย่างใดอย่างหนึ่งมันไม่ได้<br>ต้องมีควบคู่กันไปถึงจะดึงพลังออกมาได้อย่างแท้จริง"""
11_voice_NPC_5011_100#5,"""武器の強さが装主の強さと思うなかれ。<br>どちらか一方だけでは成り立たぬのが<br>強さ、というものじゃよ。"""
11_voice_NPC_5011_104#2,"""อืมม รู้สึกสังหรณ์ใจยังไงก็ไม่รู้<br>อ่อเปล่า ไม่ใช่เรื่องมีศัตรูคอยหาจังหวะโจมตีอะไรหรอก"""
Jig_mb13_020#0,"""หมายถึงรู้สึกว่าเดี๋ยวจะมีออร์เดอร์น่าปวดหัวเข้ามาน่ะ<br>นี่แหละเรื่องขนลุกของช่างทำอาวุธ"""
11_voice_NPC_5011_104#3,"""うーむ、なんだか嫌な予感がする。<br>ああいや、襲撃とかそういう<br>たぐいの予感ではないぞ。"""
Jig_mb13_020#1,"""無茶な注文が来そうだな、という<br>職人のカンじゃよ。"""
11_voice_NPC_5011_104#4,"""ลางสังหรณ์ไม่ค่อยดีมักถูกเสมอจริงๆ<br>นานๆจะโผล่หน้ามาทั้งที<br>แต่ดันมีของฝากที่ไม่คาดคิดมาด้วยอีกนะ"""
Jig_mb14_020#0,""".....แต่ก็นะ ถ้ามาขอร้องแล้วล่ะก็<br>จะไม่ช่วยก็ไม่ได้ล่ะนะ"""
11_voice_NPC_5011_104#5,"""イヤな予感というのは当たるものだな。<br>久々に顔を見せたと思ったら<br>とんでもない土産を持ってきた。"""
Jig_mb14_020#1,"""……だが、頼られたとあれば<br>応えないわけにはいかんな！"""
Jig_mb15_010#0,"""ลางสังหรณ์ที่ไม่ค่อยดีมักจะถูกเสมอจริงๆ<br>พอคิดว่าไม่ได้เจอกันมาตั้งนาน<br>ก็ดันมีของฝากที่เหลือเชื่อติดมือมาซะด้วย"""
11_voice_NPC_5011_100#6,"""......ทว่า ถ้ามาขอร้องแล้วล่ะก็<br>ข้าจะไม่ช่วยก็คงจะไม่ได้ล่ะนะ!"""
Jig_mb15_010#1,"""イヤな予感というのは当たるものだな。<br>久々に顔を見せたと思ったら<br>とんでもない土産を持ってきた。"""
11_voice_NPC_5011_100#7,"""……だが、頼られたとあれば<br>応えないわけにはいかんな！"""
11_voice_NPC_5011_100#8,"""ยุคสมัยที่ปรารถนาอาวุธที่แข็งแกร่ง<br>ก็คือยุคสมัยที่อยู่เคียงคู่กับสงคราม"""
Jig_mb16_020#0,"""ยุคสมัยที่ข้างานยุ่งน่ะ<br>มันก็เป็นยุคสมัยที่ไม่ค่อยจะดีนักหรอก<br>แม้จะน่าเศร้า ทว่ามันก็คือเรื่องจริง"""
11_voice_NPC_5011_100#9,"""強い武器が欲される時代というのは<br>戦乱と隣り合わせということでもある。"""
Jig_mb16_020#1,"""わしが忙しい時代というのは<br>あまりよくない時代ということだな。<br>悲しい話じゃが、事実じゃよ。"""
Jig_mb16zeno_010#0,"""โอ้ ดีแล้วล่ะที่เจ้าปลอดภัย!<br>ตอนที่ข้าได้ยินการติดต่อจาก Regius<br>แม้แต่ข้าก็ยังแทบจะไม่เชื่อหูตัวเองเลย!"""
11_voice_NPC_5011_101#6,"""ทว่า ก็เป็นเพราะเจ้า ทุกคนถึงได้ตาสว่าง<br>ที่สถานการณ์เป็นอยู่ได้อย่างตอนนี้ก็เป็นเพราะเจ้า<br>เจ้าทำได้ดีจริงๆ ข้าต้องขอขอบใจเจ้ามากนะ"""
Jig_mb16zeno_010#1,"""おお、無事でよかった！<br>レギアスの通信を聞いた時は<br>流石に我が耳を疑ったぞ！"""
11_voice_NPC_5011_101#7,"""だが、お主のおかげで皆の目が覚めた。<br>今のこの状況は、お主のおかげじゃ。<br>よくやってくれた、ありがとうな。"""
