LogoutURL#0,"""http://games.playpark.com/"""
PurchasedAC#0,"""เติม AC เป็นจำนวน $(1)$(0)"""
RepurchaseTitle#0,"""ยืนยันการเติม"""
RepurchaseCheck#0,"""ต้องการเติม AC อีกครั้งหรือไม่คะ?"""
ErrorGetAcValueListSiteError#0,"""Gamania Site Error(ชั่วคราว)"""
ErrorGetAcValueListMaintenance#0,"""Gamania Site อยู่ระหว่างการปรับปรุง (ชั่วคราว)"""
ErrorGetAcValueListServerError#0,"""PSO2 Server Error (ชั่วคราว)"""
ErrorChargeAcNoData#0,"""ไม่ได้พบลิสต์จำนวน AC (ชั่วคราว)"""
ErrorChargeAcSiteError#0,"""Gamania Site Error(ชั่วคราว)"""
ErrorChargeAcMaintenance#0,"""Gamania Site อยู่ระหว่างการปรับปรุง (ชั่วคราว)"""
ErrorChargeAcServerError#0,"""PSO2 Server Error (ชั่วคราว)"""
ChargeTitle#1,"""ACチャージ"""
ChargeCheck#1,"""楽豆Pを使用してACをチャージします。<br>チャージする金額を選択してください。"""
HaveAC#1,"""所持AC"""
HaveBF#1,"""所持楽豆P"""
BFDenomination#1,"""楽豆P"""
ac_name#1,"""アークスキャッシュ（AC）"""
bf_name#1,"""楽豆P"""
NoData#1,"""ACチャージ額がありません。"""
BuyButton#1,"""購入する"""
ChargeButton#1,"""楽豆Pチャージ"""
exitButton#1,"""戻る"""
WebOpenTitle#1,"""WEBサイト起動確認"""
WebOpenCheck#1,"""WEBブラウザーを起動して、<br>beanfun！ページを開きます。<br>よろしいですか？"""
BFChargeURL#1,"""http://www.beanfun.com/"""
UseAgreementTitle#1,"""ACチャージ利用規約"""
UseAgreementText#1,"""利用規約本文<br>（※ガマニア作成の規約文を<br>Chinese_Traditonal 欄に記入）"""
BuyCheckTitle#1,"""ACチャージ確認"""
BuyCheck#1,"""$(1)楽豆Pを消費して、$(2)$(0)を購入します。<br>よろしいですか？<br><br>※<yellow>購入後は取り消しを行うことができませんので<br>ご注意ください。<c>"""
PurchasedACTitle#1,"""ACチャージ"""
PurchasedAC#1,"""$(1)$(0)を購入しました。"""
RepurchaseTitle#1,"""購入確認"""
RepurchaseCheck#1,"""続けてACをチャージしますか？"""
ErrorGetAcValueListSiteError#1,"""Gamaniaサイトエラー"""
ErrorGetAcValueListMaintenance#1,"""Gamaniaサイトメンテナンス中"""
ErrorGetAcValueListServerError#1,"""PSO2サーバ上のエラー"""
ErrorChargeAcNoData#1,"""AC価格表なし"""
ErrorChargeAcSiteError#1,"""Gamaniaサイトエラー"""
ErrorChargeAcMaintenance#1,"""Gamaniaサイトメンテナンス中"""
ErrorChargeAcServerError#1,"""PSO2サーバ上のエラー"""
NotifyGachaText#0,"""มันส์ครบเซ็ท Complete Scratch เปิดให้บริการแล้ว !<br>ตรวจดูคำอธิบายเกี่ยวกับ Complete Scratch ที่หน้าเว็ปเพจหรือไม่ ?"""
Title#0,"""Tri Boost +100% จะเกิดผลขึ้นเป็นเวลา"""
Notify#0,"""โบนัสสำหรับการสร้างตัวละครใหม่ <br><green>XP Earn<c>, <yellow>Meseta Earned<c>, <c 00ffff>Rare Drop Rate<c> <br>จะได้รับเพิ่มเป็น <red>2 เท่า<c> ในระยะเวลาตามที่ระบุข้างล่างนี้ <br>ระหว่างที่เล่นอยู่ใน Quest <br>สนุกเพลิดเพลินไปกับการเล่นได้เลย<br>ระยะเวลาที่มีผลบังคับใช้  : $(0)"""
Button#0,"""ปิด"""
Title#1,"""これよりトライブースト＋１００％の効果が発生します。"""
Notify#1,"""キャラクター作成ボーナスとして、<br><green>獲得経験値<c>、<yellow>獲得メセタ<c>、<c 00ffff>レアドロップ率<c>が<br>クエストをプレイしている下記のあいだ、<red>2倍<c>になります。<br>ぜひプレイをお楽しみください。<br>残り効果時間: $(0)"""
Button#1,"""閉じる"""
