name010#0,"""ナズーン"""
quize06_select2#0,"""フランカ"""
quize06_select3#0,"""フランキ"""
quize06_select4#0,"""フランコ"""
quize06_answer#0,"""正解は……、<br><red>フランメ<c>でした！"""
quiz7#0,"""問題<br><yellow>“デュエルクエスト”のクリア報酬にない<br>“特殊能力カプセル”は？<c>"""
quiz07_01#0,"""“デュエルクエスト”のクリア報酬にない"""
quiz07_02#0,"""“特殊能力カプセル”は？"""
quize07_select1#0,"""C/メガス・フュージア"""
quize07_select2#0,"""C/フォミド・フュージア"""
quize07_select3#0,"""C/デュエラ・フュージア"""
quize07_select4#0,"""C/イリジス・フュージア"""
quize07_answer#0,"""正解は……、<br><red>C/メガス・フュージア<c>でした！"""
quiz8#0,"""問題<br><yellow>このなかで、中央リテムに出現しない<br>“ドレッドエネミー”は？<c>"""
quiz08_01#0,"""このなかで、中央リテムに出現しない"""
quiz08_02#0,"""“ドレッドエネミー”は？"""
quize08_select1#0,"""老練のフォートス・レーザー"""
quize08_select2#0,"""老練のサンドナグルス"""
quize08_select3#0,"""老練のレヌス・リテム"""
quize08_select4#0,"""老練のサヴァキュリオ"""
quize08_answer#0,"""正解は……、<br><red>老練のフォートス・レーザー<c>でした！"""
quiz9#0,"""問題<br><yellow>アイテム強化で、“防具”の強化値を<br>上げると得られる効果は？<c>"""
quiz09_01#0,"""アイテム強化で、“防具”の強化値を"""
quiz09_02#0,"""上げると得られる効果は？"""
quize09_select1#0,"""防御力が上昇する"""
quize09_select2#0,"""装備条件レベルが下がる"""
quize09_select3#0,"""たまに無敵になる"""
quize09_select4#0,"""エネミーが恐れをなして逃げていく"""
quize09_answer#0,"""正解は……、<br><red>防御力が上昇する<c>でした！"""
quiz10#0,"""問題<br><yellow>このなかで、“特殊能力”の名前として<br>正しいのはどれ？<c>"""
quiz10_01#0,"""このなかで、“特殊能力”の名前として"""
quiz10_02#0,"""正しいのはどれ？"""
quize10_select1#0,"""ハルフィニリア"""
quize10_select2#0,"""ハルフィリニア"""
quize10_select3#0,"""ハルニフィリア"""
quize10_select4#0,"""ハルフィリア"""
quize10_answer#0,"""正解は……、<br><red>ハルフィニリア<c>でした！"""
quiz11#0,"""問題<br><yellow>このなかで、“ルシエル探索”の<br>クリア報酬に含まれるのは？<c>"""
quiz11_01#0,"""このなかで、“ルシエル探索”の"""
quiz11_02#0,"""クリア報酬に含まれるのは？"""
quize11_select1#0,"""特殊能力カプセル"""
quize11_select2#0,"""ムーンアトマイザー"""
quize11_select3#0,"""超メガトンパフェ"""
quize11_select4#0,"""から揚げ"""
quize11_answer#0,"""正解は……、<br><red>特殊能力カプセル<c>でした！"""
quiz12#0,"""問題<br><yellow>特殊能力“エンディミオ”で得られる<br>強化素材の“獲得経験値量”は？<c>"""
quiz12_01#0,"""特殊能力“エンディミオ”で得られる"""
quiz12_02#0,"""強化素材の“獲得経験値量”は？"""
quize12_select1#0,"""100,000"""
quize12_select2#0,"""500,000"""
quize12_select3#0,"""777,777"""
quize12_select4#0,"""9,999,999"""
quize12_answer#0,"""正解は……、<br><red>100,000<c>でした！"""
quiz13#0,"""問題<br><yellow>“メインストーリー1章”に出現する<br>“ボスエネミー”は？<c>"""
quiz13_01#0,"""“メインストーリー1章”に出現する"""
quiz13_02#0,"""“ボスエネミー”は？"""
quize13_select1#0,"""ブジン"""
quize13_select2#0,"""ネクス・ヴェラ"""
quize13_select3#0,"""ロックベア"""
quize13_select4#0,"""ダイダル・アックス"""
quize13_answer#0,"""正解は……、<br><red>ブジン<c>でした！"""
quiz14#0,"""問題<br><yellow>このなかで、“カタナ”の<br>フォトンアーツでないのは？<c>"""
quiz14_01#0,"""このなかで、“カタナ”の"""
quiz14_02#0,"""フォトンアーツでないのは？"""
quize14_select1#0,"""ハヤテツワブキ"""
quize14_select2#0,"""オウカテンコウ"""
quize14_select3#0,"""アヤメレップウ"""
quize14_select4#0,"""フヨウテンライ"""
quize14_answer#0,"""正解は……、<br><red>オウカテンコウ<c>でした！"""
quiz15#0,"""問題<br><yellow>“グローサードエネミー”の特徴として、<br>正しいのはどれ？<c>"""
quiz15_01#0,"""“グローサードエネミー”の特徴として、"""
quiz15_02#0,"""正しいのはどれ？"""
quize15_select1#0,"""一定時間ごとにダメージ耐性が上昇する"""
quize15_select2#0,"""一定時間ごとに攻撃威力が上昇する"""
quize15_select3#0,"""一定時間ごとにHPが回復する"""
quize15_select4#0,"""一定時間ごとに増援が出現する"""
quize15_answer#0,"""正解は……、<br><red>一定時間ごとに攻撃威力が上昇する<c>でした！"""
quiz16#0,"""問題<br><yellow>このなかで、<br>“存在しないセクション”は？<c>"""
quiz16_01#0,"""このなかで、"""
quiz16_02#0,"""“存在しないセクション”は？"""
quize16_select1#0,"""西エアリオ"""
quize16_select2#0,"""東クヴァリス"""
quize16_select3#0,"""北リテム"""
quize16_select4#0,"""メディオラ外郭第１区"""
quize16_answer#0,"""正解は……、<br><red>東クヴァリス<c>でした！"""
quiz17#0,"""問題<br><yellow>“アルズ・セクレテⅣ”の効果で、<br>“正しくない”のはどれ？<c>"""
quiz17_01#0,"""“アルズ・セクレテⅣ”の効果で、"""
quiz17_02#0,"""“正しくない”のはどれ？"""
quize17_select1#0,"""HP-10"""
quize17_select2#0,"""ダメージ耐性+1.5%"""
quize17_select3#0,"""威力下限補正+2.5%"""
quize17_select4#0,"""威力+2.5％"""
quize17_answer#0,"""正解は……、<br><red>ダメージ耐性+1.5%<c>でした！"""
quiz18#0,"""問題<br><yellow>このなかで、<br>アークスの“教導官”でないのは？<c>"""
quiz18_01#0,"""このなかで、"""
quiz18_02#0,"""アークスの“教導官”でないのは？"""
quize18_select1#0,"""ホーニャン"""
quize18_select2#0,"""ウェイクス"""
quize18_select3#0,"""ダントレイ"""
quize18_select4#0,"""グイーデン"""
quize18_answer#0,"""正解は……、<br><red>ウェイクス<c>でした！"""
quiz19#0,"""問題<br><yellow>緊急クエスト“ハルフィリア湖の戦い”に、<br>登場する“特殊兵装”は？<c>"""
quiz19_01#0,"""緊急クエスト“ハルフィリア湖の戦い”に、"""
quiz19_02#0,"""登場する“特殊兵装”は？"""
quize19_select1#0,"""モバイルキャノンECS"""
quize19_select2#0,"""モバイルキャノンM2"""
quize19_select3#0,"""A.I.S"""
quize19_select4#0,"""モバイルキャノン"""
quize19_answer#0,"""正解は……、<br><red>モバイルキャノンM2<c>でした！"""
quiz20#0,"""問題<br><yellow>武器“ファーシュメル”シリーズの<br>潜在能力“必閃の型”の効果は？<c>"""
quiz20_01#0,"""武器“ファーシュメル”シリーズの"""
quiz20_02#0,"""潜在能力“必閃の型”の効果は？"""
quize20_select1#0,"""PP消費軽減+100%"""
quize20_select2#0,"""クリティカル発生率+100%"""
quize20_select3#0,"""通常攻撃が３回命中するたび性能が変化"""
quize20_select4#0,"""レスタサインの回復量+100%"""
quize20_answer#0,"""正解は……、<br><red>クリティカル発生率+100%<c>でした！"""
quiz21#0,"""問題<br><yellow>このなかで、“防具”の名前として<br>正しいのはどれ？<c>"""
quiz21_01#0,"""このなかで、“防具”の名前として"""
quiz21_02#0,"""正しいのはどれ？"""
quize21_select1#0,"""オトクスアーマ"""
quize21_select2#0,"""オクトスアーマ"""
quize21_select3#0,"""オクストスアーマ"""
quize21_select4#0,"""オクトフアーマ"""
quize21_answer#0,"""正解は……、<br><red>オクトスアーマ<c>でした！"""
quiz22#0,"""問題<br><yellow>このなかで、“ハンター”が装備できない<br>“武器種”は？<c>"""
quiz22_01#0,"""このなかで、“ハンター”が装備できない"""
quiz22_02#0,"""“武器種”は？"""
quize22_select1#0,"""ソード"""
quize22_select2#0,"""デュアルブレード"""
quize22_select3#0,"""ワイヤードランス"""
quize22_select4#0,"""パルチザン"""
quize22_answer#0,"""正解は……、<br><red>デュアルブレード<c>でした！"""
quiz23#0,"""問題<br><yellow>“ダークファルス・ソウラス”が出現する<br>“緊急クエスト”は？<c>"""
quiz23_01#0,"""“ダークファルス・ソウラス”が出現する"""
quiz23_02#0,"""“緊急クエスト”は？"""
quize23_select1#0,"""星滅の災厄"""
quize23_select2#0,"""星滅の予兆"""
quize23_select3#0,"""星滅の表徴"""
quize23_select4#0,"""星滅の徒花"""
quize23_answer#0,"""正解は……、<br><red>星滅の予兆<c>でした！"""
quiz24#0,"""問題<br><yellow>“ボードターミナル”から<br>呼び出すことのできる“特殊兵装”は？<c>"""
quiz24_01#0,"""“ボードターミナル”から"""
quiz24_02#0,"""呼び出すことのできる“特殊兵装”は？"""
quize24_select1#0,"""ジェットボード"""
quize24_select2#0,"""フローティングボード"""
quize24_select3#0,"""スケートボード"""
quize24_select4#0,"""スノーボード"""
quize24_answer#0,"""正解は……、<br><red>フローティングボード<c>でした！"""
quiz25#0,"""問題<br><yellow>このなかで、“リテムリージョン”に<br>出現する“ボスエネミー”は？<c>"""
quiz25_01#0,"""このなかで、“リテムリージョン”に"""
quiz25_02#0,"""出現する“ボスエネミー”は？"""
quize25_select1#0,"""ドルドリス"""
quize25_select2#0,"""ケルクンド"""
quize25_select3#0,"""ナグルス"""
quize25_select4#0,"""クロコダラス"""
quize25_answer#0,"""正解は……、<br><red>ケルクンド<c>でした！"""
quiz26#0,"""問題<br><yellow>このなかで、“エアリオリージョン”に<br>出現する“フォーマーズ”は？<c>"""
quiz26_01#0,"""このなかで、“エアリオリージョン”に"""
quiz26_02#0,"""出現する“フォーマーズ”は？"""
quize26_select1#0,"""グランディルガ"""
quize26_select2#0,"""ガラガロンゴ"""
quize26_select3#0,"""ヴォルガロンゴ"""
quize26_select4#0,"""アルマロンゴ"""
quize26_answer#0,"""正解は……、<br><red>ガラガロンゴ<c>でした！"""
quiz27#0,"""問題<br><yellow>ボスエネミー“ヴァーディアス”の<br>特徴として正しいのはどれ？<c>"""
quiz27_01#0,"""ボスエネミー“ヴァーディアス”の"""
quiz27_02#0,"""特徴として正しいのはどれ？"""
quize27_select1#0,"""巨大化する"""
quize27_select2#0,"""２体に分離して戦う"""
quize27_select3#0,"""３つの形態に変化する"""
quize27_select4#0,"""２体のエネミーが合体する"""
quize27_answer#0,"""正解は……、<br><red>３つの形態に変化する<c>でした！"""
quiz28#0,"""問題<br><yellow>アイテムラボ強化技師の“ラボナ”の<br>発言として正しいのはどれ？<c>"""
quiz28_01#0,"""アイテムラボ強化技師の“ラボナ”の"""
quiz28_02#0,"""発言として正しいのはどれ？"""
quize28_select1#0,"""しっ……しまった!!"""
quize28_select2#0,"""素晴らしく運がないな、キミは！"""
quize28_select3#0,"""あちゃー……、ごめんね？"""
quize28_select4#0,"""力不足ですぅ……。"""
quize28_answer#0,"""正解は……、<br><red>あちゃー……、ごめんね？<c>でした！"""
quiz29#0,"""問題<br><yellow>このなかで、<br>武器の分類が“打撃”なのは？<c>"""
quiz29_01#0,"""このなかで、"""
quiz29_02#0,"""武器の分類が“打撃”なのは？"""
quize29_select1#0,"""ガンスラッシュ"""
quize29_select2#0,"""ウォンド"""
quize29_select3#0,"""ワイヤードランス"""
quize29_select4#0,"""ジェットブーツ"""
quize29_answer#0,"""正解は……、<br><red>ワイヤードランス<c>でした！"""
quiz30#0,"""問題<br><yellow>“スティア外縁部”に出現する<br>“ドレッドエネミー”は？<c>"""
quiz30_01#0,"""“スティア外縁部”に出現する"""
quiz30_02#0,"""“ドレッドエネミー”は？"""
quize30_select1#0,"""老練のエンゴウク"""
quize30_select2#0,"""老練のダークレムナス"""
quize30_select3#0,"""老練のボルトレムナス"""
quize30_select4#0,"""老練のダークマギルス"""
quize30_answer#0,"""正解は……、<br><red>老練のボルトレムナス<c>でした！"""
quiz31#0,"""問題<br><yellow>天候変化により起こることで、<br>“正しくない”のは？<c>"""
quiz31_01#0,"""天候変化により起こることで、"""
quiz31_02#0,"""“正しくない”のは？"""
quize31_select1#0,"""ギガンティクスが出現する"""
quize31_select2#0,"""PSEレベルが４になる"""
quize31_select3#0,"""ドレッドエネミーが出現しなくなる"""
quize31_select4#0,"""一部のエネミーが強化される"""
quize31_answer#0,"""正解は……、<br><red>ドレッドエネミーが出現しなくなる<c>でした！"""
quiz32#0,"""問題<br><yellow>“ドールズ”は、なにを模して作られた？<c>"""
quiz32_01#0,"""“ドールズ”は、なにを模して作られた？"""
quize32_select1#0,"""ルーイナス"""
quize32_select2#0,"""アークス"""
quize32_select3#0,"""スターレス"""
quize32_select4#0,"""フォトナー"""
quize32_answer#0,"""正解は……、<br><red>スターレス<c>でした！"""
quiz33#0,"""問題<br><yellow>このなかで、“適正距離”が<br>存在しない武器種は？<c>"""
quiz33_01#0,"""このなかで、“適正距離”が"""
quiz33_02#0,"""存在しない武器種は？"""
quize33_select1#0,"""アサルトライフル"""
quize33_select2#0,"""ワイヤードランス"""
quize33_select3#0,"""バレットボウ"""
quize33_select4#0,"""ツインマシンガン"""
quize33_answer#0,"""正解は……、<br><red>バレットボウ<c>でした！"""
quiz34#0,"""問題<br><yellow>トライアル“寒冷地エネミー討伐”で、<br>通信してくる“オペレーター”は？<c>"""
quiz34_01#0,"""トライアル“寒冷地エネミー討伐”で、"""
quiz34_02#0,"""通信してくる“オペレーター”は？"""
quize34_select1#0,"""ラン"""
quize34_select2#0,"""ロッサ"""
quize34_select3#0,"""リューリン"""
quize34_select4#0,"""オランジェ"""
quize34_answer#0,"""正解は……、<br><red>リューリン<c>でした！"""
quiz35#0,"""問題<br><yellow>“C/ハイエアル・ドミナ”の交換に、<br>必要な“特殊能力カプセル”は？<c>"""
quiz35_01#0,"""“C/ハイエアル・ドミナ”の交換に、"""
quiz35_02#0,"""必要な“特殊能力カプセル”は？"""
quize35_select1#0,"""C/グラディエ・ソール"""
quize35_select2#0,"""C/ギガス・マエスティ"""
quize35_select3#0,"""C/エアル・ソブリナ"""
quize35_select4#0,"""C/リテナ・ソブリナ"""
quize35_answer#0,"""正解は……、<br><red>C/エアル・ソブリナ<c>でした！"""
quiz36#0,"""問題<br><yellow>このなかで、<br>“チャレンジ設定”のあるクエストは？<c>"""
quiz36_01#0,"""このなかで、"""
quiz36_02#0,"""“チャレンジ設定”のあるクエストは？"""
quize36_select1#0,"""オーディナルタワー"""
quize36_select2#0,"""キャノンボールランブル"""
quize36_select3#0,"""キャノンボールストライク"""
quize36_select4#0,"""デュエルクエスト"""
quize36_answer#0,"""正解は……、<br><red>キャノンボールストライク<c>でした！"""
quiz37#0,"""問題<br><yellow>“スティア先遣隊”に所属している<br>“オペレーター”の名前は？<c>"""
quiz37_01#0,"""“スティア先遣隊”に所属している"""
quiz37_02#0,"""“オペレーター”の名前は？"""
quize37_select1#0,"""ヒバナ"""
quize37_select2#0,"""コフィー"""
quize37_select3#0,"""ノロシ"""
quize37_select4#0,"""シエラ"""
quize37_answer#0,"""正解は……、<br><red>ノロシ<c>でした！"""
quiz38#0,"""問題<br><yellow>ビルドパーツ“アークスデコイ”の<br>最大設置可能数は？<c>"""
quiz38_01#0,"""ビルドパーツ“アークスデコイ”の"""
quiz38_02#0,"""最大設置可能数は？"""
quize38_select1#0,"""５"""
quize38_select2#0,"""８"""
quize38_select3#0,"""20"""
quize38_select4#0,"""12"""
quize38_answer#0,"""正解は……、<br><red>20<c>でした！"""
quiz39#0,"""問題<br><yellow>このなかで、“アイテム交換：スティア”で<br>交換できないアイテムは？<c>"""
quiz39_01#0,"""このなかで、“アイテム交換：スティア”で"""
quiz39_02#0,"""交換できないアイテムは？"""
quize39_select1#0,"""ヘクスカイト"""
quize39_select2#0,"""フォトンチャンク"""
quize39_select3#0,"""フォトンスケイル"""
quize39_select4#0,"""フォトンクォーツ"""
quize39_answer#0,"""正解は……、<br><red>フォトンスケイル<c>でした！"""
quiz40#0,"""問題<br><yellow>このなかで、変更しても“SGを消費しない”<br>“エステの項目”は？<c>"""
quiz40_01#0,"""このなかで、変更しても“SGを消費しない”"""
quiz40_02#0,"""“エステの項目”は？"""
quize40_select1#0,"""肌のカラー設定"""
quize40_select2#0,"""舌の調整"""
quize40_select3#0,"""手の調整"""
quize40_select4#0,"""瞳のサイズ調整"""
quize40_answer#0,"""正解は……、<br><red>瞳のサイズ調整<c>でした！"""
quiz41#0,"""問題<br><yellow>このなかで、テイムズ“キャメリオ”が<br>出現する“探索セクション”は？<c>"""
quiz41_01#0,"""このなかで、テイムズ“キャメリオ”が"""
quiz41_02#0,"""出現する“探索セクション”は？"""
quize41_select1#0,"""北リテム"""
quize41_select2#0,"""中央リテム"""
quize41_select3#0,"""東リテム"""
quize41_select4#0,"""西リテム"""
quize41_answer#0,"""正解は……、<br><red>中央リテム<c>でした！"""
quiz42#0,"""問題<br><yellow>“メレク”シリーズの潜在能力は、<br>全部で何種類？<c>"""
quiz42_01#0,"""“メレク”シリーズの潜在能力は、"""
quiz42_02#0,"""全部で何種類？"""
quize42_select1#0,"""１種類"""
quize42_select2#0,"""２種類"""
quize42_select3#0,"""３種類"""
quize42_select4#0,"""４種類"""
quize42_answer#0,"""正解は……、<br><red>４種類<c>でした！"""
quiz43#0,"""問題<br><yellow>“モーション変更”で、全てのモーションを<br>“標準”に設定したときの合計コストは？<c>"""
quiz43_01#0,"""“モーション変更”で、全てのモーションを"""
quiz43_02#0,"""“標準”に設定したときの合計コストは？"""
quize43_select1#0,"""８"""
quize43_select2#0,"""６"""
quize43_select3#0,"""５"""
quize43_select4#0,"""７"""
quize43_answer#0,"""正解は……、<br><red>７<c>でした！"""
quiz44#0,"""問題<br><yellow>“ホーニャン”が、<br>戦闘で“待機中”にとるモーションは？<c>"""
quiz44_01#0,"""“ホーニャン”が、"""
quiz44_02#0,"""戦闘で“待機中”にとるモーションは？"""
quize44_select1#0,"""待機：腰に手を当てる"""
quize44_select2#0,"""待機：腕を組む"""
quize44_select3#0,"""待機：ふんわり"""
quize44_select4#0,"""待機：浮遊"""
quize44_answer#0,"""正解は……、<br><red>待機：浮遊<c>でした！"""
quiz45#0,"""問題<br><yellow>称号“幸運な衝突者”は、<br>何に衝突すると達成される？<c>"""
quiz45_01#0,"""称号“幸運な衝突者”は、"""
quiz45_02#0,"""何に衝突すると達成される？"""
quize45_select1#0,"""ステラーグレイス"""
quize45_select2#0,"""メセタン"""
quize45_select3#0,"""グレト・ラッピー"""
quize45_select4#0,"""ステラーギフト"""
quize45_answer#0,"""正解は……、<br><red>ステラーギフト<c>でした！"""
quiz46#0,"""問題<br><yellow>このなかで、“ラッピー”から<br>入手できる“アイテム”は？<c>"""
quiz46_01#0,"""このなかで、“ラッピー”から"""
quiz46_02#0,"""入手できる“アイテム”は？"""
quize46_select1#0,"""サッパ・エアル肉"""
quize46_select2#0,"""から揚げ"""
quize46_select3#0,"""Mo「待機：ラッピー」"""
quize46_select4#0,"""N-グラインダー"""
quize46_answer#0,"""正解は……、<br><red>N-グラインダー<c>でした！"""
quiz47#0,"""問題<br><yellow>このなかで、“ブレイバー”が<br>習得できる“クラススキル”は？<c>"""
quiz47_01#0,"""このなかで、“ブレイバー”が"""
quiz47_02#0,"""習得できる“クラススキル”は？"""
quize47_select1#0,"""フラッシュガード"""
quize47_select2#0,"""ヒーリングガード"""
quize47_select3#0,"""オールガード"""
quize47_select4#0,"""マイティーガード"""
quize47_answer#0,"""正解は……、<br><red>マイティーガード<c>でした！"""
quiz48#0,"""問題<br><yellow>“プレミアムセット”の有効期間中に、<br>受注できる“サイドタスク”の最大数は？<c>"""
quiz48_01#0,"""“プレミアムセット”の有効期間中に、"""
quiz48_02#0,"""受注できる“サイドタスク”の最大数は？"""
quize48_select1#0,"""50"""
quize48_select2#0,"""30"""
quize48_select3#0,"""20"""
quize48_select4#0,"""40"""
quize48_answer#0,"""正解は……、<br><red>40<c>でした！"""
quiz49#0,"""問題<br><yellow>“クイックメニュー”の<br>“パターン選択”は、全部で何種類？<c>"""
quiz49_01#0,"""“クイックメニュー”の"""
quiz49_02#0,"""“パターン選択”は、全部で何種類？"""
quize49_select1#0,"""10種類"""
quize49_select2#0,"""４種類"""
quize49_select3#0,"""５種類"""
quize49_select4#0,"""６種類"""
quize49_answer#0,"""正解は……、<br><red>６種類<c>でした！"""
quiz50#0,"""問題<br><yellow>このなかで、“トレイニアアドバンス”の<br>“クエスト”は？<c>"""
quiz50_01#0,"""このなかで、“トレイニアアドバンス”の"""
quiz50_02#0,"""“クエスト”は？"""
quize50_select1#0,"""ホリブルフラッピング"""
quize50_select2#0,"""セツナノイッセン"""
quize50_select3#0,"""ダイナアサルト"""
quize50_select4#0,"""キャノンボールストライク"""
quize50_answer#0,"""正解は……、<br><red>キャノンボールストライク<c>でした！"""
quiz51#0,"""問題<br><yellow>“チャット”の“発言先タブ”は、<br>全部で何種類？<c>"""
quiz51_01#0,"""“チャット”の“発言先タブ”は、"""
quiz51_02#0,"""全部で何種類？"""
quize51_select1#0,"""１種類"""
quize51_select2#0,"""４種類"""
quize51_select3#0,"""８種類"""
quize51_select4#0,"""５種類"""
quize51_answer#0,"""正解は……、<br><red>５種類<c>でした！"""
quiz52#0,"""問題<br><yellow>リテムシティのステージライブで<br>“ハーディ”が担当する“楽器”は？<c>"""
quiz52_01#0,"""リテムシティのステージライブで"""
quiz52_02#0,"""“ハーディ”が担当する“楽器”は？"""
quize52_select1#0,"""リコーダー"""
quize52_select2#0,"""カスタネット"""
quize52_select3#0,"""フルート"""
quize52_select4#0,"""サックス"""
quize52_answer#0,"""正解は……、<br><red>サックス<c>でした！"""
