11_voice_NPC_5020_101#0,"""โย่ว มาได้จังหวะพอดีเลยนะ"""
Oza_07_020#1,"""圧倒的な耐久力に突破力！<br>生存能力では他の追随を許さない！<br>まったくもって素晴らしいクラスだ！"""
11_voice_NPC_5020_104#2,"""บางทีก็มีคนบอกว่าข้าเอาจริงเอาจังเกินไป<br>...ไม่จริงอย่างเค้าว่าหรอกเนอะ?<br>จริง มันต้องไม่ใช่อย่างนั้นอยู่แล้ว !"""
11_voice_NPC_5020_104#3,"""時々、オレは暑苦しいと言われるんだが<br>……そんなことはないよな？<br>そう、そんなことはないはずだ！"""
11_voice_NPC_5020_100#8,"""Class อื่นนอกจาก Hunter?<br>...ไม่!! ไม่เคยคิด<br>เพราะชั้นเลือก Hunter วันนั้น ถึงได้มีชั้นในวันนี้"""
Oza_09_020#0,"""...ไม่เคยคิดเรื่องอยากเป็น Wizard แม้แต่นิดเดียวจริงๆนะ<br>ไม่เคยจริงจริ๊ง"""
11_voice_NPC_5020_100#9,"""ハンター以外のクラス？<br>……いやいや考えられんな、オレは<br>ハンターだからこそ、オレなのだ！"""
Oza_09_020#1,"""……一瞬、フォースのことを<br>考えたりなどしてはいないぞ？<br>いないからな？"""
11_voice_NPC_5020_101#6,"""เจ้าพวก Darker มันทนทายาทขึ้นทุกที<br>เพราะอย่างนั้นตอนนี้ ARKS อย่างพวกข้า<br>ถึงต้องทำงานให้เป็นทีมกันมากกว่าเดิมไง !"""
11_voice_NPC_5020_101#7,"""ダーカーの勢いが増しつつある。<br>そんな今こそ、オレたちアークスは<br>一致団結して頑張らねば！"""
Alice_01_10#0,"""อะไรนะ? เกี่ยวกับเรื่องที่ข้ารู้สึกตัว<br>ว่าเหมาะสมจะเป็น Hunter น่ะรึ?<br>......นั่นสินะ"""
Alice_01_20#0,"""รู้สึกว่าสมัยที่ข้ายังเป็นเด็ก ข้าจะเคยเข้าไป<br>พัวพันกับอุบัติเหตุใหญ่ที่ Residential Area<br>มันเป็นอุบัติเหตุใหญ่จริงๆ"""
Alice_01_30#0,"""ในตอนนั้น ข้าที่โดนซากตึกทับน่ะ<br>แม้ว่าข้าจะหมดสติ แต่ข้าก็ไม่มีบาดแผลเลย<br>......ดังนั้น ก็คงจะเป็นตั้งแต่ตอนนั้นแน่ๆ"""
Alice_01_40#0,"""สำหรับ Hunter น่ะ จำเป็นต้องมีความเหมาะสม<br>ในการดึง Photon หรือพลังในบรรยากาศมาเสริม<br>ความแข็งแกร่งให้กับร่างกายของตนเอง"""
Alice_01_50#0,"""ในตอนนั้น สิ่งที่ช่วยปกป้องร่างกายของ<br>ข้าเอาไว้ ก็คงจะเป็นพลังฮึดตอนไฟไหม้<br>ที่ใช้ Photon ออกไปโดยไม่รู้ตัวล่ะนะ"""
Alice_01_10#1,"""何？\u3000オレがハンターの適性に<br>気づいたきっかけについて？<br>……そうだな。"""
Alice_01_20#1,"""子供の頃に、市街地で大きな事故に<br>巻き込まれたことがあったんだ。<br>大変な事故、だったらしい。"""
Alice_01_30#1,"""その時、瓦礫に巻き込まれたオレは<br>気絶こそしたが、無傷だった。<br>……あれが、きっかけのはずだ。"""
Alice_01_40#1,"""ハンターには、体内に取り込んだ<br>フォトンや大気中のフォトンで<br>肉体を強化する適性が必要だ。"""
Alice_01_50#1,"""当時、火事場の馬鹿力という奴で<br>無意識にフォトンを使い<br>身体を守ったんだろうな。"""
11_voice_NPC_20_104#0,"""ถึงแม้ Hunter จะอึดยังกับแมลงสาบ<br>แต่ก็มีขีดจำกัดเหมือนกัน"""
Oza_mb9_010#0,"""ถ้าได้ใจมากเกินไป โดนรุมขึ้นมาอาจเละเป็นโจ๊กได้<br>เวลาจะทำอะไรจึงต้องคำนึงถึงการเล่นเป็นทีมไว้ด้วย"""
11_voice_NPC_20_104#1,"""ハンターは屈強だが<br>それにだって限界はある。"""
Oza_mb9_010#1,"""無理しすぎて追い詰められては<br>元も子もないからな。<br>フォロー手段を考えておくのも重要だ。"""
11_voice_NPC_20_105#0,"""แม้สมาชิก ARKS ที่แข็งแกร่งที่สุด<br>ก็ยังมีขีดจำกัดในการต่อสู้ด้วยคนเดียว<br>การร่วมมือกับคนอื่นก็เป็นสิ่งที่ต้องพิจารณาด้วยเช่นกัน"""
11_voice_NPC_20_105#1,"""いかに屈強なアークスであっても<br>一人で戦うことには限界があるぞ。<br>協力することも考えていかねばならん。"""
11_voice_NPC_20_101#0,"""งานประลองฝีมือไม่เพียงตัวเองต้องมีฝีมือเท่านั้น<br>แต่ผลจะออกมาเป็นยังไง<br>ก็ขึ้นอยู่กับอีกฝ่ายที่เราต้องจับคู่ด้วยเหมือนกัน"""
11_voice_NPC_20_101#1,"""戦技大会、良い試みだな。<br>自分の力のみならず、組んだ相手との<br>相性で結果は変わるだろう。"""
11_voice_NPC_5020_100#10,"""สถานการณ์มันเปลี่ยนแปลงได้เสมอ<br>ต้องอย่าลน อย่าล่ก<br>การรู้จักมีสมาธิและรอจังหวะคือการรับมือที่ดีที่สุด"""
11_voice_NPC_5020_100#11,"""状況というものは常に変化する。<br>慌てず騒がず、適応できるように<br>努力するのが正しい対応だろうな。"""
11_voice_NPC_5020_104#4,"""ระยะนี้เหมือนจะเจอ D-arker ที่<br>ไม่เคยเห็นหน้าโผล่ออกมานะ"""
Oza_mb13_020#0,"""เจ้านั่น...มันพัฒนาตัวเองมางั้นเหรอ<br>หรือว่าเป็นสายพันธุ์ใหม่ที่ไม่เคยมีมาก่อนกันแน่"""
11_voice_NPC_5020_104#5,"""最近、あまり見覚えのない種類の<br>ダーカーが出現しているな。"""
Oza_mb13_020#1,"""あれは……進化なのだろうか。<br>あるいはそれとは全く別の流れで<br>生まれたものなんだろうか。"""
11_voice_NPC_5020_104#6,"""ระยะนี้เหมือนจะเจอ D-arker ที่<br>ไม่เคยเห็นหน้าโผล่ออกมานะ"""
Oza_mb14_020#0,"""เจ้านั่น...มันพัฒนาตัวเองมางั้นเหรอ<br>หรือว่าเป็นสายพันธุ์ใหม่ที่ไม่เคยมีมาก่อนกันแน่"""
11_voice_NPC_5020_104#7,"""最近、あまり見覚えのない種類の<br>ダーカーが出現しているな。"""
Oza_mb14_020#1,"""あれは……進化なのだろうか。<br>あるいはそれとは全く別の流れで<br>生まれたものなんだろうか。"""
11_voice_NPC_5020_102#0,"""ข้าล่ะไม่ชอบใจไอ้ท่าทีลังเลนั่นเลยจริงๆ !<br>อา เปล่า ข้าไม่ได้หมายถึงเจ้าหรอก<br>เรื่องของทางนี้น่ะ"""
11_voice_NPC_5020_102#1,"""煮え切らん態度は気に入らん！<br>ああ、いや、お前の事ではないぞ。<br>こっちの話だ。"""
11_voice_NPC_5020_108#0,"""......โทษทีนะ<br>น่าอายยิ่งนัก ที่ตัวเองนึกได้แต่คำพูด<br>แบบนั้น...... ช่างน่าสมเพชจริงๆ"""
11_voice_NPC_5020_108#1,"""……すまなかった。<br>その言葉しか浮かんでこない自分が<br>恥ずかしい……情けない。"""
