Accessories_Name1#0,"""アクセサリー1"""
PageSwitch_Vita#0,"""<pict Sign_TRIANGLE>切替"""
Error_Title#0,"""エラー"""
Error_ImproperData_LoadMyFashion#0,"""この保存データは問題があるため<br>適用できません。<br><br>当該データをエステで修正するか<br>他のデータで上書き、もしくは削除してください。"""
Error_ImproperData_SaveMyFashion#0,"""現在の外見データは問題があるため<br>マイファッションへの保存ができません。<br><br>他のデータを適用するか、エステで修正してください。"""
FashionTab_New_Base#0,"""N-ベースウェア"""
FashionTab_Base#0,"""ベースウェア"""
FashionTab_New_Inner#0,"""N-インナーウェア"""
FashionTab_Inner#0,"""インナーウェア"""
Fashion_Incompatible#0,"""非対応"""
FashionTab_New_Body#0,"""N-ボディ"""
FashionTab_Body#0,"""ボディ"""
FashionTab_New_Arms#0,"""N-アーム"""
FashionTab_Arms#0,"""アーム"""
FashionTab_New_Legs#0,"""N-レッグ"""
FashionTab_Legs#0,"""レッグ"""
FashionTab_New_Outer#0,"""N-アウターウェア"""
FashionTab_Outer#0,"""アウターウェア"""
TopMenuTitle#0,"""コーデカタログ"""
TopMenuItem_Ranking#0,"""みんなのコーデを見る"""
TopMenuItem_Search#0,"""みんなのコーデから検索"""
TopMenuItem_Posting#0,"""自分のコーデを登録"""
TopMenuItem_Confirm#0,"""登録中のコーデを確認"""
TopMenuItem_ConfirmNiceCnt#0,"""登録中のコーデを確認 ($(0))"""
TopMenuItem_ConfirmNiceCntStop#0,"""登録中のコーデを確認 (99+)"""
TopMenuItem_Release#0,"""登録を取り下げる"""
TopMenuItem_Back#0,"""戻る"""
TitleProfile#0,"""コーデ情報"""
LikeButton#0,"""いいね！"""
RegistButton#0,"""ブックマークに登録"""
BackButton#0,"""戻る"""
