pr_068010_0010#0,"""あっ……握手？<br>う、うん。いいよ。"""
pr_068010_0800#0,"""<%me>さん！<br>あとは、お任せしました！<br>失礼します！"""
pr_068010_0810#0,"""キリトくん<br>マトイさんたちは<br>NPC、ではないよね……？"""
pr_068010_0820#0,"""ああ。だけど彼らは<br>プレイヤーっていうわけでもないし<br>この世界がゲームだとも思ってない。"""
pr_068010_0830#0,"""ここが現実世界だと<br>思って生きているんだろう。"""
pr_068010_0840#0,"""うん、私もそう思った。<br>それに、私たちのこの姿……"""
pr_068010_0850#0,"""《ＡＬＯ》からコンバートしたのに<br>なぜか《ＳＡＯ》のときの<br>装備になってる。"""
pr_068010_0860#0,"""ただのゲームじゃないな……<br>っそうだ、ログアウトは！？"""
pr_068010_0870#0,"""メニュー表示があるから<br>ログアウトはできる……みたいだね。"""
pr_068010_0880#0,"""ふぅ……<br>ひとまず、危険はなさそうだな。"""
pr_068010_0890#0,"""いろいろ気になることはあるけど<br>折角コンバートまでしてきたんだし<br>とりあえず、この世界を調べてみよう。"""
pr_068010_0900#0,"""うん、そうね。"""
pr_068010_0910#0,"""まずは、ここでの戦いに慣れないとな。<br>何から手をつけるべきだろう……"""
pr_068010_0920#0,"""私も、さっきから見かける人の<br>装備や衣装がすごく気になってて。"""
pr_068010_0930#0,"""そうだ、さっきのマトイさんに<br>服とかどこで買ったらいいか<br>聞いてみようかな？"""
name01#0,"""騎士服の少女"""
name02#0,"""黒衣の少年"""
