st_054050_0010#0,"""威倫國內魔神城也……<br>就像盧瑟說的一樣<br>在全世界都擴散開了。"""
st_054050_0260#0,"""…………對不起。"""
st_054050_0270#0,"""不，不要哭！我也是一樣啊！<br>看着吧，等我變成大人了，<br>要變得非常強大，然後打倒皇帝！"""
st_054050_0280#0,"""但是，如果連你也被皇帝殺了的話……<br>我不要那樣的事發生……"""
st_054050_0290#0,"""不要放棄！　我一定不會放棄的！<br>我一定會打倒皇帝的！"""
st_054050_0300#0,"""哇哈哈……別搞笑了，小鬼們。<br>打敗那個混蛋皇帝是我啊。"""
st_054050_0310#0,"""你們就別考慮那種事了<br>只要想着如何活下去就行了。<br>快回村子裏去。"""
st_054050_0320#0,"""……這個村子和我<br>都受到了哥德哈特的照顧。"""
st_054050_0330#0,"""不論如何都想要守護住<br>但是魔神城一直沒完沒了……<br>也會時不時有犧牲出現。"""
st_054050_0340#0,"""不過這附近的魔神城好像被破壞了<br>所以暫時應該沒事了……"""
st_054050_0350#0,"""但是過不久又會出現的吧。<br>除了打倒皇帝以外沒有其他方法。"""
st_054050_0360#0,"""不管是魔神城還是魔人兵……全都打倒<br>愚蠢的皇帝也是……<br>結束這個混亂的國家。"""
st_054050_0370#0,"""他，既不率真，又粗魯<br>而且也不好懂……<br>但是，他確實是想讓這個國家恢復和平。"""
st_054050_0380#0,"""一直處於內戰狀態呢。<br>到現在爲止有沒有人想要打倒皇帝？"""
st_054050_0390#0,"""當然有啊。<br>但是他們全部都被<br>現在的皇帝用力量鎮壓了。"""
st_054050_0400#0,"""正是因爲比誰都強大，所以才是皇帝。<br>願望只有一個，就是和強者的戰鬥。<br>除此以外，怎麼樣都行。"""
st_054050_0410#0,"""人民要犧牲了……國家要滅亡了<br>肯定，這些都無所謂。"""
st_054050_0420#0,"""只是一味地引發戰爭？<br>爲什麼要做那種無意義的事呢……"""
st_054050_0430#0,"""１．真是可怕的皇帝啊"""
st_054050_0440#0,"""２．不能置之不理"""
st_054050_0450#0,"""是的，非常可怕。<br>即使會產生影響<br>但是不阻止他不行。"""
st_054050_0460#0,"""覺得義憤是正常的。<br>不阻止的話……國民就太可憐了。"""
st_054050_0470#0,"""而且，徒花也對這個國家……<br>不對，黑暗種因子也確實在影響着這個國家。"""
st_054050_0480#0,"""黑暗種的對手應該是ARKS。<br>……憑我們，總會有辦法的。"""
st_054055_0010#0,"""……同時，在威倫皇國，帝都。<br>威倫皇帝，修雷格和他的弟弟埃里米爾<br>平靜地聽着魔神城被破壞的報告。"""
st_054055_0020#0,"""……好像來了呢，哥哥。<br>粉碎魔神城的存在。"""
st_054055_0030#0,"""流傳的傳言是真的呢。<br>隨着一個便於理解的旗印的出現<br>愚民們應該充滿幹勁了吧。"""
st_054055_0040#0,"""魔神城和魔人兵之間的衝突<br>最近也緩解了。<br>要是能變成好的刺激就好了。"""
st_054055_0050#0,"""……那麼，到底有多強啊。<br>叫做守護輝士的那個人。"""
st_054055_0060#0,"""啊啊，這樣可不行，哥哥！<br>一下就吃掉的話，就太浪費了。"""
st_054055_0070#0,"""不再多處理一下的話<br>就不會那麼美味的。"""
st_054055_0080#0,"""啊……竟然對皇帝下命令<br>變得相當狂妄了呢。"""
st_054055_0090#0,"""嘛嘛。<br>隨便吧。"""
st_054055_0100#0,"""那麼<br>讓我來稍微問候他一下吧。"""
st_054055_0110#0,"""守護輝士……<br>那個身體，那個力量，到底有多強。<br>終於來了，真是讓人高興啊。"""
st_054055_0120#0,"""隨意傳播戰爭。<br>不管是國家、國民，還是徒花……<br>這個世界的所有都是我的東西。"""
skit01#0,"""The Destruction and Struggle"""
skit02#0,"""走向滅亡的國家"""
name01#0,"""害怕的男性"""
name02#0,"""好勝的男孩子"""
name03#0,"""悲傷的女孩子"""
