Title#0,"""เมนู"""
RetryMessage#0,"""<pict Arcscash><c ff4f3f>ARKS Cash Confirmation<c><br>ท่านต้องการซื้อ<br>$(1) อีกครั้งในราคา $(2) $(0)?"""
RetryMessage_Fun#0,"""ท่านต้องการซื้อ<br>$(1) อีกครั้งในราคา $(2) $(0)?"""
RetryPassMessage#0,"""<pict Arcscash><c 5fdf00>ใช้ไอเทมที่ซื้อ<c><br>ท่านต้องการใช้ Scratch<br>ticket $(0) อีกครั้ง?<br>(ท่านมี $(1))"""
TimesaleMessage#0,"""<pict Arcscash><c ff4f3f>ยืนยันการชำระด้วย ARKS Cash<c><br>ท่านต้องการซื้อ<br>$(1) ในราคา <s>$(3)</s> <red>$(2)<c> $(0) หรือไม่?"""
TimesaleMessage_Fun#0,"""ท่านต้องการซื้อ<br>$(1) ในราคา <s>$(3)</s> <red>$(2)<c> $(0) หรือไม่?"""
TimesaleRetryMessage#0,"""<pict Arcscash><c ff4f3f>ยืนยันการชำระด้วย ARKS Cash<c><br>ท่านต้องการซื้อ<br>$(1) อีกครั้งในราคา <s>$(3)</s> <red>$(2)<c> $(0) หรือไม่?"""
TimesaleRetryMessage_Fun#0,"""ท่านต้องการซื้อ<br>$(1) อีกครั้งในราคา <s>$(3)</s> <red>$(2)<c> $(0) หรือไม่?"""
Title#9,"""購入確認"""
Message#1,"""<pict Arcscash><c ff4f3f>AC消費コンテンツ<c><br>$(1)を<br>$(2)$(0)で購入します。<br>よろしいですか？"""
Message_Fun#1,"""$(1)を<br>$(2)$(0)で購入します。<br>よろしいですか？"""
PassMessage#1,"""<pict Arcscash><c 5fdf00>購入済アイテムの使用<c><br>$(0)を<br>対応するスクラッチ券を使用して引きます。<br>よろしいですか？<br>(所持数:$(1))"""
RetryMessage#1,"""<pict Arcscash><c ff4f3f>AC消費コンテンツ<c><br>続けて$(1)を<br>$(2)$(0)で購入します。<br>よろしいですか？"""
RetryMessage_Fun#1,"""続けて$(1)を<br>$(2)$(0)で購入します。<br>よろしいですか？"""
RetryPassMessage#1,"""<pict Arcscash><c 5fdf00>購入済アイテムの使用<c><br>続けて$(0)を<br>対応するスクラッチ券を使用して引きます。<br>よろしいですか？<br>(所持数:$(1))"""
TimesaleMessage#1,"""<pict Arcscash><c ff4f3f>AC消費コンテンツ<c><br>$(1)を<br><s>$(3)</s> <red>$(2)<c>$(0)で購入します。<br>よろしいですか？"""
TimesaleMessage_Fun#1,"""$(1)を<br><s>$(3)</s> <red>$(2)<c>$(0)で購入します。<br>よろしいですか？"""
TimesaleRetryMessage#1,"""<pict Arcscash><c ff4f3f>AC消費コンテンツ<c><br>続けて$(1)を<br><s>$(3)</s> <red>$(2)<c>$(0)で購入します。<br>よろしいですか？"""
TimesaleRetryMessage_Fun#1,"""続けて$(1)を<br><s>$(3)</s> <red>$(2)<c>$(0)で購入します。<br>よろしいですか？"""
ExplanationMessage#0,"""<c f0df60>เลือก Slot ที่ท่านต้องการเล่นกับ Scratch ticket!<c>"""
ExplanationMessage#1,"""<c f0df60>好きなスロットを選んで、スクラッチをオープン！<c>"""
Normal#0,"""ท่านได้รับ $(0)!"""
Complete#0,"""ท่านได้ $(0) เป็นของขวัญ!"""
GetItem#0,"""ท่านได้รับ $(0)<br>กับ $(1)!"""
Count#0,"""($(0)ชิ้น)"""
Normal#1,"""$(0)が当たりました！"""
Complete#1,"""$(0)をプレゼントします！"""
GetItem#1,"""$(1)で<br>$(0)が<br>当たりました！"""
Count#1,"""（$(0)個）"""
Title#10,"""ยืนยันการซื้อ"""
Message#2,"""เล่น Scratch tickets ต่อ?"""
Title#11,"""購入確認"""
Message#3,"""続けてスクラッチを引きますか？"""
Title#12,"""ยืนยันการซื้อ"""
Message#4,"""มี ARKS cash ไม่พอ<br>ท่านต้องการซื้อเพิ่ม?"""
Title#13,"""チャージ確認"""
Message#5,"""ACが不足しています。<br>チャージしますか？"""
Title#14,"""ข้อความ"""
Message_E1#0,"""ARKS cash ไม่พอ"""
Message_E2#0,"""มีที่ว่างในช่องเก็บของไม่พอ"""
Message_E3#0,"""มีที่ว่างใน Storehouse ไม่พอ"""
Message_E4#0,"""FUN ไม่เพียงพอ"""
Message_E5#0,"""ท่านไม่มีบัตรผ่าน"""
Message_E6#0,"""Scratch นี้ ต้องมีไอเทมสล็อตที่ว่างอย่างน้อย <br>2 ช่องอยู่ใน Storehouse <br>กรุณาเตรียมพื้นที่ไอเทมสล็อตให้ว่าง <br>ก่อนเริ่มเล่นเกมนี้"""
Message_E0#0,"""มีปัญหาเกิดขึ้นทำให้ท่านไม่สามารถเล่น Scratch ticket ได้<br><br>ท่านอาจจะมีที่ว่างใน Storehouse ไม่พอ"""
Title#15,"""メッセージ"""
Message_E1#1,"""ACが不足しています。"""
Message_E2#1,"""アイテムパックの空き容量が<br>不足しています。"""
Message_E3#1,"""倉庫の空き容量が不足しています。"""
Message_E4#1,"""FUNが不足しています。"""
Message_E5#1,"""パスを持っていません。"""
Message_E6#1,"""このスクラッチを引くには、<br>倉庫にアイテム二つ分の<br>空きが必要です。<br>十分に確保してからスクラッチを引いてください。"""
Message_E0#1,"""問題が発生したため、<br>スクラッチを引けませんでした。<br><br>倉庫の空き容量が<br>不足している可能性があります。"""
denomination_1#0,"""AC"""
denomination_2#0,"""FUN"""
none#0,"""ไม่มี"""
denomination_1#1,"""AC"""
denomination_2#1,"""FUN"""
none#1,"""なし"""
TimesaleTitle#0,"""ขายแบบจำกัดเวลา"""
PopupItem1#2,"""<red>$(1)<c>$(0) ซื้อ scratch tickets"""
TimesaleTitle#1,"""タイムセール中！"""
PopupItem1#3,"""<red>$(1)<c>$(0)でスクラッチを引く"""
