IncidentName#0,"""Defend the Energizer Crystals"""
NpcComOnDestroy#2,"""ดูเหมือนผลึกพลังงานที่ $(0) ถูกทำลายแล้ว<br>อย่าให้เกิดเรื่องแบบนี้ขึ้นอีกล่ะ"""
NpcComOnLast#2,"""มีผลึกพลังงานเหลืออยู่อีกไม่มากแล้ว<br>ปกป้องผลึกที่เหลืออยู่ให้ได้"""
NpcComOnAddPse#2,"""ดูเหมือนผลึกพลังงานใหม่จะเกิดขึ้นแล้ว...<br>ปกป้องมันไว้ให้ได้<br>ยิ่งปกป้องผลึกได้มากเท่าไรก็เป็นผลดีกับท่านขึ้นเท่านั้น!"""
NpcComOnBegin#3,"""各員、励起結晶を守り抜け。<br>結晶近辺にアークスがいないと<br>力が減衰するようだ。注意しろ。"""
NpcComOnSuccess#3,"""よし、成功だ。<br>フォトンの活性化を確認、ＰＳＥの<br>発生確率が飛躍的に上昇している。"""
NpcComOnFailure#3,"""破壊された励起結晶が<br>規定数を超えてしまったか……。<br>防衛はそこまでだ、通常任務に戻れ。"""
NpcComOnDestroy#3,"""$(0)の励起結晶が<br>壊れてしまったようだ。<br>他のはやられるなよ。"""
NpcComOnLast#3,"""励起結晶の残りが少ないぞ。<br>守れるものを守っていけ。"""
NpcComOnAddPse#3,"""新たな励起結晶か……<br>可能ならば、それも守れ。<br>多く残せば状況の好転が予測される。"""
NpcComOnBegin#4,"""ดูนั้นซิ ผลึกพลังงานนี่นา!<br>มันจะสูญเสียพลังหากไม่มีคนอยู่ใกล้ๆมัน!"""
NpcComOnSuccess#4,"""/face2 สำเร็จแล้วซินะ!<br>Photon ได้รับการเพิ่มขึ้นทำให้เกิด PSE ได้ง่ายขึ้น!"""
NpcComOnFailure#4,"""/face4 ผลึกพลังงานถูกทำลายมากเกินไป<br>น่าเสียดายแต่เราคงต้องยกเลิกภารกิจนี้ซะแล้ว """
NpcComOnDestroy#4,"""อ่า!<br>ผลึกพลังงานที่ $(0) ถูกทำลายแล้ว!"""
NpcComOnLast#4,"""/face4 อืม... เราแทบจะไม่เหลือผลึกพลังงานแล้ว...."""
NpcComOnAddPse#4,"""/face2 โอ้! ผลึกพลังงานอันใหม่นี่นา!<br>ถ้าเราปกป้องมันได้ จะต้องมีอะไรดีๆเกิดขึ้นแน่นอน!"""
NpcComOnBegin#5,"""あっ、励起結晶ですねー！<br>結晶の近くにいないと、どんどん<br>力がなくなって壊れちゃいますよー！"""
NpcComOnSuccess#5,"""/face2 成功みたいですー！<br>フォトンの活性化が確認されました！<br>ＰＳＥ、いーっぱい起こりそうですー！"""
NpcComOnFailure#5,"""/face4 規定数以上の励起結晶が<br>破壊されちゃったみたいです……。<br>残念ですが、防衛は諦めましょうー。"""
NpcComOnDestroy#5,"""ああっ！<br>$(0)の励起結晶<br>壊れちゃいましたー！"""
NpcComOnLast#5,"""/face4 ううう……励起結晶が<br>あと、少ししか残っていません……"""
NpcComOnAddPse#5,"""/face2 おおっ！\u3000新しい励起結晶！<br>あれも守ってあげてくださーい！<br>守りきるといいことが起きますよー！"""
