msc_027170_0010#0,"""……戻ったようだね。"""
msc_027170_0530#0,"""ヴァエルの力は強大だ。"""
msc_027170_0540#0,"""だが、悲観する必要はない。"""
msc_027170_0550#0,"""今のアークスのなかで、<br>最も強いのはお前だ、909……。"""
msc_027170_0555#0,"""いや、ガーディアン。"""
msc_027170_0560#0,"""私と戦ったときよりも、<br>お前はさらに強くなっている。"""
msc_027170_0570#0,"""そして、お前の仲間たちも、<br>お前の成長に呼応して、力をつけている。"""
msc_027170_0580#0,"""お前たちこそが、“真のアークス”だ。"""
msc_027170_0590#0,"""お前たちが一致団結すれば、<br>必ずヴァエルに勝てる。"""
msc_027170_0600#0,"""………。"""
msc_027170_0610#0,"""……どうやら時間が来たようだ。"""
msc_027170_0620#0,"""ゼフェット……。"""
msc_027170_0630#0,"""なんだ？\u3000アイナ。"""
msc_027170_0640#0,"""……ありがとう。"""
msc_027170_0650#0,"""それは、私にかける言葉としては、<br>不適切ではないか？"""
msc_027170_0660#0,"""ううん。"""
msc_027170_0670#0,"""あなたは、<br>あたしたちにたくさんの不幸をもたらした。"""
msc_027170_0680#0,"""そのことは、絶対に赦さない。"""
msc_027170_0690#0,"""でも、その結果として、<br>本当の敵と戦える力を得ることができた。"""
msc_027170_0700#0,"""そのことには、感謝してる。"""
msc_027170_0710#0,"""赦せないけど……赦す。"""
msc_027170_0720#0,"""アイナ……。"""
msc_027170_0730#0,"""……ハルファの人々よ。"""
msc_027170_0740#0,"""本当に、すまなかった。"""
msc_027170_0750#0,"""そして、最期にお願いをさせてくれ。"""
msc_027170_0760#0,"""世界のことを……頼む。"""
msc_027170_0770#0,"""ゼフェットの意識は、<br>私の中から完全に消えました。"""
msc_027170_0780#0,"""……一方的に喋るだけ喋って、<br>本当にいなくなっちゃった……。"""
msc_027170_0790#0,"""……まったく、自分勝手なヒトだなぁ。"""
msc_027170_0800#0,"""自分勝手な……、<br>リサージェントアークスの孤独な総督……。"""
