Npc48_01_010#0,"""เห็นเมืองที่อยู่ไกลๆโน่นมั้ย<br>นั่นแหละเมืองที่พวกชั้นอยู่<br>คนที่นี่ส่วนใหญ่ก็มาจากที่นั่นแหละ"""
Npc48_mb11_030#1,"""だからー、情報もいろいろと<br>入ってこなかったりするんだー。"""
Npc48_mb12_010#0,"""ตอนนี้การต่อสู้ระหว่าง ARKS กับ<br>พวก Darker ไปถึงไหนแล้วน้า"""
Npc48_mb12_020#0,"""คนธรรมอย่างพวกชั้น เข้าไปยุ่งเรื่อง<br>ภารกิจไม่ได้ ก็เลยไม่รู้เรื่องอะไรเลย"""
Npc48_mb12_010#1,"""アークスとダーカーの戦いの情勢って<br>どーんな感じなんだろうねー。"""
Npc48_mb12_020#1,"""あたしたち一般市民には<br>あんまり情報入ってこないから<br>わからないやー。"""
Npc48_mb13_010#0,"""ตอนนี้การต่อสู้ระหว่าง ARKS กับ<br>พวก Darker ไปถึงไหนแล้วน้า"""
Npc48_mb13_020#0,"""คนธรรมอย่างพวกชั้น เข้าไปยุ่งเรื่อง<br>ภารกิจไม่ได้ ก็เลยไม่รู้เรื่องอะไรเลย"""
Npc48_mb13_010#1,"""アークスとダーカーの戦いの情勢って<br>どーんな感じなんだろうねー。"""
Npc48_mb13_020#1,"""あたしたち一般市民には<br>あんまり情報入ってこないから<br>わからないやー。"""
Npc48_mb14_010#0,"""ตอนนี้การต่อสู้ระหว่าง ARKS กับ<br>พวก Darker ไปถึงไหนแล้วน้า"""
Npc48_mb14_020#0,"""คนธรรมอย่างพวกชั้น เข้าไปยุ่งเรื่อง<br>ภารกิจไม่ได้ ก็เลยไม่รู้เรื่องอะไรเลย"""
Npc48_mb14_010#1,"""アークスとダーカーの戦いの情勢って<br>どーんな感じなんだろうねー。"""
Npc48_mb14_020#1,"""あたしたち一般市民には<br>あんまり情報入ってこないから<br>わからないやー。"""
Npc48_mb16zeno_010#0,"""ดูเหมือนว่าข้อมูลต่างๆ จะถูกเปิดเผยออกมาแล้วล่ะ<br>ทั้งเรื่องของ ARKS และเรื่องของ D-arkers"""
Npc48_mb16zeno_020#0,"""ถึงแม้ว่าตัวชั้นจะไม่ค่อยรู้เรื่องนักก็เถอะ<br>แต่ถ้าทุกคนยังเป็นเพื่อนพ้องกันไม่เปลี่ยนแปลง<br>ก็ไม่น่าจะมีปัญหาอะไรนี่นา หรือเปล่านะ"""
Npc48_mb16zeno_010#1,"""アークスのことやー、ダーカーのこと。<br>いろいろ情報が開示されてるみたいー。"""
Npc48_mb16zeno_020#1,"""あたしにはよくわからないけどー<br>みんなが仲間ってのは変わらないなら<br>それでいいんじゃないかなー。"""
