11_voice_NPC_19_100#0,"""...สวัสดี<br>มีธุระอะไรกับข้า?"""
11_voice_NPC_5019_104#3,"""……テクニックの弱点をあげるとすると<br>チャージ時のスキと、ＰＰの限界ね。<br>気を付けて立ち回れば大丈夫だけど。"""
11_voice_NPC_5019_104#4,"""...สิ่งที่ควรฝึกให้คล่องทันทีหลังจาก<br>เป็น Wizard แล้วน่ะเหรอ?<br>ก็คงเป็นเรื่องโจมตีเสร็จแล้วหนีล่ะมั้ง"""
11_voice_NPC_5019_104#5,"""……フォースになったら<br>真っ先に鍛えるべきもの？<br>攻撃から逃げる能力じゃないかしら。"""
11_voice_NPC_5019_100#4,"""...ไม่เคยอยากเป็น Class อื่นนอกจาก Wizard หรอก<br>มันเหมาะกับข้าที่สุดแล้ว"""
Marlur_09_020#0,"""...มันเข้ากับนิสัยและบุคคลิกของข้า<br>คงจะเป็นแบบที่เค้าเรียกกันว่า<br>...ฟ้าประทานล่ะมั้ง"""
11_voice_NPC_5019_100#5,"""……フォース以外のクラスに<br>なりたいなんて思ったことないわ。<br>私にはこれがぴったり。"""
Marlur_09_020#1,"""……天性と適性があっていたのだから<br>それが天分ということなのよ。<br>……きっとね。"""
11_voice_NPC_5019_100#6,"""...เฮ่อ หลบมาพักน่ะ<br>เรี่ยวแรงของ Wizard มันเทียบกับคนอื่นเค้าไม่ได้<br>เหนื่อยง่ายก็เลยต้องพักบ่อยหน่อย"""
11_voice_NPC_5019_100#7,"""……ふぅ、ちょっと休憩中。<br>フォースは体力的には他に劣るから<br>疲れを残しちゃいけないのよ。"""
Alice_01_10#0,"""......ตอนที่ความเหมาะสมกับ Wizard <br>ของชั้นลืมตาตื่นเหรอ? <br>ถามเรื่องแปลกๆ ดีนะ ได้สิชั้นจะเล่าให้ฟัง"""
Alice_01_20#0,"""...สมัยชั้นยังเด็ก ชั้นได้ประสบกับอุบัติเหตุใหญ่<br>ในตอนนั้นชั้นได้ถูกเด็กผู้ชายที่ไม่รู้จักปกป้อง<br>เอาไว้แลกกับการที่เค้าต้องโดนทับอยู่ในซากตึก"""
Alice_01_30#0,"""......เด็กผู้ชายคนนั้น ทั้งๆ ที่เป็นสถานการณ์<br>ที่ถึงตายก็ไม่แปลกอะไรเลยแท้ๆ<br>แต่เค้ากลับปลอดภัยราวกับปาฏิหาริย์"""
Alice_01_40#0,"""......ทว่าเค้าก็สลบไปเพราะปะทะเข้า<br>กับอุบัติเหตุ ดังนั้นชั้นจึงสวดภาวนา<br>เพื่อที่จะให้เด็กผู้ชายคนนั้นลืมตาตื่นขึ้นมา"""
Alice_01_50#0,"""......พอทำเช่นนั้น แสงที่ออกมาจากตัวชั้น<br>ก็ไปรวมอยู่ที่ร่างกายเด็กผู้ชายคนนั้น"""
Alice_01_60#0,"""......ทันใดนั้น<br>เด็กผู้ชายคนนั้นก็ลืมตาตื่นขึ้นมา<br>ราวกับว่าไม่มีอะไรเกิดขึ้น"""
Alice_01_70#0,"""......ชั้นคิดว่า นั่นคือครั้งแรกสุดที่ชั้น<br>ใช้ Photon Magic ตอนที่ชั้นรู้สึกตัว<br>ถึงความเหมาะสมเอง ก็คงเป็นตอนนั้น"""
Alice_01_10#1,"""……私が、フォースの適性に<br>目覚めた時のこと？<br>ヘンな事聞くのね、いいけど。"""
Alice_01_20#1,"""……私が小さかった頃、大きな事故に<br>遭ったの。その時、知らない男の子が<br>私を庇って瓦礫の下敷きになった。"""
Alice_01_30#1,"""……その男の子は、即死でも<br>おかしくない状況だったのに<br>奇跡的に無事だった。"""
Alice_01_40#1,"""……けど、事故の衝撃で気絶して<br>しまっていたから、私は男の子が<br>目を覚ますように、って祈ったの。"""
Alice_01_50#1,"""……そうしたら、私から放出された<br>光が男の子の身体に集まっていった。"""
Alice_01_60#1,"""……次の瞬間には<br>何事もなかったかのように<br>その男の子は目を覚ましたわ。"""
Alice_01_70#1,"""……あれが、私の初めての<br>テクニック行使、なんだと思う。<br>適性に気付いたのも、きっとそこ。"""
11_voice_NPC_19_105#0,"""...Wizard น่ะโจมตีรุนแรง แต่บอบบาง<br>ถ้าไม่คิดหาทางอุดจุดบอดนี้ให้ได้คงแย่"""
11_voice_NPC_19_105#1,"""……フォースは強いけど、脆い。<br>そこをどう補うか、考えないと。"""
11_voice_NPC_19_105#2,"""...สู้คนเดียวมันไปได้ไม่ไกลนักหรอก<br>ต้องคิดเรื่องจับกลุ่มกับคนอื่นเอาไว้บ้างนะ"""
11_voice_NPC_19_105#3,"""……一人で戦うのにも限界はある。<br>協力するって事を考えていかないとね。"""
11_voice_NPC_19_101#0,"""...งานประลองฝีมือเนี่ย เก่งแค่ไหนไม่ค่อย<br>เกี่ยวกับผลที่จะออกมาหรอก เพราะตัวแปรหลัก<br>คือจะเจอคู่ต่อสู้ที่เก่งแค่ไหนต่างหากนะ"""
11_voice_NPC_19_101#1,"""……戦技大会、ね。<br>自分の力よりも、組む相手次第で<br>結果は変わってきそう。"""
11_voice_NPC_5019_101#4,"""...สถานการณ์มันเปลี่ยนไปเปลี่ยนมาอยู่เสมอ<br>เพราะฉะนั้น ต้องปรับตัวเพื่อพร้อมรับ<br>การเปลี่ยนแปลงที่จะเกิดขึ้นนั้นให้ได้"""
11_voice_NPC_5019_101#5,"""……状況は常に変化している。<br>だから、私たちがそれにあわせて<br>対応できるようにしていかないとね。"""
11_voice_NPC_5019_104#6,"""...รู้สึกช่วงนี้จะมี Darker ที่<br>ไม่เคยเห็นมาก่อนโผล่มารึเปล่า?"""
Marlur_mb13_020#0,"""...มันพัฒนาตัวเองที่นี่?<br>หรือเกิดอะไรขึ้นกับมันกันแน่"""
11_voice_NPC_5019_104#7,"""……なんだか最近、見たことのない<br>ダーカーが出てきてないかしら？"""
Marlur_mb13_020#1,"""……ここにきて進化？<br>それとも別の何かなのかしら。"""
11_voice_NPC_5019_104#8,"""...รู้สึกช่วงนี้จะมี Darker ที่<br>ไม่เคยเห็นมาก่อนโผล่มารึเปล่า?"""
Marlur_mb14_020#0,"""...มันพัฒนาตัวเองที่นี่?<br>หรือเกิดอะไรขึ้นกับมันกันแน่"""
11_voice_NPC_5019_104#9,"""……なんだか最近、見たことのない<br>ダーカーが出てきてないかしら？"""
Marlur_mb14_020#1,"""……ここにきて進化？<br>それとも別の何かなのかしら。"""
11_voice_NPC_5019_105#2,"""......เพราะอะไรกันนะ<br>ทำไมชั้นถึงได้รู้สึกขุ่นเคืองใจมากขนาดนี้"""
Marlur_mb16_020#0,"""......ไม่ใช่เพราะคุณหรอก<br>แต่ตอนนี้ชั้นอยากจะอยู่คนเดียวซักหน่อย"""
11_voice_NPC_5019_105#3,"""……なんでだろう。<br>すごく心が、もやっとしてる。"""
Marlur_mb16_020#1,"""……貴方のせいじゃない、けど<br>今はちょっと、一人にして欲しい。"""
11_voice_NPC_5019_104#10,"""......ขอโทษนะ กรุณายกโทษ<br>ให้ชั้นที่สามารถพูดได้แค่นั้นด้วย <br>......ขอโทษจริงๆ"""
11_voice_NPC_5019_104#11,"""……ごめんなさい。<br>それしか、言えない私を許して。<br>……本当に、ごめんなさい。"""
