Name#0,"""Lia"""
RequestDefense#1,"""ごめんなさい！<br>修理の間、援護を要請します！"""
RequestDefense2#1,"""修理の間、援護をお願いします！<br>うーん、でもこれ直せるのかなぁ……"""
EnemyFront#1,"""前方に敵影！\u3000来ます！"""
EnemyRight#1,"""右舷に敵影！\u3000来ます！"""
EnemyBack#1,"""後方に敵影！\u3000来ます！"""
EnemyLeft#1,"""左舷に敵影！\u3000来ます！"""
Broken#1,"""損傷率７０％を超えました！<br>こ、これ以上はまずいです！"""
Destroy#1,"""もう持ちません、脱出します！"""
SuccessDefence#1,"""修理完了しました！<br>援護、ありがとうございました！"""
EvFallMessage#1,"""あれ……やっぱダメな感じ？<br>すみません、再度不時着します！"""
EvRequestDefense#1,"""直してみせます何度でも！<br>だから、護衛をお願いします！"""
EvBroken#1,"""ううう、さすがにダメかな……"""
EvDestroy#1,"""あーもう！\u3000ダメだ！<br>すみません、脱出します！"""
EvSuccessDefence#1,"""お手数をおかけしました！<br>もう大丈夫です！\u3000ありがとう！"""
EvDarker#1,"""え？\u3000操縦がきかない……っ！？<br>非常事態です！\u3000脱出します！"""
Trouble#2,"""เครื่องรวนแปลกๆ แฮะ<br>เฮ้อ ต้องถอนตัวกลับก่อนล่ะ"""
PassMessage#2,"""รายงานจากภาคอากาศ<br>เริ่มทำการลาดตระเวณ"""
PassMessage2#2,"""รายงานจากทีมลาดตระเวณ<br>เรากำลังทำการตรวจสอบพื้นที่"""
DropHelpItem#2,"""กำลังจะทำการส่งเสบียง<br>ด้านล่างระวังด้วยล่ะ"""
DropEnemy#2,"""เดี๋ยวนะ... นี่ใช่พัสดุที่ต้องส่งแน่เหรอ"""
Shooting#2,"""จะทำการยิงคุ้มกันให้"""
FallMessage#2,"""ให้ตายสิ... เครื่องเสียการควบคุม<br>งานนี้ชักจะหินแล้วสิ"""
RequestDefense#2,"""ประทานโทษนะ ช่วยคุ้มกันหน่อย<br>ขอซ่อมเครื่องแป๊ป"""
RequestDefense2#2,"""คุ้มหัวฉันตอนกำลังซ่อมหน่อย<br>หวังว่าจะได้เรื่องนะ"""
EnemyFront#2,"""ศัตรูทางสิบสองนาฬิกา<br>ฝากจัดการด้วยล่ะ"""
EnemyRight#2,"""ศัตรูทางสามนาฬิกา<br>ฝากจัดการด้วยล่ะ"""
EnemyBack#2,"""ศัตรูทางหกนาฬิกา<br>ฝากจัดการด้วยล่ะ"""
EnemyLeft#2,"""ศัตรูทางเก้านาฬิกา<br>ฝากจัดการด้วยล่ะ"""
Broken#2,"""เสียหายหนักหน่วง<br>ไม่รู้จะซ่อมไหวไหมนะ"""
Destroy#2,"""ประทานโทษที ไม่ต่อไม่ไหวแล้ว<br>จะถอยเดี๋ยวนี้ล่ะ"""
SuccessDefence#2,"""ประทานโทษที่ทำให้รอนาน<br>พร้อมจะลุยกันต่อแล้ว"""
EvFallMessage#2,"""แย่จริง เครื่องพังอีกแล้ว<br>ลงจอดด่วนล่ะ"""
EvRequestDefense#2,"""ซ่อมอีกนิดก็น่าจะไปต่อได้น่า<br>ประทานโทษนะต้องให้คุ้มกันอีกแล้ว"""
EvBroken#2,"""ซ่อมเสร็จจุด ก็พังมันอีกจุด<br>สงสัยต้องยอมแพ้ซะละมั้ง"""
EvDestroy#2,"""รบกวนมาก็เยอะ แต่ไปต่อไม่ไหว<br>ถอยทัพก่อนล่ะ"""
EvSuccessDefence#2,"""ขอโทษที่รบกวนไว้ตั้งเยอะ<br>ตอนนี้ไปต่อได้แล้ว ขอบคุณมาก"""
EvDarker#2,"""เอ๊ะ? ยันมันไว้ไม่อยู่... !?<br>ยุ่งแล้วสิคะเนี่ย! ถอยก่อนเถอะค่ะ!"""
Trouble#3,"""計器類にトラブル!?<br>くっ……一旦下がります！"""
PassMessage#3,"""こちら上空！<br>敵影捜索中です！"""
PassMessage2#3,"""こちら上空！<br>編隊にて敵影捜索中です！"""
DropHelpItem#3,"""今から救援物資を投下します！<br>気を付けてください！"""
DropEnemy#3,"""今届けたのって、本当に物資だよね……？"""
Shooting#3,"""援護射撃を開始します。"""
FallMessage#3,"""うわわっ、操舵不能!?<br>不時着します！"""
RequestDefense#3,"""すみません！<br>修理の間、守ってもらえますか？"""
RequestDefense2#3,"""機体修理の間、護衛をお願いします！<br>直せるかどうかはわかりません！"""
EnemyFront#3,"""前方に敵影！\u3000来ます！"""
EnemyRight#3,"""右舷に敵影！\u3000来ます！"""
EnemyBack#3,"""後方に敵影！\u3000来ます！"""
EnemyLeft#3,"""左舷に敵影！\u3000来ます！"""
Broken#3,"""被害拡大！<br>これじゃ修理が追い付きません！"""
Destroy#3,"""すみません、もうダメです！<br>脱出します！"""
SuccessDefence#3,"""お待たせしましたっ！<br>修理、完全に完了です！"""
EvFallMessage#3,"""やばっ……機関緊急停止！<br>不時着します！"""
EvRequestDefense#3,"""もうちょっと直せばしのげる……はず！<br>すみません、もう一度援護をお願いします！"""
EvBroken#3,"""直した先から損傷が増えていく……<br>……諦めどころ？"""
EvDestroy#3,"""ここまで頑張ったのに……！<br>……脱出します！\u3000すみません！"""
EvSuccessDefence#3,"""お手数をおかけしました！<br>もう大丈夫です！\u3000ありがとう！"""
EvDarker#3,"""え？\u3000操縦がきかない……っ！？<br>非常事態です！\u3000脱出します！"""
Trouble#4,"""มีปัญหากับระบบควบคุม<br>เฮ้อ...ต้องถอนตัวก่อนล่ะ"""
PassMessage#4,"""ยานลาดตระเวณกำลังมุ่งหน้าไปทางท่าน"""
PassMessage2#4,"""กองยานลาดตระเวณกำลังมุ่งหน้าไปทางท่าน"""
DropHelpItem#4,"""ยังไหวอยู่ไหม<br>เอาเสบียงมาหนุนแล้ว"""
DropEnemy#4,"""อุณหภูมิของพัสดุแปลกๆ<br>แต่ช่างเถอะ"""
Shooting#4,"""เริ่มทำการยิงคุ้มกัน"""
FallMessage#4,"""หว่า เครื่องเสียศูนย์ซะแล้ว<br>ขอลงจอดฉุกเฉินล่ะ"""
RequestDefense#4,"""ขอซ่อมยานหน่อย<br>ช่วยคุ้มกันให้ที"""
RequestDefense2#4,"""พยายามซ่อมยานอยู่<br>ขอคนคุ้มกันให้ด้วย"""
EnemyFront#4,"""ศัตรูทางสิบสองนาฬิกา<br>ฝากจัดการด้วยล่ะ"""
EnemyRight#4,"""ศัตรูทางสามนาฬิกา<br>ฝากจัดการด้วยล่ะ"""
EnemyBack#4,"""ศัตรูทางหกนาฬิกา<br>ฝากจัดการด้วยล่ะ"""
EnemyLeft#4,"""ศัตรูทางเก้านาฬิกา<br>ฝากจัดการด้วยล่ะ"""
Broken#4,"""อ๊า หนูน้อยของข้า<br>ยับเยินไปหมดเลย"""
Destroy#4,"""ขอโทษนะที่มาได้แค่นี้<br>ถอนตัวก่อนล่ะ"""
SuccessDefence#4,"""ซ่อมได้แล้ว<br>ได้เวลาบินกันต่อแล้ว"""
EvFallMessage#4,"""ซ่อมด่วนก็ได้แค่นี้ล่ะนะ<br>ขอโทษที ขอซ่อมปราณีตหน่อยนะ"""
EvRequestDefense#4,"""บ้าน่า! เกือบเสร็จแล้วนะ!<br>ต้องซ่อมอีกนิด ช่วยคุ้มกันด้วยนะ"""
EvBroken#4,"""ยังหรอกๆ<br>ข้ารู้ว่ายังทนไหวได้อีก"""
EvDestroy#4,"""โถ่...หนูน้อยของข้า..."""
EvSuccessDefence#4,"""ขอบใจที่ช่วย<br>พร้อมจะลุยต่อแล้ว"""
EvDarker#4,"""เอ๊ะ? ยันมันไว้ไม่อยู่... !?<br>ยุ่งแล้วสิคะเนี่ย! ถอยก่อนเถอะค่ะ!"""
Trouble#5,"""原因不明のトラブル!?<br>くっ……一旦下がります！"""
PassMessage#5,"""こちら上空！<br>偵察任務中です！"""
PassMessage2#5,"""こちら上空！<br>編隊にて偵察任務中です！"""
DropHelpItem#5,"""大丈夫ですか！<br>救援物資を持ってきました！"""
DropEnemy#5,"""物資から熱源反応……？<br>……まあ、いっか！"""
Shooting#5,"""援護射撃を開始します。"""
FallMessage#5,"""うわマズっ！\u3000コントロール不可！<br>いったん不時着します！"""
RequestDefense#5,"""機体を修理します！<br>その間の護衛をお願いします！"""
RequestDefense2#5,"""直せると信じて修理します！<br>護衛をお願いします！"""
EnemyFront#5,"""前方に敵影！\u3000来ます！"""
EnemyRight#5,"""右舷に敵影！\u3000来ます！"""
EnemyBack#5,"""後方に敵影！\u3000来ます！"""
EnemyLeft#5,"""左舷に敵影！\u3000来ます！"""
Broken#5,"""あああ～、私の愛機が<br>どんどんキズモノになっていく！"""
Destroy#5,"""直せなくてゴメン！<br>脱出します！"""
SuccessDefence#5,"""修理完了です！<br>よーしよしいい子だ、そら飛べっ！"""
EvFallMessage#5,"""あああ～、やっぱり間に合わせじゃ無理！<br>ごめんなさい、緊急着陸します！"""
EvRequestDefense#5,"""あーもう、あとちょっとなのに！<br>すみません、再度修理します！\u3000援護を！"""
EvBroken#5,"""まだまだ！<br>ボロボロだけど、絶対直してみせるから！"""
EvDestroy#5,"""ああ……あたしの愛機が……"""
EvSuccessDefence#5,"""お手数をおかけしました！<br>もう大丈夫です！\u3000ありがとう！"""
EvDarker#5,"""え？\u3000操縦がきかない……っ！？<br>非常事態です！\u3000脱出します！"""
