11_voice_NPC_03_100#0,"""おっ、何してんだ相棒？<br>へー、あのネコに頼まれごとか。"""
Afin_mb22_030#0,"""ようやくここまで来たんだ。<br>諦めないで頑張るよ。"""
11_voice_NPC_5210_100#7,"""よう、相棒。<br>いろいろ大変だったみたいだな。<br>無事でなによりだぜ。"""
Afin_mb23_020#0,"""おれのほうはどうだって？<br>姉ちゃんとは、相変わらずだ。<br>すぐに逃げられちまう。"""
Afin_mb23_030#0,"""でも、おれは諦めてない。<br>やっと会えたんだしな。"""
11_voice_NPC_5210_100#8,"""相棒、身体の具合はもういいのか？<br>休息が言い渡されてるって聞いてさ<br>心配したんだぜ。"""
Afin_mb23_after_020#0,"""まあ、相棒が背負ってるもんは<br>大きいけどさ、ちょっとは周りを<br>頼ってもいいと思うんだ。"""
Afin_mb23_after_030#0,"""あんまり根詰め過ぎるなよ。<br>困ったときはいつでも言ってくれよな。"""
11_voice_NPC_5210_100#9,"""どんなことでも前向きに頑張る<br>相棒を見てたからさ。<br>おれも、色々と頑張れたんだ。"""
Afin_mb24_020#0,"""身近な人がダークファルスになるって<br>想像以上に堪えるものがあるけど……<br>絶対に諦めずに頑張ろうぜ。"""
Afin_mb24_030#0,"""おれも協力できることはするからさ。<br>気持ちを強く、負けないようにな。"""
Afin_mb24_after_010#0,"""よう、相棒。<br>いろいろとお疲れさん。"""
Afin_mb24_after_020#0,"""相棒を見ていると<br>つくづく諦めない気持ちって<br>大事だよなって思うぜ。"""
11_voice_NPC_5210_101#3,"""ともかく、一番望んだ結果になって<br>よかったよな。<br>おれも、嬉しかったぜ。"""
11_voice_NPC_5210_100#10,"""悪い相棒。<br>正直、どうしていいかわからなくって。<br>相棒を呼ぶしか無いって思ったんだ。"""
Afin_mb25_020#0,"""おれも状況がわかってないんだ。<br>本当、急にユク姉の中から出てきて<br>目の前に現れたんだよ。"""
Afin_mb25_030#0,"""ユク姉もわからないっていうしさ。<br>勘弁してほしいよなー……"""
11_voice_NPC_5210_104#11,"""なんか大変なことになったよな。<br>封印された【若人】の力が<br>出かかってるとかさ……"""
Afin_mb25_after_020#0,"""アウロラが出てきたタイミングには<br>意味があるって話だけどさ<br>正直、おれにはわかんねーや。"""
11_voice_NPC_5210_100#11,"""ま、ともかくありがとな相棒。<br>おれだけだったら、多分テンパッて<br>終わってたと思うから助かったぜ。"""
11_voice_NPC_5210_100#12,"""よっ、相棒！<br>へへっ、こうして相棒って言うのも<br>すっごい久々で、なんか嬉しいな。"""
st01_020#0,"""二年間寝てた、ってどんな感じだ？<br>……寝てた側じゃそんなわからないか。<br>待ってる側としては、長かったぜ。"""
st01_030#0,"""その分、こうしてまた会えたときの<br>嬉しさってのがすっげえけどな！"""
11_voice_NPC_5210_100#13,"""相棒！\u3000相変わらず忙しそうだな！<br>息抜きしたくなったら<br>いつでも誘ってくれよ？"""
st01_020#1,"""相棒にとっては一瞬でも<br>おれにとっては二年だからな。<br>久々に任務、一緒に行きたいんだ。"""
11_voice_NPC_5210_100#14,"""アークスの組織図的に言うと<br>おれとユク姉も総務部になるんだ。<br>そう、マリアさんのところ。"""
st01_020#2,"""次席のサラがしっかりしてるから<br>こっちは特に問題は起きてないけど……<br>情報部は、色々大変そうだよなー。"""
11_voice_NPC_5210_100#15,"""総務部ってわりと大所帯でさ<br>だから結構、知り合いが増えたぜ。"""
st01_020#3,"""話す機会がなかった人とも話せたり<br>相棒のことを聞いてきたり<br>そんな感じだよ。"""
st01_030#1,"""人と接することが多いから<br>そのおかげでユク姉も<br>ここに馴染んできてくれたと思う。"""
11_voice_NPC_5210_100#16,"""よう相棒。<br>大丈夫そうか？"""
st01_020#4,"""なんか今回もでかい話に<br>なってきたよな……"""
st01_030#2,"""まあ、相棒なら大丈夫だと思うけど<br>手が必要になれば言ってくれよ。"""
11_voice_NPC_5210_104#12,"""……やっぱり人が相手だと<br>いろいろ策を練ってきて、こっちが<br>やりにくいようにしてくるな。"""
st01_020#5,"""ダーカーみたいに数で押されるのも<br>大変だけど、今回みたいにいろいろ策を<br>使われるのは、それはそれで面倒だな。"""
st01_030#3,"""戦いなんてせずに、話し合って<br>全部解決すればいいんだけどなあ……"""
11_voice_NPC_5210_100#17,"""相棒、ありがとな。<br>何が？\u3000って、この前の襲撃時。<br>戦ってくれたじゃんか。"""
st01_020#6,"""おれたち、無力だったから<br>避難誘導ぐらいしかできなくてさ。<br>……なさけないよな。"""
st01_030#4,"""……でも今後はこういう事態に備えて<br>外部からリミッターを解除できるよう<br>準備するみたいだぜ。"""
11_voice_NPC_5210_100#18,"""アルって子、元ダークファルスって話。<br>おれも聞いてるぜ、っていうかそれで<br>ユク姉が見解を聞かれてたよ。"""
st01_020#7,"""ダーカー特有の嫌な感じはしなかったし<br>全然気付かなかったな。<br>そういうもんなのかな。"""
st01_010#0,"""マザーの力を奪っていった<br>アーデムって人は、世界再編の時が<br>云々って言ってたんだろ？"""
st01_020#8,"""世界再編って何をする気なんだろうな。<br>作り替える、ってほどの力は<br>エーテルにはないはずだろ？"""
st01_030#5,"""幻創種を創り出すみたいな要領で<br>新しい世界でも作るつもりか？<br>……なんてな。"""
st01_010#1,"""世界再編って、まんま世界を<br>作り替えるってことだったのかよ。<br>しかも、それが可能っぽいって……"""
11_voice_NPC_5210_104#13,"""マザーの力を奪ったから、なのか？<br>でも、あれの大本ってアークスというか<br>フォトナーにあるんだよな……"""
st01_030#6,"""巡り巡って、こっちの責任な気もする。<br>なんとかしないと、だな。"""
11_voice_NPC_5210_104#14,"""神様ってのもぶっ倒しちまうとか<br>流石というか何というか……<br>すごいって感想しか出てこない。"""
st01_020#9,"""しっかし、フォトナーもずいぶんと<br>やらかしまくってるんだなぁ。<br>発展の代償ってヤツなのかね。"""
