pr_064930_0010#0,"""あ、<%me>さん。<br>ちょうどいい所に！"""
pr_064930_0510#0,"""私は……<br>必要とされれば動くだけ。"""
pr_064930_0520#0,"""かぁーっ！<br>あんたって、いっつも……"""
pr_064930_0530#0,"""緊急警報！？<br>すぐに状況を確認します！"""
pr_064930_0540#0,"""なになに！？<br>今度は、何なのよっ！！"""
pr_064930_0550#0,"""アークスシップ市街地に<br>超巨大幻創種の出現予兆を確認！"""
pr_064930_0560#0,"""……そんな！<br>こんな質量、ありえませんっ！<br>対象、モニターに出します！"""
pr_064930_0570#0,"""……っ！"""
pr_064930_0580#0,"""そんな、アレは！？"""
pr_064930_0590#0,"""えっ……！？<br>超巨大幻創種のエーテル濃度が変化！"""
pr_064930_0600#0,"""具現化が解けていく……？<br>こんなことって……"""
pr_064930_0610#0,"""ちょっと、ミサトあれって……"""
pr_064930_0620#0,"""ＮＥＲＶの皆さん。<br>何かご存じなんですか？"""
pr_064930_0630#0,"""……第６使徒。"""
pr_064930_0640#0,"""次のストーリーへ進む"""
pr_064930_0650#0,"""終了する"""
name01#0,"""レイ＆ミサト"""
