Q_Event001#0,"""【PSO2】局所地域\u3000作戦予告"""
Q_TwiceEvent001_54_MES#0,"""【PSO2】惑星ウォパル\u3000複数作戦予告"""
Q_TwiceEvent001_55_MES#0,"""【PSO2】惑星ハルコタン\u3000複数作戦予告"""
Q_TwiceEvent001_90_MES#0,"""【PSO2】複数地域\u3000複数作戦予告"""
Q_TwiceEvent001_91_MES#0,"""【PSO2】複数惑星\u3000複数作戦予告"""
D_TwiceEvent001_MES#0,"""【PSO2】複数採掘基地\u3000ダーカー接近予告"""
D_Event009_MES#0,"""【PSO2】ネッキーからの挑戦状予告"""
D_Event012_MES#0,"""【PSO2】VR特殊訓練予告"""
D_Event014_MES#0,"""【PSO2】電撃！ポリタンランド！予告"""
D_Event017_MES#0,"""【PSO2】VR特殊訓練予告"""
M_Event001_MES#0,"""【PSO2】ショップエリア\u3000ライブ予告"""
M_Event002_MES#0,"""-"""
RD_Event024_MES#0,"""【PSO2】『禍津』出現予告"""
RD_Event025_MES#0,"""-"""
RD_Event026_MES#0,"""-"""
RD_Event027_MES#0,"""-"""
RD_Event028_MES#0,"""-"""
RD_Event029_MES#0,"""【PSO2】【深遠なる闇】接近予告"""
RD_Event030_MES#0,"""-"""
RD_Event031_MES#0,"""-"""
RD_Event040_MES#0,"""【PSO2】ＤＦ【若人】接近予告"""
RD_Event041_MES#0,"""-"""
RD_Event042_MES#0,"""-"""
RD_Event043_MES#0,"""【PSO2】幻創戦艦・大和出現予告"""
RD_Event044_MES#0,"""-"""
LS_Event004_MES#0,"""【PSO2】ショップエリア\u3000ライブ予告"""
LS_Event005_MES#0,"""-"""
RD_Event045_MES#0,"""【PSO2】マザー出現予告"""
RD_Event046_MES#0,"""-"""
RD_Event047_MES#0,"""-"""
RD_Event048_MES#0,"""【PSO2】デウス・エスカ出現予告"""
RD_Event049_MES#0,"""-"""
RD_Event050_MES#0,"""-"""
RD_Event051_MES#0,"""-"""
RD_Event052_MES#0,"""-"""
RD_Event053_MES#0,"""-"""
Q_Event001_56_MES#0,"""【PSO2】ヴェルン荒野\u3000作戦予告"""
Q_Event001_57_MES#0,"""-"""
Q_Event001_58_MES#0,"""-"""
RD_Event054_MES#0,"""【PSO2】邪竜出現予告"""
RD_Event055_MES#0,"""-"""
RD_Event056_MES#0,"""-"""
RD_Event057_MES#0,"""-"""
Q_Event001_59_MES#0,"""【PSO2】地球\u3000作戦予告"""
RD_Event058_MES#0,"""【PSO2】オメガ【敗者】出現予告"""
RD_Event059_MES#0,"""-"""
RD_Event060_MES#0,"""-"""
RD_Event061_MES#0,"""-"""
RD_Event062_MES#0,"""【PSO2】オメガ【若人】出現予告"""
RD_Event063_MES#0,"""-"""
RD_Event064_MES#0,"""-"""
RD_Event065_MES#0,"""【PSO2】マザー＆デウス・エスカ出現予告"""
RD_Event066_MES#0,"""【PSO2】ダークファルス【仮面】出現予告"""
RD_Event067_MES#0,"""-"""
RD_Event068_MES#0,"""-"""
RD_Event069_MES#0,"""【PSO2】終の艦隊出現予告"""
RD_Event070_MES#0,"""-"""
RD_Event071_MES#0,"""-"""
RD_Event072_MES#0,"""-"""
RD_Event073_MES#0,"""-"""
RD_Event074_MES#0,"""-"""
Q_Event001_70_MES#0,"""【PSO2】イス＝アルス峡谷\u3000作戦予告"""
Q_Event001_71_MES#0,"""***"""
Q_Event001_72_MES#0,"""-"""
Q_Event001_73_MES#0,"""-"""
R_Event001_MES#0,"""【PSO2】インタラプトランキング予告"""
R_Event002_MES#0,"""-"""
R_Event003_MES#0,"""-"""
R_Event004_MES#1,"""-"""
R_Event005_MES#1,"""-"""
R_Event006_MES#0,"""-"""
T_Event001_MES#0,"""-"""
T_Event002_MES#0,"""-"""
