11_voice_NPC_5008_101#0,"""คุณ<%me> !<br>ขอเวลาหน่อยได้มั้ย?"""
Fourie_07_020#1,"""一つの種族を理解しようとするのは<br>なかなか骨が折れますねぇ。<br>楽しいから、いいですけど。"""
11_voice_NPC_5008_100#4,"""ชั้นกำลังแลกเปลี่ยนกับชนเผ่าพื้นเมืองอยู่น่ะค่ะ<br>แต่ก็ไม่ได้ทิ้งภารกิจของ ARKS หรอกนะคะ"""
Fourie_08_020#0,"""บางเรื่องถึงไม่อยากสู้ก็จำเป็นต้องสู้<br>เรื่องนั้นชั้นก็พอเข้าใจค่ะ<br>เพราะยังไงชั้นก็ยังเป็น ARKS อยู่นี่คะ"""
11_voice_NPC_5008_100#5,"""私は、原住民と交流しています。<br>けど、アークスの活動も重要だと<br>思っていますよ。"""
Fourie_08_020#1,"""戦わなければならないときが必ずある。<br>それがわかっているからこそ<br>私はまだアークスなんです。"""
11_voice_NPC_5008_101#4,"""คนสมัยนี้เก่งกว่าสมัยก่อนเยอะนะคะเนี่ย ทั้งความ<br>คล่องแคล่วของร่างกาย ทั้งความมุ่งมั่น เลยคิดว่า <br>ตัวเองต้องพยายามให้มากกว่านี้อีกหน่อยซะแล้ว!"""
11_voice_NPC_5008_101#5,"""新しい世代の皆さんはお強いですねぇ。<br>柔軟性も高いし、迷いもないし<br>私も頑張らないと、って思います！"""
11_voice_NPC_5008_102#0,"""บ้านฉันอยู่ไหนเหรอ? ก็ต้องที่นี่น่ะสิคะ<br>หรือคิดว่า ชั้นอยู่กับชาว Lilipa เหรอคะ<br>เกินไปหน่อยแล้วนะคะ"""
Fourie_10_020#0,"""ชั้นมีแบ่งอาณาเขตไว้เรียบร้อยแล้วล่ะค่ะ<br>...อ๊ะ แต่ช่วงนี้ก็ใช้เวลาอยู่กับ<br>ชาว Lilipa ค่อนข้างนานเหมือนกันแฮะ"""
11_voice_NPC_5008_102#1,"""私の居住場所？\u3000もちろんここですよ？<br>もしかして、リリーパに住んでいるとか<br>思ってます？\u3000しっつれいですねぇ。"""
Fourie_10_020#1,"""私だって、ちゃんとわきまえています。<br>……あ、でも最近はリリーパでの<br>滞在時間の方が長い、かも。"""
11_voice_NPC_5008_101#6,"""ชั้นเชื่อว่า ถูกต้องแล้วที่มาเป็น ARKS<br>เพราะไม่อย่างนั้น คงไม่มีโอกาสได้เจอ<br>เด็กพวกนั้นกับทุกๆคนแน่เลยค่ะ"""
11_voice_NPC_5008_101#7,"""私、アークスで良かったと思います。<br>だって、そうじゃないとあの子達や<br>皆さんに会えなかったんですから。"""
11_voice_NPC_5008_105#2,"""มึนมากเลยนะคะ เวลาจะเลือกอาวุธแต่ละทีเนี่ย<br>คุณเป็นแบบไหนคะระหว่างอะไรก็ได้ง่ายๆ<br>กับเลือกไม่เสร็จซักทีจนกว่าจะเจออันที่ถูกใจจริงๆ?"""
11_voice_NPC_5008_105#3,"""武器の選択って、迷いますよねぇ。<br>なんとなくしっくりきたの、という<br>わりとテキトーなのはダメでしょうか？"""
11_voice_NPC_5008_100#6,"""คนที่คิดไปเองว่า Cast เป็นพวกเรื่องมาก<br>คิดเล็กคิดน้อยมีอยู่เยอะเหมือนกันนะคะ<br>ซึ่งจริงๆแล้วไม่ใช่แบบนั้นหรอกค่ะ"""
Fourie_13_020#0,"""Cast เองก็เป็นคนเหมือนกันนะคะ<br>แถมต่างคนต่างก็มีนิสัยแตกต่างกันไปด้วย<br>อย่างชั้นนี่ ก็เป็นตัวอย่างที่ดีได้เลยจริงมั้ยคะ?"""
11_voice_NPC_5008_100#7,"""皆さん、キャストに対して緻密といった<br>先入観を持たれている方が多いですけど<br>多分そんなことないですよ。"""
Fourie_13_020#1,"""キャストだって人ですから<br>性質や性格は人それぞれってやつです。<br>私が良い例だと思いませんか？"""
11_voice_NPC_5008_100#8,"""กังวลไปก็เสียเวลาเปล่าๆค่ะ สู้เอาเวลาไป<br>ทำตามแผนที่วางไว้ ส่วนถ้าจะเกิดอะไรตามมา <br>ก็สนุกกับมันให้ได้ดีกว่านะคะ"""
11_voice_NPC_5008_100#9,"""悩む時間って、もったいないですよね。<br>予定通りにいくのは稀なことですし<br>起きた事を楽しむ余裕を持ちたいです。"""
11_voice_NPC_5008_104#2,"""บางครั้งชั้นก็มีพูดว่า มองไปข้างหน้าสิ ใช่มั้ยคะ<br>คิดว่าความจริงมันหมายความว่ายังไงเอ่ย?"""
Fourie_15_020#0,"""คือเซนเซอร์ของชั้นเนี่ย มันจับอะไรที่อยู่ด้านหลัง<br>ไม่ได้ค่ะ เลยมองเห็นแต่ด้านหน้ามานานละ...<br>บางทีก็ทำเอาลำบากเหมือนกันนะคะนี่"""
11_voice_NPC_5008_104#3,"""時々、前向きだね、とか言われます。<br>それってどういう意味なのでしょうか？"""
Fourie_15_020#1,"""私のセンサーは後方を感知できないので<br>もともと前しか見られないのですが……<br>難しい問いかけですよね。"""
Alice_01_10#0,"""เกี่ยวกับความรักต่างเผ่าพันธุ์อย่างนั้นเหรอคะ<br>อย่างนี้นี่เองๆ ...... แต่ เอ๊ะ! เอ๋!?"""
Alice_01_20#0,"""อะไรกัน ความรักต่างเผ่าพันธุ์อะไรนี่<br>ชั้นไม่ได้มีความรู้สึกอะไรแบบนั้น<br>กับเด็กๆ พวกนั้นซักหน่อยนะคะ......"""
Alice_01_30#0,"""......เอ๊ะ? ไม่ใช่?<br>ความรักต่างเผ่าพันธุ์ภายใน ARKS?"""
Alice_01_40#0,"""ฮะ ฮะๆๆ ......! แย่จังเลยค่ะ!<br>กรุณาอย่าทำให้ชั้นเข้าใจผิดสิคะ!"""
Alice_01_50#0,"""เอ่อก็ ความรัก ความรักสินะคะ?<br>ชั้นน่ะไม่ว่าจะเป็นเผ่าอะไรหรือเป็นใครก็โอเคค่ะ!<br>ถ้ารักชอบล่ะก็ ไม่ว่าจะเป็นอะไรก็ไม่เป็นไรค่ะ!"""
Alice_01_60#0,""".......ถึงการพูดแบบนี้จะดูไม่สม<br>กับที่เป็น Cast ก็ตาม<br>แต่ก็อย่าสนใจเลยค่ะ ใช่แล้วค่ะ!"""
Alice_01_70#0,"""ชั้นคิดว่าความรักชอบมันเป็นสิ่งวิเศษนะคะ<br>เพราะฉะนั้น ชั้นจึงคิดว่ามันคือความรู้สึกที่<br>ควรจะสื่อออกไปตรงๆ ค่ะ"""
Alice_01_80#0,"""......เอ่อคือ มันก็ออกจะน่าอายอยู่<br>แต่ว่าตอบแบบนี้ใช้ได้หรือเปล่าคะ?"""
Alice_01_10#1,"""他種族との恋愛について、ですか<br>なるほどなるほどー……って<br>えっ！\u3000ええっ！？"""
Alice_01_20#1,"""そんな、他種族との恋愛なんて<br>私はあの子達にそんな感情を<br>持ってるわけじゃなくて、ですね……"""
Alice_01_30#1,"""……え？\u3000違う？<br>アークス内での他種族との恋愛？"""
Alice_01_40#1,"""た、たはは……！\u3000やだなあもう！<br>勘違いさせないでくださいよ！"""
Alice_01_50#1,"""ええっと、恋愛、恋愛ですか？<br>私はなんでも誰でもオーケーです！<br>好きならなんでも大丈夫、です！"""
Alice_01_60#1,"""……こんなこと言っているから<br>キャストっぽくないと言われるんですが<br>そんなの気にしません、はい！"""
Alice_01_70#1,"""好きになるって、素晴らしいことだと<br>思うんですよね。だからその気持ちには<br>素直に接するべきだと、私は思います！"""
Alice_01_80#1,"""……ええと、恥ずかしいですけど<br>こんな感じで回答になっている<br>でしょうか？"""
11_voice_NPC_08_104#0,"""เพราะ Dark Falz ฟื้นฟู<br>คนจำนวนมากไม่ได้รับการไป Lilipa"""
Fourie_mb9_020#0,"""... มันทำให้ฉันรู้สึกอย่างน่าสังเวชว่าฉัน<br>ปลอดภัยในขณะที่ไม่มีใครจะลงไปช่วย<br>แต่นี้เป็นส่วนหนึ่งของปัญหาใหญ่"""
11_voice_NPC_08_104#1,"""ダークファルス復活の影響<br>今のところリリーパにはあまり<br>出てはいませんでした。"""
Fourie_mb9_020#1,"""……それで安心してしまった<br>自分がちょっと情けないです。<br>もっと、大きな話なのに。"""
11_voice_NPC_08_104#2,"""ข่าวลือเรื่องคุณมังกรที่อาละวาดงั้นเหรอคะ?<br>...เอ ขอโทษนะคะ<br>ชั้นเองก็ไม่เคยเจอเหมือนกันค่ะ"""
Fourie_mb10_020#0,"""ดูเหมือนเด็กพวกนี้ก็ไม่เคยเจอเหมือนกันค่ะ<br>แปลกจังเลยนะคะ <br>ไหนว่ามันทำร้ายทุกอย่างที่ขวางหน้าไม่ใช่เหรอคะ"""
11_voice_NPC_08_104#3,"""ウワサの暴走龍さん、ですか？<br>……えっと、すみません<br>わたしは会ったことがないです。"""
Fourie_mb10_020#1,"""あの子達も会ったことがないそうです。<br>無差別に襲ってくると言われているのに<br>不思議なものです。"""
11_voice_NPC_08_101#0,"""งานประลองฝีมือเหรอคะ!<br>เจ๋งไปเลยนะคะเนี่ย อาจเป็นโอกาสให้<br>พัฒนาฝีมือแบบก้าวกระโดดไปเลยก็ได้นะคะ!"""
Fourie_mb11_020#0,"""แต่คราวนี้ชั้นคงลงด้วยไม่ได้ <br>เลยขอเป็นให้กำลังใจทุกคนแทนแล้วกันนะคะ!"""
Fourie_mb11_030#0,"""ทำไมน่ะเหรอ<br>ก็เวลาแข่งกันไปจนถึงรอบลึกๆแล้ว<br>แค่ดูยังตื่นเต้นเลยนี่คะ!"""
11_voice_NPC_08_101#1,"""戦技大会ってアレですよね！<br>戦意を高めるための催しですよね！<br>いいことだと思います！"""
Fourie_mb11_020#1,"""わたしは今回参加できませんが<br>みなさんには頑張ってもらいたいです！"""
Fourie_mb11_030#1,"""だってほら<br>競い合い、高めあうのって<br>なんだか燃えるじゃないですか！"""
11_voice_NPC_5008_100#10,"""ดาวเคราะห์ Wopal นี่ เป็นดาวที่มีทะเล<br>ปกคลุมไปทั่วแทบทั้งดาวเลยค่ะ<br>ชั้นไม่ค่อยถูกกับลมทะเลซะด้วยสิ"""
Fourie_mb12_020#0,"""อืม... คือเรื่องอื่นก็เฉยๆไม่อะไรหรอกค่ะ<br>ห่วงแค่อย่างเดียวว่าตัวจะเป็นสนิมรึเปล่านี่สิคะ"""
11_voice_NPC_5008_100#11,"""惑星ウォパルって、惑星全体が<br>海に包まれている感じなんですよね。<br>潮風とかも、きつそうですね。"""
Fourie_mb12_020#1,"""うーん……大丈夫とわかっては<br>いるんですが、錆びないかとかが<br>ちょっと気になっちゃいますね。"""
11_voice_NPC_5008_100#12,"""ชั้นแอบฝันว่าอยากใช้ดาบญี่ปุ่น<br>กับทวนยาวเป็นบ้างเหมือนกันค่ะ"""
Fourie_mb13_020#0,"""ก็อาวุธอย่างที่คุณ Regias กับคุณ Maria ใช้ไงล่ะคะ<br>เท่สุดๆไปเลย"""
11_voice_NPC_5008_100#13,"""わたし、カタナやパルチザンに<br>ちょっとした憧れがあるんですよ。"""
Fourie_mb13_020#1,"""ほら、レギアスさんやマリアさんが<br>使っている武器なんです。<br>かっこいいですよね。"""
11_voice_NPC_5008_100#14,"""ข้าแอบฝันว่าอยากใช้ดาบญี่ปุ่นกับทวนยาวเป็นบ้าง<br>เหมือนกันนะ"""
Fourie_mb14_020#0,"""ก็อาวุธอย่างที่ท่าน Regias กับท่าน Maria ใช้ยังไงล่ะ<br>เท่สุดๆ ไปเลย"""
11_voice_NPC_5008_100#15,"""わたし、カタナやパルチザンに<br>ちょっとした憧れがあるんですよ。"""
Fourie_mb14_020#1,"""ほら、レギアスさんやマリアさんが<br>使っている武器なんです。<br>かっこいいですよね。"""
11_voice_NPC_5008_100#16,"""ความถูกต้องของตัวเองนั้น ตัวเองต้องเป็น<br>คนตัดสินค่ะ อ๊ะ เอ้อ ขอโทษนะคะ<br>ชั้นก็แค่อยากจะพูดให้ตัวเองฟังเท่านั้นล่ะค่ะ"""
Fourie_mb15_020#0,"""สิ่งที่คุณ Maria พูดก่อนหน้านี้<br>ชั้นอยากจะจำมันเอาไว้ให้ขึ้นใจค่ะ"""
11_voice_NPC_5008_100#17,"""自分の正義は自分で決める、です。<br>あ、ああっと、ごめんなさい。<br>自分に言い聞かせてただけです。"""
Fourie_mb15_020#1,"""この前マリアさんに言われたこと。<br>しっかり胸に刻み込んで<br>おきたいんです。"""
11_voice_NPC_5008_100#18,"""ทำตามในสิ่งที่ตนเองเชื่อมั่น<br>ถ้าได้แบบนั้นก็ดีจังเลยน้า<br>ระยะนี้ ชั้นมักจะคิดแบบนั้นค่ะ"""
Fourie_mb16_020#0,"""เพียงแค่นั้น มันจะทำให้สามารถหาสิ่งที่<br>ตัวเองต้องการจะทำได้พบ แต่ว่า......<br>การนำมาปฏิบัติจริงนี่มันก็ไม่ง่ายเลยนะคะ"""
11_voice_NPC_5008_100#19,"""自分の信じることを、やり通す。<br>それが出来たらいいなぁ、って<br>最近は、特に強く思います。"""
Fourie_mb16_020#1,"""それだけ、やりたいことが見つかって<br>きたってことなんだと思いますけど……<br>なかなか実践は難しいですね。"""
11_voice_NPC_5008_104#4,"""ท่าน <%me>!<br>ขอโทษ ขอโทษ...... ด้วยจริงๆ ค่ะ!<br>ขอโทษด้วยนะคะ!"""
Fourie_mb16zeno_020#0,"""คำสั่งเด็ดขาด...... ชั้นสับสนไป<br>กับของแบบนั้นและก็ไปต่อสู้<br>กับท่าน <%me> เข้า......"""
Fourie_mb16zeno_030#0,"""......ต้องขอโทษด้วยจริงๆ ค่ะ<br>แม้จะขอโทษซักเท่าไหร่ก็คงไม่พอก็ตาม<br>......แต่ชั้นก็สามารถทำได้เพียงเท่านี้ล่ะค่ะ"""
11_voice_NPC_5008_104#5,"""<%me>さん！<br>本当に、本当に……すみません！<br>ごめんなさい！"""
Fourie_mb16zeno_020#1,"""絶対令……あんなものに惑わされて<br><%me>さんと<br>戦ってしまうなんて……"""
Fourie_mb16zeno_030#1,"""……本当に、すみません。<br>どれだけ謝っても足りないですが<br>……私には、それしかできません。"""
