11_voice_NPC_5021_101#0,"""喔喔，是你啊！<br>你真會挑時間啊！"""
11_voice_NPC_5021_101#5,"""メディカルセンターを活用すれば<br>戦闘前から有利な状態で<br>交戦することが可能だ。忘れるな。"""
11_voice_NPC_21_100#0,"""就算黑暗法爾斯復活了，<br>我們的工作也不會改變。"""
Jan_mb9_020#0,"""要看清目標，別手足無措。<br>我們ARKS的任務是<br>阻擋達卡的來襲。"""
11_voice_NPC_21_100#1,"""ダークファルスが復活したとしても<br>私たちのやることは変わらないぞ。"""
Jan_mb9_020#1,"""浮き足立たずに、目標を見据えよ。<br>私たちアークスの役目は<br>ダーカーの驚異に立ち向かうことだ。"""
11_voice_NPC_21_100#2,"""就算黑暗法爾斯復活了，<br>我們的工作也不會改變。"""
Jan_mb10_020#0,"""要看清目標，別手足無措。<br>我們ARKS的任務是<br>阻擋達卡的來襲。"""
11_voice_NPC_21_100#3,"""ダークファルスが復活したとしても<br>私たちのやることは変わらないぞ。"""
Jan_mb10_020#1,"""浮き足立たずに、目標を見据えよ。<br>私たちアークスの役目は<br>ダーカーの驚異に立ち向かうことだ。"""
11_voice_NPC_21_100#4,"""就算黑暗法爾斯復活了，<br>我們的工作也不會改變。"""
Jan_mb11_020#0,"""要看清目標，別手足無措。<br>我們ARKS的任務是<br>阻擋達卡的來襲。"""
11_voice_NPC_21_100#5,"""ダークファルスが復活したとしても<br>私たちのやることは変わらないぞ。"""
Jan_mb11_020#1,"""浮き足立たずに、目標を見据えよ。<br>私たちアークスの役目は<br>ダーカーの驚異に立ち向かうことだ。"""
11_voice_NPC_5021_100#4,"""如果感到徬徨不安，<br>就先回到最原始的初衷，"""
Jan_mb12_020#0,"""再次確認自己的真正目的。<br>唯有如此才能在這裡立足。"""
11_voice_NPC_5021_100#5,"""不安になることがあった場合は<br>なによりもまず、基本に立ち返るべし。"""
Jan_mb12_020#1,"""己の真なる目的を今一度確かめる。<br>それだけで地に足がつくものだぞ。"""
11_voice_NPC_5021_100#6,"""如果感到徬徨不安，<br>就先回到最原始的初衷，"""
Jan_mb13_020#0,"""再次確認自己的真正目的。<br>唯有如此才能在這裡立足。"""
11_voice_NPC_5021_100#7,"""不安になることがあった場合は<br>なによりもまず、基本に立ち返るべし。"""
Jan_mb13_020#1,"""己の真なる目的を今一度確かめる。<br>それだけで地に足がつくものだぞ。"""
11_voice_NPC_5021_100#8,"""如果感到徬徨不安，<br>就先回到最原始的初衷，"""
Jan_mb14_020#0,"""再次確認自己的真正目的。<br>唯有如此才能在這裡立足。"""
11_voice_NPC_5021_100#9,"""不安になることがあった場合は<br>なによりもまず、基本に立ち返るべし。"""
Jan_mb14_020#1,"""己の真なる目的を今一度確かめる。<br>それだけで地に足がつくものだぞ。"""
Jan_mb16_010#0,"""怎麼，感到什麼不安嗎？<br>但我想啊，那必定只是<br>你在杞人憂天罷了。<br>"""
11_voice_NPC_5021_100#10,"""<br>不安是由心而生的。<br>只要自己深信沒問題，就一定如此。<br>在我年輕的時候……"""
Jan_mb16_010#1,"""どうした、何か不安でもあるのか？<br>だがな、それはきっと<br>ただの取り越し苦労だと思うぞ。"""
11_voice_NPC_5021_100#11,"""不安は、自分の内から生まれるものだ。<br>大丈夫と信じていれば自ずとそうなる。<br>私も若い頃には……"""
11_voice_NPC_5021_100#12,"""<br>要再更有自信一點。<br>因為即使說你拯救了大家，<br>也不為過啊。<br>"""
11_voice_NPC_5021_100#13,"""もっと、胸を張るといい。<br>君が、皆を救ったといっても<br>過言ではないのだからな。"""
