line01#0,"""4択クイズ、開始！<br>（全2問）"""
quize02_incorrect#0,"""<red>할파나 평원：東<c>입니다!<br>く～ぅ、残念！！"""
quize03_correct#0,"""<red>마그너스산：西<c>입니다!<br>正解축하드립니다!<br>正解数+１です！"""
quize03_incorrect#0,"""<red>마그너스산：西<c>입니다!<br>く～ぅ、残念！！"""
quize04_correct#0,"""<red>이하나산：西<c>입니다!<br>正解축하드립니다!<br>正解数+１です！"""
quize04_incorrect#0,"""<red>이하나산：西<c>입니다!<br>く～ぅ、残念！！"""
quize05_correct#0,"""<red>ダナン雪原：西<c>입니다!<br>正解축하드립니다!<br>正解数+１です！"""
quize05_incorrect#0,"""<red>ダナン雪原：西<c>입니다!<br>く～ぅ、残念！！"""
quize06_select1#0,"""마그너스산：東"""
quize06_select2#0,"""마그너스산：西"""
quize06_select3#0,"""발플로우 대폭포：西"""
quize06_select4#0,"""피코트산"""
quize06_correct#0,"""<red>마그너스산：東<c>입니다!<br>正解축하드립니다!<br>正解数+１です！"""
quize06_incorrect#0,"""<red>마그너스산：東<c>입니다!<br>く～ぅ、残念！！"""
quize07_select1#0,"""라카우 해안"""
quize07_select2#0,"""クライアノ断崖"""
quize07_select3#0,"""에아리오 타운 흔적"""
quize07_select4#0,"""カナイ島"""
quize07_correct#0,"""<red>라카우 해안<c>입니다!<br>正解축하드립니다!<br>正解数+１です！"""
quize07_incorrect#0,"""<red>라카우 해안<c>입니다!<br>く～ぅ、残念！！"""
quize08_select1#0,"""ベルガナ遺跡：南"""
quize08_select2#0,"""ベルガナ遺跡：北"""
quize08_select3#0,"""ミストラ樹林：南"""
quize08_select4#0,"""ダナン雪原"""
quize08_correct#0,"""<red>ベルガナ遺跡：南<c>입니다!<br>正解축하드립니다!<br>正解数+１です！"""
quize08_incorrect#0,"""<red>ベルガナ遺跡：南<c>입니다!<br>く～ぅ、残念！！"""
quize09_select1#0,"""ミストラ樹林：南"""
quize09_select2#0,"""ベルガナ遺跡：北"""
quize09_select3#0,"""ベルガナ遺跡：南"""
quize09_select4#0,"""ダナン雪原"""
quize09_correct#0,"""<red>ミストラ樹林：南<c>입니다!<br>正解축하드립니다!<br>正解数+１です！"""
quize09_incorrect#0,"""<red>ミストラ樹林：南<c>입니다!<br>く～ぅ、残念！！"""
quize10_select1#0,"""라트바산：北"""
quize10_select2#0,"""ダナン雪原：西"""
quize10_select3#0,"""ベルガナ遺跡：北"""
quize10_select4#0,"""이하나산：西"""
quize10_correct#0,"""<red>라트바산：北<c>입니다!<br>正解축하드립니다!<br>正解数+１です！"""
quize10_incorrect#0,"""<red>라트바산：北<c>입니다!<br>く～ぅ、残念！！"""
quize11_select1#0,"""ステッキン低地"""
quize11_select2#0,"""モラーバ渓谷"""
quize11_select3#0,"""サガーン山道：西"""
quize11_select4#0,"""サガーン山道：東"""
quize11_correct#0,"""<red>ステッキン低地<c>입니다!<br>正解축하드립니다!<br>正解数+１です！"""
quize11_incorrect#0,"""<red>ステッキン低地<c>입니다!<br>く～ぅ、残念！！"""
quize12_select1#0,"""サガーン山道：東"""
quize12_select2#0,"""モラーバ渓谷"""
quize12_select3#0,"""サガーン山道：西"""
quize12_select4#0,"""ステッキン低地"""
quize12_correct#0,"""<red>サガーン山道：東<c>입니다!<br>正解축하드립니다!<br>正解数+１です！"""
quize12_incorrect#0,"""<red>サガーン山道：東<c>입니다!<br>く～ぅ、残念！！"""
quize13_select1#0,"""アルディマンド砂漠"""
quize13_select2#0,"""トリニテス"""
quize13_select3#0,"""ダルスマブル砂漠"""
quize13_select4#0,"""ガルネール海岸：東"""
quize13_correct#0,"""<red>アルディマンド砂漠<c>입니다!<br>正解축하드립니다!<br>正解数+１です！"""
quize13_incorrect#0,"""<red>アルディマンド砂漠<c>입니다!<br>く～ぅ、残念！！"""
quize14_select1#0,"""ダルスマブル砂漠"""
quize14_select2#0,"""トリニテス"""
quize14_select3#0,"""アルディマンド砂漠"""
quize14_select4#0,"""ガルネール海岸：東"""
quize14_correct#0,"""<red>ダルスマブル砂漠<c>입니다!<br>正解축하드립니다!<br>正解数+１です！"""
quize14_incorrect#0,"""<red>ダルスマブル砂漠<c>입니다!<br>く～ぅ、残念！！"""
quize15_select1#0,"""ガルネール海岸：西"""
quize15_select2#0,"""ステッキン低地"""
quize15_select3#0,"""アルディマンド砂漠"""
quize15_select4#0,"""ガルネール海岸：東"""
quize15_correct#0,"""<red>ガルネール海岸：西<c>입니다!<br>正解축하드립니다!<br>正解数+１です！"""
quize15_incorrect#0,"""<red>ガルネール海岸：西<c>입니다!<br>く～ぅ、残念！！"""
quize16_select1#0,"""アルテラ베이스"""
quize16_select2#0,"""フェルーサ岩稜：第２"""
quize16_select3#0,"""デクスト베이스：第１"""
quize16_select4#0,"""デクスト베이스：第２"""
quize16_correct#0,"""<red>アルテラ베이스<c>입니다!<br>正解축하드립니다!<br>正解数+１です！"""
quize16_incorrect#0,"""<red>アルテラ베이스<c>입니다!<br>く～ぅ、残念！！"""
quize17_select1#0,"""デクスト베이스：第１"""
quize17_select2#0,"""フェルーサ岩稜：第２"""
quize17_select3#0,"""アルテラ베이스"""
quize17_select4#0,"""デクスト베이스：第２"""
quize17_correct#0,"""<red>アルテラ베이스<c>입니다!<br>正解축하드립니다!<br>正解数+１です！"""
quize17_incorrect#0,"""<red>アルテラ베이스<c>입니다!<br>く～ぅ、残念！！"""
quize18_select1#0,"""ドライゼン 플랜트：第２"""
quize18_select2#0,"""ドライゼン 플랜트：第１"""
quize18_select3#0,"""フェルーサ岩稜：第１"""
quize18_select4#0,"""노이젠 플랜트"""
quize18_correct#0,"""<red>ドライゼン 플랜트：第２<c>입니다!<br>正解축하드립니다!<br>正解数+１です！"""
quize18_incorrect#0,"""<red>ドライゼン 플랜트：第２<c>입니다!<br>く～ぅ、残念！！"""
quize19_select1#0,"""フェルーサ岩稜：第１"""
quize19_select2#0,"""ドライゼン 플랜트：第１"""
quize19_select3#0,"""フェルーサ岩稜：第２"""
quize19_select4#0,"""노이젠 플랜트"""
quize19_correct#0,"""<red>フェルーサ岩稜：第１<c>입니다!<br>正解축하드립니다!<br>正解数+１です！"""
quize19_incorrect#0,"""<red>フェルーサ岩稜：第１<c>입니다!<br>く～ぅ、残念！！"""
quize20_select1#0,"""フェルーサ岩稜：第１"""
quize20_select2#0,"""ドライゼン 플랜트：第１"""
quize20_select3#0,"""フェルーサ岩稜：第２"""
quize20_select4#0,"""노이젠 플랜트"""
quize20_correct#0,"""<red>フェルーサ岩稜：第１<c>입니다!<br>正解축하드립니다!<br>正解数+１です！"""
quize20_incorrect#0,"""<red>フェルーサ岩稜：第１<c>입니다!<br>く～ぅ、残念！！"""
