E_Quest_Common_End#0,"""異常事態の収束を確認。作戦協力に感謝します。"""
E_eario_defense_1120003_Open#0,"""アークス各員に通達。エアリオリージョンに出現した多数のドールズに対し、防衛作戦を開始します。アークス各員は任務への参加をお願いします。<yellow>（戦闘力$(0)以上のプレイヤーが対象）<c>"""
E_eario_raid_1160000_Notice#0,"""緊急連絡だ。セントラル周辺にダークファルスの出現予兆を確認した。セントラルキャノンを含め、迎撃作戦の準備を進めている。出撃の準備をお願いしたい。<yellow>（戦闘力$(0)以上のプレイヤーが対象）<c>"""
E_eario_raid_1160000_Open#0,"""ダークファルスの出現を確認。セントラルキャノンのチャージが終わるまでダークファルスを食い止めて欲しい。頼んだよ。<yellow>（戦闘力$(0)以上のプレイヤーが対象）<c>"""
E_eario_raid_1160000_End#0,"""ダークファルスの撤退を確認。作戦への協力、ありがとう。"""
E_eario_raid_1120110_Notice#0,"""緊急連絡だ。ダークファルスの活動再開予兆を確認した。迎撃作戦の準備を進めている。出撃の準備をお願いしたい。<yellow>（戦闘力$(0)以上のプレイヤーが対象）<c>"""
E_eario_raid_1120110_Open#0,"""ダークファルスの侵攻を確認。ハルファ中央に向かい、撃退作戦に協力して欲しい。頼んだよ。<yellow>（戦闘力$(0)以上のプレイヤーが対象）<c>"""
E_eario_raid_1120110_End#0,"""ダークファルスの撃退を確認。作戦に協力してくれてありがとう。"""
E_ritemu_Dolls_1120030_Notice#0,"""緊急警報発令。リテムリージョンに、強力なドールズの反応を確認。アークス各員は出撃の準備をお願いします。<yellow>（戦闘力$(0)以上のプレイヤーが対象）<c>"""
E_ritemu_Dolls_1120030_Open#0,"""アークス各員に通達。リテムリージョンに出現したドールズに対し、撃退作戦を開始します。アークス各員は任務への参加をお願いします。<yellow>（戦闘力$(0)以上のプレイヤーが対象）<c>"""
SL_Event_End001#0,"""ステージライブは終了しました。ご参加いただき、ありがとうございました。"""
SL_Event_Notice002#0,"""このあと、リテムシティでステージライブの開催が予定されています。みなさま、お誘い合わせのうえ、ふるってご参加ください！"""
SL_Event_BeforeOpen002#0,"""まもなく、リテムシティでステージライブが開催されます。みなさま、ステージにお集まりください！"""
SL_Event_Open002#0,"""現在、リテムシティでステージライブが開催中です！"""
E_eario_General_Notice#0,"""緊急警報発令。エアリオリージョンにて、大規模作戦を準備中です。アークス各員は出撃の準備をお願いします。<yellow>（戦闘力$(0)以上のプレイヤーが対象）<c>"""
E_eario_General_Open#0,"""アークス各員に通達。エアリオリージョンにて、大規模作戦を開始します。アークス各員は任務への参加をお願いします。<yellow>（戦闘力$(0)以上のプレイヤーが対象）<c>"""
E_Ritemu_General_Notice#0,"""緊急警報発令。リテムリージョンにて、大規模作戦を準備中です。アークス各員は出撃の準備をお願いします。<yellow>（戦闘力$(0)以上のプレイヤーが対象）<c>"""
E_Ritemu_General_Open#0,"""アークス各員に通達。リテムリージョンにて、大規模作戦を開始します。アークス各員は任務への参加をお願いします。<yellow>（戦闘力$(0)以上のプレイヤーが対象）<c>"""
E_retem_defense_1120003_Notice#0,"""緊急警報発令。リテムリージョンに出現した多数のドールズに対し、防衛作戦を準備中です。アークス各員は出撃の準備をお願いします。<yellow>（戦闘力$(0)以上のプレイヤーが対象）<c>"""
E_retem_defense_1120003_Open#0,"""アークス各員に通達。リテムリージョンに出現した多数のドールズに対し、防衛作戦を開始します。アークス各員は任務への参加をお願いします。<yellow>（戦闘力$(0)以上のプレイヤーが対象）<c>"""
E_Kvaris_Dolls_Notice#0,"""緊急警報発令。クヴァリスリージョンに、強力なドールズの反応を確認。アークス各員は出撃の準備をお願いします。<yellow>（戦闘力$(0)以上のプレイヤーが対象）<c>"""
E_Kvaris_Dolls_Open#0,"""アークス各員に通達。クヴァリスリージョンに出現したドールズに対し、撃退作戦を開始します。アークス各員は任務への参加をお願いします。<yellow>（戦闘力$(0)以上のプレイヤーが対象）<c>"""
E_Stea_Dolls_Notice#0,"""緊急警報発令。スティアリージョンに、強力なドールズの反応を確認。アークス各員は出撃の準備をお願いします。<yellow>（戦闘力$(0)以上のプレイヤーが対象）<c>"""
E_Stea_Dolls_Open#0,"""アークス各員に通達。スティアリージョンに出現したドールズに対し、撃退作戦を開始します。アークス各員は任務への参加をお願いします。<yellow>（戦闘力$(0)以上のプレイヤーが対象）<c>"""
E_Kvaris_General_Notice#0,"""緊急警報発令。クヴァリスリージョンにて、大規模作戦を準備中です。アークス各員は出撃の準備をお願いします。<yellow>（戦闘力$(0)以上のプレイヤーが対象）<c>"""
E_Kvaris_General_Open#0,"""アークス各員に通達。クヴァリスリージョンにて、大規模作戦を開始します。アークス各員は任務への参加をお願いします。<yellow>（戦闘力$(0)以上のプレイヤーが対象）<c>"""
E_Kvaris_defense_Notice#0,"""緊急警報発令。クヴァリスリージョンに出現した多数のドールズに対し、防衛作戦を準備中です。アークス各員は出撃の準備をお願いします。<yellow>（戦闘力$(0)以上のプレイヤーが対象）<c>"""
E_Kvaris_defense_Open#0,"""アークス各員に通達。クヴァリスリージョンに出現した多数のドールズに対し、防衛作戦を開始します。アークス各員は任務への参加をお願いします。<yellow>（戦闘力$(0)以上のプレイヤーが対象）<c>"""
ML_Event_Notice001#0,"""このあと、各拠点にてムービーライブの開催が予定されています。みなさま、お誘い合わせのうえ、ふるってご参加ください！"""
ML_Event_Open001#0,"""現在、各拠点でムービーライブが開催中です！"""
ML_Event_End001#0,"""ムービーライブは終了しました。ご参加いただき、ありがとうございました。"""
E_Leciel_General_Notice#0,"""緊急警報発令。ルシエル内部で、高エネルギー反応を確認しました。現在状況を確認中です。アークス各員は出撃の準備をお願いします。<yellow>（戦闘力$(0)以上のプレイヤーが対象）<c>"""
E_Leciel_General_Open#0,"""アークス各員に通達。ルシエル内部に出現した強力なエネミーに対して、攻撃を開始します。アークス各員は任務への参加をお願いします。<yellow>（戦闘力$(0)以上のプレイヤーが対象）<c>"""
E_Aelio_sinDF_General_Notice#0,"""緊急警報発令。エアリオリージョンで、高エネルギー反応を確認しました。現在状況を確認中です。アークス各員は出撃の準備をお願いします。<yellow>（戦闘力$(0)以上のプレイヤーが対象）<c>"""
E_Aelio_sinDF_General_Open#0,"""アークス各員に通達。エアリオリージョンに出現した強力なエネミーに対して、攻撃を開始します。アークス各員は任務への参加をお願いします。<yellow>（戦闘力$(0)以上のプレイヤーが対象）<c>"""
E_Ritemu_sinDF_General_Notice#0,"""緊急警報発令。リテムリージョンで、高エネルギー反応を確認しました。現在状況を確認中です。アークス各員は出撃の準備をお願いします。<yellow>（戦闘力$(0)以上のプレイヤーが対象）<c>"""
E_Ritemu_sinDF_General_Open#0,"""アークス各員に通達。リテムリージョンに出現した強力なエネミーに対して、攻撃を開始します。アークス各員は任務への参加をお願いします。<yellow>（戦闘力$(0)以上のプレイヤーが対象）<c>"""
E_Kvaris_sinDF_General_Notice#0,"""緊急警報発令。クヴァリスリージョンで、高エネルギー反応を確認しました。現在状況を確認中です。アークス各員は出撃の準備をお願いします。<yellow>（戦闘力$(0)以上のプレイヤーが対象）<c>"""
E_Kvaris_sinDF_General_Open#0,"""アークス各員に通達。クヴァリスリージョンに出現した強力なエネミーに対して、攻撃を開始します。アークス各員は任務への参加をお願いします。<yellow>（戦闘力$(0)以上のプレイヤーが対象）<c>"""
E_Stea_sinDF_General_Notice#0,"""緊急警報発令、スティアリージョンで、高エネルギー反応を確認しました。現在状況を確認中です。アークス各員は出撃の準備をお願いします。<yellow>（戦闘力$(0)以上のプレイヤーが対象）<c>"""
E_Stea_sinDF_General_Open#0,"""アークス各員に通達。スティアリージョンに出現した強力なエネミーに対して、攻撃を開始します。アークス各員は任務への参加をお願いします。<yellow>（戦闘力$(0)以上のプレイヤーが対象）<c>"""
Title_Quest_Info_1#0,"""簡易クエスト情報"""
Title_Quest_Info_2#0,"""クエスト名"""
Title_Quest_Info_3#0,"""クエスト参加人数"""
Title_Quest_Info_4#0,"""クエスト目標"""
Title_Quest_Info_5#0,"""討伐目標エネミー"""
Title_Quest_Info_6#0,"""獲得したフォトン効果（$(0)/$(1)）"""
Mes_Failure_Confirm#0,"""クエスト失敗!"""
WorldTrial_Contents_1_Title#0,"""ワールドトライアル名"""
WorldTrial_Contents_1_1#0,"""<pict worldtrial_squ>$(0)"""
WorldTrial_Contents_2_Title#0,"""残り時間"""
WorldTrial_Contents_2#0,"""$(0):$(1)"""
WorldTrial_Contents_2_seconds#0,"""<pict watch_timelimit>$(0):$(1):$(2)"""
WorldTrial_Contents_3_Title#0,"""自分で発見したＳグレイス"""
WorldTrial_Contents_3#0,"""$(0)/$(1)"""
WorldTrial_Contents_4_Title#0,"""削除項目"""
WorldTrial_Contents_4#0,"""$(0)％"""
WorldTrial_Contents_5_Title#0,"""次のＳグレイスブースト【全体】倍率上昇まで"""
WorldTrial_Contents_5#0,"""$(0)"""
Title_WorldTrial#0,"""ワールドトライアル情報"""
WorldTrial_Contents_Max#0,"""MAX"""
WorldTrial_Contents_6_Title#0,"""Ｓグレイスブースト【全体】"""
Window_ControlGuide#0,"""ページ切り替え：<%TabBack><%TabForward>"""
Title_Mission_Achievement#0,"""ミッション達成度"""
Title_Mainmission#0,"""メインミッション"""
Title_Submission#0,"""サイドミッション"""
Title_Submission_Achievement#0,"""サイドミッション達成数"""
Title_Submission_Achievement_Info#0,"""$(0) / $(1)"""
Title_Quest_Cleartime#0,"""クリアタイム"""
Title_Quest_Score#0,"""スコア"""
SubTitle_Quest_Cleartime#0,"""Clear Time"""
SubTitle_Quest_Besttime#0,"""Best Time """
SubTitle_Quest_TotalScore#0,"""Total Score"""
SubTitle_Quest_BestScore#0,"""Best Score"""
SubTitle_Quest_newRecord#0,"""NEW RECORD！"""
Title_Quest_Reward#0,"""報酬"""
Window_ControlGuide_1#0,"""<%Decide>：次へ"""
Window_ControlGuide_2#0,"""<%Decide>：閉じる"""
UrgencyQuest_Result_Reward#0,"""報酬"""
UrgencyQuest_Result_TotalEvalution#0,"""総合評価"""
UrgencyQuest_Result_Experience#0,"""経験値"""
UrgencyQuest_Result_Meseata#0,"""メセタ"""
UrgencyQuest_Result_NoRetryBonus#0,"""復活ボーナス"""
UrgencyQuest_Result_SeasonPoint#0,"""シーズナルポイント"""
Quest_Result_OtherItems#0,"""その他$(0)個――"""
UrgencyQuest_Result_HPRatio#0,"""全防衛対象の耐久値"""
UrgencyQuest_Result_Percent#0,"""%"""
Quest_Score_Pt#0,"""$(0)Pt"""
SeasonQuest_Result_Label1#0,"""総合評価"""
SeasonQuest_Result_Label2#0,"""ベストプレイヤーの総合評価"""
SeasonQuest_Result_Label3#0,"""クエストポイント"""
SeasonQuest_Result_Label4#0,"""クエストポイントボーナス"""
SeasonQuest_Result_Score#0,"""クエストポイント"""
SeasonQuest_Result_ScoreNum#0,"""$(0)Pt"""
SeasonQuest_Result_Damege#0,"""エネミーへの累計ダメージ"""
SeasonQuest_Result_DefeatEnemy#0,"""エネミー討伐数"""
SeasonQuest_Result_EnemyNum#0,"""$(0)体"""
Result_TimeBonus_Head#0,"""残り時間ボーナス"""
Result_TimeBonus_Score1#0,"""$(0)秒 × $(1)Pt"""
Result_TimeBonus_Score2#0,"""＝ $(0)Pt"""
Result_EnemyBonus_Head#0,"""エネミー撃破ボーナス"""
Result_EnemyBonus_Head2#0,"""エネミー討伐"""
Result_PersonalWork_Default#0,"""正解数"""
Result_RingBonus_Head#0,"""リング獲得($(0)個)"""
Result_EmeraBonus_Head#0,"""カオスエメラルド獲得($(0)個)"""
Result_EmeraEffectBonus_Head#0,"""スコア倍率ボーナス"""
Result_BestPlayerBonus_Head#0,"""ベストプレイヤー"""
Result_StolenBonus_Head#0,"""他プレイヤー復活"""
Result_TotalScore_Head#0,"""Total Score"""
Result_GenesisPoint#0,"""ジェネシスポイント"""
Result_N-TeamPoint#0,"""N-チームポイント"""
Result_SuccessTrialCount#0,"""トライアル成功回数"""
Window_Title_PartyMatching1#0,"""マッチング中"""
Window_Title_PartyMatching2#0,"""パスワードでマッチング中"""
Title_PartyMatching1#0,"""受注予定のクエスト"""
Title_PartyMatching2#0,"""マッチング状況"""
Title_PartyMatching3#0,"""パーティー状況"""
Label_Participants#0,"""参加人数"""
Label_ElapsedTime#0,"""マッチング経過時間"""
Label_MenberName#0,"""メンバー名"""
Participation_Participation_OK#0,"""<vivid_green>参加中<c>"""
Participation_Participation_NG#0,"""<pure_red>未参加<c>"""
Participation_Non_Participation#0,"""<pure_red>参加不可<c>"""
Mes_Matching_Error1#0,"""進行していたマッチングをキャンセルしました。"""
Mes_Matching_Error2#0,"""$(0)により、<br>マッチングがキャンセルされました。"""
Mes_Matching_Error3#0,"""パーティー情報が更新されたため、<br>マッチングがキャンセルされました。"""
Mes_Matching_Error4#0,"""マッチングのやり直しが規定数に達したため、<br>マッチングをキャンセルしました。"""
Mes_Matching_Error5#0,"""パーティー情報が更新されたため、<br>マッチングをリセットします。"""
Mes_Matching_Error6#0,"""マッチング中のパーティーから離脱しました。"""
Mes_Matching_Timeout#0,"""マッチングがタイムアウトしました。"""
Mes_Matching_Countdown_1#0,"""クエスト開始まであと $(0)秒"""
Mes_Matching_Countdown_2#0,"""クエスト開始まであと $(0)分"""
Mes_Matching_Starttransfer#0,"""マッチングが完了しました。5秒後に転送します。"""
Mes_Matching_SectionMove#0,"""セクション移動を行うと、マッチングの<br>対象外となりますのでご注意ください。"""
Mes_Matching_ClassChange#0,"""マッチング中はクラスを変更できません。"""
Mes_Matching_MainTaskStop#0,"""マッチング中はメインタスク進行が中断されます。"""
Mes_Matching_Election_Titile1#0,"""クエスト即時開始の同意"""
Mes_Matching_Election_Titile2#0,"""同意人数"""
Mes_Matching_Election_Titile3#0,"""残り時間"""
Mes_Matching_Election_Param1#0,"""$(0)人"""
Mes_Matching_Election_Param2#0,"""$(0):$(1)"""
Mes_Matching_Election_Com1#0,"""クエスト即時開始の提案"""
Mes_Matching_Election_Com2#0,"""マッチングをやめる"""
Mes_Matching_Election_Msg1#0,"""最大参加人数に満たない状態で、<br>現メンバーにクエストの即時開始を提案します。<br>よろしいですか？"""
Mes_Matching_Election_Error1#0,"""クエスト即時開始の再提案が可能になるまで<br>あと $(0) 秒です。"""
Mes_Matching_Election_Error2#0,"""一度投票を否決されたプレーヤーは<br>再度投票を開始できません。"""
Mes_Matching_Election_Error3#0,"""この機能はパーティーリーダーのみが使用できます。"""
Mes_Matching_Election_Com3#0,"""クエスト即時開始"""
Mes_Matching_Election_Countdown1#0,"""：残り時間$(0)秒"""
Mes_Matching_Election_Title#0,"""クエスト即時開始の同意"""
Mes_Matching_Election_Msg2#0,"""最大参加人数に満たない状態ですが、<br>クエストの即時開始に同意しますか？<br>あと$(0)回反対すると、マッチングから離脱します。<br>"""
Mes_Matching_Election_Countdown2#0,"""<center>残り時間 $(0) 秒</center>"""
Mes_Matching_Election_Yes#0,"""同意する"""
Mes_Matching_Election_No#0,"""反対する"""
Mes_Matching_Election_End1#0,"""全員の同意によりクエストを開始します。"""
Mes_Matching_Election_End2#0,"""全員の同意が得られなかったため、クエスト即時開始を中止します。"""
Mes_Matching_Election_End3#0,"""必要人数が揃ったため投票を中止し、クエストを開始します。"""
Mes_Matching_Election_End4#0,"""マッチング中の一部メンバーが離脱したため、クエスト即時開始を中止します。"""
Mes_Matching_Election_End5#0,"""無効票があったため、クエスト開始は否決されました。"""
Mes_Matching_Election_End6#0,"""ブロックが満員のため、クエストを開始できません。しばらく待ってから再度お試しください。"""
Mes_Matching_Number_Limit#0,"""このクエストは、あと$(0)回クリアできます。"""
Mes_Matching_Start#0,"""クエスト\""$(0)\""のマッチングを開始しました。"""
Mes_Quest_Desorption#0,"""$(0)に帰還します。"""
Mes_Matching_Election_non#0,"""---"""
Mes_Matching_Election_Desp1#0,"""クエスト受注メニューから“クエスト即時開始の提案”を<br>選択することで、現メンバーでクエストを開始できます。"""
Mes_Matching_Election_Desp2#0,"""現メンバーでのクエスト即時開始が提案されました。<br>“新着通知”より内容を確認してください。"""
Mes_Matching_Election_Start1#0,"""現メンバーでのクエスト即時開始が提案されました。<br>“新着通知”より内容を確認してください。"""
Mes_Matching_Election_Start2#0,"""参加メンバーの回答を待っています。"""
Mes_Matching_Election_Start3#0,"""現メンバーでのクエスト即時開始が提案されました。<br>回答はパーティーリーダーのみ行うことができます。"""
Mes_Matching_Election_Com4#0,"""クエスト即時開始に同意しました。"""
Mes_Matching_Election_Com5#0,"""パーティーリーダーがクエスト即時開始に同意しました。"""
Mes_Matching_AutoStart_Mes1#0,"""緊急クエスト開始確認が届きました。（クエスト開始まで あと $(0)秒）"""
Mes_Matching_AutoStart_Arrival1#0,"""緊急クエスト開始確認"""
Mes_Matching_AutoStart_Title1#0,"""緊急クエスト開始確認"""
Mes_Matching_AutoStart_Mes2#0,"""緊急クエストの受注可能期限になりました。<br>現在のマッチングメンバーでクエストを自動的に開始します。<br>このメンバーでクエストに参加しますか？<br>※参加しない場合はマッチングがキャンセルされます。<br>クエスト開始まで あと $(0)秒"""
Mes_Matching_AutoStart_Btn1#0,"""参加する"""
Mes_Matching_AutoStart_Btn2#0,"""マッチングから離脱する"""
Mes_Matching_AutoStart_Sub1#0,"""参加表明"""
Mes_Matching_AutoStart_Sub2#0,"""参加表明人数"""
Mes_Matching_AutoStart_Sub3#0,"""参加表明残り時間"""
Mes_Matching_AutoStart_Mes3#0,"""参加表明しました。"""
Mes_Matching_AutoStart_Mes4#0,"""リーダーが参加表明しました。"""
Mes_Matching_AutoStart_Mes5#0,"""マッチングから離脱しました。"""
Mes_Matching_Election_Waiting#0,"""待機中…"""
Mes_Matching_MatchingWord_Mes1#0,"""マッチングワード設定"""
Mes_Matching_MatchingWord_Mes2#0,"""マッチングワードを設定することで<br>同じワードを設定したプレイヤー同士が<br>マッチングされるようになります。"""
Mes_Matching_MatchingWord_Mes3#0,"""マッチングワードを表示する"""
Mes_Matching_MatchingWord_Mes4#0,"""設定する"""
Mes_Matching_MatchingWord_Mes5#0,"""戻る"""
Mes_Matching_MatchingWord_Mes6#0,"""リセット"""
Mes_Matching_MatchingWord_Mes7#0,"""マッチング設定の変更"""
Mes_Matching_ChangeQuestSettingFailed#0,"""マッチング設定の変更に失敗しました。"""
Mes_Matching_MatchingWord_Mes8#0,"""アシストNPCを無効にする"""
Mes_Matching_MatchingWord_Mes9#0,"""アシストNPCは、<br>クエスト参加人数に空きがある場合に<br>NPCが自動的に戦いに参加する機能です。<br><br><yellow>※この設定はクエスト開始後に変更できません。<c>"""
DefenseTerminal_Title#0,"""資源採掘リグ"""
DefenseTerminal_Title_BLUEFULL#0,"""資源採掘リグ[ブルー]"""
DefenseTerminal_Title_WHITILL#0,"""資源採掘リグ[ホワイト]"""
DefenseTerminal_Title_VIRIDIA#0,"""資源採掘リグ[グリーン]"""
DefenseTerminal_Title_ORAN#0,"""資源採掘リグ[オレンジ]"""
DefenseTerminal_Title_PURPLENUM#0,"""資源採掘リグ[パープル]"""
DefenseTerminal_Title_Weapon#0,"""デリバリーデバイス"""
DefenseTerminal_Help#0,"""このウィンドウを閉じます。"""
DefenseTerminal_Sub_Title1#0,"""デバイス機能"""
DefenseTerminal_Sub_Title2#0,"""使用可能回数"""
DefenseTerminal_Sub_Title3#0,"""回数追加まで"""
DefenseTerminal_Pt#0,"""$(0)Pt"""
DefenseTerminal_Pt2#0,"""あと$(0)Pt"""
DefenseTerminal_Pt3#0,"""$(0)Pt以降"""
DefenseTerminal_Back#0,"""閉じる"""
DefenseTerminalList_Title#0,"""機能開放の必要ポイント"""
DefenseTerminalList_Help#0,"""<yellow>“取得ポイント（Pt）”<c>が一定数蓄積すると、<br>以下の機能が開放されます。"""
DefenseTerminalList_Sub_Title1#0,"""現在の取得ポイント"""
DefenseTerminalList_Sub_Title2#0,"""必要ポイント"""
DefenseTerminalList_Sub_Title3#0,"""デバイス機能"""
DefenseTerminal_Check_Window1#0,"""“$(0)” を実行しますか？<br>"""
DefenseTerminal_Check_Window2#0,"""使用可能回数：$(0) → $(1)"""
DefenseTerminal_Uesed#0,"""使用済み"""
DefenseTerminal_Starting#0,"""<yellow>“$(0)”<c>を使用しました。"""
DefenseTerminal_StartingWeapon#0,"""<yellow>“$(0)”<c>を呼び出しました。"""
DefenseTerminal_Starting_Other#0,"""$(2)が$(0)に<yellow>“$(1)”<c>を使用しました。"""
DefenseTerminal_Starting_OtherWeapon#0,"""$(1)が<yellow>“$(0)”<c>を呼び出しました。"""
DefenseTerminal_Help2#0,"""一定時間、資源採掘リグへのダメージを防ぎます。"""
DefenseTerminal_Help3#0,"""資源採掘リグの耐久値が回復します。"""
DefenseTerminal_Help4#0,"""一定時間、モバイルキャノンを使用することができます。"""
DefenseTerminal_Help5#0,"""一定時間、フローティングボードを使用することができます。"""
DefenseTerminal_Help6#0,"""一定時間、モバイルキャノンM2を使用することができます。"""
DefenseTerminal_command1#0,"""バリアシールドを展開する"""
DefenseTerminal_command2#0,"""損傷箇所を修復する"""
DefenseTerminal_command3#0,"""モバイルキャノンを使用する"""
DefenseTerminal_command4#0,"""モバイルキャノンを使用する"""
DefenseTerminal_command5#0,"""フローティングボードを使用する"""
DefenseTerminal_command6#0,"""モバイルキャノンM2を使用する"""
DefenseTerminal_command6_Loop#0,"""MキャノンM2を使用する（$(0)Ptごと）"""
Select_Titile1#0,"""フィールドレースのコース選択"""
Select_HostText1#0,"""フィールドレースを起動する"""
Select_Text1#0,"""アトランダムイベントレコードを確認する"""
Select_Error1#0,"""現在のセクションで別のクエストが発生中のため、開始できません。"""
Ranking_Error1#0,"""表示できるレコードがありません。"""
Score_Title1#0,"""個人記録"""
Score_Subtitle1#0,"""ベストスコア"""
Score_Subtitle2#0,"""ベストスコア時のクリアタイム"""
Score_Subtitle3#0,"""ベストスコア時のスコアシンボル獲得数"""
Score_Subtitle4#0,"""最速クリアタイム"""
Score_Subtitle5#0,"""スコアシンボル最大獲得数"""
Matching_Button1#0,"""<%Access><pict 4space>でフィールドレースを開始"""
Matching_Buttontext#0,"""選択中のフィールドレース<br>$(0)"""
Matching_Subtitle1#0,"""開始予定のフィールドレース"""
Matching_Starttext1#0,"""フィールドレースの参加受付を開始しました。"""
Select_SetText1#0,"""<yellow>参加者募集中<c>"""
Select_SetText2#0,"""フィールドレースに参加する"""
Goal_Title1#0,"""すべてのチェックポイントを通過してゴールする"""
Result_Subtitle1#0,"""トータルスコア"""
Result_Subtitle2#0,"""クリアタイム（獲得スコア）"""
Result_Subtitle3#0,"""スコアシンボル獲得数（獲得スコア）"""
Result_Subtitle4#0,"""ゴール人数"""
Result_Subtitle5#0,"""残り時間"""
Result_Subtitle6#0,"""ランキング"""
Result_Subtitle7#0,"""自分のトータルスコア"""
Task_Timer1#0,"""$(0):$(1).$(2)"""
Result_Ranking#0,"""$(0)."""
Window_Main_Title#0,"""プレイレポート"""
TabButton_Award#0,"""ベストプレイヤー"""
TabButton_MyAward#0,"""個人記録"""
Headline_CharacterName#0,"""キャラクター名"""
Headline_AwardName#0,"""記録内容"""
Headline_AppendScore#0,"""獲得ポイント"""
Headline_MyAwardName#0,"""記録内容"""
Button_Goodjob#0,"""<pict gj_icon>"""
Button_AddFriend#0,"""<pict friend_icon>"""
Button_Goodjob_All#0,"""全員に<pict gj_icon>グッジョブを送る"""
Button_AddFriend_All#0,"""全員に<pict friend_icon>フレンド登録を申し込む"""
Button_Close#0,"""閉じる"""
Message_Send_Goodjob#0,"""$(0)にグッジョブを送信しました。"""
Message_Send_AddFriend#0,"""$(0)にフレンド登録を申し込みました。"""
Dialog_Goodjob_All_Title#0,"""グッジョブ送信"""
Dialog_Goodjob_All_Text#0,"""クエストに参加したメンバー全員に<br>グッジョブを送信します。<br>よろしいですか？"""
Dialog_AddFriend_All_Title#0,"""フレンド登録申請"""
Dialog_AddFriend_All_Text#0,"""クエストに参加したメンバー全員に、<br>フレンド登録を申し込みます。<br>よろしいですか？"""
Window_Main_Blank_Text#0,"""対象者がいません。"""
Text_Yellow#0,"""<yellow>$(0)<c>"""
Number_AppendScore#0,"""$(0)Pt"""
TopAward_101#0,"""平均ダメージ"""
MyAward_101#0,"""平均ダメージ"""
NumberAward_101#0,"""$(0)"""
TopAward_402#0,"""攻撃回避回数"""
MyAward_402#0,"""攻撃回避回数"""
NumberAward_402#0,"""$(0)回"""
TopAward_404#0,"""エネミーから受けたダメージ：累計・最大"""
MyAward_404#0,"""エネミーから受けたダメージ：累計"""
NumberAward_404#0,"""$(0)"""
TopAward_701#0,"""フォトンブラスト発動回数"""
MyAward_701#0,"""フォトンブラスト発動回数"""
NumberAward_701#0,"""$(0)回"""
TopAward_806#0,"""リング獲得数"""
MyAward_806#0,"""リング獲得数"""
NumberAward_806#0,"""$(0)個"""
TopAward_807#0,"""カオスエメラルド獲得数"""
MyAward_807#0,"""カオスエメラルド獲得数"""
NumberAward_807#0,"""$(0)個"""
TopAward_808#0,"""投擲アクション回数"""
MyAward_808#0,"""投擲アクション回数"""
NumberAward_808#0,"""$(0)回"""
Sonic_GetEmerald#0,"""クエストポイント倍率が$(0)％アップ！（現在の倍率：$(1)％）"""
Sonic_QuestPoint_Magnification1#0,"""クエストPt倍率"""
Sonic_QuestPoint_Magnification2#0,"""＋$(0)％"""
