TitleMenu#0,"""Events / Chronicles"""
StoryDetail0-6#0,"""ด้วยความชำนาญขั้นตอนพื้นฐาน ท่านเดือนไปข้างหน้าด้วยความระมัดระวัง และต้องการจะให้เสียงเตือนภัยเงียบลง<br><br>มีกระแส Photon ที่อันตรายเต็มไปหมดทั้งพื้นที่<br>มีศัตรูอยู่ในเงามืดเต็มไปหมด<br>D-arkers พวกเขาทำอะไรกับ Naberius?"""
StoryDetail0-7#0,"""ไม่ว่าท่านจะกำจัด D-arkers มากเท่าไหร่ พวกมันก็มายึดที่ของพวกมัน Zeno ARKS อาวุโสมาช่วยเหลือท่าน<br>ในเวลาที่ท่านกำลังจะหมดแรงพอดี"""
StoryDetail0-8#0,"""Zeno นำท่านไปข้างหน้า แต่ไม่มีวี่แววความช่วยเหลือใดๆ<br>Zeno ก็เริ่มบ่น ทันใดนั้นก็ได้ยินเสียงมากจากเครื่องมือสื่อสาร"""
StoryDetail0-9#0,"""ท่านหนีออกมาจากบึง D-arker และกลับไปยังประตูยานอย่างปลอดภัย<br><br>แต่ท่านเหมือนจะได้ยินเสียงขอความช่วยเหลือก่อนเทเลพอร์ต"""
StoryDetail0-10#0,"""หลังจากไปที่ล็อบบี้ Zeno และ Echo ก็แยกไปทำรายงาน<br>ซึ่ง Afin เองก็อยากจะตรวจสอบสถานที่เพิ่มและปล่อยท่านไว้ตามลำพัง"""
StoryDetail0-11#0,"""ท่านรู้สึกเหมือนเวลาหยุดเดิน<br>แต่ก็มีผู้หญิงคนนึงปรากฏตัวขึ้นมา<br><br>เธอแนะนำตัว เธอชื่อ Xion และส่งสิ่งที่เธอเรียกว่า Paradigm matrix มาให้. เธอดูไร้ซึ่งอารมณ์แต่ก็โค้งให้ท่านเหมือนอ้อนวอน"""
StoryDetail1-1#0,"""Xion ปรากฏตัวอย่างเงียบๆ และตรวจสอบสถานะของ Paradigm matrix<br>เธอร้องขอกับท่าน<br><br>ให้ช่วยทำให้ Naberius กลับสู่วันในอดีตอีกครั้ง"""
StoryDetail1-2#0,"""ในระหว่างทางที่ Naberius ท่านได้ยินเสียงของ Xion<br>และภาพรอบๆของท่านก็เริ่มเลือนลาง"""
StoryDetail1-3#0,"""Afin ยืนอยู่ข้างหน้าท่านเหมือนวันที่ได้รับภารกิจทดสอบคุณสมบัติ<br><br>ท่านได้ยินเสียงคนขอความช่วยเหลือเบาๆ"""
StoryDetail1-4#0,"""เชื่อในความทรงจำของท่าน และเป็นที่แน่นอนเมื่อ<br>D-arkers ปรากฏตัวและ Afin เริ่มจะตื่นตระหนก<br>ทุกอย่างเหมือนที่ท่านจำได้<br><br>แต่เสียงเบาๆที่ท่านได้ยินก็กลายเป็น Event"""
StoryDetail1-5#0,"""ท่านตามเสียงไปและพบร่างผู้หญิงอยู่บนพื้น เธอใส่ชุดที่ดูแปลกตา<br>ท่านตัดสินใจนำเธอกลับไปพร้อมกัน<br><br>หรือจะเป็นเธอ ที่ร้องขอความช่วยเหลือ?"""
StoryDetail1-6#0,"""เมื่อตื่นขึ้น หญิงสาวแนะนำตัวเองว่าชื่อ Matoi<br>เธอเสียความทรงจำยกเว้นชื่อเธอและชื่อ <%me>.<br>ท่านงงว่าทำไมคนที่เพิ่งพบ กลับรู้จักชื่อของท่าน"""
StoryDetail2-1#0,"""Xion บอกว่าท่านต้องเข้าใจว่าการกระทำของท่านอาจจะช่วยเหลือการเริ่มต้นใหม่มากมาย<br>ดูเหมือนว่าการช่วยเหลือ Matoi จะมีความสำคัญมาก<br>ก่อนที่ท่านจะเริ่มถามถึงการเดินทางครั้งต่อไป<br>Xion ก็มอบ Paradigm matrix ใหม่ให้ เธอโค้งให้อย่างนอบน้อม"""
StoryDetail2-2#0,"""ท่านกลับมาสู่ภารกิจทดสอบคุณสมบัติที่ Naberius<br>เป็นครั้งที่สาม เพื่อมาสำรวจข่าวลือ<br>เมื่อท่านเข้าไปยังพื้นที่สีเขียว ท่านได้ยินเสียงน่ากลัว<br>แต่เสียงนั้นกลับดูคุ้นเคย"""
StoryDetail2-3#0,"""เข้าไปลึกในป่า ห่างไกลจากสถานที่ๆช่วยเหลือ Matoi<br>มีรูปหน้ากากประหลาดๆ วางรอท่านอยู่<br>เมื่อเห็นท่าน พวกมันก็กระโดดเข้ามาโจมตี<br>ท่านต้องใช้เวลาซักพักในการขับไล่มันออกไป แต่ลักษณะของมันช่างดูลึกลับและยากจะลืม"""
StoryDetail2-4#0,"""Xion บอกว่าเธออยู่ที่นั่นเพื่อดูให้แน่ใจว่า ท่านไม่ออกนอกเส้นทาง<br>ท่านช่วยเหลือ Matoi ท่านเผชิญหน้ากับ Persona<br>ทั้งสองเรื่องที่เกิดกลายเป็นความจริงขิงท่าน<br>ด้วยหน้าตาที่ดูพึงพอใจ Xion สร้าง Paradigm matrix อีกอัน"""
StoryDetail2-5#0,"""ตามคำขอของนักธรนีวิทยา Rojio<br>ท่านไปยัง Naberius<br><br>ท่านได้ไปยัง White Summit ทีเด่นเหนือพื้นที่สีเขียว Greenscape"""
StoryDetail2-6#0,"""ในการไป White Summit ท่านได้เผชิญหน้ากับกลุ่ม D-arkers<br>อย่างไรก็ดี พวกมันไม่สนใจท่านและไปตามทางของมัน<br><br>ดูเหมือนพวกมันกำลังค้นหาอะไรบางอย่าง"""
StoryDetail2-7#0,"""แม้ว่าจะถูกก่อกวนโดยนิสัยประหลาดของพวก D-arkers<br>ท่านก็ไปต่อและในที่สุดก็ไปถึงพื้นที่ๆต้องการสำรวจ<br>ท่านต้องอ่านสิ่งที่เขียนไว้ที่อุปกรณ์ในตำแหน่งตัวอย่าง"""
StoryDetail2-8#0,"""ท่านได้ข้อมูลที่ต้องการมาแล้ว<br>แต่ทำไมนิสัยของ D-arkers ยังแปลกๆ เป็นเพราะอะไร<br>พวกมันกำลังทำอะไร?"""
StoryDetail2-9#0,"""ที่ White Summit ท่านเห็นรูปภาพที่ตรงตามข่าวลือ<br><br>ในเวลาเดียวกันท่านได้ยินเสียงแปลกๆ คล้ายเสียงหัวใจเต้น<br>มีอะไรอยู่ข้างหน้ากัน?"""
StoryDetail2-10#0,"""ในส่วนที่ห่างไกลจาก White Summit ท่านได้ผ่านวัตถุงานฝีมือคนที่ถูกแช่แข็งอยู่ในน้ำแข็ง<br>เมื่อท่านหยิบมัน Persona ก็ปรากฏและพยายามใช้กำลังแย่งมันไปจากท่าน<br>ท่านนำมันกลับไปโดยปลอดภัยจากการช่วยเหลือของ Zeno<br>แต่ Persona ก็ไม่มีวี่แววจะยอมแพ้"""
StoryDetail2-11#0,"""ทันใดนั้นก็ได้ยินเสียงหัวใจเด้นดังกึกก้อง<br>Persona ลัง<br>Zeno เห็นโอกาสจึงโจมตีใส่ ทำให้ส่วนที่ปิดบังหลุดออกไป<br>Persona ยิ้มเยาะแล้วยอมจากไป"""
StoryDetail3-1#0,"""Xion บอกว่าภารกิจที่ท่านทำ ไม่มีใครทำสำเร็จโดยไม่บาดเจ็บ.<br>ท่านยังไม่รู้ว่าวัตถุที่ท่านพบที่ White Summit คืออะไร <br>แต่ Xion บอกว่า เมื่อถึงเวลามันจะเปิดเผยเอง<br>เธอยื่น Paradigm matrix อีกอันมาให้"""
StoryDetail3-2#0,"""Fourier บอกว่า เธอถูกสิ่งมีชีวิตขนาดเล็กช่วยเหลือเอาไว้ใน Lost Sea ที่ Lilipur<br>ตามคำร้องขอของเธอ ท่านไปที่นั่นเพื่อหาคนที่ช่วยเธอเอาไว้"""
StoryDetail3-3#0,"""อย่าลืมกรอกบันทึกภารกิจของเธอ<br>Fourier รีบไปทำให้เสร็จ<br><br>เมื่อถามถึงเวลา ท่านบอกคำตอบที่ดีที่สุด<br><br>เมื่อข้อมูลครบถ้วน ก็ได้เวลาเริ่มภารกิจ"""
StoryDetail3-4#0,"""ท่านพบรอยเท้าเล็กๆ และร่องรอยอื่นๆ ที่แสดงว่าสิ่งมีชีวิตนั้นกำลังเร่งรีบ<br>ดูเหมือนพวกมันจะกลัวอะไรบางอย่าง<br>Fourier กังวลว่าพวกมันจะออกจากพื้นที่ไปแล้ว แต่เธอก็ตัดสินใจเดินทางต่อไป"""
StoryDetail3-5#0,"""ในที่สุดท่านก็พบสิ่งมีชีวิตเล็กๆ แต่พวกมันดูเหมือนจะตื่นกลัวและวิ่งหนี<br>Fourier รู้สึกไม่ดี เพราะเธอไม่ได้ตั้งใจจะทำให้พวกมันกลัว<br>เธอรู้สึกไม่ดีแต่ก็คิดว่ามาไกลเกินกว่าจะถอยได้แล้ว"""
StoryDetail3-6#0,"""ท่านเดินมาตามทางแล้วเห็นชุดเกราะถูกทำลายเป็นชิ้นๆ<br>Fourier กังวลใจว่าทำไม ARKS ถึงทำอะไรป่าเถื่อนแบบนี้<br>เธอเข้าใจทันทีว่าทำไมสิ่งมีชีวิตเล็กๆ ถึงได้หวาดกลัว"""
StoryDetail3-7#0,"""ท่านวิ่งไปหา Guntram ผู้ซึ่งกำลังฆ่าอย่างบ้าคลั่ง<br>เขาเคลื่อนที่ไปโจมตีพื้นที่ๆมีสิ่งมีชีวิตเล็กๆอาศัยอยู่<br>โดยมองว่ามันเป็นศัตรู แต่ Fourier ก็เอาตัวเข้าไปขวางเพื่อปกป้องพวกมัน<br>แม้จะตื่นกลัว แต่พวกสิ่งมีชีวิตเล็กๆ ก็เข้าไปหาเธอ"""
StoryDetail4-1#0,"""Xion บอกว่า ท่านต้องไม่ละสายตาจากสิ่งที่กำลังเกิดขึ้น<br>คำพูดของ Guntram และอารมณ์ของ Fourier ทำให้รู้ว่ามีบางอย่างผิดพลาด บางทีทั้งคู่น่าจะรู้สึกตัว<br>Xion มอบ Paradigm matrix อันใหม่ให้โดยไม่แสดงอารมณ์อะไร"""
StoryDetail4-2#0,"""ในฐานะของ Aki,  ARKS และนักวิทยาศาสตร์<br>ท่านจงไปที่ Cauldron ในดาว Amduskia<br>Aki กำลังศึกษา Dragorii ที่อาศัยอยู่ที่นั่น"""
StoryDetail4-3#0,"""หลังจากวิ่งไปหา Dragorii ผู้ซึ่งดูเหมือนจะเข้าใจเธอ Aki พยายามจะติดต่อแต่ดูเหมือนจะถูกปฏิเสธอย่างเต็มที่<br>ดูเหมือนนี่ไม่ใช่ปฏิกิริยาที่เธอคาดหวังไว้<br>Aki เดินต่อไปพร้อมกับหัวเราะเป็นลางร้าย"""
StoryDetail4-4#0,"""Aki กำลังกังวลว่าจะมี D-arkers มากกว่าที่เธอคิด<br><br>Dragorii เชื่อมั่นว่าพวกเขาสามารถป้องกัน D-arkers และปฏิเสธการช่วยเหลือทุกอย่างของ ARKS<br>แต่ Aki เชื่อว่า D-arkers จะชนะถ้าหากไม่มีพลังของ Photon"""
StoryDetail4-5#0,"""ในส่วนที่ลึกของ Cauldron ท่านได้เผชิญหน้ากับ Dragorii ที่กำลังโมโหเป็นจำนวนมาก<br>Aki จ้องมองอย่างอยากรู้อยากเห็นไปที่สิ่งมีชีวิตเหล่านี้ ซึ่งดูเหมือนจะร้องไห้ไปด้วยในขณะที่กำลังโกรธ"""
StoryDetail4-6#0,"""หลังจากกำจัด Dragorii ตัวใหญ่ก็มี Dragorii อื่นปรากฏตัว<br>เฮ้อ เขามาช้าเกิดไป เข้าไม่เหมือนกับ Aki ที่พยายามเจรจา<br>เพราะเขาเห็นพี่น้องโดนทำลายไปต่อหน้าต่อตา ซึ่งท่าทีของเขาก็เป็นที่เข้าใจได้"""
StoryDetail4-7#0,"""Aki พยายามติดต่อกับ Dragorii แต่ดูเหมือนจะมีบางอย่างผิดพลาด<br>พวก Dragorii ก็เริ่มร้องไห้ ก่อกวน และโจมตี<br>อะไรกัน ที่ทำให้พวกเขามีท่าทีเปลี่ยนไปขนาดนี้?"""
StoryDetail4-8#0,"""การค้นหา Dragorii ที่ยังหลงเหลืออยู่ ทำให้ Aki เริ่ม<br>เรียนรู้เกี่ยวกับเนื้อเยื่อในร่างกาย.<br>หลังจากตรวจผลลัพธ์ เธอยืนนิ่ง เธอพบหลักฐานบางอย่างที่ D-arker ทำให้ Dragorii ที่หลงเหลืออยู่แปดเปื้อน"""
StoryDetail4-9#0,"""ท่านพบกับ Dragorii Hi'En เขาพยายาม<br>ใช้เหตุผลกับ Hi'Roga ร่างยักษ์ที่กำลังบ้าคลั่ง<br>Aki บอกว่าไร้ประโยชน์และบอก Hi'En ให้ปล่อยเป็นหน้าที่ของ ARKS เพราะพวกเขายังมีโอกาสช่วยเหลือเขาได้"""
StoryDetail4-10#0,"""ARKS ได้ใช้พลังงาน Photon เพื่อไล่พวกเศษส่วนที่ตกค้างของ D-arker ออกไปจากร่างกายของ Hi'Roga<br>แล้วเขาเริ่มจะคุมสติตัวเองได้<br>Hi'Roga ปลอดภัยตามที่ Aki สัญญา<br>แต่เธอบอกว่า นี่เป็นเพียงจุดเริ่มต้น<br>เธอพยายามจะให้ Dragorii ร่วมมือกับ ARKS<br>เพื่อหยุดยั้งความวุ่นวายนี้"""
StoryDetail0-1#1,"""アークスとして認可されるための<br>修了任務を控えての訓示。<br>曰く、これから向かう惑星ナベリウスは<br>危険の少ない惑星のようだが……"""
StoryDetail0-2#1,"""訓示が終わると同時に、気さくに<br>話しかけてきた少年、アフィン。<br>自然に見せる人なつっこいその笑顔に<br>しかしわずかな緊張も見てとれた。"""
StoryDetail0-3#1,"""修了任務に際して、基本的な動きの<br>チュートリアルが行われた。<br>担当オペレーターは、ベテランのヒルダ。<br>厳しくも丁寧な指導は続く。"""
StoryDetail0-4#1,"""ふいに現れたナベリウスの原生生物。<br>なんだか様子がおかしく、こちらに対し<br>明らかな敵意を向けている……"""
StoryDetail0-5#1,"""なんとか原生生物を撃破したが<br>今後も予想される不意の襲撃に<br>アフィンは大きなため息をつく。<br>戦いたいわけじゃないのに、と。"""
StoryDetail0-6#1,"""戦闘にも慣れ、おっかなびっくりながらも<br>歩みを進めていた矢先に、耳障りな警告音が<br>鳴り響いてくる。<br><br>禍々しいフォトンの奔流が周囲を埋め尽くし<br>漆黒の色を帯びた、絶対的な敵が出現する。<br>ナベリウスにはいないはずの、ダーカーが。"""
StoryDetail0-7#1,"""いくら倒しても、行く先々で出現し<br>襲いかかってくるダーカー。疲弊した<br><%me>達の元に<br>先輩アークスであるゼノが駆けつける。"""
StoryDetail0-8#1,"""ゼノが目標と定めていた地点に到達するが<br>そこにはまだ、救援は来ていなかった。<br>遅刻してるみたいだなとぼやくゼノに<br>抗議の声と共にエコーからの通信が入る。"""
StoryDetail0-9#1,"""ダーカーの包囲網を切り抜け<br>なんとかキャンプシップへと帰還する。<br><br>その帰還の直前、不意に助けを呼ぶような<br>かすかな声が聞こえた気がする……"""
StoryDetail0-10#1,"""ロビーに戻ったところで、ゼノとエコーは<br>帰還報告のために去っていった。<br>アフィンも、混乱をしずめるために<br>ロビーをいろいろ回ってくるという。<br>さて、何をしたものか……"""
StoryDetail0-11#1,"""刹那、時が止まったような感覚を覚えた。<br>しかしその最中でも、彼女は動いていた。<br><br>シオンと名乗った彼女は<br>マターボードなるものを託し<br>感情の見えないその顔を慇懃に下げた。<br>縋るように、願うように、祈るように。"""
StoryDetail1-1#1,"""音もなく姿を見せたシオンは<br>マターボードの進行状況を確認し<br>とりもなおさず一つの依頼を投げかける。<br><br>再び、あの日あの時の惑星ナベリウスへ<br>降り立って欲しいと。"""
StoryDetail1-2#1,"""惑星ナベリウスへと向かう最中<br>シオンの声が聞こえ、視界が歪んだ。"""
StoryDetail1-3#1,"""目の前には、アフィンがいた。<br>修了任務のそのときそのままで<br>アフィンが、そこにいた。<br><br>そして、助けを求めるあの声も<br>かすかにながら、聞こえてきた。"""
StoryDetail1-4#1,"""記憶を頼りに警戒していれば<br>果たしてその予想通り<br>ダーカーが発生し、アフィンが慌て始める。<br>ここまでは、すべて経験通りのもの。<br><br>しかし、その後に聞こえたかすかな声は<br>かつて捉えられなかった未体験のもの。"""
StoryDetail1-5#1,"""声に導かれた先には、少女が倒れていた。<br>およそ見知らぬ服をまとった、白い少女。<br>放っておくわけにもいかず、とりあえず<br>連れて帰ることになった。<br><br>しかし、幾度となく聞こえた謎の声は<br>この子のものなのだろうか……"""
StoryDetail1-6#1,"""目覚めた少女は、マトイと名乗った。<br>一切の記憶を失い、覚えていることは<br>自分の名前と<br><%me>という名。<br>見覚えのない彼女が、どうしてこちらの名を<br>知っていたのか、理由はわからない……"""
StoryDetail2-1#1,"""シオンは言う。「貴方は多くのものを<br>救う機会を持つと認識しておけば良い」と。<br>そしてその機会の結果が、マトイの救出。<br>では次は何なのか、と問いかけるまでもなく<br>シオンは新たなマターボードを提示する。<br>願うように、謝るように頭を下げながら。"""
StoryDetail2-2#1,"""噂を確認するために三度訪れることとなった<br>修了任務時の惑星ナベリウス。<br>森林へと踏み入ったその時に<br>不気味な声が耳に届いた。<br>聞き覚えのあるような、ないような<br>如何とも表現しがたい、不穏な声が……"""
StoryDetail2-3#1,"""マトイを助けた場所とはまた違う奥地で<br>仮面をつけた謎の人物が佇んでいた。<br>こちらを確認するや否や、敵愾心を露わにし<br>一足のもと襲いかかってくる。<br>すんでの所で入った助けによって<br>仮面の人物は撤退するものの、その正体や<br>その目的には、謎が残った。"""
StoryDetail2-4#1,"""シオンは言う。「貴方を迷わせないために<br>わたしが居るのだ」と。<br>マトイの救出も事実、仮面との遭遇も事実<br>どちらもすでに「あった」こととして<br>認識されているこの状況。彼女は満足げに<br>新たなマターボードを、指針を差し出した。"""
StoryDetail2-5#1,"""地質学者ロジオの依頼を受けて<br>惑星ナベリウスへと降り立つ。<br><br>目的地は、森林を抜けた先<br>唐突に広がる凍土近辺。"""
StoryDetail2-6#1,"""凍土に踏み入ったところで<br>ダーカーの集団と遭遇する。<br>だが、アークスであるこちらに目もくれず<br>どこぞへと去って行ってしまった。<br><br>何かを探しているようにも見えたが……"""
StoryDetail2-7#1,"""挙動不審なダーカーは気になるが<br>目的の調査地点まで到達した。<br>あとは各所に設置した装置を使って<br>パラメータの調査を行うのみ。"""
StoryDetail2-8#1,"""目的であるところのデータは集まった。<br>しかし、ダーカーの不審な動きの原因は<br>掴めずじまい。<br>一体あれは何だったのだろうか……"""
