Title#0,"""Mining Base Defense: Despair"""
Wave4_Talk_Cool#1,"""おおっ！\u3000少し正結晶の輝きが<br>強くなったみたいです！<br>どんどん回収しちゃいましょう！"""
Wave5_Talk_Cool#1,"""侵食が進んできてるみたいです……<br>今のうちに侵食されたソケットを<br>浄化して、次の襲撃に備えましょう！"""
Wave6_Talk_Cool#1,"""次の反応は大きいみたいですよー！<br>A.I.Sの準備は大丈夫ですか？<br>フォトン粒子砲もお忘れなく！"""
Wave7_Talk_Cool#1,"""お疲れ様でしたー！\u3000<br>これにて防衛終了ですっ……あれ？<br>待ってください。今、何か反応が……"""
Wave8_Talk_Cool#1,"""次の襲撃が来る前に、正結晶を<br>たっくさん回収しておいてください！<br>今度の反応は、とってもヤバいです！"""
NpcComMsg1st#0,"""ใกล้ได้เวลาเริ่มปฏิบัติการแล้วนะคะ !<br>งานคราวนี้จะหนักหน่อยเพราะส่วนใหญ่โดน Corrupt ไปหมดแล้ว<br>แต่ยังไงก็ขอให้ภารกิจสำเร็จนะค้า !"""
NpcComMsg2nd#0,"""เวลาแบบนี้มันต้องส่ง A.I.S ไปออกโรงแล้ว !<br>ถล่มมันให้ราบไปเล้ย !"""
NpcComMsg1st#1,"""まもなく状況開始です！\u3000既に侵食が<br>かなーり進んじゃっているようなので<br>くれぐれも注意してくださいっ！"""
NpcComMsg2nd#1,"""こういう時は、A.I.Sで<br>敵さんを蹴散らしちゃいましょう！<br>それでは、ご武運を！"""
a1#0,"""เคลียร์ไคลเอนท์ออเดอร์พิเศษ"""
a2#0,"""เคลียร์ไคลเอนท์ออเดอร์พิเศษ"""
a3#0,"""ต้องมีใบอนุญาตรับภารกิจระดับ Super Hard"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
