11_voice_NPC_5085_104#0,"""對不起。<br>為了掌握新的機會，所以需要一點時間做準備。"""
11_voice_NPC_5085_100#1,"""とにかく、君はマトイと一緒に<br>いてあげてほしい。<br>彼女も、それを望んでいるからね。"""
text03001#0,"""對不起。<br>為了掌握新的機會，所以需要一點時間做準備。"""
11_voice_NPC_5085_109#0,"""對不起。<br>為了掌握新的機會，所以需要一點時間做準備。"""
11_voice_NPC_5085_102#2,"""對不起。<br>為了掌握新的機會，所以需要一點時間做準備。"""
text03004#0,"""對不起。<br>為了掌握新的機會，所以需要一點時間做準備。"""
text03005#0,"""對不起。<br>為了掌握新的機會，所以需要一點時間做準備。"""
text03006#0,"""對不起。<br>為了掌握新的機會，所以需要一點時間做準備。"""
11_voice_NPC_5085_104#2,"""對不起。<br>為了掌握新的機會，所以需要一點時間做準備。"""
text03001#1,"""【仮面】か……<br>あのダークファルスについては<br>正直、謎ばかりで語りようがないよ。"""
11_voice_NPC_5085_109#1,"""特定の配下となるダーカーを持たず<br><%me>や<br>マトイの命ばかり執拗に狙う存在。"""
11_voice_NPC_5085_102#3,"""１０年前にも姿を見せた【仮面】<br>二代目クラリスクレイスを……マトイを<br>騙し討ちするため、現れたあいつは……"""
text03004#1,"""姿形からパラメータまで<br>全て……君と同じだったんだ。<br>時間移動を行うというところまで。"""
text03005#1,"""……なんで【仮面】にそんなことが<br>出来るのか、それはいまだに謎だけど。"""
text03006#1,"""あいつは……【仮面】は<br>君と同質の力を持つ特異な存在だと<br>考えておいたほうがいい。"""
11_voice_NPC_5085_104#3,"""……一応、仮説はあるけど<br>確証じゃない。だから、もう少し調べて<br>何かわかったら、すぐに連絡するよ。"""
skit00#0,"""對不起。<br>為了掌握新的機會，所以需要一點時間做準備。"""
skit01#0,"""對不起。<br>為了掌握新的機會，所以需要一點時間做準備。"""
skit02#0,"""對不起。<br>為了掌握新的機會，所以需要一點時間做準備。"""
skit03#0,"""對不起。<br>為了掌握新的機會，所以需要一點時間做準備。"""
skit00#1,"""この場を離れる"""
skit01#1,"""オラクル船団の状況"""
skit02#1,"""マトイの状況"""
skit03#1,"""【仮面】の謎"""
