Symbol_Common_ID#0,"""部件ID"""
CreateForm_Menu_Paste_V#0,"""粘貼"""
CreateForm_Menu_AddParts#0,"""在上方追加圖形"""
CreateForm_Menu_ColorCopy#0,"""複製顏色"""
CreateForm_Menu_ColorPaste#0,"""粘貼顏色"""
CreateForm_Menu_Change#0,"""變更圖形"""
CreateForm_Menu_Edit#0,"""編輯"""
CreateForm_Menu_Etc#0,"""其它"""
CreateForm_Menu_ColorPasteToast#0,"""複製顏色和透明度"""
ListForm_Title#0,"""選擇資料"""
ListForm_Hash#0,"""識別ID：$(0)"""
ListForm_NoHash#0,"""識別ID：無"""
ListForm_ItemName#0,"""欄位$(1)　$(0)"""
ListForm_DefaultName#0,"""名稱未設定"""
ListForm_List_Non#0,"""無資料"""
ListForm_NoSymbolArt#0,"""無塗鴉"""
ListForm_NowLoading#0,"""讀取中..."""
ListForm_WrongSize#0,"""與指定資料大小不合"""
ListForm_StockSave_Exp#0,"""保存到了持有物品欄。"""
ListForm_ServerSave_Exp#0,"""保存成功。"""
ListForm_StockLoad_Exp#0,"""讀取了持有物品欄。"""
ListForm_ServerLoad_Exp#0,"""讀取完成。"""
ListForm_StockRemove_Exp#0,"""從儲存清單中刪除了。"""
ListForm_ServerRemove_Exp#0,"""從儲存清單中刪除了。"""
ListForm_VITA_Status_Title#0,"""選擇的塗鴉的資料"""
ListForm_VITA_Hash#0,"""識別ID"""
ListForm_VITA_Size#0,"""大小"""
ListForm_Say_Title#0,"""塗鴉發言"""
ListForm_Save_Exp#0,"""所選欄位已有資料存在<br>是否確認覆蓋現有資料資料？"""
ListForm_RemoveQue_Title#0,"""刪除塗鴉"""
ListForm_RemoveQue_Exp#0,"""刪除本塗鴉<br>確定麼？"""
ListForm_RemoveImport_Title#0,"""刪除上傳的塗鴉"""
ListForm_RemoveImport_Exp#0,"""刪除上傳的塗鴉<br>確定麼？"""
ListForm_ClearImport_Title#0,"""刪除所有上傳的塗鴉"""
ListForm_ClearImport_Exp#0,"""刪除所有上傳的塗鴉<br>確定麼？"""
ListForm_BAN_Exp#0,"""包含被鎖定的塗鴉。<br>只儲存了未被鎖定的資料。"""
ListForm_Illegal_LayerDelete#0,"""由於使用了不恰當的圖形，因此刪除了資料。"""
ListForm_Error_ServerLoadFailed#0,"""讀取失敗。<br><br><br>[No.1200]"""
ListForm_Error_LoacalLoadFailed#0,"""讀取失敗。<br><br>[No.1201]"""
ListForm_Error_LoacalLoadFailed_Null#0,"""空白資料已被使用<br><br>[No.1202]"""
ListForm_Error_LoacalLoadFailed_Not#0,"""無此資料<br><br>[No.1203]"""
ListForm_Error_LoacalLoadFailed_Other#0,"""讀取失敗。<br><br>[No.1204]"""
ListForm_Error_SaveFailed#0,"""儲存失敗<br><br>[No.1205]"""
ListForm_Error_LoacalRemoveFailed#0,"""刪除失敗。<br><br>[No.1206]"""
ListForm_Error_ServerRemoveFailed#0,"""刪除失敗。<br><br>[No.1207]"""
ListForm_Error_LoadImport#0,"""讀取失敗。<br><br>[No.1208]"""
ListForm_Error_RemoveImport#0,"""刪除失敗。<br><br>[No.1209]"""
ListForm_Error_Illegaldata#0,"""含有不正當的塗鴉資料，<br>未能儲存。<br><br>[No.1210]"""
ListForm_Error_IllegalNotSay#0,"""使用了不恰當的圖形<br>故未能發言。<br>[No.1211]"""
SelectedForm_Title#0,"""塗鴉清單"""
SelectedForm_Exp#0,"""<c f0df60>編輯並請選擇發言塗鴉。在空白欄位選擇「編輯」之後，新增新資料。<c>"""
SelectedForm_Exp_v#0,"""<c f0df60>編輯並請選擇發言塗鴉。<c>"""
ListForm_Exp#0,"""<c f0df60>請選擇要儲存資料的欄位。<c>"""
EditForm_Exp#0,"""<c f0df60>點選「追加圖形」按鍵，編輯追加的圖形，並作成塗鴉。（？點選檢視操作説明）<c>"""
EditForm_Exp_v#0,"""<c f0df60>點選「追加圖形」按鍵，編輯追加的圖形，並作成塗鴉。<c>"""
SelectedForm_SaveList#0,"""1.儲存清單"""
SelectedForm_LogList_Big#0,"""2.履歴（標準）"""
SelectedForm_LogList_Normal#0,"""2.履歴（中）"""
SelectedForm_LogList_Mini#0,"""3.履歴（小）"""
SelectedForm_LogList#0,"""2.履歴"""
SelectedForm_Etc#0,"""4.上傳"""
SelectedForm_EditName_Title#0,"""變更塗鴉名稱"""
SelectedForm_EditName_Exp#0,"""塗鴉名稱 <br>（該名稱也會對他人顯示）"""
SelectedForm_Menu_Save#0,"""儲存"""
SelectedForm_Menu_Say#0,"""馬上發言"""
SelectedForm_Menu_Edit#0,"""編輯"""
SelectedForm_Menu_Delete#0,"""消除"""
SelectedForm_Menu_Clear#0,"""消除全部"""
SelectedForm_Menu_NameEdit#0,"""變更塗鴉名稱"""
SelectedForm_Menu_BlackList#0,"""-"""
SelectedForm_Menu_Import#0,"""導入"""
SelectedForm_LoadImport_Exp#0,"""導入完成。"""
SelectedForm_Error_Filter#0,"""塗鴉名稱中包含不可使用的文字。"""
SelectedForm_Error_Premium#0,"""<pict Arcscash><c ff4f3f>AC消費內容<c><br>未持有<yellow>VIP服務<c>的使用權，<br>或是已過使用期限。<br><br>11~40欄位的資料儲存功能，限有效期間内的<yellow>VIP服務<br>内容。<br><br>如需要<yellow>VIP服務<c>請在主菜單的「AC商店」購買。"""
Title#0,"""塗鴉編輯"""
Title_Monitor#0,"""塗鴉顯示器"""
Close_Title#0,"""確認"""
Close_Exp#0,"""顯示選擇的塗鴉。<br>確定麼？<br><br>※若沒有選擇，<br>則不會顯示塗鴉。"""
