IncidentName#0,"""$(0)撃破"""
NpcComOnFailure#2,"""/face6 うー、失敗ですねぇ……<br>通常任務に戻ってくださいー。"""
NpcComOnPreBegin_Other#2,"""ニャウが逃走……って、あれれっ？<br>逃走の影響で空間がヘンな感じ……<br>き、気を付けてくださいー！"""
NpcComOnBegin_Other#2,"""強力な敵さんが来ちゃいましたね……<br>みなさん、もうひと頑張りです！"""
NpcComOnSuccess_Other#2,"""やったやった、やりました！<br>もう敵さんの反応はありませんよ！<br>みなさん、お疲れさまでしたっ！"""
NpcComOnFailure_Other#2,"""/face6 うー、失敗ですねぇ……<br>通常任務に戻ってくださいー。"""
NpcComOnPreBegin_Darker#2,"""ニャウが逃走……って、あれれっ？<br>逃走の影響で空間がヘンな感じ……<br>き、気を付けてくださいー！"""
NpcComOnBegin_Darker#2,"""強力な敵さんが来ちゃいましたね……<br>みなさん、もうひと頑張りです！"""
NpcComOnSuccess_Darker#2,"""やったやった、やりました！<br>もう敵さんの反応はありませんよ！<br>みなさん、お疲れさまでしたっ！"""
NpcComOnFailure_Darker#2,"""/face6 うー、失敗ですねぇ……<br>通常任務に戻ってくださいー。"""
NpcComOnPreBegin#3,"""ニャウの撤退を確認……。<br>撤退の影響による空間の歪みを感知。<br>……新たな敵性反応、来ます。"""
NpcComOnBegin#3,"""緊急通達。<br>出現したエネミーを撃退してください。"""
NpcComOnSuccess#3,"""敵性反応、完全に消失。<br>突発事象への対応、見事でした。"""
NpcComOnFailure#3,"""/face4 状況、失敗です。<br>各員、通常任務に戻って下さい。"""
NpcComOnPreBegin_Other#3,"""ニャウの撤退を確認……。<br>撤退の影響による空間の歪みを感知。<br>……新たな敵性反応、来ます。"""
NpcComOnBegin_Other#3,"""緊急通達。<br>出現したエネミーを撃退してください。"""
NpcComOnSuccess_Other#3,"""敵性反応、完全に消失。<br>突発事象への対応、見事でした。"""
NpcComOnFailure_Other#3,"""/face4 状況、失敗です。<br>各員、通常任務に戻って下さい。"""
NpcComOnPreBegin_Darker#3,"""ニャウの撤退を確認……。<br>撤退の影響による空間の歪みを感知。<br>……新たな敵性反応、来ます。"""
NpcComOnBegin_Darker#3,"""緊急通達。<br>出現したエネミーを撃退してください。"""
NpcComOnSuccess_Darker#3,"""敵性反応、完全に消失。<br>突発事象への対応、見事でした。"""
NpcComOnFailure_Darker#3,"""/face4 状況、失敗です。<br>各員、通常任務に戻って下さい。"""
NpcComOnPreBegin#4,"""ニャウは逃げたようです、が……<br>空間に歪みが発生しています。<br>何か、出てきますよ！"""
NpcComOnBegin#4,"""新たなエネミーの出現を確認。<br>迎撃をお願いします！"""
NpcComOnSuccess#4,"""皆さんのおかげで迎撃完了！<br>連戦、お疲れさまでした！"""
NpcComOnFailure#4,"""ううむ……残念ですが迎撃失敗です。<br>通常任務に戻ってください。"""
NpcComOnPreBegin_Other#4,"""ニャウは逃げたようです、が……<br>空間に歪みが発生しています。<br>何か、出てきますよ！"""
NpcComOnBegin_Other#4,"""新たなエネミーの出現を確認。<br>迎撃をお願いします！"""
NpcComOnSuccess_Other#4,"""皆さんのおかげで迎撃完了！<br>連戦、お疲れさまでした！"""
NpcComOnFailure_Other#4,"""ううむ……残念ですが迎撃失敗です。<br>通常任務に戻ってください。"""
NpcComOnPreBegin_Darker#4,"""ニャウは逃げたようです、が……<br>空間に歪みが発生しています。<br>何か、出てきますよ！"""
NpcComOnBegin_Darker#4,"""新たなエネミーの出現を確認。<br>迎撃をお願いします！"""
NpcComOnSuccess_Darker#4,"""皆さんのおかげで迎撃完了！<br>連戦、お疲れさまでした！"""
NpcComOnFailure_Darker#4,"""ううむ……残念ですが迎撃失敗です。<br>通常任務に戻ってください。"""
