msc_027020_0010#0,"""やあ、来たね。"""
msc_027020_0400#0,"""ゼフェット、生きていたのか……。"""
msc_027020_0410#0,"""マイペースだな……。"""
msc_027020_0420#0,"""こんなかたちで、現れるなんて……。"""
msc_027020_0430#0,"""ホントだよ……もう。"""
msc_027020_0440#0,"""今のがゼフェット……。"""
msc_027020_0450#0,"""人の身体を介して、<br>思念を伝える能力……？"""
msc_027020_0460#0,"""……っと、<br>ただ驚いてもいられないな。"""
msc_027020_0470#0,"""……気を取り直して、<br>まずは状況を整理しよう。"""
msc_027020_0480#0,"""そ、そうだね。"""
msc_027020_0490#0,"""なるほど……。"""
msc_027020_0500#0,"""ゼフェットは、ここにいるのか。"""
msc_027020_0510#0,"""そのようです。"""
msc_027020_0520#0,"""これは、どこ？"""
msc_027020_0530#0,"""最近見つかったっていう場所？"""
msc_027020_0540#0,"""ルシエルの調査で、<br>最近発見された場所だね。"""
msc_027020_0550#0,"""これまで、<br>仮にネームレスシティと呼んでいたところだ。"""
msc_027020_0560#0,"""うん、ルシエルの調査でね。"""
msc_027020_0570#0,"""これまで、<br>仮にネームレスシティと呼んでいたところだ。"""
msc_027020_0580#0,"""その下層に、<br>ゼフェットはいるようです。"""
msc_027020_0590#0,"""そこまでのルートが、<br>ファリア君の頭に記憶されていると。"""
msc_027020_0600#0,"""はい。<br>今すぐにでも案内できると思います。"""
msc_027020_0610#0,"""でも、なんで四人を指名したんだろう？"""
msc_027020_0620#0,"""確かなことは言えないが、<br>四人ともゼフェットと直接会ったことがある。"""
msc_027020_0630#0,"""彼にとっては、関わりのある四人……、<br>ということになるんだろうね。"""
msc_027020_0640#0,"""あの場所は、<br>僕も興味があったんだよね。"""
msc_027020_0650#0,"""できれば、一緒に行きたいなぁ……。"""
msc_027020_0660#0,"""それはダメです。"""
msc_027020_0670#0,"""ファリア？"""
msc_027020_0680#0,"""あなたには、<br>あの兵装を完成させる役目があります。"""
msc_027020_0690#0,"""兵装って？"""
msc_027020_0700#0,"""いや、まだ詳しく話せる段階じゃないんだけど、<br>スターレスに対抗するために新しい武器を作っていてね。"""
msc_027020_0710#0,"""ファリアたちルシエランにも、<br>協力してもらってるんだ。"""
msc_027020_0720#0,"""私たちがふたりとも離れたら、<br>開発が停滞してしまいます。"""
msc_027020_0730#0,"""わ……わかったわかった。"""
msc_027020_0740#0,"""新兵装のことは、<br>こっちでやっとくから。"""
msc_027020_0750#0,"""行った先で、なにか新しい技術のヒントがあったら、<br>しっかりフィードバックしてよ？"""
msc_027020_0760#0,"""それはもちろん。"""
msc_027020_0770#0,"""ふたりとも、<br>ずいぶん仲良くなったんだね？"""
msc_027020_0780#0,"""私が、ハルファの調査を進めているあいだに、<br>ふたりでどんどん話を進めていたのよね……。"""
msc_027020_0790#0,"""……いずれにしても、<br>向こうが指名したのは四人だけだ。"""
msc_027020_0800#0,"""なんらかの意図があってのことだろう。"""
msc_027020_0810#0,"""情報がほとんどないなかでは、<br>それに従うしかなさそうだ。"""
msc_027020_0820#0,"""大きなリスクがあるが、<br>引き受けてくれるかい？"""
msc_027020_0830#0,"""もちろん。"""
msc_027020_0840#0,"""……ほかに選択肢がなさそう。"""
msc_027020_0850#0,"""うん、あたしも行けるよ。"""
msc_027020_0860#0,"""……ええ。"""
msc_027020_0870#0,"""ありがとう。"""
msc_027020_0880#0,"""僕も、ゼフェットとは、<br>いろいろと話をしたい。"""
msc_027020_0890#0,"""それこそ一晩中でもね。"""
msc_027020_0900#0,"""無事に連れ帰ってくれ。"""
