11_voice_NPC_5056_104#0,"""พวกกระจอกแต่อวดเก่งที่ชอบลองของ<br>ไปรับภารกิจโหดๆมาเนี่ย <br>เห็นหายหัวไปหลายรายแล้ว..."""
Npc56_mb14_020#0,"""แต่ขอเตือนนะ ถ้าหากเหลิงจนลืมตัวเมื่อไหร่ เจ้าพวก <br>Darker อาจโผล่มาจากมุมอับสายตาก็ได้<br>เพราะงั้นห้ามลืมเชียวว่าอย่าประมาทเด็ดขาดเคปะ !"""
11_voice_NPC_5056_106#15,"""ふうん、アンタはそう簡単に<br>いなくなるようなへっぽこぴーじゃ<br>ないみたいね。"""
Npc56_mb14_020#1,"""でも、油断してるとあっという間に<br>お先真っ暗がアークスの宿命！<br>油断は禁物、忘れるんじゃないわよ！"""
11_voice_NPC_5056_106#16,"""จากมุมมองของลูกเจี๊ยบปอนๆ อย่างเธอ<br>คิดว่า ARKS ในตอนนี้เป็นยังไง?"""
Npc56_mb15_020#0,"""ถ้าเอาตามมุมมองของ ARKS Watcher <br>อย่างชั้นล่ะก็ ชั้นเห็นว่ามันอันตรายน่ะ!<br>รู้สึกประมาณว่าจะได้ใจเกินไปแล้ว!"""
Npc56_mb15_030#0,"""ความประมาทคือสิ่งที่ต้องห้าม! <br>คำพูดนี้ชั้นคิดว่าเธอน่าจะได้ยินจนเบื่อแล้วก็จริง<br>แต่ก็จำใส่ใจเอาไว้ให้แม่นๆ ด้วยนะ!"""
11_voice_NPC_5056_106#17,"""元へっぽこぴーのアンタから見て<br>今のアークスって、どう思う？"""
Npc56_mb15_020#1,"""アークスウォッチャーの私から<br>してみれば、危うい感じがするわね！<br>なんだか調子に乗ってる感じよ！"""
Npc56_mb15_030#1,"""油断禁物！\u3000耳にタコができるほど<br>聞かされてるとは思うけど<br>覚えておきなさいよね！"""
11_voice_NPC_5056_102#0,"""ปะ ปลอดภัยสินะ เธอ!<br>ถ้าอย่างนั้นก็รีบๆ ติดต่อมาให้เร็วๆ หน่อยสิยะ!<br>เจ้าลูกเจี๊ยบปอนๆ นี่!"""
11_voice_NPC_5056_102#1,"""ぶ、無事だったのねアンタ！<br>だったらさっさと連絡しなさいよ！<br>このへっぽこぴー！"""
