YesText#0,"""はい"""
Lupe_TextTerminate1#0,"""機能割当が変更されたため、拡大鏡モードを終了しました。"""
Lupe_TextTerminate2#0,"""設定が変更されたため、拡大鏡モードを終了しました。"""
Lupe_ControlGuide#0,"""表示範囲移動：<swguidetype CursorMove>\u3000\u3000ズーム：<swguidetype Zoom>\u3000\u3000拡大鏡モード終了：<swguidetype ShiftTrigger>+<swguidetype EscMenu>"""
NotReceptQuestPartyGuest#0,"""あなたはパーティーリーダーではないためクエストを受注できません。"""
NotFoundQuestSearch#0,"""条件に当てはまるクエストが見つかりませんでした。"""
CantStartQuestCapacityOverRoom#0,"""ルームの人数オーバーのため参加できません。"""
NotFoundPartyList#0,"""パーティーが見つかりませんでした。"""
CantStartQuestCapacityOverParty#0,"""パーティーの人数オーバーのため参加できません。"""
PasswordNG#0,"""パスワードが間違っています。"""
BurstIntoNG#0,"""クエストにより途中参加が制限されています。"""
CautionQuestEnd#0,"""クエストが終了しているため参加できません。"""
CantStartQuestTimeLimitOver#0,"""クエストの受注可能期間が過ぎています。"""
CautionQuestReleaseNG#0,"""このクエストには参加できません。"""
CautionQuestReleaseNG2#0,"""このクエストは現在、受注できません。<br>詳しくはプレイヤーズサイトをご確認ください。"""
CautionRoomDelete#0,"""ルームが存在しないため参加できません。"""
CautionBlockMoveNG#0,"""ブロックの移動に失敗しました。"""
MatchingRejectJikkyouForRejectUser#0,"""ただいま一部のルームへの参加について制限を実施させていただいております。"""
MatchingRejectJikkyouForJikkyou#0,"""指定のルームに合流できないため、新規ルームを作成しました。"""
CautionUnknown#0,"""不明なエラーです。"""
Loading#0,"""NOW LOADING"""
Non_Text#0,"""テキスト表示なし"""
Menu_Main#0,"""メインメニュー"""
Menu_Sub#0,"""サブメニュー"""
Menu_Money#0,"""AC・SGメニュー"""
MainMenu_Equip_WeaponAvatar#0,"""<pict ba_camouflage><pict 4space>武器迷彩"""
MainMenu_ACMenu_MyShop#0,"""<pict ba_task><pict 4space>マイショップ"""
MainMenu_World_WorldMap#0,"""<pict ba_worldmap><pict 4space>ワールドマップ"""
MainMenu_World_WorldSecret#0,"""<pict ba_secret><pict 4space>世界の秘密"""
MainMenu_World_MessagePack#0,"""<pict ba_mpack><pict 4space>メッセージパック"""
MainMenu_Quest_Rebops#0,"""<pict ba_task><pict 4space>タスク"""
MainMenu_Quest_MissionPass#0,"""<pict ba_missionpass><pict 4space>ミッションパス"""
Category_Item#0,"""アイテム"""
Category_Equip#0,"""装備/サブパレット"""
Category_SubPallet#0,"""サブパレット"""
Category_Task#0,"""タスク / クエスト"""
Category_WorldMap#0,"""ワールド"""
Category_LogOut#0,"""ログアウト"""
Category_Communication#0,"""コミュニケーション"""
Category_Personal#0,"""パーソナル"""
Category_Chat#0,"""チャット"""
Category_Info#0,"""インフォメーション"""
Category_System#0,"""システム"""
Category_Scratch#0,"""スクラッチを引く"""
Category_ACShop#0,"""<pict ba_acshop><pict 4space>AC・SGショップ<pict 4space><pict Arcscash><pict StarGem>"""
Category_SGShop#0,"""<pict ba_sgshop><pict 4space>SGショップ<pict 4space><pict StarGem>"""
Category_MyShop#0,"""マイショップ"""
Category_RecycleShop#0,"""<pict ba_recycle><pict 4space>アイテムリサイクル"""
Category_SG_BlackMarket#0,"""<pict ba_treasure><pict 4space>トレジャーショップ<pict 4space><pict StarGem>"""
Category_Meseta_BlackMarket#0,"""<pict ba_treasure><pict 4space>トレジャーショップ<pict 4space><pict reb_meseta>"""
Category_BuyHistory#0,"""<pict ba_history><pict 4space>購入履歴/有効期限"""
Category_Shop#0,"""ショップ"""
Popup_ItemPack#0,"""<pict ba_task><pict 4space>アイテムパック"""
Popup_FriendList#0,"""<pict ba_friend><pict 4space>フレンドリスト"""
Popup_PartyCommand#0,"""<pict ba_partycom><pict 4space>パーティーコマンド"""
Popup_TeamCommand#0,"""<pict ba_guild><pict 4space>チームコマンド"""
Popup_Mail#0,"""<pict ba_mail><pict 4space>メール"""
Popup_ArksSearch#0,"""<pict ba_search><pict 4space>アークスサーチ"""
Popup_CommuHistory#0,"""<pict ba_commu><pict 4space>コミュニケーション履歴"""
Popup_NearCharacter#0,"""<pict ba_surround><pict 4space>周囲のキャラクター"""
Popup_MySpace#0,"""<pict ba_myspace><pict 4space>クリエイティブスペース"""
Popup_CharacterData#0,"""<pict ba_charainfo><pict 4space>キャラクター情報"""
Popup_Honor#0,"""<pict ba_title><pict 4space>称号"""
Popup_ArksCard#0,"""<pict ba_card><pict 4space>アークスカード"""
Popup_Honor_ArksCard#0,"""称号/アークスカード"""
Popup_PlayLog#0,"""<pict ba_performance><pict 4space>プレイ実績"""
Popup_GroupChat#0,"""<pict ba_gchat><pict 4space>グループチャット設定"""
Popup_ShortcutWord#0,"""<pict ba_shortcut><pict 4space>ショートカットワード設定"""
Popup_AutoWord#0,"""<pict ba_autoword><pict 4space>オートワード設定"""
Popup_Motion#0,"""<pict ba_motion><pict 4space>勝利演出設定"""
Popup_SymbolArt#0,"""<pict ba_symbol><pict 4space>シンボルアート"""
Popup_PlaceObject#0,"""<pict ba_objarrange><pict 4space>ポータブルホログラム設置"""
Popup_ListObject#0,"""<pict ba_objarrange><pict 4space>周囲のポータブルホログラム"""
Popup_PerformEmotes#0,"""<pict ba_la><pict 4space>ロビーアクション実行"""
Popup_VitalDesign#0,"""<pict ba_uidesign><pict 4space>バイタルゲージデザイン"""
Popup_Information#0,"""<pict ba_info><pict 4space>インフォメーション"""
Popup_Help#0,"""<pict ba_help><pict 4space>ヘルプ"""
Popup_Option#0,"""<pict ba_option><pict 4space>オプション"""
Popup_StreamerMode#0,"""<pict ba_stream><pict 4space>ストリーマーモード"""
Popup_CollaboMode#0,"""<pict ba_snapshot><pict 4space>イベント応募関連の表示設定"""
Popup_CampaignItem#0,"""<pict ba_get><pict 4space>キャンペーンアイテム受け取り"""
Popup_AutoSale#0,"""<pict ba_autosell><pict 4space>ドロップアイテムの自動売却設定<pict 4space><pict Arcscash><pict StarGem>"""
Popup_ItemCode#0,"""<pict ba_code><pict 4space>アイテムコード"""
Popup_ControlSetting#0,"""<pict ba_conf><pict 4space>操作設定"""
Popup_MagMenu#0,"""<pict ba_mag><pict 4space>マグ"""
Popup_Stamp#0,"""<pict ba_stamp><pict 4space>スタンプ"""
Popup_BuyScratch#0,"""<pict ba_scratch><pict 4space>スクラッチを引く<pict 4space><pict Arcscash><pict StarGem>"""
Popup_ScratchStorage#0,"""<pict ba_scwa><pict 4space>スクラッチ倉庫"""
Popup_QuestInfo#0,"""<pict ba_questinfo><pict 4space>クエスト情報"""
Popup_Equip_Weapon#0,"""<pict ba_weapon><pict 4space>武器装備"""
Popup_Equip_Guard#0,"""<pict ba_unit><pict 4space>防具装備"""
Popup_Equip_Subpalette#0,"""<pict ba_subp><pict 4space>サブパレット"""
Popup_Equip_Fashion#0,"""<pict ba_cos><pict 4space>ファッション編集"""
Popup_QuestMenue#0,"""クエストメニュー"""
Popup_QuestCounter#0,"""<pict ba_questinfo><pict 4space>クエストカウンター"""
Operation_MenuCommon#0,"""メニュー配下のメニューガイドのコモン設定です。"""
MenuEquipmentOpen#0,"""選択中のアイテムを装備する"""
MainMenu_Equip_WeaponPosition#0,"""<pict ba_positioning><pict 4space>武器納刀位置調整"""
MainMenu_Loguin_Bonus#0,"""<pict icon_login_bonus><pict 4space>ログインボーナス"""
Menu_Matching_Blockade#0,"""マッチング中は使用できません。"""
Menu_Ad_Guide#0,"""操作ウィンドウ切り替え：<%ChangeCtrlWindowForward>\u3000\u3000ページ切り替え：<%TabBack><%TabForward>"""
Menu_Ad_Title#0,"""お知らせ"""
MainMenu_CharacterInfo#0,"""キャラクター情報"""
MainMenu_Palette#0,"""パレットカスタマイズ"""
MainMenu_Inventory#0,"""アイテムパック"""
MainMenu_Party#0,"""パーティー"""
MainMenu_FriendList#0,"""フレンドリスト"""
MainMenu_Mail#0,"""メール"""
MainMenu_Macro#0,"""オートワード設定"""
MainMenu_LogWindow#0,"""ログウィンドウ"""
MainMenu_AreaMap#0,"""エリアマップ"""
MainMenu_KeyboardHelp#0,"""キーボードヘルプ"""
MainMenu_Config#0,"""オプション"""
MainMenu_Logout#0,"""ログアウト"""
MainMenu_PlayerList#0,"""周囲のキャラクター"""
MainMenu_Library#0,"""ライブラリ"""
MainMenu_QuestInfo#0,"""クエスト情報"""
MainMenu_Equip#0,"""装備"""
MainMenu_ClientOrder#0,"""クライアントオーダー"""
MainMenu_MatterBoard#0,"""マターボード"""
MainMenu_MugMenu#0,"""マグメニュー"""
MainMenu_CommHistory#0,"""コミュニケーション履歴"""
MainMenu_ItemTreasure#0,"""貴重品"""
MainMenu_CharacterStatus#0,"""発生中の効果"""
MainMenu_Equip_note#0,"""コレクトファイル"""
MainMenu_simple_gat_status#0,"""/"""
MainMenu_Item_Item#0,"""アイテム"""
MainMenu_Item_Castom#0,"""カスタム"""
MainMenu_Item_Mug#0,"""マグ"""
MainMenu_Item_Pet#0,"""ペット"""
MainMenu_Equip_Weapon#0,"""武器装備"""
MainMenu_Equip_Guard#0,"""防具装備"""
MainMenu_Equip_Accessories#0,"""アクセサリー変更"""
MainMenu_Equip_FashionGroup#0,"""ファッション/カタログ"""
MainMenu_Equip_Fashion#0,"""ファッション編集"""
MainMenu_Equip_FashionCat#0,"""<pict ba_corde><pict 4space>コーデカタログ"""
MainMenu_Equip_PolluteEdit#0,"""ダークブラスト"""
MainMenu_Equip_Subpalette#0,"""サブパレット"""
MainMenu_Community_Friend#0,"""フレンドリスト"""
MainMenu_Community_Team#0,"""チームコマンド"""
MainMenu_Community_Party#0,"""パーティーコマンド"""
MainMenu_Community_MySpace#0,"""クリエイティブスペース"""
MainMenu_Community_Mail#0,"""メール"""
MainMenu_Community_Chara#0,"""周囲のキャラクター"""
MainMenu_MyData_CharaInfo#0,"""キャラクター情報"""
MainMenu_MyData_GatInfo#0,"""ギャザリング情報"""
MainMenu_MyData_ContentInfo#0,"""コンテンツ情報"""
MainMenu_MyData_License#0,"""称号リスト"""
MainMenu_MyData_CraftAchievement#0,"""クラフト実績"""
MainMenu_MyData_MyMenu#0,"""クイックメニュー"""
MainMenu_MyData_History#0,"""コミュニケーション履歴"""
MainMenu_MyData_TitleAndCard#0,"""称号/アークスカード"""
MainMenu_MyData_Profile#0,"""アークスカード編集"""
MainMenu_MyData_Profile_v#0,"""アークスカード編集"""
MainMenu_Quest_StoryBoard#0,"""ストーリーボード【EP4】"""
MainMenu_Quest_MatterBoard#0,"""マターボード"""
MainMenu_Quest_ArksRoad#0,"""アークスロード"""
MainMenu_Quest_ClientOrder#0,"""クライアントオーダー"""
MainMenu_Quest_BingoCard#0,"""アークスビンゴカード"""
MainMenu_Quest_OpenEvent#0,"""開催中イベント"""
MainMenu_Quest_TotalScoreBoost#0,"""クエスト連動ブースト"""
MainMenu_Quest_ShipBattle#0,"""対抗戦"""
MainMenu_Quest_QuestInfo#0,"""クエスト情報"""
MainMenu_Quest_MapChange#0,"""マップ切り替え"""
MainMenu_Quest_EventItem#0,"""イベントアイテム"""
MainMenu_System_SimbolArt#0,"""シンボルアート"""
MainMenu_System_ChatConfig#0,"""チャット設定"""
MainMenu_System_Option#0,"""オプション"""
MainMenu_System_LogWindow#0,"""ログウィンドウ"""
MainMenu_System_GameHelp#0,"""ゲーム内ヘルプ"""
MainMenu_System_OnlineHelp#0,"""オンラインヘルプ"""
MainMenu_System_Information#0,"""インフォメーション"""
MainMenu_System_Notify#0,"""お知らせ"""
MainMenu_System_LoginStamp#0,"""ログインスタンプ"""
MainMenu_System_StarGem#0,"""AC・SG内訳確認"""
MainMenu_ACMenu_ACShop#0,"""ACショップ<pict 4space><pict Arcscash>"""
MainMenu_SALE_IconText#0,"""$(0)<pict sale_shop_icon>"""
MainMenu_ACMenu_Gacha#0,"""スクラッチを引く<pict 4space><pict Arcscash>"""
MainMenu_ACMenu_Recycle#0,"""リサイクルショップ"""
MainMenu_ACMenu_MagicStone#0,"""スタージェム購入<pict 4space><pict Arcscash>"""
MainMenu_ACMenu_HistoryRental#0,"""購入履歴/有効期限"""
MainMenu_ACMenu_History#0,"""購入履歴"""
MainMenu_ACMenu_Rental#0,"""レンタル有効期限"""
MainMenu_Logout_Logout#0,"""ログアウト"""
MainMenuCategory_ItemPack#0,"""アイテムパック"""
MainMenuCategory_Equip#0,"""装備"""
MainMenuCategory_MyData#0,"""マイデータ"""
MainMenuCategory_Mug#0,"""マグ"""
MainMenuCategory_Community#0,"""コミュニティ"""
MainMenuCategory_Quest#0,"""クエスト"""
MainMenuCategory_System#0,"""システム"""
MainMenuCategory_Shop#0,"""ACメニュー"""
MainMenuCategory_Logout#0,"""ログアウト"""
MainMenu_Title#0,"""メインメニュー"""
MainMenu_MainCommand#0,"""メインコマンド"""
MainMenu_Notify#0,"""新着項目"""
MainMenu_Shortcut#0,"""ショートカット"""
MainMenu_Notify_KeyHelp#0,"""<%NextWidget>で新着エリアへ"""
MainMenu_Notify_KeyHelp_reb#0,"""<%NextWidget>で新着通知を確認"""
MainMenu_Notify_KeyHelp_reb2#0,"""メニューを開いて<%NextWidget>で新着通知を確認"""
MainMenu_Notify_KeyHelp_vita#0,"""<pict Sign_TRIANGLE>で新着エリアへ"""
MainMenu_Notify_KeyHelp_Disable#0,"""現在は新着エリアは操作できません"""
MainMenu_Notify_KeyHelp_Disable_reb#0,"""現在は新着通知は操作できません"""
MainMenu_Community_NewArrival#0,"""$(0) （$(1)）"""
MainMenu_Recycle_NoEnter#0,"""クエスト内では使用することができません。"""
MainMenu_Recycle_NoEnterTitle#0,"""リサイクルショップ"""
WeaponPosition#0,"""納刀位置調整"""
RedPivot#0,"""横軸（縦軸）の調整"""
GreenPivot#0,"""縦軸（横軸）の調整"""
BluaPivot#0,"""奥行きの調整"""
Error_NotSetting#0,"""選択したアクセサリーは<br>位置調整をすることができません。"""
StarGemMessage#0,"""購入分 / $(0) <pict StarGem><br>無料分 / $(1) <pict StarGem><br><br>※無料分から先に消費されます。"""
MainMenu_ACMenu_SGShop#0,"""SGショップ<pict 4space><pict StarGem>"""
MainMenu_ArksContract#0,"""アークスミッション"""
NotHoldingEvent#0,"""現在は開催されていません。"""
StatusLabel_EveryMpShort1#0,"""ミッションパス：$(0)"""
StatusLabel_EveryMpShort1_2#0,"""ミッションパス：未開催"""
StatusLabel_EveryMpShort2#0,"""ティア：$(1) (次のティアまで$(0)<pict mp_star_icon>)"""
MainMenu_Logout_October#0,"""<space><space><space><space><space><space><space><space><space><space>"""
Toast_October_1#0,"""称号をセットするまで確かにそこにあったはずのログアウトボタンが、綺麗に消滅していた。"""
Toast_October_2#0,"""君は、すでにメインメニューからログアウトボタンが消滅していることに気付いていると思う。"""
Toast_October_3#0,"""不具合ではない。繰り返す。これは不具合ではなく、セットした《称号》本来の仕様である。"""
Toast_October_4#0,"""君は今後、セットした称号を外すまで、ゲームから自発的にログアウトすることはできない。"""
MainMenu_Shop_Window_Title#0,"""ショップ情報"""
MainMenu_Room_Password#0,"""<pict ba_roomkey><pict 4space>ルームキーワード/撮影専用ルーム設定"""
WeaponCamo_Label_RemoveAll#0,"""全て外す"""
MainMenu_PartyMember_Recruitment#0,"""<pict ba_partysearch><pict 4space>メンバー募集中のパーティー検索"""
PartyMember_Recruitment_Label1#0,"""募集者のキャラクター名"""
PartyMember_Recruitment_Label2#0,"""クラス"""
PartyMember_Recruitment_Label3#0,"""メンバー募集中のパーティー検索"""
PartyMember_Recruitment_Label4#0,"""すべて表示"""
PartyMember_Recruitment_Label5#0,"""対象エリアに移動できないため、パーティーに参加できません。"""
PartyMember_Recruitment_Label_1#0,"""パーティーメンバー募集情報"""
PartyMember_Recruitment_Label_2#0,"""目的"""
PartyMember_Recruitment_Label_3#0,"""募集コメント"""
PartyMember_Recruitment_Label_4#0,"""パーティーメンバー"""
PartyMember_Recruitment_Label_5#0,"""戦闘力制限"""
PartyMember_Recruitment_Label_6#0,"""レベル制限"""
PartyMember_Recruitment_Label_7#0,"""$(0)以上"""
PartyMember_Recruitment_Label_8#0,"""対象エリア"""
PartyMember_Recruitment_Label_9#0,"""【Rank.$(0)】"""
PartyMember_Recruitment_Label_10#0,"""検索中"""
PartyMember_Recruitment_Label_11#0,"""パーティー自動選択"""
PartyMember_Recruitment_Label_12#0,"""自動選択のパーティーに参加する"""
PartyMember_Recruitment_Label_13#0,"""目的に応じて、参加可能なパーティーを自動的に選択し、<br>そのパーティーに参加します。<br>よろしいですか？<br><br><yellow>※募集者が別のルームにいる場合は<br>\u3000対象のルームに移動します。<c><br><yellow>※現在参加中のパーティーからは自動的に脱退します。<c>"""
PartyMember_Recruitment_Label_14#0,"""参加可能なパーティーが見つかりませんでした。"""
MainMenu_System_ACTitle#0,"""AC内訳"""
MainMenu_System_SGTitle#0,"""SG内訳"""
MainMenu_System_NAC#0,"""AC（PC, Switch用）"""
MainMenu_System_PSAC#0,"""AC（PlayStation®用）"""
MainMenu_System_SAC#0,"""AC（共用）"""
ArksCacheMessage#0,"""/ $(0) <pict Arcscash>"""
Category_Item_Guide#0,"""操作するウィンドウは、“操作ウィンドウ切り替え”で切り替えられます。"""
SubMenu_SortInitialize_Title1#0,"""初期化確認"""
SubMenu_SortInitialize_Text1#0,"""“$(0)”メニューの並び順を初期化しますか？"""
SubMenu_Error_Text1#0,"""メニューの並び順を保存できませんでした。"""
SubMenu_Error_Text2#0,"""“$(0)”メニューの並び順を読み込めませんでした。<br>標準の並び順で表示されます。"""
MainMenu_Ranking_Info#0,"""<pict ba_ranking><pict 4space>アークスレコード"""
SubMenu_Ranking_Info#0,"""アークスレコード"""
MainMenu_Ranking_Info_Weekly#0,"""アトランダムイベントレコード"""
MainMenu_Ranking_Info_TeamTask#0,"""チームタスクレコード"""
Loading_Banner_Guide#0,"""くわしく見る：<%NextTabDetails>"""
MainMenu_TeamMember_Recruitment#0,"""<pict ba_teamsearch><pict 4space>メンバー募集中のチーム検索"""
Weapon_CoordinateX#0,"""（X：$(0)）"""
Weapon_CoordinateY#0,"""（Y：$(0)）"""
Weapon_CoordinateZ#0,"""（Z：$(0)）"""
Confirm_Title#0,"""シップ移動確認"""
Confirm_Message#0,"""共通シップのバトルブロックでは<br>一時的に以下の設定になります。<br><br>\u3000・専用クラス「バトルウォリアー」のみ<br>\u3000・PA、テクニック、クラススキルは未習得<br>\u3000・メセタ、CC、所持アイテムを持ち込み不可<br>\u3000・各種倉庫、マイルーム、チームルーム利用不可<br>\u3000・緊急クエスト通知の非表示<br>\u3000・専用フレンドリスト、メール、シンボルアートに<br>\u3000・愛着度ゲージの非表示<br><red>※共通シップから戻ると元通りになります。<c><br><red>※ネットカフェプレミアムの場合、<br>\u3000時間ごとのチームポイント加算が行われません。<c><br><red>※すべてのバトルブロックが撮影可能です。<br>\u3000生放送などに自分のキャラが映ることがあります。<c><br><br>共通シップのバトルロビーへ移動しますか？"""
Confirm_Title_InBlock#0,"""ブロック移動確認"""
Confirm_Message_InBlock#0,"""バトルブロックに移動します。<br>以下の状態に切り替わりますのでご注意ください。<br><br>\u3000・専用クラス「バトルウォリアー」のみ<br>\u3000・PA、テクニック、クラススキルは未習得<br>\u3000・メセタ、CC、所持アイテムを持ち込み不可<br>\u3000・各種倉庫の出し入れ不可<br>\u3000・マイルーム、チームルーム利用不可<br>\u3000・緊急クエスト通知の非表示<br>\u3000・フレンドリスト、メール、シンボルアートは<br>\u3000\u3000共通シップ専用のものに変化<br>\u3000・愛着度ゲージの非表示<br><br><red>※すべての状態は、バトルブロックから戻ることで<br>\u3000元に戻ります。<c><br><br>バトルロビーへ移動しますか？"""
Confirm_Title_InNormal#0,"""シップ移動確認"""
Confirm_Message_InNormal#0,"""所属シップに戻ると、共通シップで登録した<br>フレンド、メール、シンボルアートは<br>確認できませんので、ご注意ください。<br><br>※ふたたび共通シップに戻ると確認できます。<br><br>※所属シップに戻ることで「ログイン履歴」に<br>\u3000履歴が1件追加されます。<br><br>所属シップへ移動しますか？"""
ShopTitleText#0,"""バトルコイン交換ショップ"""
ShopGuideText#0,"""<c f0df60>獲得したバトルコインでアイテムと交換できます。<c>"""
ShopListTitle#0,"""ショップメニュー"""
PluralityMenuGuide#0,"""<c f0df60>ショップを選んでください。<c>"""
Exit#0,"""ショップを出る"""
Buy#0,"""購入"""
NameNumber#0,"""$(0)×$(1)"""
BuyTitle#0,"""購入確認"""
BuyCheck#0,"""以下のアイテムを$(1)$(0)で購入します。<br>よろしいですか？"""
CPDenomination#0,"""バトルコイン"""
BuyResultMessage1#0,"""アイテムを購入しました。"""
BuyErrorMessage2#0,"""アイテムパックの空き容量不足、<br>または所持数の限界を超えているため、<br>購入できません。"""
CPInsufficient#0,"""所持バトルコインが不足しています。"""
BuyResultMessage2#0,"""アイテムを購入できませんでした。"""
BuyResultTitle#0,"""アイテム購入"""
CancelTitle#0,"""購入キャンセル確認"""
CancelMessage#0,"""購入をキャンセルします。<br>よろしいですか？"""
SelectItemInputVita#0,"""個数を入力してください"""
MenuErrorTitle#0,"""メッセージ"""
MenuErrorMessage#0,"""「バトルコイン交換ショップ2」は、<br><yellow>クエストを<br>クリアすることで利用可能となります。<c><br><br>クエストを<br>クリアしていないため、利用することができません。"""
PokaQuest_SummaryName#0,"""バトルアリーナ"""
PokaRanking_Title#0,"""バトルランキング報酬受け取り"""
PokaRanking_RewardConfirm#0,"""バトルランキングの入賞報酬として、<br>以下のアイテムを受け取りました。"""
PokaRanking_Date#0,"""開催日時"""
PokaRanking_Caption#0,"""$(1)『$(0)』報酬"""
PokaRanking_Rule_BattleRoyal#0,"""バトルロイヤル"""
PokaRanking_Rule_BattleCrystal#0,"""エンブレム争奪戦"""
PokaRanking_Rule_BattleRoyal_Switch#0,"""バトルロイヤル(クラウド版)"""
PokaRanking_Rule_BattleCrystal_Switch#0,"""エンブレム争奪戦(クラウド版)"""
PokaRanking_PrizeMessage#0,"""バトルランキング報酬をアークスリーグ管理官ミミからお受け取りください。"""
Confirm_Title#1,"""シップ移動確認"""
Confirm_Message#1,"""共通シップのチャレンジブロックでは<br>一時的に以下の設定になります。<br><br>\u3000・専用クラス「チャレンジャー」のみ<br>\u3000・PA、テクニック、クラススキルは未習得<br>\u3000・メセタ、CC、所持アイテムを持ち込み不可<br>\u3000・各種倉庫、マイルーム、チームルーム利用不可<br>\u3000・緊急クエスト通知の非表示<br>\u3000・専用フレンドリスト、メール、シンボルアートに<br>\u3000・愛着度ゲージの非表示<br><red>※共通シップから戻ると元通りになります。<c><br><red>※ネットカフェプレミアムの場合、<br>\u3000時間ごとのチームポイント加算が行われません。<c><br><br>共通シップのチャレンジロビーへ移動しますか？"""
Confirm_Title_InBlock#1,"""ブロック移動確認"""
Confirm_Message_InBlock#1,"""チャレンジブロックに移動します。<br>以下の状態に切り替わりますのでご注意ください。<br><br>・クラスがLv.1の「チャレンジャー」のみになります。<br>・ＰＡ、テクニック、クラススキルは未習得となり、<br>\u3000メセタ、ＣＣ、所持アイテムを持ち込めません。<br>・各種倉庫への出し入れができません。<br>・愛着度ゲージは表示されません。<br><br><red>※すべての状態は、チャレンジブロックから戻ることで<br>\u3000元に戻ります。<c><br><br>チャレンジブロックへ移動しますか？"""
Confirm_Title_InNormal#1,"""シップ移動確認"""
Confirm_Message_InNormal#1,"""所属シップへ移動します。<br>共通シップ専用の状態が元に戻ります。<br><br>・共通シップで登録したフレンド、メール、<br>\u3000シンボルアートは所属シップでは確認できません。<br>・チャレンジクエストで獲得したチャレンジマイルは<br>\u3000所属シップの情報と共有されています。<br>・共通シップのチャレンジランキングのランク情報は、<br>\u3000所属シップのランク情報とは別の集計となります。<br><br><yellow>※所属シップに戻ることで「ログイン履歴」に<br>履歴が1件追加されます。<c><br><br><red>※共通シップの状態は、再び共通シップに戻ることで<br>ご確認いただけます。<c><br><br>所属シップへ移動しますか？"""
ShopTitleText#1,"""CM交換ショップ"""
ShopGuideText#1,"""<c f0df60>獲得したチャレンジマイルでアイテムと交換できます。<c>"""
ShopListTitle#1,"""ショップメニュー"""
PluralityMenuGuide#1,"""<c f0df60>ショップを選んでください。<c>"""
Exit#1,"""ショップを出る"""
Buy#1,"""購入"""
NameNumber#1,"""$(0)×$(1)"""
BuyTitle#1,"""購入確認"""
BuyCheck#1,"""以下のアイテムを$(1)$(0)で購入します。<br>よろしいですか？"""
CPDenomination#1,"""CM"""
BuyResultMessage1#1,"""アイテムを購入しました。"""
BuyErrorMessage2#1,"""アイテムパックの空き容量不足、<br>または所持数の限界を超えているため、<br>購入できません。"""
CPInsufficient#1,"""所持CMが不足しています。"""
