ssc_505030_0010#0,"""อ๊ะ <%me> มาได้จังหวะพอดีเลยค่ะ!"""
ssc_505030_0220#0,"""กองกำลังแนวหน้า (Vanguard Unit) ตั้งใจที่จะเข้าไปสำรวจ<br>ศูนย์ผลิต DOLLS และจะทำลายมันทิ้งถ้าเป็นไปได้ค่ะ"""
ssc_505030_0230#0,"""แต่ถึงอย่างนั้น ท่านครอว์ฟอร์ด (Crawford) ก็ไม่อนุมัตินะคะ<br>โดยบอกว่ามันยังเร็วเกินไปที่จะลงมือทำแบบนั้นค่ะ"""
ssc_505030_0240#0,"""พวกเราจำเป็นต้องเสริมสร้างระบบป้องกันของทุกภูมิภาคให้แข็งแกร่งขึ้นค่ะ<br>แต่ก็ไม่สามารถปล่อยพวก DOLLS ในภูมิภาคสเตีย (Stia) เอาไว้เฉยๆ ได้เหมือนกัน"""
ssc_505030_0250#0,"""ไม่มีมุมมองไหนที่ผิดหรอกนะคะ แต่จนถึงตอนนี้<br>พวกเรายังขาดความแข็งแกร่งที่จะทำทั้งสองอย่างพร้อมกันได้น่ะค่ะ"""
ssc_505030_0260#0,"""แม้จะว่ากันว่าสเตีย (Stia) กุมความลับที่ยิ่งใหญ่เอาไว้ แต่พวกเรา<br>ก็ไม่สามารถลงมือทำอะไรที่เป็นชิ้นเป็นอันได้เลยค่ะ"""
ssc_505030_0270#0,"""แต่ถึงอย่างนั้น ตอนนี้มันไม่ใช่อีกต่อไปแล้วล่ะค่ะ"""
ssc_505030_0280#0,"""พวกเราได้สร้างความสัมพันธ์อันดีในการทำงานร่วมกับ ARKS ของรีเทม (Retem) แล้ว<br>และพวกเราก็เสร็จสิ้นการสำรวจในควาริส (Kvaris) แล้วด้วยค่ะ"""
ssc_505030_0290#0,"""เซ็นทรัลแคนนอน (Central Cannon) เองก็ได้รับการปรับปรุง<br>อย่างรวดเร็วในขณะที่พวกเรากำลังคุยกันอยู่นี่เลยล่ะค่ะ"""
ssc_505030_0300#0,"""ทั้งหมดนี้ต้องขอบคุณความพยายามของทุกคนเลยล่ะค่ะ"""
ssc_505030_0310#0,"""การหันเหความสนใจของพวกเราไปยังสเตีย (Stia)<br>กลายเป็นสิ่งที่หลีกเลี่ยงไม่ได้ไปซะแล้วล่ะค่ะ"""
ssc_505030_0320#0,"""คาดว่ามันจะต้องเป็นการต่อสู้ครั้งใหญ่แน่นอนค่ะ<br>พวกเราจึงต้องเตรียมตัวกันอย่างระมัดระวังให้ดีที่สุดค่ะ"""
ssc_505030_0330#0,"""ถึงแม้ว่ามันอาจจะไม่ได้มีความหมายอะไรมากนัก แต่พวกโอเปอเรเตอร์ (Operator)<br>อย่างพวกเราก็อยากจะทำทุกอย่างที่ทำได้เพื่อช่วยเหลือเหมือนกันค่ะ"""
ssc_505030_0340#0,"""ถ้าหากมีความคืบหน้าอะไรเพิ่มเติม จะ<br>แจ้งให้ทราบอย่างแน่นอนเลยค่ะ <%me>"""
