11_voice_NPC_5018_101#0,"""Hey, it's you. You came at just the right time."""
Oku_01_010#0,"""私に何か用かい？<br>……バレンタインのプレゼントに<br>もらって嬉しいもの？"""
Oku_01_020#0,"""うーん、そうだね。<br>お金で買えるようなものは<br>要らないかなー。"""
11_voice_NPC_5018_104#1,"""しいて言うなら、もっともっと<br>私のオーダーを受けてもらうのが<br>一番のプレゼントだねー。"""
Oku_01_040#0,"""みんなは強くなれて、報酬ももらえる。<br>そして、私は楽ができる。<br>どうだい、参考になったかな？"""
11_voice_NPC_5018_100#2,"""アークスとして大成するコツは<br>頑張りすぎないこと、かなぁ。<br>適度に、てきとーに。"""
11_voice_NPC_5018_101#1,"""アークスになったからって<br>必死になる義務はないんだし<br>ほどほどに頑張るのが一番。"""
11_voice_NPC_5018_105#0,"""アークスに夢を見ている子が多いけど<br>現実はそう甘くないからねぇ。<br>過度な期待は心の毒だよ。"""
11_voice_NPC_5018_104#2,"""んー……なんかもっとこう<br>効率よくサボる方法ないかなぁ……"""
11_voice_NPC_5018_102#0,"""どうしてそんなにやる気がないのか？<br>じゃあ逆に聞くけど、やる気があるって<br>どういうことを指すのかな？"""
Chroto_05_020#0,"""張り切って出しゃばること？<br>ひたむきに突っ込んでいくこと？<br>だったら私はやる気ナシでいいよ。"""
11_voice_NPC_5018_103#0,"""アークスの仕事っていうのは<br>ダーカーを倒すことだけじゃない。<br>それ以外にもやること山積みさ。"""
11_voice_NPC_5018_102#1,"""ダーカーや原生生物を倒すのがうまいと<br>やる気がある、ってなるのかな？<br>ま、殺る気という意味ではあってるか。"""
11_voice_NPC_5018_102#2,"""出しゃばっちゃったら叩かれる。<br>これ、どこの世界でも同じだよ。"""
Chroto_08_020#0,"""秘密裏に色々動いているのなら<br>せめて表向きには、静かにしていた<br>ほうがいいってこと。"""
11_voice_NPC_5018_106#0,"""ここにはいろんな性格の人がいるけど<br>君は珍しいね。プレーンな感じ。<br>君みたいなのが多くなればいいなぁ。"""
11_voice_NPC_5018_105#1,"""私たちの行いは、きっとどこかで<br>誰かに見られていたりするんだ。<br>でも、私たちにはわからない。"""
Chroto_10_020#0,"""だからこそ、注意深く用心深く<br>なっていかなきゃいけない。<br>たとえ、やる気ナシと言われても。"""
11_voice_NPC_18_106#0,"""ダークファルスは復活した。<br>けれどもアークスたちの目は<br>死んでいない。"""
Chroto_mb9_020#0,"""それは今こうして撃退できたって<br>事実があるからさ。<br>君の働きは無駄じゃない。決してね。"""
11_voice_NPC_18_106#1,"""ダークファルスは復活した。<br>けれどもアークスたちの目は<br>死んでいない。"""
Chroto_mb10_020#0,"""それは今こうして撃退できたって<br>事実があるからさ。<br>君の働きは無駄じゃない。決してね。"""
11_voice_NPC_5018_104#3,"""私たちの行いは、きっとどこかで<br>誰かに見られていたりするんだ。<br>でも、私たちにはわからない。"""
Chroto_mb11_020#0,"""だからこそ、注意深く用心深く<br>なっていかなきゃいけない。<br>たとえ、やる気ナシと誹られても。"""
11_voice_NPC_5018_104#4,"""私たちの行いは、きっとどこかで<br>誰かに見られていたりするんだ。<br>でも、私たちにはわからない。"""
Chroto_mb12_020#0,"""だからこそ、注意深く用心深く<br>なっていかなきゃいけない。<br>たとえ、やる気ナシと誹られても。"""
11_voice_NPC_5018_104#5,"""うーん……動き出したのかな……<br>ああいやいや、こっちの話だよ。<br>気にしない、気にしない。"""
11_voice_NPC_5018_104#6,"""うーん……動き出したのかな……<br>ああいやいや、こっちの話だよ。<br>気にしない、気にしない。"""
11_voice_NPC_5018_104#7,"""どう動くのが正解かわからないときは<br>自分の思うがままに動くべきだよ。"""
11_voice_NPC_5018_100#3,"""君は、正しいことをしている。<br>それをいつまでも忘れないように。<br>……お兄さんからの助言だよ。"""
11_voice_NPC_5018_104#8,"""この結末はね……私にとっても<br>喜ばしいことなんだ。だから、君は<br>もっと胸を張って欲しいな。"""
11_voice_NPC_5018_100#4,"""君は君が思う形で正しさを<br>貫けばいいんだよ。"""
Chroto_mb18_020#0,"""結果はすべて、あとからついてくる。<br>世の中だいたいそういうものさ。"""
Chroto_mb20_010#0,"""原因がわからない、というのは<br>最も警戒するべきことなんだよね。"""
11_voice_NPC_5018_104#9,"""最近は、そのテの現象が多い。<br>ちょっと気になるねえ。<br>ああ、気になるねえ。"""
11_voice_NPC_5018_100#5,"""君は、君のままで<br>自分が思う道を貫けばいいんだよ。"""
Chroto_mb22_020#0,"""その諦めない姿勢を<br>私はとても好ましく思っているんだ。"""
11_voice_NPC_5018_104#10,"""多くの人が君のためにと<br>力になろうと思っている。<br>もちろん、私もそうさ。"""
11_voice_NPC_5018_100#6,"""そこでお兄さんから助言を一つ。<br>君は、君らしく。<br>自分が思う道を貫くんだよ。"""
11_voice_NPC_5018_100#7,"""君の強い気持ちがあったから<br>みんなが一丸となれたんだ。"""
Chroto_mb24_after_020#0,"""私はとても喜ばしいと思ってるんだ。<br>これからも、君は自分が思う道を<br>貫き続けていくんだよ。"""
11_voice_NPC_5018_100#8,"""君の働きをきっかけに<br>アークスがまた変わろうとしている。"""
Chroto_mb25_020#0,"""どんな形になるかは分からないけれど<br>きっと良い変化になるだろうね。"""
st01_010#0,"""君が休んでいる間も、アークスは<br>滞りなく動いていたよ。"""
st01_020#0,"""ダークファルスなんかも現れたけど<br>まあ、なんとかなるものさ。<br>大抵のことはね。"""
11_voice_NPC_5018_100#9,"""だから、あんまり抱え込みすぎずに<br>のんびり気楽に頑張りなよ。"""
11_voice_NPC_5018_100#10,"""地球という惑星は<br>なんだか不思議な感じがするよね。"""
st01_020#1,"""アークスに近い技術もあるようだし<br>その辺り、すごく気になるよ。"""
11_voice_NPC_5018_100#11,"""ダーカー相手とは勝手が違う分<br>やりづらいことも多いんじゃないかな。"""
st01_020#2,"""まあ、色々思うことはあるだろうけど<br>気負いすぎずに頑張りなよ。"""
11_voice_NPC_5018_100#12,"""やはりダーカー相手とは違うね。<br>こっちの仕組みも利用してくる。"""
st01_020#3,"""人との戦いって、面倒だねえ。<br>なるべく関わりたくないよ。"""
st01_010#1,"""情報部としては、一応アースガイドの<br>指導者のことも疑って動いては<br>いたみたいだよ。"""
st01_020#4,"""ただ、彼は隙を見せなかった。<br>だからこそここまで共に歩んできて<br>……最後に出し抜かれちゃったねえ。"""
11_voice_NPC_5018_100#13,"""準備も、情報も万全。<br>でも、こういう時だからこそ油断禁物。"""
sq00_020#0,"""思いもしないことが起きるのは<br>きまって、みんなが大丈夫って<br>考えてる時なのさ。"""
11_voice_NPC_5018_100#14,"""いやあ、冗談のつもりで言ったんだけど<br>本当に大変なことが起きるなんて……<br>ちょっと反省しないと。"""
sq01_020#0,"""ただ、シャオもこういう事態は<br>一応想定に入れていたみたいだよ。<br>だから、君の反応を追えた。"""
sq01_030#0,"""備えあればなんとやら、ってやつだ。<br>ま、なにはともあれ無事でよかった。"""
sq08_010#0,"""ユクリータ君の失踪は私も目撃したよ。<br>いきなりだったので、そんなはっきりと<br>見たわけじゃないけどね。"""
11_voice_NPC_5018_104#11,"""でもあれは失踪というよりも<br>アークスの転送に、近いものに見えた。"""
sq08_030#0,"""つまりどこかには居るということだ。<br>情報部も動いて、捜索中のようだよ。<br>他人事でもないみたいだしね。"""
11_voice_NPC_5018_100#15,"""失踪した子達はみんな無事に<br>戻ってきたみたいだねえ。<br>いやあ、よかったよかった。"""
sq10_020#0,"""この失踪が解決しなかった場合<br>全アークスが同様の失踪を<br>警戒しなければならなかったから。"""
sq10_030#0,"""解決可能な事象で良かったと思うよ。<br>お手柄だねえ。誰の功績かは<br>私は知らないけど、ね。"""
sq13_010#0,"""終の女神、とやらについては<br>情報部が必死に情報を探してるよ。<br>アウロラって子にも協力要請中さ。"""
sq13_020#0,"""ただ、それでもというかやはりというか<br>ほとんど記録は残されていないようだ。"""
11_voice_NPC_5018_105#2,"""失敗の記録は残したくない、という<br>気持ちはわからなくもないけど……<br>……まったく本当に面倒だよねえ。"""
11_voice_NPC_5018_104#12,"""We've been through hard times before, but this is on a whole other level. We're in real trouble now."""
ep6_sq00_02#0,"""Even you Guardians and the whole Council fighting at full force wouldn't be able to beat them. Yep, I'd say this qualifies as real big trouble."""
11_voice_NPC_5018_105#3,"""Things just got a whole lot worse for us, huh? As you can imagine, I'm devastated."""
ep6_sq01_02#0,"""But this might just be a blessing in a very ugly disguise. We've finally got a system that doesn't run all our command and control through one person."""
ep6_sq01_03#0,"""We'll all have to do whatever we can as well as we can. It's not just you guys who're working hard, you know?"""
11_voice_NPC_5018_100#16,"""Hey hey, someone's been hard at work. I'm glad things are cheering up around here."""
ep6_sq02_02#0,"""It's a good thing we had Xiera to take over admin responsibilities from Xiao..."""
ep6_sq02_03#0,"""The bond forged between comrades is unbreakable. You can't replace that with something intangible like  hope or morale."""
11_voice_NPC_5018_104#13,"""Hmm... Reality can be a real downer, huh. The enemy leader is even more dangerous than we thought."""
ep6_sq02_01_02#0,"""It's a real shocker. Everyone was working together so well, and we still got overwhelmed..."""
ep6_sq02_01_03#0,"""Still, we shouldn't forget that we were able to go toe to toe with the enemy fleet. Let's not let our failures blind us to our successes."""
ep6_sq04_01_01#0,"""The enemy's attacks have gotten even more intense. Maybe they've decided they can't afford to keep us around any more?"""
11_voice_NPC_5018_100#17,"""But despite all that, I can't see a single sign of worry on your face. You're really something else."""
ep6_sq04_01_03#0,"""Still, you should take a break from time to time. Stretch yourself too far and sooner or later you'll snap."""
