text00#0,"""Что ты хочешь узнать?"""
text01#2,"""\""Коробка сладостей\"" - это место, где вы можете<br>хранить \""конфеты\"" с различными эффектами<br><yellow>для усиления вашего питомца<c>.<br><br>У каждого питомца есть своя коробка сладостей.<br><br>Побеждайте врагов, чтобы настроить своего питомца<br>и эффективней побеждать врагов."""
text02#1,"""\""Сладсти (Candy)\"" - общее назание предметов,<br>используемых для увеличения параметров и усиления<br>способностей вашего питомца. У всех типов конфет<br>имеется максимальный предел использования.<br>■ До 1<br>・Ramune        ・Crepe<br><br>■ До 2<br>・Parfait ・Roll  ・Pancake<br><br>■ До 3       ■ До 4<br>・Cookie         ・Stick<br><br>■ До 5      ■ До 20<br>・Sandwich      ・Gummy"""
text03#0,"""Единажды поместив конфету в коробку сладостей,<br>вы уже не сможете вернуть её.<br><br>Для того, чтобы убрать конфету,<br>вам понадобится \""Candy Remover\"",<br>а для стирания одной<br>вам понадбится уже \""Candy Eraser\"".<br><br>Убранная конфета вернётся в ваш инвентарь, а вот<br>уже <yellow>стёртые будут навсегда уничтожены<c>.<br>Пожалуйста, будьте осторожны."""
text00#1,"""Что лучше всего использовать питомцам"""
text01#3,"""<yellow>●Характеристики \""Ванды\""<c><br><br>  Является простым в использовании<br>сбалансированным питомцем.<br><br>＜Сладости для Ванды＞<br> ・\""Steadfast Roll\""<br>  (Уменьшает получаемый урон,<br>когда HP падает ниже 50%)<br><br> ・\""Conversion Roll\""<br>  (Преобразует защитные характеристики<br>в атакующие)<br><br> ・\""Body Sandwich\""<br>  (Увеличивает защитные характеристики)"""
text02#2,"""<yellow>●Характеристики \""Торим\""<c><br><br>  Является атакующим питомцем с большой силой<br>атаки.<br><br>＜Сладости для Торим＞<br> ・\""Megaton Parfait\""<br>  (Увеличивает наносимый урон по боссам)<br><br> ・\""Daredevil Parfait\""<br>  (Увеличивает расход PP за использование<br>Фотон Арта в обмен на увеличение урона)<br><br> ・\""One Layer Pancake\""<br>  (Увеличивает урон питомца атрибутами)"""
text03#1,"""<yellow>●Характеристики \""Сэри\""<c><br><br>  Является питомцем поддержки, специализирующимся<br>на дальних атаках.<br><br>＜Сладости для Сэри＞<br> ・\""Spirited Parfait\""<br>  (Увеличивается наносимый урон от обычных атак)<br><br> ・\""Substitute Roll\""<br>  (Снижает расход PP при активном Alter Ego)<br><br> ・\""Spirita Cookie\""<br>  (Увеличивает максимальное количество PP)<br><br>※Это руководство всегда можно просмотреть повторно:<br>\""Система\"" → \""Информация\"" → \""Обучение\""."""
Title#3,"""Достижение питомцем предела 100 уровня"""
text01#4,"""После того, как вы попросите Пьетро \""снять<br>ограничение\"", ваш питомец сможет продолжить свой<br>рост выше 100 уровня.<br><br><yellow>Настоятельно рекомендуется использовать яйца<br>высокой редкости для увеличения предела уровня<br>после снятия ограничения 100 уровня для снятия<br>дальнейших ограничений<c>."""
Title#4,"""Питомец получил урон"""
text01#5,"""У Питомцев также имеются свои HP (очки здоровья),<br>которые уменьшаются при получении урона.<br><br>Когда HP питомца падает до нуля, он временно<br>не может сражаться.<br><br>Если HP вашего питомца падает, вы можете<br>переключиться на другого, чтобы позволить ему<br>восстановиться, либо можете использовать технику<br>\""Resta\"" из вашей под-палитры."""
Title#5,"""Что для коробки можно использовать"""
text01#6,"""У коробок конфет есть следующие<br>расходные материалы:<br><br>■Candy Eraser<br>Стирает конфету из коробки.<br><br>■Candy Remover<br>Убирает конфету в инвентарь.<br>Доступно в \""Магазине переработки\"".<br><br>■Caramel Crusher<br>Удаляет карамельный кубик из коробки.<br>Доступно в \""МО Excube\""."""
Title#6,"""Питомец нокаутирован"""
text01#7,"""Когда значение НР питомца упадёт до нуля,<br>он не сможет сражаться. Через некоторое время<br>он придёт в создание и снова будет готов<br>к бою.<br><br>Питомцы, находящиеся в бессознательном<br>состоянии, восстановятся после периода<br>нокаутирования вне зависимости от того, были<br>ли они активны. Рекомендуется временно<br>переключиться на другого до восстановления.<br><br>Продолжительность нокаута зависит<br>от вида питомца."""
Title#7,"""Увеличение редкости питомца"""
text01#8,"""\""Увеличение редкости питомца\"" - это услуга,<br>увеличивающая максимальный уровень питомца<br>за счёт повышения редкости.<br><br>Пройдите к лаборатории питомцев, затем<br>используйте яйцо того же типа или более высокой<br>редкости, чем имеющийся питомец, чтобы увеличить<br>его редкость.<br><br>Имя, уровень, повышенная характеристика, коробка<br>сладостей и атрибуты будут унаследованы,<br>а редкость можно будет сменить."""
Title#8,"""Компрессия сладостей"""
text01#9,"""Компрессия конфет - услуга, которая уменьшает<br>размер сладости, чтобы помочь вам вместить<br>больше сладостей за счёт компрессии.<br><br>Компрессию можно выполнить как для уже<br>установленных сладостей, так и для тех,<br>которые находятся в инвентаре.<br>"""
Title#9,"""Занятое место в коробке"""
text01#10,"""В коробке сладостей есть место, куда нельзя<br>сложить сладости.<br><br>■Jelly Cubes (Желейные кубики)<br>  Они автоматически пропадут когда<br>  питомец достигнет 50 уровня.<br><br>■Caramel Cubes (Карамельные кубики)<br>  Их можно убрать с помощью<br>  \""Caramel Crusher\"".<br><br>■Paper Cubes (Бумажные кубики)<br>  Нельзя убрать."""
Title#10,"""Личности питомцев"""
text01#11,"""Питомцы различаются в зависимости от<br>их личностей.<br>Некоторые из них перечислены ниже.<br><br>・Enjoys the Sun<br>  Увеличение урона<br>  в ясную погоду.<br><br>・Fervent<br>  Небольшое изменение, чтобы пережить<br>   критический удар, увеличить силу<br>  и временно получить неуязвимость.<br><br>・Docile<br>  Увеличенный урон по врагам,<br>  страдающим от статус-эффекта."""
text02#3,"""・Diligent<br>  Увеличенный урон и<br>  повышенный расход PP.<br><br>・Adept<br>  Увеличенное восстановление PP от атак.<br><br>・Serene<br>  При смене питомца по прошествии определённого<br>  времени восстанавливает HP предыдущего питомца.<br><br>\""Личность\"" можно сменить с помощью другого<br>питомца при использовании услуги<br>\""Повысить редксть питомца\"" в лаборатории питомцев."""
Title#11,"""Особенности Марона/Мелона"""
text01#12,"""Марон и Мелон постепенно надуваются после<br>получения входящего урона, что увеличивает<br>мощность определённого Фотон Арта.<br><br>・Фотон Арты увеличивающие силу<br>\""Maron Strike\""<br>\""Melon Strike\""<br><br>Питомец выйдет из строя после использования<br>указанных Фотон Артов в обмен на колоссальный<br>урон. Будьте осторожны, когда Марон достигнет<br>своей последней стадии, питомец через некоторое<br>время взорвётся и навредит своему хозяину."""
text02#4,"""Отличия между Мароном и Мелоном:<br><br>・Maron Strike<br>  Поскольку Марону требуется получить больше<br>  ударов, чтобы достичь последней стадии, как<br>  следствие урон от кудара будет выше.<br>  Обратите внимание на его самоуничтожение<br>  в момент достижения последней стадии.<br><br>・Melon Strike<br>  С другой стороны, Мелон требует меньше<br>  ударов, чтобы достичь последней стадии,<br>  но в результате сила удара будет намного ниже.<br>  В отличие от Марона, его можно кидать по<br>  несколько раз под ряд, снова используя<br>  этот же Фотон Арт, когда питомец попадает<br>  в цель."""
Title#12,"""Ограничение атрибута питомца"""
text01#13,"""В зависимости от редкости питомца, будет разниться<br>ограничение атрибута.<br><br>・Для 1~12★ <yellow>максимально 50<c><br>・Для 13★+: <yellow>максимально 60<c><br><br>При попытке увеличения значения атрибута,<br>если будет превышаться ограничение атрибута,<br>то конечное значение будет равняться<br>максимальному."""
Title#13,"""Особенности Виолы"""
text01#14,"""Вы можете изменить эффективность Виолы<br>с помощью \""Viola Change\"".<br>После Viola change, следующие особенности<br>изменятся:<br><br>・Повысится сила атаки и защиты<br>・Более медленная анимация Фотон Артов<br>・Медленное восстановление РР<br><br>Активируйте его ещё раз, чтобы вернуться<br>к предыдущей форме.<br><br>Обязательно приспосабливайтесь к ситуации<br>и используйте обе формы для большей<br>эффективности."""
Title#14,"""Особенности Синхро"""
text01#15,"""У Синхро есть способность, позволяющая ему<br><yellow>увеличивать собственную силу<c> при<br>последовательной комбинации Фотон Артов<br>в \""комбо\"".<br><br>После использования первого Фотон Арта, второй<br>Фотон Арт, которые вы будете последовательно<br>комбинировать в \""комбо\"" что даст усиление<br>урона.<br><br>\""Synchro Geki\"" будет расходовать накопленную<br>\""силу комбо\"", чтобы увеличить урон Фотон Артов."""
text02#5,"""Когда Синхро достигнет 3-го \""комбо\"", вокруг<br>игрока появится метка.<br>Вы можете использовать эту метку как индикатор<br>для активации \""Synchro Geki\"".<br><br><red>Цепочка \""комбо\"" закончится, если питомец<br>выполнит что-либо кроме Фотон Арта.<c><br>Сосредоточтесь на своей комбинации Фотон Артов,<br>чтобы воспользоваться боевыми способностями<br>Синхро."""
Title#15,"""Эволюция формы питомца"""
text01#16,"""При увеличении редкости питомца, питомцы<br>могут изменить свою форму.<br><br>В дополнение к внешнему виду, эволюция<br>может изменить некоторые Фотон Арты и увеличит<br>предел бонусных характеристик.<br><br>Питомец также унаследует уровень, увеличенные<br>характеристики и коробку сладостей предыдущего<br>питомца.<br><br><c ff4f3f>※Нельзя вернуться к предыдущей форме<br>после эволюции.<c>"""
text02#6,"""Проверьте информацию о своих яйцах, чтобы<br>узнать, можно ли использовать их для<br>развития своих питомцев."""
Title#16,"""Особенности Редрана"""
text01#17,"""Главная особенность Редрана - способность брать<br>в прицел цели и использовать самонаводящиеся<br>атаки.<br><br>Самонаводящиеся Фотон Арты обладают следующими<br>характеристиками:<br><br>・Redran Laser<br>  Удерживайте кнопку Фотон Арта, чтобы взять<br>  в прицел врагов, затем выпускает лазеры,<br>  чтобы поразить цель.<br><br>・Redran Burst<br>  Захватите в прицел, затем удерживайте кнопку<br>  Фотон Арта, чтобы зарядить дополнительные<br>  заряды."""
text02#7,"""Самонаводящиеся атаки также могут<br>использоваться для активации других<br>Фотон Артов.<br><br>・Redran Mine<br>  Redran Laser, Redran Gravity и<br>  Redran Burst можно использовать для запуска<br>  и высвобождения детонации.<br><br>Если возникнет такая возможность, используйте<br>его самонаводящиеся атаки."""
