name_7026#0,"""ฟาเรีย (Pharia)"""
msn_027610_0330#0,"""ทำตามความอยากรู้อยากเห็น<br>แล้วมุ่งมั่นตามหาคำตอบเพียงอย่างเดียว……"""
msn_027610_0340#0,"""และเพื่อการนั้น<br>ก็มีบางครั้งที่ไม่เลือกวิธีการเหมือนกัน"""
msn_027610_0350#0,"""……ในจุดนี้<br>อาจจะคล้ายกับเซเฟตโต้ (Zephetto) ก็ได้นะ"""
msn_027610_0360#0,"""แต่พฤติกรรมในเวลาอื่น<br>ก็ยังมีอีกหลายอย่างที่ฉันยังไม่เข้าใจ"""
msn_027610_0370#0,"""อย่างตอนที่กำลังกินข้าวอยู่<br>จู่ๆ ก็ตะโกนเสียงดังแล้ววิ่งไปที่ห้องวิจัยซะงั้น……"""
msn_027610_0380#0,"""ทั้งที่บอกว่ามีนัดกับพี่น้องที่ควาริส (Kvaris)<br>แต่พอถึงเวลากลับยังนั่งค้นข้อมูลในเครื่องเทอร์มินัลอยู่เลย……"""
msn_027610_0390#0,"""ทั้งความคิดและการกระทำล้วนไม่ตายตัว<br>เป็นตัวตนที่น่าสนใจมากๆ เลยล่ะ"""
msn_027610_0400#0,"""ฉันน่ะ……อยากรู้จักมาน่อน ไอน่า<br>แล้วก็คุณให้มากกว่านี้อีกนะ"""
msn_027610_0410#0,"""อยากจะเรียนรู้และคิดอะไรให้มากขึ้น<br>เพื่อที่จะสามารถแสดงความรู้สึก 'บางอย่าง' ออกมาได้"""
msn_027610_0420#0,"""ถึงจะยังไม่รู้ว่า 'บางอย่าง' ที่ว่านั้น<br>มันคืออะไรก็เถอะ……"""
msn_027610_0430#0,"""ขอให้หาสิ่งที่อยากทำเจอไวๆ นะ"""
msn_027610_0440#0,"""คาดหวังในตัวฟาเรีย (Pharia) นับจากนี้อยู่นะ"""
msn_027610_0450#0,"""อื้อ<br>จะพยายามนะ"""
msn_027610_0460#0,"""อื้อ<br>ขอบคุณนะ"""
msn_027610_0470#0,"""ถึงอาจจะสร้างความวุ่นวาย<br>ให้หลายๆ เรื่องก็เถอะ……"""
msn_027610_0480#0,"""จากนี้ไปก็ฝากตัวด้วยนะ"""
