msc_027170_0010#0,"""...อ้า กลับมาแล้วสินะ"""
msc_027170_0450#0,"""งั้นเป้าหมายของ Vael ก็คือฮาลฟา (Halpha) งั้นเหรอ?"""
msc_027170_0460#0,"""ไม่ต้องสงสัยเลยว่าสถานที่แห่งนี้มีผู้คนที่<br>ตอบสนองต่อ Photon ได้สูงอยู่เป็นจำนวนมากที่สุดล่ะ"""
msc_027170_0470#0,"""ไม่ต้องสงสัยเลย Vael จะต้องกลับมาแน่"""
msc_027170_0480#0,"""เรื่องนั้นไม่ต้องสงสัยเลยล่ะ"""
msc_027170_0490#0,"""ในตอนนี้ สถานที่แห่งนี้มีผู้คนที่<br>ตอบสนองต่อ Photon ได้สูงอยู่เป็นจำนวนมากที่สุดล่ะ"""
msc_027170_0500#0,"""ในตอนนี้ Vael กำลังรวบรวมพลัง<br>อยู่ในอีกมิติหนึ่งน่ะ"""
msc_027170_0510#0,"""โดยใช้ร่างโคลนที่ 4 (4th clone) เป็นภาชนะ<br>มันจะวิวัฒนาการตัวเองจนสมบูรณ์แบบล่ะ"""
msc_027170_0520#0,"""มันน่าจะปรากฏตัวขึ้นมาได้ทุกเมื่อแล้วล่ะ..."""
msc_027170_0530#0,"""Vael ทรงพลังอย่างหาที่เปรียบไม่ได้เลยล่ะ"""
msc_027170_0540#0,"""แต่ถึงอย่างนั้น ก็ไม่จำเป็นต้องกังวลไปหรอกนะ"""
msc_027170_0550#0,"""ในตอนนี้ ผู้ที่แข็งแกร่งที่สุดในหมู่ ARKS ก็คือเธอไงล่ะ 909..."""
msc_027170_0555#0,"""ไม่สิ... ผู้พิทักษ์ (Guardian)"""
msc_027170_0560#0,"""เธอเติบโตและแข็งแกร่งขึ้นยิ่งกว่าตอนที่พวกเราสู้กันครั้งล่าสุดซะอีก"""
msc_027170_0570#0,"""แล้วสหายร่วมรบของเธอก็แข็งแกร่งขึ้นด้วยเช่นกัน ราวกับตอบสนองต่อการเติบโตของเธอยังไงยังงั้นแหละ"""
msc_027170_0580#0,"""พวกเธอทุกคนคือคำจำกัดความของ ARKS ที่แท้จริงล่ะ"""
msc_027170_0590#0,"""หากร่วมมือกัน พวกเธอจะสามารถเอาชนะ Vael ได้อย่างแน่นอน"""
msc_027170_0600#0,"""..."""
msc_027170_0610#0,"""...ดูเหมือนว่าเวลาของฉันจะหมดลงแล้วล่ะ"""
msc_027170_0620#0,"""เซเฟตโต้ (Zephetto)..."""
msc_027170_0630#0,"""มีอะไรเหรอ ไอน่า?"""
msc_027170_0640#0,"""...ขอบคุณนะ"""
msc_027170_0650#0,"""ไม่คิดว่าคนอย่างฉันไม่คู่ควรกับคำพูดพวกนั้นหรอกเหรอ...?"""
msc_027170_0660#0,"""ไม่คิดแบบนั้นหรอก"""
msc_027170_0670#0,"""นายสร้างความโศกเศร้าและโศกนาฏกรรมให้พวกเราอย่างมากมายก็จริง"""
msc_027170_0680#0,"""จะไม่มีวันให้อภัยนายในเรื่องนั้นหรอกนะ"""
msc_027170_0690#0,"""แต่ผลก็คือ ตอนนี้พวกเรามีความแข็งแกร่งพอที่จะต่อสู้กับศัตรูที่แท้จริงได้แล้วล่ะ"""
msc_027170_0700#0,"""นั่นคือเหตุผลว่าทำไมถึงขอบคุณน่ะ"""
msc_027170_0710#0,"""นายมันให้อภัยไม่ได้... แต่ก็จะให้อภัยนายล่ะนะ"""
msc_027170_0720#0,"""ไอน่า..."""
msc_027170_0730#0,"""...ผู้คนแห่งฮาลฟา (Halpha) เอ๋ย"""
msc_027170_0740#0,"""ต้องขอโทษจากใจจริงเลยล่ะ"""
msc_027170_0750#0,"""ได้โปรด ขอร้องเป็นครั้งสุดท้ายเถอะนะ"""
msc_027170_0760#0,"""...ช่วยดูแลโลกใบนี้ด้วยนะ"""
msc_027170_0770#0,"""จิตสำนึกของเซเฟตโต้ (Zephetto) หายไปจากฉันอย่างสมบูรณ์แล้วล่ะ"""
msc_027170_0780#0,"""...เขาจากไปแล้วจริงๆ... อีกครั้งแล้วนะ โดยที่ไม่ยอมให้ใครได้พูดอะไรเลย..."""
msc_027170_0790#0,"""...ช่างเป็นคนที่เอาแต่ใจตัวเองจริงๆ"""
msc_027170_0800#0,"""ท่านผู้ปกครองผู้โดดเดี่ยวและเอาแต่ใจของเหล่า Resurgent ARKS..."""
