msc_027110_0010#0,"""...สถานที่นี้ก็ดูคุ้นตาเหมือนกันนะ"""
msc_027110_0180#0,"""ถูกต้องแล้วล่ะ"""
msc_027110_0190#0,"""ถึงอย่างนั้น ก็ไม่สามารถรับรู้รายละเอียดใดๆ เกี่ยวกับบุคคลนั้นได้เลยล่ะ"""
msc_027110_0200#0,"""...ทำไมถึงไม่ได้ล่ะ?"""
msc_027110_0210#0,"""ไม่สามารถปิดระบบแช่แข็งของพวกเขาได้น่ะ<br>มันมีระบบป้องกันที่แน่นหนามากเลยล่ะ"""
msc_027110_0220#0,"""เมื่อไม่มีทางเลือกอื่น ก็เลยต้องพักเรื่องของ ARKS คนนั้น<br>เอาไว้ก่อน แล้วหันไปดำเนินการวิจัยในแนวทางอื่นแทนล่ะ"""
msc_027110_0230#0,"""ในตอนแรก เริ่มดำเนินการใช้ข้อมูลทางพันธุกรรมเพื่อวิเคราะห์ปัจจัยต่างๆ ที่เกี่ยวข้องกับ Photon ล่ะ"""
msc_027110_0240#0,"""ยิ่งไปกว่านั้น ด้วยการใช้ข้อมูลการต่อสู้ที่กู้คืนมาได้ จึงได้ดำเนินการจำลองสถานการณ์ต่างๆ ขึ้นมาน่ะ"""
msc_027110_0250#0,"""ข้อมูลทั้งหมดนั่นถูกนำมาใช้เป็นพื้นฐานสำหรับการทดลองอันยาวนานนับครั้งไม่ถ้วน..."""
msc_027110_0260#0,"""ซึ่งจุดสูงสุดของผลลัพธ์นั้น... ก็คือเธอไงล่ะ 909"""
msc_027110_0270#0,"""พอจะเข้าใจเรื่องราวแล้วล่ะ"""
msc_027110_0280#0,"""...ขอถามอะไรหน่อยได้ไหม?"""
msc_027110_0290#0,"""มีอะไรเหรอ?"""
msc_027110_0300#0,"""เกิดอะไรขึ้นกับผู้คนที่เคยอาศัยอยู่ในเมืองที่อยู่ข้างบนพวกเรางั้นเหรอ?"""
msc_027110_0310#0,"""...หึ"""
msc_027110_0320#0,"""ในช่วงแรกเริ่ม Resurgent ARKS<br>ประกอบไปด้วยผู้คนราวๆ 100,000 คนน่ะ"""
msc_027110_0330#0,"""ซึ่งส่วนใหญ่อาศัยอยู่ที่นี่ล่ะ"""
msc_027110_0340#0,"""เหล่าผู้มีสติปัญญาเป็นเลิศต่างร่วมมือกัน เพื่อสานต่อการสร้างสรรค์เหล่า ARKS ล่ะ"""
msc_027110_0350#0,"""พวกเราเรียก ARKS รุ่นใหม่กลุ่มแรกด้วยชื่อ 'รุ่นแรก (First Generation)' ล่ะ"""
msc_027110_0360#0,"""การทดลองที่ดำเนินการกับรุ่นแรก (First Generation)<br>นั้นแตกต่างจากรุ่นหลังๆ อย่างมากเลยล่ะ"""
msc_027110_0370#0,"""มีการนำ DNA ของ ARKS ในอดีตมาตัดต่อ<br>เข้าไปในร่างกายของตัวอย่างทดลองโดยตรงน่ะ"""
msc_027110_0380#0,"""...โดยตรงเลยเหรอ?"""
msc_027110_0390#0,"""แต่ถ้าหากข้อมูล Photon มหาศาลไหลเข้าสู่ร่างกายที่อ่อนแอกว่าอย่างกะทันหันล่ะก็..."""
msc_027110_0400#0,"""ถูกต้องเลยล่ะ"""
msc_027110_0410#0,"""ด้วยร่างกายธรรมดา จิตใจจึงไม่สามารถทนรับการไหลบ่าของ Photon ได้น่ะ"""
msc_027110_0420#0,"""...ร่างกายของหลายๆ คนต่อต้านมัน<br>ซึ่งนั่นทำให้พวกเขาต้องตายไปน่ะ"""
msc_027110_0430#0,"""แม้แต่คนที่รอดชีวิตจากปฏิกิริยาในตอนแรก ท้ายที่สุดก็เกิดภาวะแทรกซ้อน<br>ทั้งทางร่างกายและจิตใจ และต้องออกจากการทดลองไปในภายหลังล่ะ"""
msc_027110_0440#0,"""เริ่มมีความคิดเห็นที่แตกแยกกันในหมู่คณะนักวิจัยน่ะ"""
msc_027110_0450#0,"""ความขัดแย้งไม่ได้จบลงแค่การโต้เถียงกันด้วยวาจาหรอกนะ<br>แต่มันลุกลามไปจนถึงการปะทะกันด้วยอาวุธเลยล่ะ"""
msc_027110_0460#0,"""ในขณะเดียวกัน ก็มีผู้คนมากมายที่ทยอยถอนตัวออกจากโครงการนี้<br>ในท้ายที่สุด ก็เหลือเพียง 10% ของกลุ่มดั้งเดิมเท่านั้นล่ะ"""
msc_027110_0470#0,"""แล้วอีกครึ่งหนึ่งของบุคลากรเหล่านั้นก็ต้องสูญเสียไปในท้ายที่สุด<br>จากเรื่องอย่างเช่นอุบัติเหตุระหว่างการทดลองน่ะ"""
msc_027110_0480#0,"""นักวิจัยเพียงไม่กี่คนที่เหลืออยู่ได้ดำเนินการทดลองต่อไป<br>และเริ่มดำเนินการพัฒนาฮาลฟา (Halpha) ล่ะ"""
msc_027110_0490#0,"""ทั้งหมดนี้ก็เพื่อวัตถุประสงค์ในการเพิ่มความสามารถให้กับ<br>รุ่นแรก (First Generation) ที่สามารถปรับตัวเข้ากับพันธุกรรมของ ARKS ได้น่ะ"""
msc_027110_0500#0,"""..."""
msc_027110_0510#0,"""จะว่าไปแล้ว ตัวฉันเองก็เป็นหนึ่งใน ARKS รุ่นแรก (First Generation) ด้วยล่ะนะ"""
msc_027110_0520#0,"""ความสามารถในการถ่ายโอนจิตสำนึกไปยังผู้อื่น<br>ก็ถูกพัฒนาขึ้นในระหว่างการทดลองแบบนั้นแหละ"""
msc_027110_0530#0,"""ด้วยพลังนี้ จึงทำให้สามารถเข้ายึดครอง<br>ร่างกายต่างๆ มากมายตลอดหลายศตวรรษที่ผ่านมาได้ล่ะ"""
msc_027110_0540#0,"""และในฐานะเพียงคนเดียวที่ล่วงรู้ถึงภัยคุกคามที่เกิดขึ้นจาก<br>พวก Starless ด้วยตัวเอง จึงได้ดำเนินการทดลองนี้มาโดยตลอดน่ะ"""
msc_027110_0550#0,"""ในฐานะผู้รอดชีวิตคนสุดท้ายของ Resurgent ARKS ยังไงล่ะ"""
msc_027110_0560#0,"""ผู้รอดชีวิต... คนสุดท้าย..."""
msc_027110_0570#0,"""...มีบางอย่างที่อยากจะให้พวกเธอได้เห็นอยู่ข้างหน้านี้น่ะ"""
