name_7015#0,"""เมรี่ (Meri)"""
msn_027630_0230#0,"""สภาพแวดล้อมของภูมิภาคควาริส (Kvaris)<br>แตกต่างจากภูมิภาคเรเทม (Retem) อย่างมาก"""
msn_027630_0240#0,"""เพื่อที่จะได้เรียนรู้ระบบนิเวศของพืชและสัตว์ที่นั่น<br>ฉันเลยให้เธอช่วยนำทางไปตามที่ต่างๆ"""
msn_027630_0250#0,"""ในทางกลับกัน บางครั้งฉันเอง<br>ก็ให้เธอช่วยนำทางในภูมิภาคเรเทม (Retem) เหมือนกัน"""
msn_027630_0260#0,"""คนที่ภูมิภาคเรเทม (Retem) ใจดีกันทุกคนเลย<br>คอยช่วยเหลือฉันอยู่หลายเรื่องเลยล่ะ"""
msn_027630_0270#0,"""พอเส้นสายมันกว้างขึ้น<br>ก็รู้สึกว่าตัวเองสามารถทำอะไรได้เยอะขึ้นเหมือนกันนะ"""
msn_027630_0280#0,"""……ว่าแต่<br>เกี่ยวกับเรื่องที่เคยได้ยินมาก่อนหน้านี้น่ะ……"""
msn_027630_0290#0,"""เห็นว่าภูมิภาคควาริส (Kvaris) เมื่อก่อนนี้<br>เคยเป็นที่ที่อบอุ่นเหมือนกับภูมิภาคเอลิโอ (Aelio) สินะ"""
msn_027630_0300#0,"""และพวกเมรี่ (Meri) ก็กำลังพยายาม<br>ที่จะฟื้นฟูสภาพแวดล้อมในยุคนั้นให้กลับมาเป็นเหมือนเดิม"""
msn_027630_0310#0,"""อื้อ"""
msn_027630_0320#0,"""การทำให้ภูมิภาคควาริส (Kvaris) กลับไปเป็นเหมือนในอดีต<br>คือความปรารถนาอันแรงกล้าของคุณปู่"""
msn_027630_0330#0,"""……แต่ช่วงนี้ ระหว่างพวกพี่น้องเอง<br>ก็เริ่มพูดกันว่าตอนนี้มันก็มีส่วนที่ดีอยู่เหมือนกันนะ"""
msn_027630_0340#0,"""อย่างเรื่องสัตว์และพืช<br>ที่พูดไปเมื่อกี้ก็ด้วย"""
msn_027630_0350#0,"""เพราะงั้น ก็เลยเริ่มคิดว่า<br>ไม่เห็นจำเป็นต้องทำให้ทุกอย่างกลับไปเป็นเหมือนเดิมเลย"""
msn_027630_0360#0,"""อย่างนั้นหรอกเหรอ"""
msn_027630_0370#0,"""แต่ส่วนที่ทำให้ใช้ชีวิตในภูมิภาคควาริส (Kvaris) ลำบาก<br>ฉันก็อยากจะแก้ไขมันนะ"""
msn_027630_0380#0,"""แล้วก็ถ้าเป็นไปได้ สถานที่ที่เรียกว่าลอสต์เซ็นทรัล (Lost Central)<br>ฉันอยากจะทำให้มันกลับมาอยู่อาศัยได้อีกครั้งน่ะ"""
msn_027630_0390#0,"""เข้าใจล่ะ"""
msn_027630_0400#0,"""ถ้ามีอะไรให้ช่วยล่ะก็<br>บอกได้ตลอดเลยนะ"""
msn_027630_0410#0,"""ฉันเองก็อยากเป็นกำลังให้เหมือนกัน"""
msn_027630_0420#0,"""ขอบคุณนะ!<br>นาเดเรห์ (Nadereh)"""
