LightRain_IncidentName#0,"""Пережить атаку лучами!"""
AttackWave_NpcComOnFailure#1,"""/face4 Подтверждаю исчезновение<br>высокоэнергетических сигналов.<br>Полученный урон огромен.<br>Всем участникам: Восстановите<br>строй и продолжайте сражаться."""
LightRain_NpcComOnBegin#2,"""Фиксирую энергию исходящую<br>из груди Магацу.<br>Будьте осторожны<br>с лучевыми атаками с неба."""
LightRain_NpcComOnBegin2#2,"""Рекомендую сосредоточиться на<br>избегании атак.<br>Не попадайте под энергетические атаки<br>более чем $(0) раз(а)."""
LightRain_NpcComOnSuccess#2,"""Подтверждаю прекращение<br>атаки лучами.<br>Полученный урон незначителен.<br>Всем участникам: Продолжайте<br>вести бой с Магацу."""
LightRain_NpcComOnFailure#2,"""/face4 Подтверждаю прекращение<br>атаки лучами.<br>Полученный урон огромен.<br>Всем участникам: Восстановите<br>строй и продолжайте сражаться."""
FaceBeam_NpcComOnBegin#2,"""Фиксирую энергию, исходящую<br>от бесчисленных лиц Магацу.<br>Остерегайтесь атак бесчисленных<br>источников тепла."""
FaceBeam_NpcComOnBegin2#2,"""Траектория тепловых атак<br>непредсказума.<br>Рекомендую сосредоточиться на<br>избегании атак.<br>Не попадайте под лучевые атаки<br>более чем $(0) раз(а)."""
FaceBeam_NpcComOnSuccess#2,"""Фиксирую останоку источника<br>тепла.<br>Полученный урон незначителен.<br>Всем участникам: Продолжайте<br>вести бой с Магацу."""
FaceBeam_NpcComOnFailure#2,"""/face4 Фиксирую останоку источника<br>тепла.<br>Полученный урон огромен.<br>Всем участникам: Восстановите<br>строй и продолжайте сражаться."""
AttackWave_NpcComOnBegin#2,"""Фиксирую высокоэнергетические<br>сигналы от ладоней Магацу.<br>Рекомендуется отправиться<br>на ближайшую стену."""
AttackWave_NpcComOnBegin2#2,"""Предполагается масштабная атака<br>на окрестности.<br>Всем участникам:<br>Будьте крайне осторожны."""
AttackWave_NpcComOnSuccess#2,"""Подтверждаю исчезновение<br>энергетических сигналов.<br>Полученный урон незначителен.<br>Всем участникам: Продолжайте<br>вести бой с Магацу."""
AttackWave_NpcComOnFailure#2,"""/face4 Подтверждаю исчезновение<br>высокоэнергетических сигналов.<br>Полученный урон огромен.<br>Всем участникам: Восстановите<br>строй и продолжайте сражаться."""
LightRain_NpcComOnBegin#3,"""Фиксирую энергию исходящую<br>из груди Магацу.<br>Будьте осторожны<br>с лучевыми атаками с неба."""
LightRain_NpcComOnBegin2#3,"""Рекомендую сосредоточиться на<br>избегании атак.<br><black>Не попадайте под лучевые атаки<br><red>более чем $(0) раз(а)."""
LightRain_NpcComOnSuccess#3,"""Подтверждаю прекращение<br>атаки лучами.<br>Полученный урон незначителен.<br>Всем участникам: Продолжайте<br>вести бой с Магацу."""
LightRain_NpcComOnFailure#3,"""/face4 Подтверждаю прекращение<br>атаки лучами.<br>Полученный урон огромен.<br>Всем участникам: Восстановите<br>строй и продолжайте сражаться."""
FaceBeam_NpcComOnBegin#3,"""Фиксирую энергию, исходящую<br>от бесчисленных лиц Магацу.<br>Остерегайтесь атак бесчисленных<br>источников тепла."""
FaceBeam_NpcComOnBegin2#3,"""Траектория тепловых атак<br>непредсказума.<br>Рекомендую сосредоточиться на<br>избегании атак.<br><black>Не попадайте под энергетические атаки <red>более чем $(0) раз(а)"""
FaceBeam_NpcComOnSuccess#3,"""Фиксирую останоку источника<br>тепла.<br>Полученный урон незначителен.<br>Всем участникам: Продолжайте<br>вести бой с Магацу."""
FaceBeam_NpcComOnFailure#3,"""/face4 Фиксирую останоку источника<br>тепла.<br>Полученный урон огромен.<br>Всем участникам: Восстановите<br>строй и продолжайте сражаться."""
AttackWave_NpcComOnBegin#3,"""Фиксирую высокоэнергетические<br>сигналы от ладоней Магацу.<br><black>Рекомендуется отправиться<br><red>на ближайшую стену."""
AttackWave_NpcComOnBegin2#3,"""Предполагается масштабная атака<br>на окрестности.<br>Всем участникам:<br>Будьте крайне осторожны."""
AttackWave_NpcComOnSuccess#3,"""Подтверждаю исчезновение<br>энергетических сигналов.<br>Полученный урон незначителен.<br>Всем участникам: Продолжайте<br>вести бой с Магацу."""
AttackWave_NpcComOnFailure#3,"""/face4 Подтверждаю исчезновение<br>высокоэнергетических сигналов.<br>Полученный урон огромен.<br>Всем участникам: Восстановите<br>строй и продолжайте сражаться."""
