Name#0,"""Динар"""
DropHelpItem#2,"""Сбрасываю гуманитарную помощь."""
DropEnemy#2,"""Что-то странное в этих поставках..."""
Shooting#2,"""Цель подтверждена. Начинаю атаку."""
FallMessage#2,"""Черт ...это управление...!<br>Совершаю аварийную посадку!"""
RequestDefense#2,"""Приступил к ремонту.<br>Запрашиваю поддержку."""
RequestDefense2#2,"""Она в плохом состоянии,<br>но я в состоянии провести ремонт.<br>Я хочу чтобы вы выйграли<br>мне время, пока<br>я занимаюсь починкой."""
EnemyFront#2,"""Вражеский сигнал с фронта.<br>Разберитесь с ними, пожалуйста."""
EnemyRight#2,"""Вражеский сигнал справа.<br>Разберитесь с ними, пожалуйста."""
EnemyBack#2,"""Вражеский сигнал сзади.<br>Разберитесь с ними, пожалуйста."""
EnemyLeft#2,"""Вражеский сигнал слева.<br>Разберитесь с ними, пожалуйста."""
Broken#2,"""Получено слишком много<br>повреждений. Эта малышка больше<br>не выдержит!"""
Destroy#2,"""....Эвакуируюсь!"""
SuccessDefence#2,"""Ремонт завершён.<br>Спасибо за помощь."""
EvFallMessage#2,"""Подтверждаю аварийное<br>отключение привода!<br>Вот чёрт, я снова сажусь!"""
EvRequestDefense#2,"""Приступаю к ремонту снова.<br>Запрашиваю поддержку<br>на время ремонта."""
EvBroken#2,"""Ещё больше повреждений:<br>к хорошему не приведёт..."""
EvDestroy#2,""""Этот корабль...больше<br>не подлежит ремонту."""
EvSuccessDefence#2,"""Извините за беспокойство.<br>Все системы в норме.<br>Спасибо за помощь!"""
EvDarker#2,"""Что за...?! Я потерял контроль!<br>Это чрезвычайная ситуация!<br>Покидаю корабль!"""
