IncidentName#0,"""Одолеть $(0)"""
NpcComOnBegin_Other#1,"""Тч, появился тяжёлый противик.<br>Всем участникам:<br>Готовьтесь к бою.<br>Отразите атаку."""
NpcComOnSuccess_Other#1,"""Сигнал исчез.<br>Это было внезапное нападение.<br>Вы хорошо справились."""
NpcComOnPreBegin_Darker#1,"""Подтверждаю побег Няу...<br>Хм?<br>Фиксирую пространственное<br>искажение в процессе побега.<br>Что-то происходит.<br>Будьте осторожны!"""
NpcComOnBegin_Darker#1,"""Тч, появился тяжёлый противик.<br>Всем участникам:<br>Готовьтесь к бою.<br>Отразите атаку."""
NpcComOnSuccess_Darker#1,"""Сигнал исчез.<br>Это было внезапное нападение.<br>Вы хорошо справились."""
NpcComOnPreBegin#2,"""Няу сбежал... Чего-чего?<br>В следствии его побега появилось<br>пространственное искажение...<br>Пожалуйста, будьте осторожны!"""
NpcComOnBegin#2,"""Сильный враг пришёл...<br>Пожалуйста, сделайте<br>всё возможное!"""
NpcComOnSuccess#2,"""Ну наконец-то закончили!<br>Больше не вижу сигнала врага!<br>Большое спасибо вам!"""
NpcComOnPreBegin_Other#2,"""Няу сбежал... Чего-чего?<br>В следствии его побега появилось<br>пространственное искажение...<br>Пожалуйста, будьте осторожны!"""
NpcComOnBegin_Other#2,"""Сильный враг пришёл...<br>Пожалуйста, сделайте<br>всё возможное!"""
NpcComOnSuccess_Other#2,"""Ну наконец-то закончили!<br>Больше не вижу сигнала врага!<br>Большое спасибо вам!"""
NpcComOnPreBegin_Darker#2,"""Няу сбежал... Чего-чего?<br>В следствии его побега появилось<br>пространственное искажение...<br>Пожалуйста, будьте осторожны!"""
NpcComOnBegin_Darker#2,"""Сильный враг пришёл...<br>Пожалуйста, сделайте<br>всё возможное!"""
NpcComOnSuccess_Darker#2,"""Ну наконец-то закончили!<br>Больше не вижу сигнала врага!<br>Большое спасибо вам!"""
NpcComOnPreBegin#3,"""Подтверждаю уход Няу...<br>Фиксирую вслед за его уходом<br>пространственное искажение.<br>..Прибывает сигнал нового врага."""
NpcComOnBegin#3,"""Срочное уведомление.<br>Пожалуйста, разберитесь<br>с появившимся врагом."""
NpcComOnSuccess#3,"""Сигнал врага полностью исчез.<br>Ваши ответные действия<br>были замечательными."""
NpcComOnPreBegin_Other#3,"""Подтверждаю уход Няу...<br>Фиксирую вслед за его уходом<br>пространственное искажение.<br>..Прибывает сигнал нового врага."""
NpcComOnBegin_Other#3,"""Срочное уведомление.<br>Пожалуйста, разберитесь<br>с появившимся врагом."""
NpcComOnSuccess_Other#3,"""Сигнал врага полностью исчез.<br>Ваши ответные действия<br>были замечательными."""
NpcComOnPreBegin_Darker#3,"""Подтверждаю уход Няу...<br>Фиксирую вслед за его уходом<br>пространственное искажение.<br>..Прибывает сигнал нового врага."""
NpcComOnBegin_Darker#3,"""Срочное уведомление.<br>Пожалуйста, разберитесь<br>с появившимся врагом."""
NpcComOnSuccess_Darker#3,"""Сигнал врага полностью исчез.<br>Ваши ответные действия<br>были замечательными."""
NpcComOnPreBegin#4,"""Похоже Няу сбежал, но...<br>Появилось пространственное искажение.<br>Что-то выходит!"""
NpcComOnBegin#4,"""Подтверждаю появление<br>нового врага.<br>Пожалуйста, перехватите его!"""
NpcComOnSuccess#4,"""Благодарю вас за перехват!<br>Также благодарю<br>за тажёлую работу!"""
NpcComOnPreBegin_Other#4,"""Похоже Няу сбежал, но...<br>Появилось пространственное искажение.<br>Что-то выходит!"""
NpcComOnBegin_Other#4,"""Подтверждаю появление<br>нового врага.<br>Пожалуйста, перехватите его!"""
NpcComOnSuccess_Other#4,"""Благодарю вас за перехват!<br>Также благодарю<br>за тажёлую работу!"""
NpcComOnPreBegin_Darker#4,"""Похоже Няу сбежал, но...<br>Появилось пространственное искажение.<br>Что-то выходит!"""
NpcComOnBegin_Darker#4,"""Подтверждаю появление<br>нового врага.<br>Пожалуйста, перехватите его!"""
NpcComOnSuccess_Darker#4,"""Благодарю вас за перехват!<br>Также благодарю<br>за тажёлую работу!"""
NpcComOnPreBegin#5,"""Похоже Няу сбежал, но...<br>Появилось пространственное искажение.<br>Что-то выходит!"""
NpcComOnBegin#5,"""Подтверждаю появление<br>нового врага.<br>Пожалуйста, перехватите его!"""
NpcComOnSuccess#5,"""Благодарю вас за перехват!<br>Также благодарю<br>за тажёлую работу!"""
NpcComOnPreBegin_Other#5,"""Похоже Няу сбежал, но...<br>Появилось пространственное искажение.<br>Что-то выходит!"""
NpcComOnBegin_Other#5,"""Подтверждаю появление<br>нового врага.<br>Пожалуйста, перехватите его!"""
NpcComOnSuccess_Other#5,"""Благодарю вас за перехват!<br>Также благодарю<br>за тажёлую работу!"""
NpcComOnPreBegin_Darker#5,"""Похоже Няу сбежал, но...<br>Появилось пространственное искажение.<br>Что-то выходит!"""
NpcComOnBegin_Darker#5,"""Подтверждаю появление<br>нового врага.<br>Пожалуйста, перехватите его!"""
NpcComOnSuccess_Darker#5,"""Благодарю вас за перехват!<br>Также благодарю<br>за тажёлую работу!"""
