LogName#0,"""Инфо срочного испытания"""
ProgNumRescuee#0,"""Жертвы спасены"""
ProgNumDestroyNeoBurufu#0,"""Гел Вульфы побеждены"""
ProgNoDataAllEnemyKill#0,"""Победите всех врагов"""
ProgNumSwitchUnlock#0,"""Состояние переключателя разблокировки"""
ProgBeachNauraSearchHP#0,"""HP сестры Науры"""
ProgTimeBombNum#0,"""Разоруженные часовые бомбы"""
ProgShootDarkerHeliHp#0,"""Состояние заражённого Боев.корабля"""
ProgSessionApcHp#0,"""パートナー達のHP状況"""
ProgSessionApcEarthGuideHp#0,"""HP Проводников Земли"""
ProgPlayerAnnihilation#0,"""$(0) побеждён"""
ProgSatisfactionOfJackBox#0,"""Урон, нанесённый Мистеру Боан"""
ProgNumEnemyKillNyau#0,"""$(0)に勝った回数"""
ProgNumEnemyKillWakerBit#0,"""Уничтожено Фандарж Битов"""
ProgNumEnemyKillNyauTwoBoss#0,"""Целей усмирено"""
ResultMeseta#0,"""$(0)<pict meseta_icon>"""
ResultExperience#0,"""$(0)<pict exp_icon>"""
ResultGetItem#0,"""Награды: """
ItemNumber#0,"""$(0) ×$(1)"""
FCondDwarfMsg#0,"""Превышено огранич. времени"""
FloorOrderSuccessMsg#0,"""Завершён заказ этапа [$(0)]!"""
FloorOrderFailureMsg#0,"""Провален заказ этапа [$(0)]!"""
FloorOrderMsg#0,"""Заказ этапа [$(0)]"""
FloorOrderEnemyAll#0,"""Врагов"""
FloorOrderEnemyName#0,"""$(0)"""
FloorOrderTime#0,""" за $(0) секунд"""
FloorOrderTimeLimit#0,""" в течение $(0) секунд"""
FloorOrderTimes#0,"""$(0) или больше раз"""
FloorOrderNum#0,"""$(0) всего"""
FloorOrderNumEnemy#0,"""$(0)体"""
FloorOrderNoRecoverCondition#0,""" без исцеления"""
FloorOrderWeakCondition#0,""" атакуя в слабую точку"""
FloorOrderFrontCondition#0,""" с переди"""
FloorOrderBackCondition#0,""" с зади"""
FloorOrderStatusCondition#0,""" с статус-эффектом"""
FloororderKillEnemy#0,"""Победите$(5)<yellow>$(4)<c 00ffff>$(1)$(2)$(3)<c>$(0)!"""
FloororderDamage#0,"""Нанесите <c ff007f>$(3) или больше урона<c> <yellow>$(2)<c>$(4)$(0)<c 00ffff>$(1)<c>!"""
FloororderPartDamage#0,"""<c ff007f>Уничьтожьте $(2)<yellow>$(1)<c> части(ей)$(0)!"""
FloorOrderNoDamage#0,"""Не получайте урона$(0)$(1)!"""
FloorOrderNoRecover#0,"""Не исцеляйтесь$(0)$(1)!"""
FloorOrderNoDead#0,"""Не умирайте$(0)$(1)!"""
FloororderKillEnemyR#0,"""Победите$(5) <br>$(4)$(0)$(1)$(2)$(3)!"""
FloororderDamageR#0,"""Нанесите $(3) урон<br>$(2)$(4)$(0)$(1)!"""
FloororderPartDamageR#0,"""Уничтожьте$(2)$(1) <br>части(ей)$(0)!"""
FloorOrderNoDamageR#0,"""Не получайте урон$(0)$(1)!"""
FloorOrderNoRecoverR#0,"""ГНе исцеляйтесь$(0)$(1)!"""
FloorOrderNoDeadR#0,"""Не умирайте$(0)$(1)!"""
BonusmapAppearanceMsg#0,"""Появился телепорт в параллельную местность $(0)."""
ProgUmincyuKiki1patuHp#0,"""HP гражданского"""
ProgUmincyuKiki1patuTime#0,"""HP гражданского"""
ProgNumShellFlowerBreak#0,"""Цветы-ракушки уничтожены"""
ProgSlimeVanishAnalyze#0,"""Очки истребления Злой медузы"""
ProgSlimeVanishTime#0,"""Время появления Злой медузы"""
ProgDestroyPirateShipHp#0,"""Источник питания"""
ProgMgeCaptureNum#0,"""Успешные воздействия"""
ProgMgeMeteorNum#0,"""Уничтоженные визажные сферы"""
ProgMgeAnnihilationNum#0,"""Убейте врагов"""
ProgMgeFinalGateHP#0,"""Усмирение Магацу"""
ProgNumEnemyKillMge2#0,"""Убито Магацу"""
CoTrialSuccessMsg#0,"""Завершено EQ испытание [$(0)]!"""
CoTrialFailureMsg#0,"""Завершено EQ испытание [$(0)]!"""
CoTrialMsg#0,"""Завершено EQ испытание [$(0)]"""
ProgNumDestroyedCar#0,"""Уничтожено целей"""
ProgNumDestroyPhantomShipCannon#0,"""Уничтожено орудий"""
SubScoreGuideAbstract#0,"""Доп.миссия:<yellow>Очки поднимутся, если вы быстро выполните срочное испытание!"""
SubScoreGuideAnnihilation#0,"""Доп.миссия:<yellow>Очки поднимутся, если вы быстро победите всех врагов!"""
SubScoreGuideEnemyFever#0,"""Доп.миссия:<yellow>Очки поднимутся относительно колличества побеждённых врагов!"""
SubScoreGuideIndi#0,"""Доп.миссия:<yellow>Очки поднимутся, если вы победите большое фантомное НЛО!"""
SubScoreGuideFsmChase#0,"""Доп.миссия:<yellow>Очки поднимутся, если вы победите всех неопознанных существ!"""
ProgNumEnemyDefeat#0,"""Число $(0) побеждённых"""
SubScoreMagniSuccessMsg#0,"""Срочный заказ выполнен: очки увеличились на $(0)%!"""
ProgSubScoreOrderTitle#0,"""Завершите срочный заказ!"""
SubScoreOrderTimeMsg#0,""" секунд"""
SubScoreOrderTimeLimitMsg#0,""" секунд """
SubScoreOrderGuideKillEnemy#0,"""Срочный заказ: <yellow>Победите $(2) $(3) с $(0)$(1)чтобы заработать $(4)% повышения очков!"""
SubScoreOrderGuideKillEnemyFront#0,"""Срочный заказ: <yellow>Победите $(2) $(3) $(0)$(1)с переди, чтобы заработать $(4)% повышения очков!"""
SubScoreOrderGuideKillEnemyBack#0,"""Срочный заказ: <yellow>Победите $(2) $(3) $(0)$(1)с зади, чтобы получить $(4)% повышения очков!"""
SubScoreOrderGuideKillEnemyWeakPoint#0,"""Срочный заказ: <yellow>Победите $(2) $(3) $(0)$(1)с их слабыми точками, чтобы получить $(4)% повышения очков!"""
SubScoreOrderGuideBreakParts#0,"""Срочный заказ: <yellow>Разрушьте $(2) $(3) $(0)$(1)части(ей), чтобы получить $(4)% повышения очков!"""
SubScoreOrderGuideMaxDamage#0,"""Срочный заказ: <yellow>$(0)$(1)Нанесите $(3) урона $(2) раз(а), чтобы получить$(4)% повышения очков!"""
SubScoreOrderGuidePlayerDead#0,"""Срочный заказ: <yellow>$(0)$(1)Не умирайте $(2) или больше раз(а), чтобы получить$(3)% повышения очков!"""
SubScoreOrderGuidePlayerDamage#0,"""Срочный заказ: <yellow>За $(0)$(1), не получайте урона $(2) раз(а), чтобы получить $(3)% повышения очков!"""
SubScoreOrderKillEnemy#0,"""<yellow>Победите $(2) $(3) с $(0)$(1)!"""
SubScoreOrderKillEnemyFront#0,"""<yellow>Победите $(2) $(3) с переди$(0)$(1)!"""
SubScoreOrderKillEnemyBack#0,"""<yellow>Победите $(2) $(3) с зади$(0)$(1)!"""
SubScoreOrderKillEnemyWeakPoint#0,"""<yellow>Победите $(2) $(3) $(0)$(1)в их слабые точки!"""
SubScoreOrderBreakParts#0,"""<yellow>Разрушьте $(0)$(1)части(ей) $(2)."""
SubScoreOrderMaxDamage#0,"""<yellow>$(0)$(1)Нанесите $(3) урона $(2) раз(а)."""
SubScoreOrderPlayerDead#0,"""<yellow>$(0)$(1)Не умирайте более $(2) раз."""
SubScoreOrderPlayerDamage#0,"""<yellow>Не получите удар $(2) раз(а), за $(0)$(1)"""
ToastDarkerBlastRecovery#0,"""Dark Blast восстановлен!"""
RankingResultMessageRecord#0,"""$(0)位 $(1) $(2)pt"""
RankingTitleDamageMax#0,"""Нанести максимальный урон!"""
RankingTitleDamageTotal#0,"""Объедините свой общий урон!"""
RankingTitleDefeatCount#0,"""Отбей больше врагов!"""
RankingTitleKillFront#0,"""Победите врагов с переди!"""
RankingTitleKillBack#0,"""Победите врагов с зади!"""
RankingTitleWeakPoint#0,"""Побеждайте врагов, атакуя их слабые места!"""
RankingTitleBreakParts#0,"""Уничтожьте больше частей!"""
RankingTitleDamageTotalPenalty#0,"""Нанесите урон без удара!"""
RankingTitleScoreDisplay#0,"""Score:$(0)pt"""
RankingResultMessagePlayer#0,"""※"""
QuestSuccess#0,"""/face2 Пожалуйста, немедленно<br>возвращайтесь."""
QuestFailure#0,"""/face4 Ничего не поделать.<br>Возвращайтесь."""
QuestSuccess#1,"""Предоставленно разрешение на<br>возвращение.<br>Вы можете вернуться."""
QuestFailure#1,"""Покидайте свою миссию<br>и возвращайтесь.<br>Вы сделали всё возможное."""
QuestSuccess#2,"""/face2 Хорошая работа!<br>Пожалуйста, возвращайтесь!"""
QuestFailure#2,"""/face6 Что ж, в любом случае,<br>пожалуйста, возвращайтесь!"""
QuestSuccess#3,"""Миссия завершена.<br>Немедленно возвращайтесь."""
QuestFailure#3,"""Подтверждён провал миссии.<br>Немедленно возвращайтесь."""
QuestSuccess#4,"""Хорошая работа! <br>Пожалуйста, возвращайтесь!"""
QuestFailure#4,"""У нас не было выбора...<br>возвращайтесь."""
QuestSuccess#5,"""Хорошая работа! <br>Пожалуйста, возвращайтесь!"""
QuestFailure#5,"""У нас не было выбора...<br>возвращайтесь."""
