IncidentName#0,"""Остановите побег Пажаду-Линов!"""
NpcComOnLevelUp45#2,"""Это плохая ситуация.<br>Враг начал восстанавливать миазмы.<br>Поспешите и очистьте фонари!"""
NpcComOnLevelDown#2,"""Отлично, продолжайте очищать<br>фанари в том же темпе.<br>Цвет неба начинает возвращаться.<br>Однако, будьте настороже."""
NpcComOnLevelDown21#2,"""Похоже, что все фонари очищены.<br>Пришло время, чтобы расправиться<br>с оставшимися Пажаду-Линами!"""
NpcComOnRelease#2,"""Хорошо справились.<br>Если обнаружите другие фонари,<br>которые были также затронуты,<br>то таким же образом очистьте их."""
NpcComOnBlack#2,"""Фонарь заразился миазмами<br>Паджу-Лина.<br>Поспешите, и осчисьте его.<br>Оставите всё как есть, и<br>получаемый урон будет только<br>лишь увеличиваться!"""
NpcComRollerPos#2,"""Фиксирую местоположение<br>Паджу-Линов.<br>Поспешите на $(0)<br>и разберитесь с ними."""
NpcComOnBegin#3,"""Паджу-Лины появились<br>в этом районе.<br>За ними замечается<br>неестественное поведение.<br>Рекомендую вам быть осторожными."""
NpcComOnBegin2#3,"""Как вы могли заметить,<br>с затемнением неба способности<br>врага усилились.<br>Атакуйте и очищайте фонари,<br>пострадавшие от миазмов."""
NpcComOnSuccess#3,"""Подтверждаю появление<br>Паджу-Линов.<br>Пожалуйста, своевременно<br>очищайте фонари,<br>пострадавшие от миазмов."""
NpcComOnFailure#3,"""Подтверждаю провал миссии.<br>Тем не менее, пожалуйста,<br>своевременно очистьте фонари,<br>пострадавшие от миазмов."""
NpcComOnLevelUp#3,"""Тёмное небо усиливается.<br>Как можно скорее очисьте фонари,<br>пострадавшие от миазмов."""
NpcComOnLevelUp34#3,"""Если вы ступите на поверхность,<br>по которой расплескались миазмы,<br>то получите урон.<br>Рекомендуется передвигаться<br>по крышам."""
NpcComOnLevelUp45#3,"""Состояние чёрного неба<br>усугубилось.<br>Миазмы подпитывают врагов.<br>Поспешите, и очистьте<br>заражённые фонари."""
NpcComOnLevelDown#3,"""Подтверждаю очистку фонаря.<br>Состояние неба постепенно<br>улучшается.<br>Продолжайте в том же духе<br>очищение фонарей."""
NpcComOnLevelDown21#3,"""Подтверждаю очищение<br>всех фонарей.<br>Сигнал Паджу-Линов также ослаб.<br>Немедленно, разберитесь с ними."""
NpcComOnRelease#3,"""Отличные ответные действия.<br>Если обнаружите другие фонари,<br>затронутые миазмами, пожалуйста,<br>очистьте их также."""
NpcComOnBlack#3,"""Похоже, что какой-то фонарь<br>был поражён миазмом Паджу-Лина.<br>Поспешите и атакуйте фонари,<br>чтобы очистить."""
NpcComRollerPos#3,"""Фиксирую местоположение<br>Паджу-Линов.<br>Поспешите на $(0)<br>и разберитесь с ними."""
