Name#0,"""Риа"""
EvBroken#1,"""Повреждения быстрее появляются,<br>чем я успеваю их ликвидировать...<br>Неужели это конец?"""
EvDestroy#1,"""Мы зашли так далеко...<br>Но... Эвакуируюсь!"""
EvSuccessDefence#1,"""Извините за беспокойство.<br>Теперь всё хорошо.<br>Большое спасибо!"""
EvDarker#1,"""А? Корабль вышел<br>из под контроля?!<br>Срочно! Покинуть корабль!"""
Trouble#2,"""Почему это произошло?<br>Чёрт... только не сейчас!"""
PassMessage#2,"""Здесь!<br>В процессе разведывательной<br>миссии."""
PassMessage2#2,"""Здесь!<br>В процессе разведывательной<br>информационной миссии."""
DropHelpItem#2,"""Друзья, вы в порядке?<br>Я скидываю вам припасы!"""
DropEnemy#2,"""Там какие-то источники тепла...?<br>Ну, хорошо, вы идёте?"""
Shooting#2,"""Открываю шквальный огонь!"""
FallMessage#2,"""О боже!<br>Я потеряла контроль.<br>Немедленно совершаю<br>аварийную посадку!"""
RequestDefense#2,"""Начинаю ремонт!<br>Пожалуйста, защитите меня!"""
RequestDefense2#2,"""Я верю,<br>что смогу отремонтировать!<br>Пожалуйста, защитите меня!"""
EnemyFront#2,"""Вражеский сигнал<br>с фронта! Они на подходе!"""
EnemyRight#2,"""Вражеский сигнал<br>справа! Они на подходе!"""
EnemyBack#2,"""Вражеский сигнал<br>сзади! Они на подходе!"""
EnemyLeft#2,"""Вражеский сигнал<br>слева! Они на подходе!"""
Broken#2,"""Ааааххх, мою малышку<br>всё больше и больше избивают..."""
Destroy#2,"""К сожалению, я не могу<br>это исправить...<br>Я катапультируюсь!"""
SuccessDefence#2,"""Ремонт закончен!<br>Хорошая девочка...<br>Давай парить в небе!"""
EvFallMessage#2,"""Аах! Эта быстрая<br>починка не помогла! Изивините!<br>Совершаю вынужденную посадку!"""
EvRequestDefense#2,"""Ох, так быстро?<br>Извините, но мне<br>надо ещё поработать!<br>Прикройте меня!"""
EvBroken#2,"""Мы же не в лесу!...<br>Я постараюсь её отремонтировать."""
EvDestroy#2,"""О...<br>Моя бедненькая малышка..."""
EvSuccessDefence#2,"""Извините за беспокойство.<br>Теперь всё хорошо.<br>Большое спасибо!"""
EvDarker#2,"""Ха?! Я потеряла контроль?!<br>Срочно покидаю корабль!"""
