name_7245#0,"""เซียมมี่"""
ssn_019150_002_3070#0,"""ได้เสริมความแข็งแกร่งให้อุปกรณ์ตามคำแนะนำของเซียมมี่บ้างหรือเปล่า?"""
ssn_019150_002_3080#0,"""อา ยังไม่ได้ทำเลย... ที่จริงแล้วเราเพิ่งจะคุยกันเสร็จเอง..."""
ssn_019150_002_3090#0,"""อ้อ อืม เข้าใจล่ะ"""
ssn_019150_002_3100#0,"""จริงสิ! ถ้าไหวล่ะก็ ขอร้องอะไรสักอย่างได้ไหม?"""
ssn_019150_002_3110#0,"""ทำหลังจากจัดการเรื่องอุปกรณ์เสร็จแล้วก็ได้ เดี๋ยวจะส่งรายละเอียดคำขอไปให้นะ!"""
ssn_019150_002_3120#0,"""ไม่ต้องรีบหรอก ว่างเมื่อไหร่ก็ค่อยทำ ขอบใจนะ! ไปล่ะ!"""
ssn_019150_002_3130#0,"""...ซิเตร? ฮัลโหล? ...ร-รักอิสระเหมือนเคยเลยนะ..."""
ssn_019150_002_3140#0,"""...เธอคนนี้แหละที่ขอให้มาช่วยทำงานแทนน่ะ"""
ssn_019150_002_3150#0,"""ถ้าไม่เป็นการรบกวนมากไป ช่วยทำคำขอที่เธอส่งไปให้หน่อยได้ไหม"""
ssn_019150_002_3160#0,"""ขอบคุณนะ และก็... ดูแลตัวเองด้วยล่ะ"""
ssn_019150_002_4010#0,"""...อาาา... ไม่เหมาะกับเรื่องพวกนี้เลยจริงๆ แฮะ..."""
ssn_019150_002_4020#0,"""มีอะไร... ให้ช่วยหรือเปล่า?"""
ssn_019150_002_5010#0,"""ถ้ามีคำถามอะไรเกี่ยวกับไอเทมหรืออุปกรณ์ ถามมาได้เลยนะ"""
ssn_019150_002_5020#0,"""มีอะไร... ให้ช่วยหรือเปล่า?"""
npc_menu_0010#0,"""แลกเปลี่ยนแต้มตามฤดูกาล (จนถึง $(0))"""
npc_menu_0020#0,"""แลกเปลี่ยนวัตถุดิบ Gathering"""
npc_menu_0030#0,"""รีไซเคิลไอเทม (จนถึงวันที่ 7 มิถุนายน 2023, 12:00 JST)"""
npc_menu_0040#0,"""เรียนรู้เกี่ยวกับอีเวนต์ตามฤดูกาล"""
npc_menu_0050#0,"""ปิดเมนู"""
npc_menu_1010#0,"""เกี่ยวกับอีเวนต์ตามฤดูกาล"""
npc_menu_1020#0,"""เกี่ยวกับ Seasonal Enemy"""
npc_menu_1030#0,"""เกี่ยวกับ Mischief Symbol"""
npc_menu_1040#0,"""เกี่ยวกับ Region Mag ตามฤดูกาล"""
npc_menu_1050#0,"""เกี่ยวกับ Seasonal Ams Subjugation Trial"""
npc_menu_2000#0,"""ช่างเถอะ"""
