11_voice_NPC_5162_111#0,"""Что вы хотите узнать?"""
text04#2,"""Кнопка <pict Sign_LEFT> отвечает за переключением и<br>скрытием общего счёта всех открытых карт в руке.<br>Кнопка <%MainMenu> можно использовать для выхода<br>из игры.<br><br>Когда наступит ваша очередь, появится<br>окно выбора.<br>Это окно содержит следующие варианты:<br>\""Взять ещё (Взять карту)\""<br>\""Хватит (Не брать карту)\""<br>\""УДВОИТЬ\""<br><br><red>※Если вы выйдите уйдёте в середине игры,<br>ваша ставка не будет возвращена, а выигрыш<br>не будет выплачен.<c>"""
text05#1,"""Кнопка <pict Sign_LEFT> отвечает за переключением и<br>скрытием общего счёта всех открытых карт в руке.<br>Кнопка <pict Sign_CROSS> можно использовать для выхода<br>из игры.<br><br>Когда наступит ваша очередь, появится<br>окно выбора.<br>Это окно содержит следующие варианты:<br>\""Взять ещё (Взять карту)\""<br>\""Хватит (Не брать карту)\""<br>\""УДВОИТЬ\""<br><br><red>※Если вы выйдите уйдёте в середине игры,<br>ваша ставка не будет возвращена, а выигрыш<br>не будет выплачен.<c>"""
text06#0,"""\""Взять ещё\""<br>Чтобы взять ещё одну карту.<br>Таким образом можно взять до 3х карт.<br><br>\""Хватит\""<br>Чтобы придержаться текущего количества очков<br>и больше не тянуть карты.<br><br>\""Перебор\"" (BUST)<br>Когда количество очков превышает 21.<br>Все монеты казино, которые вы поставили."""
text07#0,"""\""УДВОИТЬ\""<br>Чтобы взять ещё одну карту и удвоить ставку.<br>Это действие можно сделать только<br>во время первого хода.<br><br><red>Если вы выиграете после выбора УДВОИТЬ,<br>то получите более высокую награду.<c>"""
text08#0,"""После каждого раунда отображается экран<br>результатов и выплачиваются монеты казино.<br>Если вы выиграете, то увидите распределение<br>вашей награды.<br>Вы можете начать новую игру просто сделав<br>новую ставку.<br><br>※Если вы будете слишком долго делать ставку,<br>то автоматически выйдете из за стола."""
text00#2,"""Как играть в \""Black Nyack\"" (Продвинутое)"""
text01#3,"""\""Стратегия игры в Black Nyack\""<br><br>Есть 4 условия при которых вы можете выиграть.<br>1. THREE SP<br>\u3000\u3000Если у вас на руках 3 Special Card<br>2. 5CARD<br>\u3000\u3000Если у вас всего 5 карт.<br>3. BLACK NYACK<br>\u3000\u3000Если у вас 21 очко.<br>4. По числам<br>\u3000\u3000Если у вас 20 очков или меньше.<br><br>1 бьёт 2, 2 бьёт 3 и так далее.<br><br><red>THREE SP и 5CARD не дают возможности победить<br>в случае BUST (перебора).<c>"""
text02#3,"""\""Battle Bonyas\""<br><br>Battle Bonyas - это бонусная игра,<br>активирующаяся случайно.<br>Бонус выплачивается игроку, победившему дилера.<br>Если есть несколько человек с одинаковым<br>количеством очков или прочими одинаковыми<br>условиями, все они получат бонус.<br><br>Постарайтесь собрать как можно лучший набор карт<br>не только против дилера, но и против остальных<br>игроков за столом.<br><br><red>Чем больше игроков играет за столом, тем выше<br>шанс появления Battle Bonyas.<c>"""
text03#3,"""\""Выплата награды\""<br><br>THREE SP: СТАВКА × 50<br>5CARD: СТАВКА × 5<br>BLACK NYACK: СТАВКА × 3<br>WIN: СТАВКА × 2<br><br>Если вы одолеете дилера с помощью одной или<br>нескольких Special Card, то получите награду<br>в зависимости от количества имеющихся у вас<br>Special Card.<br>Вознаграждение, которое вы получите, увеличится<br>с вашей ставокй.<br><br>※На указанном выше экране результатов<br>использовалась ставка 50CC."""
text04#3,"""<red>\""Как и когда использовать УДВОИТЬ\""<c><br><br>Ваша ставка будет удвоена, и вы возьмёте<br>дополнительную карту. Тогда вы будете играть<br>только тремя картами. Вы можете использовать<br>УДВОИТЬ только в первый ход.<br><br>Выигрыш с УДВОИТЬ и THREE SP или BLACK NYACK<br>удвоит выигрыш.<br><br>Лучшее время для УДВОИТЬ - когда ваше общее<br>количество очков 10 или 11."""
