msc_020220_0010#0,"""안녕."""
msc_020220_0960#0,"""뭐라고!?"""
msc_020220_0970#0,"""이쪽에서는 아무런 반응도….<br>내 경계망을 피해 침입했다는 거야?"""
msc_020220_0980#0,"""사실이야.<br>세상에."""
msc_020220_0990#0,"""타이버스 일행에겐 미리 연락했어.<br>이쪽에서도 가능한 한 전력을 보낼게."""
msc_020220_1000#0,"""…라는데.<br>나도 동생들에게 달려갈게."""
msc_020220_1005#0,"""너희는 에아리오로 돌아갈 거야?"""
msc_020220_1010#0,"""…아니."""
msc_020220_1020#0,"""아이나?"""
msc_020220_1030#0,"""우리는 루시엘로 갈 거야.<br>다들 자신의 리전을 지켜줘."""
msc_020220_1040#0,"""………。"""
msc_020220_1050#0,"""크로포드?"""
msc_020220_1060#0,"""알았어.<br>너희에게 맡길게."""
msc_020220_1070#0,"""크로포드!"""
msc_020220_1080#0,"""마논을 내버려 둘 순 없어."""
msc_020220_1090#0,"""태세가 갖추어지는 즉시 부대를 보낼게."""
msc_020220_1100#0,"""그 전에 위험하다고 판단되면,<br>즉시 돌아와 줘."""
msc_020220_1110#0,"""알았어."""
msc_020220_1120#0,"""저도 가겠습니다."""
msc_020220_1130#0,"""앗…."""
msc_020220_1140#0,"""그런 상태론 무리야."""
msc_020220_1150#0,"""이루마, 파리아를 부탁할게."""
msc_020220_1160#0,"""알겠어.<br>여기서 기다려줘."""
msc_020220_1170#0,"""…알겠습니다."""
msc_020220_1180#0,"""이루마, 이 아이를 부탁할게."""
msc_020220_1190#0,"""알겠어. 맡겨둬."""
msc_020220_1200#0,"""알겠어."""
msc_020220_1210#0,"""아직 완전히 회복하지 않은 모양이네."""
msc_020220_1220#0,"""………。"""
msc_020220_1230#0,"""그럼, 이걸 건네 드리겠습니다."""
msc_020220_1240#0,"""이건…?"""
msc_020220_1250#0,"""루시엘의 내부 지도입니다."""
msc_020220_1260#0,"""제가 여기에 오기 전에 마논은,<br>돌즈 제조 시설로 향하고 있었습니다."""
msc_020220_1270#0,"""현재 위치는 알 수 없습니다."""
msc_020220_1280#0,"""할파에서 루시엘로의 통신은 차단되어 있습니다."""
msc_020220_1290#0,"""알겠어. 고마워."""
msc_020220_1300#0,"""…마논을 부탁드립니다."""
msc_020220_1310#0,"""응, 맡겨둬!"""
msc_020220_1320#0,"""우리도<br>이쪽 문제가 해결되면 바로 갈게."""
msc_020220_1330#0,"""그때까지 잘 부탁해."""
