11_voice_NPC_5150_100#0,"""Oh, it's you, my dear! You came at the perfect time!"""
11_voice_NPC_5150_102#5,"""まーた変な敵が現れましたわ！<br>ほんといい加減にしてほしいですわ！"""
sq13_020#0,"""私、辛いことから逃げはしますけど<br>自分の勝手を押しつけたりはしません！<br>世界を自由にしようなんて傲慢ですわ！"""
ep6_sq00_01#0,"""Well, you're all set! Off you go and take down that Goddess of Demise!"""
ep6_sq00_02#0,"""Eh? You don't know where she is? You're still looking for her? Even with Xiao's calculations?"""
11_voice_NPC_5150_105#2,"""This could be complicated, then. It's very different from how we've done things before..."""
ep6_sq01_01#0,"""What are you talking about, Saga?! How are we supposed to stay calm now?! This is a terrible situation!"""
11_voice_NPC_5150_103#1,"""I just want to go and hide in a quiet corner of the cafe until someone gets us out of this!"""
ep6_sq01_03#0,"""Of course, I can't do that in a situation like this. So I'll just have to do my best, even if I don't like it!"""
11_voice_NPC_5150_101#2,"""Amazing, amazing! I see a big win in ARKS' future!"""
ep6_sq02_02#0,"""Now that Xiao's back, we're totally invincible! It's all counterattack from now on!!"""
ep6_sq02_03#0,"""Do your best out there! And let me know when the fighting's over!"""
11_voice_NPC_5150_103#2,"""I was so sure we'd get an easy win and be able to take a long vacation!"""
ep6_sq02_01_02#0,"""Now it looks like the fighting's going to continue...<br>But maybe I can use it to dodge Saga's special training!"""
ep6_sq04_01_01#0,"""Would you be so kind as to spare me from fighting in harsh environments? Saga's training is already far too severe for my delicate body..."""
11_voice_NPC_5150_104#2,"""I know that we all need to do as much as we can, but a flower that goes unwatered will surely wilt!"""
11_voice_NPC_5150_109#0,"""I'm withering! I need the waters of kindness and rest! Oh, won't you please water me?"""
11_voice_NPC_5150_101#3,"""ついに勝つことができましたわ！<br>諦めずに戦い抜いたおかげですわね！<br>さあ、これで私もやっと長期休暇に……"""
11_voice_NPC_5150_106#1,"""え？\u3000なんですってサガさん。<br>気を緩めてはいけない……？<br>訓練を開始する……ですって！？"""
11_voice_NPC_5150_109#1,"""いやですわ！\u3000断固拒否します！<br>長期休暇を手に入れるまで<br>戦い抜いて見せますわ！"""
